,id,price,escrowPubkey,owner,collectionName,collectionTitle,img,title,content,propertyCategory,creators,sellerFeeBasisPoints,mintAddress,attributes,properties,supply,updateAuthority,primarySaleHappened,onChainCollection,tokenDelegateValid,v2,rarity
0,EQkrCDJEruNWQyvn2Db97hNi38HMayCvZkEFDP4aXUcM,38.5,B3EEVS2Ctbe9FCfqVu7xHeP9WAtaSVnU1pCKan9KDrcY,Boh51TFHoJzNk1nHG3ctNmFiUNhN3Bu7N3pjWRESxtgS,taiyo_infants_incubators,Taiyo Infants/Incubators,https://arweave.net/8v1NL6aYmiwrCCdFkaaVRpG2BTVdArbnoe7PCtQVelM,TYR-Infant-0447,Taiyo infant hatched after 30 days of Incubation,image,"[{'address': 'AH3s6T27K49REsRg3jjvHP8eUpnT2jMnUhLU4RW7oxxR', 'verified': 1, 'share': 0}, {'address': 'CDgbhX61QFADQAeeYKP5BQ7nnzDyMkkR3NEhYF2ETn1k', 'verified': 0, 'share': 100}]",500,8WKTeppZdbXM6QPW2DSLCYA1eWKkFV7AkLSPfVxzQZAu,"[{'trait_type': 'Background', 'value': 'Insepushon'}, {'trait_type': 'Breastplate', 'value': 'Sureto'}, {'trait_type': 'Energy-source', 'value': 'Kame'}, {'trait_type': 'Head', 'value': 'Kyojin'}, {'trait_type': 'Shoulder', 'value': 'Subarashi'}, {'trait_type': 'Visor', 'value': 'Gurinrantan'}]","{'files': [{'uri': 'https://arweave.net/8v1NL6aYmiwrCCdFkaaVRpG2BTVdArbnoe7PCtQVelM', 'type': 'image/png'}], 'category': 'image', 'creators': [{'address': 'CDgbhX61QFADQAeeYKP5BQ7nnzDyMkkR3NEhYF2ETn1k', 'share': 100}]}",1,CDgbhX61QFADQAeeYKP5BQ7nnzDyMkkR3NEhYF2ETn1k,1,{},False,"{'auctionHouseKey': 'E8cU1WiRWjanGxmn96ewBgk9vPTcL6AEZ1t6F6fkgUWe', 'sellerReferral': 'autMW8SgBkVYeBgqYiTuJZnkvDZMVU2MHJh9Jh7CSQ2', 'expiry': -1}",{}
1,ArogheZgW7Ez7TqMv1SVVEANLgAdFUMjjqXgdb3ANjt5,38.75,B2r5wb5FA8AbWzZ8FqGrC614G4eWshTpdv237Fu3cSb8,dnxDLsoUmTYjNpTM7dmgVfhg8Q4PXroaP722zT2Jxks,taiyo_infants_incubators,Taiyo Infants/Incubators,https://arweave.net/ChqTRPhexasxpWtspHGPlZZiOOAHPNE3L76KgJbbQqc,TYR-Infant-0587,Taiyo infant hatched after 30 days of Incubation,image,"[{'address': 'AH3s6T27K49REsRg3jjvHP8eUpnT2jMnUhLU4RW7oxxR', 'verified': 1, 'share': 0}, {'address': 'CDgbhX61QFADQAeeYKP5BQ7nnzDyMkkR3NEhYF2ETn1k', 'verified': 0, 'share': 100}]",500,BCyMuCFApSabrZMqC9XQwS8eaJ4LcZ6GvcAU48nwDN2X,"[{'trait_type': 'Background', 'value': 'Zugaikotsu'}, {'trait_type': 'Breastplate', 'value': 'Erito'}, {'trait_type': 'Energy-source', 'value': 'Shi'}, {'trait_type': 'Head', 'value': 'Aoi'}, {'trait_type': 'Shoulder', 'value': 'Kenkyo'}, {'trait_type': 'Visor', 'value': 'Sekigan'}]","{'files': [{'uri': 'https://arweave.net/ChqTRPhexasxpWtspHGPlZZiOOAHPNE3L76KgJbbQqc', 'type': 'image/png'}], 'category': 'image', 'creators': [{'address': 'CDgbhX61QFADQAeeYKP5BQ7nnzDyMkkR3NEhYF2ETn1k', 'share': 100}]}",1,CDgbhX61QFADQAeeYKP5BQ7nnzDyMkkR3NEhYF2ETn1k,1,{},False,"{'auctionHouseKey': 'E8cU1WiRWjanGxmn96ewBgk9vPTcL6AEZ1t6F6fkgUWe', 'sellerReferral': 'autMW8SgBkVYeBgqYiTuJZnkvDZMVU2MHJh9Jh7CSQ2', 'expiry': -1}",{}
2,GnWTVuP6wohWc1XpamWH4bfB6a2FDDvAmD81v8pRztkB,38.9,4sW8KQuAUZQZ7CkMyVZ5h5rHjppsoEMFfR54b39pEtCf,5c5n66BQnF3TVr9AC7zMxN2krzJQoRySbvdwkuboBDXb,taiyo_infants_incubators,Taiyo Infants/Incubators,https://taiyoinfants.s3.us-east-2.amazonaws.com/images_b/incubator.gif,TYR-Incubator-0804,"An incubator that spawns an infant Taiyo after 30 days, the more rare the parents the more chance of the spawn being rare. To find out how much time the incubator will take to spawn into a infant and who the parents are please head to http://incubation.taiyorobotics.com/ and type the NFT name into the Incubator Explorer",image,"[{'address': 'AH3s6T27K49REsRg3jjvHP8eUpnT2jMnUhLU4RW7oxxR', 'verified': 1, 'share': 0}, {'address': 'CDgbhX61QFADQAeeYKP5BQ7nnzDyMkkR3NEhYF2ETn1k', 'verified': 0, 'share': 100}]",500,3CHZMNqbRttoB3SmLYLrMj9bwJUr1NDw6LjUwRYC11uX,"[{'trait_type': 'Type', 'value': 'Incubator'}]","{'files': [{'uri': 'https://taiyoinfants.s3.us-east-2.amazonaws.com/images_b/incubator.gif', 'type': 'image/gif'}], 'category': 'image', 'creators': [{'address': 'CDgbhX61QFADQAeeYKP5BQ7nnzDyMkkR3NEhYF2ETn1k', 'share': 100}]}",1,CDgbhX61QFADQAeeYKP5BQ7nnzDyMkkR3NEhYF2ETn1k,1,{},False,"{'auctionHouseKey': 'E8cU1WiRWjanGxmn96ewBgk9vPTcL6AEZ1t6F6fkgUWe', 'sellerReferral': 'autMW8SgBkVYeBgqYiTuJZnkvDZMVU2MHJh9Jh7CSQ2', 'expiry': -1}",{}
3,FMz5aF5U4wGE7UjeGSq9iyfKGRu6w4zgM3d4wC7JgyBA,39.0,G7w4t9EKjJ9n2oZ3sAuXHyhPp8RuohZbnuewtTeXSB2W,DfAra3qDA5bmgteTWxUzuFkw9ovSwKVeUhPQkaVxwPvF,taiyo_infants_incubators,Taiyo Infants/Incubators,https://arweave.net/Bk0YRhU5TZKUmwoYzEdaer_pBSNxjgueUAjj0OhW6K8,TYR-Infant-0162,Taiyo infant hatched after 30 days of Incubation,image,"[{'address': 'AH3s6T27K49REsRg3jjvHP8eUpnT2jMnUhLU4RW7oxxR', 'verified': 1, 'share': 0}, {'address': 'CDgbhX61QFADQAeeYKP5BQ7nnzDyMkkR3NEhYF2ETn1k', 'verified': 0, 'share': 100}]",500,6xBiptNnUZ92KviHQeqJF2Y1YzxLcK6cynVeBPAiywnu,"[{'trait_type': 'Background', 'value': 'Zugaikotsu'}, {'trait_type': 'Breastplate', 'value': 'Kirei'}, {'trait_type': 'Energy-source', 'value': 'Kori'}, {'trait_type': 'Head', 'value': 'Aoi'}, {'trait_type': 'Shoulder', 'value': 'Buruza'}, {'trait_type': 'Visor', 'value': 'Gurinrantan'}]","{'files': [{'uri': 'https://arweave.net/Bk0YRhU5TZKUmwoYzEdaer_pBSNxjgueUAjj0OhW6K8', 'type': 'image/png'}], 'category': 'image', 'creators': [{'address': 'CDgbhX61QFADQAeeYKP5BQ7nnzDyMkkR3NEhYF2ETn1k', 'share': 100}]}",1,CDgbhX61QFADQAeeYKP5BQ7nnzDyMkkR3NEhYF2ETn1k,1,{},False,"{'auctionHouseKey': 'E8cU1WiRWjanGxmn96ewBgk9vPTcL6AEZ1t6F6fkgUWe', 'sellerReferral': 'autMW8SgBkVYeBgqYiTuJZnkvDZMVU2MHJh9Jh7CSQ2', 'expiry': -1}",{}
4,7dozAo43ajZBzJgig7GLhdYMNb8EajaSsiNvJKrch2nK,39.98,CvzW7ned8MwkTUcPgBgB7TXYGn5tz78YQvhq7CwDqfWL,5S9Yk6GjFko24jCJ98MWjBszbRJhoqFd2vJCB1cnmn3e,taiyo_infants_incubators,Taiyo Infants/Incubators,https://arweave.net/5m9dMII7G-qmQuJTY3JBNLNCdsC1vWxe2qpKxNOCr2Q,TYR-Infant-0133,Taiyo infant hatched after 30 days of Incubation,image,"[{'address': 'AH3s6T27K49REsRg3jjvHP8eUpnT2jMnUhLU4RW7oxxR', 'verified': 1, 'share': 0}, {'address': 'CDgbhX61QFADQAeeYKP5BQ7nnzDyMkkR3NEhYF2ETn1k', 'verified': 0, 'share': 100}]",500,9783EVpRejLSG6DWrvGJjHYoDujYtgiekkwfhif3BbUL,"[{'trait_type': 'Background', 'value': 'Reizo'}, {'trait_type': 'Breastplate', 'value': 'Sureto'}, {'trait_type': 'Energy-source', 'value': 'Shi'}, {'trait_type': 'Head', 'value': 'Tomu'}, {'trait_type': 'Shoulder', 'value': 'Heitai'}, {'trait_type': 'Visor', 'value': 'Hensei-ki'}]","{'files': [{'uri': 'https://arweave.net/5m9dMII7G-qmQuJTY3JBNLNCdsC1vWxe2qpKxNOCr2Q', 'type': 'image/png'}], 'category': 'image', 'creators': [{'address': 'CDgbhX61QFADQAeeYKP5BQ7nnzDyMkkR3NEhYF2ETn1k', 'share': 100}]}",1,CDgbhX61QFADQAeeYKP5BQ7nnzDyMkkR3NEhYF2ETn1k,1,{},False,"{'auctionHouseKey': 'E8cU1WiRWjanGxmn96ewBgk9vPTcL6AEZ1t6F6fkgUWe', 'sellerReferral': 'autMW8SgBkVYeBgqYiTuJZnkvDZMVU2MHJh9Jh7CSQ2', 'expiry': -1}",{}
5,3GD2Rcr9SAk3zxM6rUqFUMFVoRkGtMwy9TEwnyf9HgcN,39.99,GrDLiJxU9mjRz2Kg6sex1HLy5MSQQ8izSwyxR9BsaxAX,Bs4fSG7Gnzi7iYkEA8Q18psztCrHPvB3QCNvbgXP67sB,taiyo_infants_incubators,Taiyo Infants/Incubators,https://arweave.net/MPuOQLjAVTO64qNuSqTulJnFEjMmnm_I8kP-SgOwIoE,TYR-Infant-0485,Taiyo infant hatched after 30 days of Incubation,image,"[{'address': 'AH3s6T27K49REsRg3jjvHP8eUpnT2jMnUhLU4RW7oxxR', 'verified': 1, 'share': 0}, {'address': 'CDgbhX61QFADQAeeYKP5BQ7nnzDyMkkR3NEhYF2ETn1k', 'verified': 0, 'share': 100}]",500,42m2xrpev8E4vrHPbmMKgEjxPGdzWjSE54iqjbu8jNBg,"[{'trait_type': 'Background', 'value': 'Konaria'}, {'trait_type': 'Breastplate', 'value': 'Nafu'}, {'trait_type': 'Energy-source', 'value': 'Itoshi Teru'}, {'trait_type': 'Head', 'value': 'Gin'}, {'trait_type': 'Shoulder', 'value': ""Yukan'na""}, {'trait_type': 'Visor', 'value': 'Hensei-ki'}]","{'files': [{'uri': 'https://arweave.net/MPuOQLjAVTO64qNuSqTulJnFEjMmnm_I8kP-SgOwIoE', 'type': 'image/png'}], 'category': 'image', 'creators': [{'address': 'CDgbhX61QFADQAeeYKP5BQ7nnzDyMkkR3NEhYF2ETn1k', 'share': 100}]}",1,CDgbhX61QFADQAeeYKP5BQ7nnzDyMkkR3NEhYF2ETn1k,1,{},False,"{'auctionHouseKey': 'E8cU1WiRWjanGxmn96ewBgk9vPTcL6AEZ1t6F6fkgUWe', 'sellerReferral': 'autMW8SgBkVYeBgqYiTuJZnkvDZMVU2MHJh9Jh7CSQ2', 'expiry': -1}",{}
6,v5DnR73NYwHRUAqWS76UBaP7ej41yDushuPe99H88dW,40.0,9rY1U5HBjdmx7WPZKRFbthoZ35ATERmFF4StmEGbgA3j,2HRkGbZzTuqvLhhKHNAHnosH1H6BuNfkWHvVkiw7rusP,taiyo_infants_incubators,Taiyo Infants/Incubators,https://taiyoinfants.s3.us-east-2.amazonaws.com/images_b/incubator.gif,TYR-Incubator-0810,"An incubator that spawns an infant Taiyo after 30 days, the more rare the parents the more chance of the spawn being rare. To find out how much time the incubator will take to spawn into a infant and who the parents are please head to http://incubation.taiyorobotics.com/ and type the NFT name into the Incubator Explorer",image,"[{'address': 'AH3s6T27K49REsRg3jjvHP8eUpnT2jMnUhLU4RW7oxxR', 'verified': 1, 'share': 0}, {'address': 'CDgbhX61QFADQAeeYKP5BQ7nnzDyMkkR3NEhYF2ETn1k', 'verified': 0, 'share': 100}]",500,3LH1Mi52LXiHMNE33EtxHvfRJXyHtyUKSjmKawCavbmC,"[{'trait_type': 'Type', 'value': 'Incubator'}]","{'files': [{'uri': 'https://taiyoinfants.s3.us-east-2.amazonaws.com/images_b/incubator.gif', 'type': 'image/gif'}], 'category': 'image', 'creators': [{'address': 'CDgbhX61QFADQAeeYKP5BQ7nnzDyMkkR3NEhYF2ETn1k', 'share': 100}]}",1,CDgbhX61QFADQAeeYKP5BQ7nnzDyMkkR3NEhYF2ETn1k,1,{},False,"{'auctionHouseKey': 'E8cU1WiRWjanGxmn96ewBgk9vPTcL6AEZ1t6F6fkgUWe', 'sellerReferral': 'autMW8SgBkVYeBgqYiTuJZnkvDZMVU2MHJh9Jh7CSQ2', 'expiry': -1}",{}
7,HuWkmHDoCEkvLe95wMz6YaEmRoaDGQiXBHArvHPZdKGF,40.0,EpYgPNkDikzUiqMEQ1q3ACn2omKnBvxY5pk2qNQkgCQD,3pg7TAWzCGB1xoRNrN9duDTLr1Art2Z2vtSmy5GWVnHc,taiyo_infants_incubators,Taiyo Infants/Incubators,https://arweave.net/A96mzqxhyQy2CcdSpXcM34mbdRCoCGZx1ell1u19E20,TYR-Infant-0165,Taiyo infant hatched after 30 days of Incubation,image,"[{'address': 'AH3s6T27K49REsRg3jjvHP8eUpnT2jMnUhLU4RW7oxxR', 'verified': 1, 'share': 0}, {'address': 'CDgbhX61QFADQAeeYKP5BQ7nnzDyMkkR3NEhYF2ETn1k', 'verified': 0, 'share': 100}]",500,4sf4h3xXM2EStgWdiFtet49fGTq9g5DtmbyqCSEYAo48,"[{'trait_type': 'Background', 'value': 'Insepushon'}, {'trait_type': 'Breastplate', 'value': 'Erito'}, {'trait_type': 'Energy-source', 'value': 'Kori'}, {'trait_type': 'Head', 'value': 'Shirei-kan'}, {'trait_type': 'Shoulder', 'value': 'Buruza'}, {'trait_type': 'Visor', 'value': 'Supaidaai'}]","{'files': [{'uri': 'https://arweave.net/A96mzqxhyQy2CcdSpXcM34mbdRCoCGZx1ell1u19E20', 'type': 'image/png'}], 'category': 'image', 'creators': [{'address': 'CDgbhX61QFADQAeeYKP5BQ7nnzDyMkkR3NEhYF2ETn1k', 'share': 100}]}",1,CDgbhX61QFADQAeeYKP5BQ7nnzDyMkkR3NEhYF2ETn1k,1,{},False,"{'auctionHouseKey': 'E8cU1WiRWjanGxmn96ewBgk9vPTcL6AEZ1t6F6fkgUWe', 'sellerReferral': 'autMW8SgBkVYeBgqYiTuJZnkvDZMVU2MHJh9Jh7CSQ2', 'expiry': -1}",{}
8,2wRKQvHrzWFkD8abDDXktGmjcjtSnU65n6Hk8UxyPpsw,40.5,3wKLkk2g5FCUkbBcwQcrruhFoL7cU5aEqdnT5jvh1EW9,HW8arkg5ibsjhBbidJYmoakSDXi94NQrjqbFK4UWrEaR,taiyo_infants_incubators,Taiyo Infants/Incubators,https://taiyoinfants.s3.us-east-2.amazonaws.com/images_b/incubator.gif,TYR-Incubator-0799,"An incubator that spawns an infant Taiyo after 30 days, the more rare the parents the more chance of the spawn being rare. To find out how much time the incubator will take to spawn into a infant and who the parents are please head to http://incubation.taiyorobotics.com/ and type the NFT name into the Incubator Explorer",image,"[{'address': 'AH3s6T27K49REsRg3jjvHP8eUpnT2jMnUhLU4RW7oxxR', 'verified': 1, 'share': 0}, {'address': 'CDgbhX61QFADQAeeYKP5BQ7nnzDyMkkR3NEhYF2ETn1k', 'verified': 0, 'share': 100}]",500,8jTgvLDqhwQJG9PQcFrsvvj4MH4Ksk8FXirH2s5RxZxX,"[{'trait_type': 'Type', 'value': 'Incubator'}]","{'files': [{'uri': 'https://taiyoinfants.s3.us-east-2.amazonaws.com/images_b/incubator.gif', 'type': 'image/gif'}], 'category': 'image', 'creators': [{'address': 'CDgbhX61QFADQAeeYKP5BQ7nnzDyMkkR3NEhYF2ETn1k', 'share': 100}]}",1,CDgbhX61QFADQAeeYKP5BQ7nnzDyMkkR3NEhYF2ETn1k,1,{},False,"{'auctionHouseKey': 'E8cU1WiRWjanGxmn96ewBgk9vPTcL6AEZ1t6F6fkgUWe', 'sellerReferral': 'autMW8SgBkVYeBgqYiTuJZnkvDZMVU2MHJh9Jh7CSQ2', 'expiry': -1}",{}
9,6NER173w7nyRufPgWMpychu39YHMJNuPsDKpo9bur4e3,41.0,GdpygV1DWx3PzVnwLn5SGpXYfEveat4HthPBKJnSbujp,CbeAvMGGr2MEuKkNiXJwNscGZDMSYpQGLmfCaUqFdNab,taiyo_infants_incubators,Taiyo Infants/Incubators,https://arweave.net/NascWOB7OV74TrhSb_ERKQ3CfcEBeYd9xKEkJWgCp4Q,TYR-Infant-0068,Taiyo infant hatched after 30 days of Incubation,image,"[{'address': 'AH3s6T27K49REsRg3jjvHP8eUpnT2jMnUhLU4RW7oxxR', 'verified': 1, 'share': 0}, {'address': 'CDgbhX61QFADQAeeYKP5BQ7nnzDyMkkR3NEhYF2ETn1k', 'verified': 0, 'share': 100}]",500,C96qmDsMwYcyMoffbeJK5FRyBsb4cWZiHqBm5RvQsk9C,"[{'trait_type': 'Background', 'value': 'Konaria'}, {'trait_type': 'Breastplate', 'value': 'Kirei'}, {'trait_type': 'Energy-source', 'value': 'Shi'}, {'trait_type': 'Head', 'value': 'Shirei-kan'}, {'trait_type': 'Shoulder', 'value': 'Kenkyo'}, {'trait_type': 'Visor', 'value': 'Sekigan'}]","{'files': [{'uri': 'https://arweave.net/NascWOB7OV74TrhSb_ERKQ3CfcEBeYd9xKEkJWgCp4Q', 'type': 'image/png'}], 'category': 'image', 'creators': [{'address': 'CDgbhX61QFADQAeeYKP5BQ7nnzDyMkkR3NEhYF2ETn1k', 'share': 100}]}",1,CDgbhX61QFADQAeeYKP5BQ7nnzDyMkkR3NEhYF2ETn1k,1,{},False,"{'auctionHouseKey': 'E8cU1WiRWjanGxmn96ewBgk9vPTcL6AEZ1t6F6fkgUWe', 'sellerReferral': 'autMW8SgBkVYeBgqYiTuJZnkvDZMVU2MHJh9Jh7CSQ2', 'expiry': -1}",{}
10,8tDUCgxALJpEk5y9AmpcV64rYtYiURrqGcZB6FXKwKaQ,42.0,G3pPU4hSkcd6EMcbgvUomeFpqPHj3posG9wTZQn2iCnH,3Fv9YppPQ8Z1p3j3vDT8TGhVqmdNnREmQsW94Wvhg8nh,taiyo_infants_incubators,Taiyo Infants/Incubators,https://arweave.net/oAWLypPRenF7tcpR2_vcR7lNZOBwM1sBxOEy4GOJq7M,TYR-Infant-0429,Taiyo infant hatched after 30 days of Incubation,image,"[{'address': 'AH3s6T27K49REsRg3jjvHP8eUpnT2jMnUhLU4RW7oxxR', 'verified': 1, 'share': 0}, {'address': 'CDgbhX61QFADQAeeYKP5BQ7nnzDyMkkR3NEhYF2ETn1k', 'verified': 0, 'share': 100}]",500,2RjUD29iPwEhcz9mp5MN2tRxyazj4b9fQ64WMpz2g7Zj,"[{'trait_type': 'Background', 'value': 'Retoro'}, {'trait_type': 'Breastplate', 'value': 'Nafu'}, {'trait_type': 'Energy-source', 'value': 'Tsuki'}, {'trait_type': 'Head', 'value': 'Kurosobon'}, {'trait_type': 'Shoulder', 'value': 'Bafu'}, {'trait_type': 'Visor', 'value': 'Supaidaai'}]","{'files': [{'uri': 'https://arweave.net/oAWLypPRenF7tcpR2_vcR7lNZOBwM1sBxOEy4GOJq7M', 'type': 'image/png'}], 'category': 'image', 'creators': [{'address': 'CDgbhX61QFADQAeeYKP5BQ7nnzDyMkkR3NEhYF2ETn1k', 'share': 100}]}",1,CDgbhX61QFADQAeeYKP5BQ7nnzDyMkkR3NEhYF2ETn1k,1,{},False,"{'auctionHouseKey': 'E8cU1WiRWjanGxmn96ewBgk9vPTcL6AEZ1t6F6fkgUWe', 'sellerReferral': 'autMW8SgBkVYeBgqYiTuJZnkvDZMVU2MHJh9Jh7CSQ2', 'expiry': -1}",{}
11,VCqb99vZpLKuUh9Y7pJU5JKz6oHAYRgD78w9VGFsjXx,43.5,CVTsV79LJkD74Cd2LizT5aoynfb9FowbKUd135xtzqsd,99eCE7Po2wQ1UouCBKkrj1idHHvNHjVq8FaUzoRoe3WR,taiyo_infants_incubators,Taiyo Infants/Incubators,https://taiyoinfants.s3.us-east-2.amazonaws.com/images_b/incubator.gif,TYR-Incubator-0998,"An incubator that spawns an infant Taiyo after 30 days, the more rare the parents the more chance of the spawn being rare. To find out how much time the incubator will take to spawn into a infant and who the parents are please head to http://incubation.taiyorobotics.com/ and type the NFT name into the Incubator Explorer",image,"[{'address': 'AH3s6T27K49REsRg3jjvHP8eUpnT2jMnUhLU4RW7oxxR', 'verified': 1, 'share': 0}, {'address': 'CDgbhX61QFADQAeeYKP5BQ7nnzDyMkkR3NEhYF2ETn1k', 'verified': 0, 'share': 100}]",500,C99ZJj6rggWYfYdpa8jLW9PTXCCHRKVWJuMxTCZEsvam,"[{'trait_type': 'Type', 'value': 'Incubator'}]","{'files': [{'uri': 'https://taiyoinfants.s3.us-east-2.amazonaws.com/images_b/incubator.gif', 'type': 'image/gif'}], 'category': 'image', 'creators': [{'address': 'CDgbhX61QFADQAeeYKP5BQ7nnzDyMkkR3NEhYF2ETn1k', 'share': 100}]}",1,CDgbhX61QFADQAeeYKP5BQ7nnzDyMkkR3NEhYF2ETn1k,1,{},False,"{'auctionHouseKey': 'E8cU1WiRWjanGxmn96ewBgk9vPTcL6AEZ1t6F6fkgUWe', 'sellerReferral': 'autMW8SgBkVYeBgqYiTuJZnkvDZMVU2MHJh9Jh7CSQ2', 'expiry': -1}",{}
12,D5NkfokKecWWLbGV11cSQ52nJGB4dwJejmTsV6YaZ17A,44.0,93VXbXVYpawavnR7VR3cS3PhsHGJM84vuY4iPAhF79N5,CF3N26CmBPvMZ8oBz77xMaEort47YQfXjWaE4RphHVpe,taiyo_infants_incubators,Taiyo Infants/Incubators,https://taiyoinfants.s3.us-east-2.amazonaws.com/images_b/incubator.gif,TYR-Incubator-0689,"An incubator that spawns an infant Taiyo after 30 days, the more rare the parents the more chance of the spawn being rare. To find out how much time the incubator will take to spawn into a infant and who the parents are please head to http://incubation.taiyorobotics.com/ and type the NFT name into the Incubator Explorer",image,"[{'address': 'AH3s6T27K49REsRg3jjvHP8eUpnT2jMnUhLU4RW7oxxR', 'verified': 1, 'share': 0}, {'address': 'CDgbhX61QFADQAeeYKP5BQ7nnzDyMkkR3NEhYF2ETn1k', 'verified': 0, 'share': 100}]",500,BoTmbRdh6jHxSVJFqMaZ1zyQTc74MrraiA2FLCKBJvsw,"[{'trait_type': 'Type', 'value': 'Incubator'}]","{'files': [{'uri': 'https://taiyoinfants.s3.us-east-2.amazonaws.com/images_b/incubator.gif', 'type': 'image/gif'}], 'category': 'image', 'creators': [{'address': 'CDgbhX61QFADQAeeYKP5BQ7nnzDyMkkR3NEhYF2ETn1k', 'share': 100}]}",1,CDgbhX61QFADQAeeYKP5BQ7nnzDyMkkR3NEhYF2ETn1k,1,{},False,"{'auctionHouseKey': 'E8cU1WiRWjanGxmn96ewBgk9vPTcL6AEZ1t6F6fkgUWe', 'sellerReferral': 'autMW8SgBkVYeBgqYiTuJZnkvDZMVU2MHJh9Jh7CSQ2', 'expiry': -1}",{}
13,GGWPds3gqVydp4DSDP3FQ1kWKeJnxmyu1pR9V8P5HhSg,44.0,4fkN7DSYJAqHNiyWj8R45Se2f7CgXrQkEgAuwJxmHhyC,Poc3F21LL6fiHG1Eg9StxqHcLQ9BYreAhzXfRjY2Am7,taiyo_infants_incubators,Taiyo Infants/Incubators,https://arweave.net/R__DCjmv-In509tQfsjO8i1drNiLAL7ge17wG5Jf_ww,TYR-Infant-0477,Taiyo infant hatched after 30 days of Incubation,image,"[{'address': 'AH3s6T27K49REsRg3jjvHP8eUpnT2jMnUhLU4RW7oxxR', 'verified': 1, 'share': 0}, {'address': 'CDgbhX61QFADQAeeYKP5BQ7nnzDyMkkR3NEhYF2ETn1k', 'verified': 0, 'share': 100}]",500,sgH7sqPoGpu17jeZ1DsGJ2WDoJ23jXtSxPAuo2fVL9M,"[{'trait_type': 'Background', 'value': 'Reizo'}, {'trait_type': 'Breastplate', 'value': 'Kumo'}, {'trait_type': 'Energy-source', 'value': 'Ying Yang'}, {'trait_type': 'Head', 'value': 'Kyojin'}, {'trait_type': 'Shoulder', 'value': ""Yukan'na""}, {'trait_type': 'Visor', 'value': 'Gurinrantan'}]","{'files': [{'uri': 'https://arweave.net/R__DCjmv-In509tQfsjO8i1drNiLAL7ge17wG5Jf_ww', 'type': 'image/png'}], 'category': 'image', 'creators': [{'address': 'CDgbhX61QFADQAeeYKP5BQ7nnzDyMkkR3NEhYF2ETn1k', 'share': 100}]}",1,CDgbhX61QFADQAeeYKP5BQ7nnzDyMkkR3NEhYF2ETn1k,1,{},False,"{'auctionHouseKey': 'E8cU1WiRWjanGxmn96ewBgk9vPTcL6AEZ1t6F6fkgUWe', 'sellerReferral': 'autMW8SgBkVYeBgqYiTuJZnkvDZMVU2MHJh9Jh7CSQ2', 'expiry': -1}",{}
14,3cMQWBziG2CojhNMGtqjV6SsUbxNb14CBz8qCDabnSK1,44.99,Csps9d6nkWTT25rJHz9YcAiaDCJeLmE46jd1CJxAeusV,HQiuDw6omZv1DcXw3WGgM3SFrcWUU1vBRBFaxMcwcR7J,taiyo_infants_incubators,Taiyo Infants/Incubators,https://arweave.net/mHDUj2i-IVxyxBF6_cpvCz-6pHVsH-eHBg1mIE1L1nU,TYR-Infant-0507,Taiyo infant hatched after 30 days of Incubation,image,"[{'address': 'AH3s6T27K49REsRg3jjvHP8eUpnT2jMnUhLU4RW7oxxR', 'verified': 1, 'share': 0}, {'address': 'CDgbhX61QFADQAeeYKP5BQ7nnzDyMkkR3NEhYF2ETn1k', 'verified': 0, 'share': 100}]",500,9JGFMmDUf6TNnqTBNQqJGa7g5S4yASWebT6JTpA577Po,"[{'trait_type': 'Background', 'value': 'Dosei'}, {'trait_type': 'Breastplate', 'value': 'Aoi Kori'}, {'trait_type': 'Energy-source', 'value': 'Jonetsu'}, {'trait_type': 'Head', 'value': 'Aoi'}, {'trait_type': 'Shoulder', 'value': 'Bafu'}, {'trait_type': 'Visor', 'value': 'Shuchu'}]","{'files': [{'uri': 'https://arweave.net/mHDUj2i-IVxyxBF6_cpvCz-6pHVsH-eHBg1mIE1L1nU', 'type': 'image/png'}], 'category': 'image', 'creators': [{'address': 'CDgbhX61QFADQAeeYKP5BQ7nnzDyMkkR3NEhYF2ETn1k', 'share': 100}]}",1,CDgbhX61QFADQAeeYKP5BQ7nnzDyMkkR3NEhYF2ETn1k,1,{},False,"{'auctionHouseKey': 'E8cU1WiRWjanGxmn96ewBgk9vPTcL6AEZ1t6F6fkgUWe', 'sellerReferral': 'autMW8SgBkVYeBgqYiTuJZnkvDZMVU2MHJh9Jh7CSQ2', 'expiry': -1}",{}
