,id,price,escrowPubkey,owner,collectionName,collectionTitle,img,title,content,externalURL,propertyCategory,creators,sellerFeeBasisPoints,mintAddress,attributes,properties,supply,updateAuthority,primarySaleHappened,onChainCollection,tokenDelegateValid,v2,rarity
0,DpzKjPrgUFPZL6NpSLExwG5iG69FkMMbyRVVcV4EBhXE,1.09,4W9Jbqq2EiRurK9zC5EUd9SKdzfFevg2sbFUy8k2Psvd,84DVu3NTH2MiWmWxuzWzDGrYxyALA4myvFa18fzypoqY,the_fellowship,The Fellowship,https://www.arweave.net/gr9U80C33QGdOpDiW4hvNGvAb0Z1cYDqlkmk5KXPFQY?ext=png,OG Fellow #3079,"The Fellowship is a community of creators, artists, developers, and Solana enthusiasts, who are building tools to positively impact the Solana NFT ecosystem.",https://fellowshipdao.com/,image,"[{'address': 'GDpUMAYYcFxiKc3bqjZR3TDrnZsNw53a4yKdLytGNcRT', 'verified': 1, 'share': 0}, {'address': '86AxRRykFLUsnNFPxHxmpCtg8xM8BdCwCXz2urYYxYSH', 'verified': 0, 'share': 100}]",700,3sTdM7hrkZfZL2CW2zBKFZXyZejBWE1jX3mPCxWKWqcW,"[{'trait_type': 'Background', 'value': 'Crimson'}, {'trait_type': 'Armor', 'value': 'Solana Steel'}, {'trait_type': 'Skin', 'value': 'Light'}, {'trait_type': 'Weapon', 'value': 'Stone Morning Star'}, {'trait_type': 'Eyes', 'value': 'White'}, {'trait_type': 'Hair', 'value': 'Brown'}, {'trait_type': 'Accessory', 'value': 'None'}, {'trait_type': 'Guild', 'value': 'Gnome'}]","{'files': [{'uri': 'https://www.arweave.net/gr9U80C33QGdOpDiW4hvNGvAb0Z1cYDqlkmk5KXPFQY?ext=png', 'type': 'image/png'}], 'category': 'image', 'creators': [{'address': '86AxRRykFLUsnNFPxHxmpCtg8xM8BdCwCXz2urYYxYSH', 'share': 100}]}",1,9tqDoTaTnM1VVDgcvSGs9NvbvJtWUNHb4BsSagxaeoSJ,1,{},False,"{'auctionHouseKey': 'E8cU1WiRWjanGxmn96ewBgk9vPTcL6AEZ1t6F6fkgUWe', 'sellerReferral': 'autMW8SgBkVYeBgqYiTuJZnkvDZMVU2MHJh9Jh7CSQ2', 'expiry': -1}","{'moonrank': {'rank': 2920}, 'howrare': {'rank': 1955}}"
1,FoQJxB9vbsvQfSn1W4nZCXUrgWc8KS8myh4pqsXfLDyD,1.09,FqeXj5fM8TnWkY9cH5bvcEerNiaGKDY7RqMhcupvT33L,DdPfdDw84K5kL7uanj1pLpkUyq7Q11bfoT2waK7PTxcY,the_fellowship,The Fellowship,https://www.arweave.net/szC6L-Lf47R1AgnVQKNyl5wDGhWk-DOYxp-njiNwQCM?ext=png,OG Fellow #649,"The Fellowship is a community of creators, artists, developers, and Solana enthusiasts, who are building tools to positively impact the Solana NFT ecosystem.",https://fellowshipdao.com/,image,"[{'address': 'GDpUMAYYcFxiKc3bqjZR3TDrnZsNw53a4yKdLytGNcRT', 'verified': 1, 'share': 0}, {'address': '86AxRRykFLUsnNFPxHxmpCtg8xM8BdCwCXz2urYYxYSH', 'verified': 0, 'share': 100}]",700,49kmamxZkfdojofGogkxXsdyGs6R83SUiHNegE1371Hv,"[{'trait_type': 'Background', 'value': 'Purple Haze'}, {'trait_type': 'Bow', 'value': 'None'}, {'trait_type': 'Clothing', 'value': 'Woodlands Green'}, {'trait_type': 'Skin', 'value': 'Tan'}, {'trait_type': 'Hair', 'value': 'Blonde Ponytail'}, {'trait_type': 'Mouth', 'value': 'Surprised'}, {'trait_type': 'Eyes', 'value': 'Purple'}, {'trait_type': 'Guild', 'value': 'Elf'}]","{'files': [{'uri': 'https://www.arweave.net/szC6L-Lf47R1AgnVQKNyl5wDGhWk-DOYxp-njiNwQCM?ext=png', 'type': 'image/png'}], 'category': 'image', 'creators': [{'address': '86AxRRykFLUsnNFPxHxmpCtg8xM8BdCwCXz2urYYxYSH', 'share': 100}]}",1,9tqDoTaTnM1VVDgcvSGs9NvbvJtWUNHb4BsSagxaeoSJ,1,{},False,"{'auctionHouseKey': 'E8cU1WiRWjanGxmn96ewBgk9vPTcL6AEZ1t6F6fkgUWe', 'sellerReferral': 'autMW8SgBkVYeBgqYiTuJZnkvDZMVU2MHJh9Jh7CSQ2', 'expiry': -1}","{'moonrank': {'rank': 6029}, 'howrare': {'rank': 6425}}"
2,DvMqAUkKKQE9irWJBkXWsVwAhxgro9tYXXZp8Zt9Yxtg,1.1,EJiuLUvpWmL5api2wCwJ1D4T622DLsLX6b4PdRF4HoZa,AkZgFGBVvXCxMsPcS6nd4cmoZJuUkJs61gvLheJMkHKz,the_fellowship,The Fellowship,https://www.arweave.net/LzgeE0intKpbDMWLs0mpZm9DPD1RYtHLMCxNSF7a39M?ext=png,OG Fellow #2007,"The Fellowship is a community of creators, artists, developers, and Solana enthusiasts, who are building tools to positively impact the Solana NFT ecosystem.",https://fellowshipdao.com/,image,"[{'address': 'GDpUMAYYcFxiKc3bqjZR3TDrnZsNw53a4yKdLytGNcRT', 'verified': 1, 'share': 0}, {'address': '86AxRRykFLUsnNFPxHxmpCtg8xM8BdCwCXz2urYYxYSH', 'verified': 0, 'share': 100}]",700,2rQudPHkemwwe9iNVEkwiAM2NVRYqu8kYKVv448rUgk3,"[{'trait_type': 'Background', 'value': 'Purple Haze'}, {'trait_type': 'Armor', 'value': 'Solana Steel'}, {'trait_type': 'Skin', 'value': 'Light'}, {'trait_type': 'Weapon', 'value': 'None'}, {'trait_type': 'Eyes', 'value': 'White'}, {'trait_type': 'Hair', 'value': 'Brown'}, {'trait_type': 'Accessory', 'value': 'None'}, {'trait_type': 'Guild', 'value': 'Gnome'}]","{'files': [{'uri': 'https://www.arweave.net/LzgeE0intKpbDMWLs0mpZm9DPD1RYtHLMCxNSF7a39M?ext=png', 'type': 'image/png'}], 'category': 'image', 'creators': [{'address': '86AxRRykFLUsnNFPxHxmpCtg8xM8BdCwCXz2urYYxYSH', 'share': 100}]}",1,9tqDoTaTnM1VVDgcvSGs9NvbvJtWUNHb4BsSagxaeoSJ,1,{},False,"{'auctionHouseKey': 'E8cU1WiRWjanGxmn96ewBgk9vPTcL6AEZ1t6F6fkgUWe', 'sellerReferral': 'autMW8SgBkVYeBgqYiTuJZnkvDZMVU2MHJh9Jh7CSQ2', 'expiry': -1}","{'moonrank': {'rank': 6316}, 'howrare': {'rank': 3696}}"
3,7UY6GKeCt1YwtqbcGS4EEY9MkLhRQ76tLDSmJSHoULTj,1.1,Gu4piJcf42mkhcHjPozriBLGKthztdgvABiyYsdC6mS2,ArvhYryiDr9SbpKmULdKMmwXFvFf4nBj9QLDtk6mEa8a,the_fellowship,The Fellowship,https://www.arweave.net/xYGT--6zld59xw2JCNxzhx2wvlvxhTajN0eUh-x72d8?ext=png,OG Fellow #3571,"The Fellowship is a community of creators, artists, developers, and Solana enthusiasts, who are building tools to positively impact the Solana NFT ecosystem.",https://fellowshipdao.com/,image,"[{'address': 'GDpUMAYYcFxiKc3bqjZR3TDrnZsNw53a4yKdLytGNcRT', 'verified': 1, 'share': 0}, {'address': '86AxRRykFLUsnNFPxHxmpCtg8xM8BdCwCXz2urYYxYSH', 'verified': 0, 'share': 100}]",700,ChXGi19qZwCdd9SHbVeA9XUJEK23McosN5C8gCNYfNeE,"[{'trait_type': 'Background', 'value': 'Purple Haze'}, {'trait_type': 'Armor', 'value': 'Black Scale Mail'}, {'trait_type': 'Skin', 'value': 'Light'}, {'trait_type': 'Weapon', 'value': 'Midnight Pernach'}, {'trait_type': 'Eyes', 'value': 'Purple'}, {'trait_type': 'Hair', 'value': 'Dark Brown'}, {'trait_type': 'Accessory', 'value': 'None'}, {'trait_type': 'Guild', 'value': 'Gnome'}]","{'files': [{'uri': 'https://www.arweave.net/xYGT--6zld59xw2JCNxzhx2wvlvxhTajN0eUh-x72d8?ext=png', 'type': 'image/png'}], 'category': 'image', 'creators': [{'address': '86AxRRykFLUsnNFPxHxmpCtg8xM8BdCwCXz2urYYxYSH', 'share': 100}]}",1,9tqDoTaTnM1VVDgcvSGs9NvbvJtWUNHb4BsSagxaeoSJ,1,{},False,"{'auctionHouseKey': 'E8cU1WiRWjanGxmn96ewBgk9vPTcL6AEZ1t6F6fkgUWe', 'sellerReferral': 'autMW8SgBkVYeBgqYiTuJZnkvDZMVU2MHJh9Jh7CSQ2', 'expiry': -1}","{'moonrank': {'rank': 6268}, 'howrare': {'rank': 5937}}"
4,DAxUosYs158wDCe6ztTmjMVpncZqujTnF7vTBa9Q6c4J,1.12,HKhKDeziqHWrUcZpVq8bLZY5rkhHKPo9ySjbAZadV7Hb,3gJg5mQrus2qyvAWZcJRU1anqDwDL9d1ZiBkfXTkwR4v,the_fellowship,The Fellowship,https://www.arweave.net/UK8tDbeUkSPH-oy7PjVe-SH5JXYaauxjXDBdAVh15I0?ext=png,OG Fellow #5502,"The Fellowship is a community of creators, artists, developers, and Solana enthusiasts, who are building tools to positively impact the Solana NFT ecosystem.",https://fellowshipdao.com/,image,"[{'address': 'GDpUMAYYcFxiKc3bqjZR3TDrnZsNw53a4yKdLytGNcRT', 'verified': 1, 'share': 0}, {'address': '86AxRRykFLUsnNFPxHxmpCtg8xM8BdCwCXz2urYYxYSH', 'verified': 0, 'share': 100}]",700,BQgwxBND6pEUKXEHRreizWTLAUse5HXfzHBBnBhjKg78,"[{'trait_type': 'Background', 'value': 'Glacier Blue'}, {'trait_type': 'Weapon', 'value': 'None'}, {'trait_type': 'Armor', 'value': 'Blue Steel Plated'}, {'trait_type': 'Face', 'value': 'Dark'}, {'trait_type': 'Mouth', 'value': 'Smiling'}, {'trait_type': 'Hair', 'value': 'Black Beard'}, {'trait_type': 'Secondary Weapon', 'value': 'Blue Shield'}, {'trait_type': 'Eyes', 'value': 'Green'}, {'trait_type': 'Guild', 'value': 'Warrior'}]","{'files': [{'uri': 'https://www.arweave.net/UK8tDbeUkSPH-oy7PjVe-SH5JXYaauxjXDBdAVh15I0?ext=png', 'type': 'image/png'}], 'category': 'image', 'creators': [{'address': '86AxRRykFLUsnNFPxHxmpCtg8xM8BdCwCXz2urYYxYSH', 'share': 100}]}",1,9tqDoTaTnM1VVDgcvSGs9NvbvJtWUNHb4BsSagxaeoSJ,1,{},False,"{'auctionHouseKey': 'E8cU1WiRWjanGxmn96ewBgk9vPTcL6AEZ1t6F6fkgUWe', 'sellerReferral': 'autMW8SgBkVYeBgqYiTuJZnkvDZMVU2MHJh9Jh7CSQ2', 'expiry': -1}","{'moonrank': {'rank': 3486}, 'howrare': {'rank': 4904}}"
5,7iXC37NZV3HcLm9HtXTpV66i8HUgZXQE8zAMUmcMy1Wx,1.13,AGfWg3VnvuwbMQDLm4Ui66ZmGFPheRU6wA6YmzrgRoK6,6fzc696s165Ez4jchBFvbnUcoAUSwRvLCMJGWpoLhzAK,the_fellowship,The Fellowship,https://www.arweave.net/6bhV-CwfLXGknyqDfDc3EmVkbUUKmHWkIOhfRe0Z3Tk?ext=png,OG Fellow #3964,"The Fellowship is a community of creators, artists, developers, and Solana enthusiasts, who are building tools to positively impact the Solana NFT ecosystem.",https://fellowshipdao.com/,image,"[{'address': 'GDpUMAYYcFxiKc3bqjZR3TDrnZsNw53a4yKdLytGNcRT', 'verified': 1, 'share': 0}, {'address': '86AxRRykFLUsnNFPxHxmpCtg8xM8BdCwCXz2urYYxYSH', 'verified': 0, 'share': 100}]",700,C74YM3Z6yJcoWyxz7xP2bdY6y1xCH1o7dBuMmR23geRf,"[{'trait_type': 'Background', 'value': 'Cyan'}, {'trait_type': 'Weapon', 'value': 'None'}, {'trait_type': 'Armor', 'value': 'Blue Steel Plated'}, {'trait_type': 'Face', 'value': 'Light'}, {'trait_type': 'Mouth', 'value': 'Relaxed'}, {'trait_type': 'Hair', 'value': 'Light Brown'}, {'trait_type': 'Secondary Weapon', 'value': 'Dagger'}, {'trait_type': 'Eyes', 'value': 'White'}, {'trait_type': 'Guild', 'value': 'Warrior'}]","{'files': [{'uri': 'https://www.arweave.net/6bhV-CwfLXGknyqDfDc3EmVkbUUKmHWkIOhfRe0Z3Tk?ext=png', 'type': 'image/png'}], 'category': 'image', 'creators': [{'address': '86AxRRykFLUsnNFPxHxmpCtg8xM8BdCwCXz2urYYxYSH', 'share': 100}]}",1,9tqDoTaTnM1VVDgcvSGs9NvbvJtWUNHb4BsSagxaeoSJ,1,{},False,"{'auctionHouseKey': 'E8cU1WiRWjanGxmn96ewBgk9vPTcL6AEZ1t6F6fkgUWe', 'sellerReferral': 'autMW8SgBkVYeBgqYiTuJZnkvDZMVU2MHJh9Jh7CSQ2', 'expiry': -1}","{'moonrank': {'rank': 2318}, 'howrare': {'rank': 4271}}"
6,86bASczsN8RSADeCpvnC2CehwJt3dduuTbWf7yf1x3WL,1.15,DuuPSyQWvjwu4xFkdBcryzoopnfEjPtW4B5YrmVff27S,CcoSE11NnLyfRDpquuK3VU6tM357dFyGgE7fYCuotxQ,the_fellowship,The Fellowship,https://www.arweave.net/89yHpTM1iI04DaIDh3qro82B2m9n09gyC7ucliz-4o0?ext=png,OG Fellow #3243,"The Fellowship is a community of creators, artists, developers, and Solana enthusiasts, who are building tools to positively impact the Solana NFT ecosystem.",https://fellowshipdao.com/,image,"[{'address': 'GDpUMAYYcFxiKc3bqjZR3TDrnZsNw53a4yKdLytGNcRT', 'verified': 1, 'share': 0}, {'address': '86AxRRykFLUsnNFPxHxmpCtg8xM8BdCwCXz2urYYxYSH', 'verified': 0, 'share': 100}]",700,7J4bfowbSb3QVexnDzzgpZFc6QtfePm6UCpSdhybZZK,"[{'trait_type': 'Background', 'value': 'Blue Violet'}, {'trait_type': 'Armor', 'value': 'Black Scale Mail'}, {'trait_type': 'Skin', 'value': 'Light'}, {'trait_type': 'Weapon', 'value': 'Midnight Pernach'}, {'trait_type': 'Eyes', 'value': 'Violet'}, {'trait_type': 'Hair', 'value': 'Brown'}, {'trait_type': 'Accessory', 'value': 'Purple Shield'}, {'trait_type': 'Guild', 'value': 'Gnome'}]","{'files': [{'uri': 'https://www.arweave.net/89yHpTM1iI04DaIDh3qro82B2m9n09gyC7ucliz-4o0?ext=png', 'type': 'image/png'}], 'category': 'image', 'creators': [{'address': '86AxRRykFLUsnNFPxHxmpCtg8xM8BdCwCXz2urYYxYSH', 'share': 100}]}",1,9tqDoTaTnM1VVDgcvSGs9NvbvJtWUNHb4BsSagxaeoSJ,1,{},False,"{'auctionHouseKey': 'E8cU1WiRWjanGxmn96ewBgk9vPTcL6AEZ1t6F6fkgUWe', 'sellerReferral': 'autMW8SgBkVYeBgqYiTuJZnkvDZMVU2MHJh9Jh7CSQ2', 'expiry': -1}","{'moonrank': {'rank': 2404}, 'howrare': {'rank': 1377}}"
7,5bqCAQgHuaza9dz3WMYwsJnMciyzEUPWMoUKAzq3xZjo,1.15,Dfx2SsPxmfL2abwyu26L6fcWK1GDxfgMcbg4JWXtC5MB,CcoSE11NnLyfRDpquuK3VU6tM357dFyGgE7fYCuotxQ,the_fellowship,The Fellowship,https://www.arweave.net/nRCjKTAc5J6vgD9p-XWtapRltytrDIbUxUXAMYT0rfk?ext=png,OG Fellow #5490,"The Fellowship is a community of creators, artists, developers, and Solana enthusiasts, who are building tools to positively impact the Solana NFT ecosystem.",https://fellowshipdao.com/,image,"[{'address': 'GDpUMAYYcFxiKc3bqjZR3TDrnZsNw53a4yKdLytGNcRT', 'verified': 1, 'share': 0}, {'address': '86AxRRykFLUsnNFPxHxmpCtg8xM8BdCwCXz2urYYxYSH', 'verified': 0, 'share': 100}]",700,6aTu3BqWE116BGejNx8x2aESd9fpzkgWrWKYi4TEB6z3,"[{'trait_type': 'Background', 'value': 'indigo'}, {'trait_type': 'Weapon', 'value': 'Sword'}, {'trait_type': 'Armor', 'value': 'Purple Fur'}, {'trait_type': 'Face', 'value': 'Dark'}, {'trait_type': 'Mouth', 'value': 'Surprised'}, {'trait_type': 'Hair', 'value': 'Brown'}, {'trait_type': 'Secondary Weapon', 'value': 'None'}, {'trait_type': 'Eyes', 'value': 'Green'}, {'trait_type': 'Guild', 'value': 'Warrior'}]","{'files': [{'uri': 'https://www.arweave.net/nRCjKTAc5J6vgD9p-XWtapRltytrDIbUxUXAMYT0rfk?ext=png', 'type': 'image/png'}], 'category': 'image', 'creators': [{'address': '86AxRRykFLUsnNFPxHxmpCtg8xM8BdCwCXz2urYYxYSH', 'share': 100}]}",1,9tqDoTaTnM1VVDgcvSGs9NvbvJtWUNHb4BsSagxaeoSJ,1,{},False,"{'auctionHouseKey': 'E8cU1WiRWjanGxmn96ewBgk9vPTcL6AEZ1t6F6fkgUWe', 'sellerReferral': 'autMW8SgBkVYeBgqYiTuJZnkvDZMVU2MHJh9Jh7CSQ2', 'expiry': -1}","{'moonrank': {'rank': 5115}, 'howrare': {'rank': 6395}}"
8,3udDPVEiX9Ai2EsdikoVPWRbbPXtHc1W8wD4WUkJjq3N,1.15,AGT2eCJ2Pm184eBmThz1gdH6VUBVzVEGN89nBRdwJDvX,CcoSE11NnLyfRDpquuK3VU6tM357dFyGgE7fYCuotxQ,the_fellowship,The Fellowship,https://www.arweave.net/6BG7gL_qTewVAWPAdf5wm6OqHz8h5CSaUB35ngBlBO8?ext=png,OG Fellow #1417,"The Fellowship is a community of creators, artists, developers, and Solana enthusiasts, who are building tools to positively impact the Solana NFT ecosystem.",https://fellowshipdao.com/,image,"[{'address': 'GDpUMAYYcFxiKc3bqjZR3TDrnZsNw53a4yKdLytGNcRT', 'verified': 1, 'share': 0}, {'address': '86AxRRykFLUsnNFPxHxmpCtg8xM8BdCwCXz2urYYxYSH', 'verified': 0, 'share': 100}]",700,ZL9q6tWc9mB3CAVhz5au8VqjdK6KGSisggtfV3pBuge,"[{'trait_type': 'Background', 'value': 'Purple Haze'}, {'trait_type': 'Bow', 'value': 'Artemis'}, {'trait_type': 'Clothing', 'value': 'Woodlands Blue'}, {'trait_type': 'Skin', 'value': 'Light'}, {'trait_type': 'Hair', 'value': 'Cyan Headband'}, {'trait_type': 'Mouth', 'value': 'Surprised'}, {'trait_type': 'Eyes', 'value': 'Green'}, {'trait_type': 'Guild', 'value': 'Elf'}]","{'files': [{'uri': 'https://www.arweave.net/6BG7gL_qTewVAWPAdf5wm6OqHz8h5CSaUB35ngBlBO8?ext=png', 'type': 'image/png'}], 'category': 'image', 'creators': [{'address': '86AxRRykFLUsnNFPxHxmpCtg8xM8BdCwCXz2urYYxYSH', 'share': 100}]}",1,9tqDoTaTnM1VVDgcvSGs9NvbvJtWUNHb4BsSagxaeoSJ,1,{},False,"{'auctionHouseKey': 'E8cU1WiRWjanGxmn96ewBgk9vPTcL6AEZ1t6F6fkgUWe', 'sellerReferral': 'autMW8SgBkVYeBgqYiTuJZnkvDZMVU2MHJh9Jh7CSQ2', 'expiry': -1}","{'moonrank': {'rank': 2262}, 'howrare': {'rank': 1341}}"
9,BJLsc7Sp1M4hYh91oPDt1m7GiFbz8gN5icCyzN1rw7jp,1.15,8CkKwGoUZYJnuLXE6LpLD7qKN3siUGB58M4g9foEJDng,CcoSE11NnLyfRDpquuK3VU6tM357dFyGgE7fYCuotxQ,the_fellowship,The Fellowship,https://www.arweave.net/4sKZBwKamvZKHjXQaFWpRSVudRMRahyIacTAwnOeWu8?ext=png,OG Fellow #1757,"The Fellowship is a community of creators, artists, developers, and Solana enthusiasts, who are building tools to positively impact the Solana NFT ecosystem.",https://fellowshipdao.com/,image,"[{'address': 'GDpUMAYYcFxiKc3bqjZR3TDrnZsNw53a4yKdLytGNcRT', 'verified': 1, 'share': 0}, {'address': '86AxRRykFLUsnNFPxHxmpCtg8xM8BdCwCXz2urYYxYSH', 'verified': 0, 'share': 100}]",700,DrnFsoTT1ALouXAMCnx1FtMAXHyJSF6KZXsv9sGJa3yw,"[{'trait_type': 'Background', 'value': 'Cyan'}, {'trait_type': 'Bow', 'value': 'Nightfall'}, {'trait_type': 'Clothing', 'value': 'Woodlands Purple'}, {'trait_type': 'Skin', 'value': 'Light'}, {'trait_type': 'Hair', 'value': 'Purple Ponytail'}, {'trait_type': 'Mouth', 'value': 'Smiling'}, {'trait_type': 'Eyes', 'value': 'Ice'}, {'trait_type': 'Guild', 'value': 'Elf'}]","{'files': [{'uri': 'https://www.arweave.net/4sKZBwKamvZKHjXQaFWpRSVudRMRahyIacTAwnOeWu8?ext=png', 'type': 'image/png'}], 'category': 'image', 'creators': [{'address': '86AxRRykFLUsnNFPxHxmpCtg8xM8BdCwCXz2urYYxYSH', 'share': 100}]}",1,9tqDoTaTnM1VVDgcvSGs9NvbvJtWUNHb4BsSagxaeoSJ,1,{},False,"{'auctionHouseKey': 'E8cU1WiRWjanGxmn96ewBgk9vPTcL6AEZ1t6F6fkgUWe', 'sellerReferral': 'autMW8SgBkVYeBgqYiTuJZnkvDZMVU2MHJh9Jh7CSQ2', 'expiry': -1}","{'moonrank': {'rank': 2927}, 'howrare': {'rank': 2988}}"
10,E1TxxZazMqDWEVJMPNtt2naGLcjo7qVK5sCXfyaaKDgV,1.15,CRRGPyAuvn4Cvaeoe53B3AN4dw3vHQ18i5KxCBf9vkR1,CcoSE11NnLyfRDpquuK3VU6tM357dFyGgE7fYCuotxQ,the_fellowship,The Fellowship,https://www.arweave.net/-wW4Q_wdACXlWW2vzQYewT0RerG5F2YoA3cq2XS7d5Y?ext=png,OG Fellow #1308,"The Fellowship is a community of creators, artists, developers, and Solana enthusiasts, who are building tools to positively impact the Solana NFT ecosystem.",https://fellowshipdao.com/,image,"[{'address': 'GDpUMAYYcFxiKc3bqjZR3TDrnZsNw53a4yKdLytGNcRT', 'verified': 1, 'share': 0}, {'address': '86AxRRykFLUsnNFPxHxmpCtg8xM8BdCwCXz2urYYxYSH', 'verified': 0, 'share': 100}]",700,FCH9g9uPEpYT1YJ7T1szpoUwT1iVgkGaSA2FWPRwkYHb,"[{'trait_type': 'Background', 'value': 'Cyan'}, {'trait_type': 'Bow', 'value': 'Ice'}, {'trait_type': 'Clothing', 'value': 'Galactic Dusk'}, {'trait_type': 'Skin', 'value': 'Dark'}, {'trait_type': 'Hair', 'value': 'Blue Headband'}, {'trait_type': 'Mouth', 'value': 'Neutral'}, {'trait_type': 'Eyes', 'value': 'Green'}, {'trait_type': 'Guild', 'value': 'Elf'}]","{'files': [{'uri': 'https://www.arweave.net/-wW4Q_wdACXlWW2vzQYewT0RerG5F2YoA3cq2XS7d5Y?ext=png', 'type': 'image/png'}], 'category': 'image', 'creators': [{'address': '86AxRRykFLUsnNFPxHxmpCtg8xM8BdCwCXz2urYYxYSH', 'share': 100}]}",1,9tqDoTaTnM1VVDgcvSGs9NvbvJtWUNHb4BsSagxaeoSJ,1,{},False,"{'auctionHouseKey': 'E8cU1WiRWjanGxmn96ewBgk9vPTcL6AEZ1t6F6fkgUWe', 'sellerReferral': 'autMW8SgBkVYeBgqYiTuJZnkvDZMVU2MHJh9Jh7CSQ2', 'expiry': -1}","{'moonrank': {'rank': 4049}, 'howrare': {'rank': 3608}}"
11,8PqZgUS1bbeBjYoDwS9fKfB7Tk2boGjbV9DsLb1eEgpD,1.15,8wzN6CmmKLAdnCcFjhsbjKYSDqAP8chbmkCesyEbCw5e,CcoSE11NnLyfRDpquuK3VU6tM357dFyGgE7fYCuotxQ,the_fellowship,The Fellowship,https://www.arweave.net/D4iPphR5nXYHy5Mc7liKqw6La07YGlFaoVPGsUbvOdE?ext=png,OG Fellow #2093,"The Fellowship is a community of creators, artists, developers, and Solana enthusiasts, who are building tools to positively impact the Solana NFT ecosystem.",https://fellowshipdao.com/,image,"[{'address': 'GDpUMAYYcFxiKc3bqjZR3TDrnZsNw53a4yKdLytGNcRT', 'verified': 1, 'share': 0}, {'address': '86AxRRykFLUsnNFPxHxmpCtg8xM8BdCwCXz2urYYxYSH', 'verified': 0, 'share': 100}]",700,p5eS7p4Lkdsu4nXJ5TFTnGrHULEMhAoFFXNmEkLRsXb,"[{'trait_type': 'Background', 'value': 'Crimson'}, {'trait_type': 'Armor', 'value': 'Black Scale Mail'}, {'trait_type': 'Skin', 'value': 'Dark'}, {'trait_type': 'Weapon', 'value': 'Steel Pernach'}, {'trait_type': 'Eyes', 'value': 'White'}, {'trait_type': 'Hair', 'value': 'Brown'}, {'trait_type': 'Accessory', 'value': 'Purple Shield'}, {'trait_type': 'Guild', 'value': 'Gnome'}]","{'files': [{'uri': 'https://www.arweave.net/D4iPphR5nXYHy5Mc7liKqw6La07YGlFaoVPGsUbvOdE?ext=png', 'type': 'image/png'}], 'category': 'image', 'creators': [{'address': '86AxRRykFLUsnNFPxHxmpCtg8xM8BdCwCXz2urYYxYSH', 'share': 100}]}",1,9tqDoTaTnM1VVDgcvSGs9NvbvJtWUNHb4BsSagxaeoSJ,1,{},False,"{'auctionHouseKey': 'E8cU1WiRWjanGxmn96ewBgk9vPTcL6AEZ1t6F6fkgUWe', 'sellerReferral': 'autMW8SgBkVYeBgqYiTuJZnkvDZMVU2MHJh9Jh7CSQ2', 'expiry': -1}","{'moonrank': {'rank': 2314}, 'howrare': {'rank': 1399}}"
12,GDbCxgcSRgZqMoxy3CcJ6J4CWSxvyDsyKMdcCEq1up6W,1.19,DDjo4LMQWJFCsSVG2gj9pRiprKM8ZTwnm46WL4WMad19,9TuqE8BhyHTV8PRNUsvnYr5aK766qF4BZEeppN7rytwi,the_fellowship,The Fellowship,https://www.arweave.net/DeNwnTFV-yvp3VdY0AddWpclbOjYGGDBsd7FkhczITg?ext=png,OG Fellow #645,"The Fellowship is a community of creators, artists, developers, and Solana enthusiasts, who are building tools to positively impact the Solana NFT ecosystem.",https://fellowshipdao.com/,image,"[{'address': 'GDpUMAYYcFxiKc3bqjZR3TDrnZsNw53a4yKdLytGNcRT', 'verified': 1, 'share': 0}, {'address': '86AxRRykFLUsnNFPxHxmpCtg8xM8BdCwCXz2urYYxYSH', 'verified': 0, 'share': 100}]",700,A6MqnfnqsoUhc2bq5gmhbBmjtCGtagPmjHCp8E6oK21A,"[{'trait_type': 'Background', 'value': 'Glacier Blue'}, {'trait_type': 'Bow', 'value': 'Indigo'}, {'trait_type': 'Clothing', 'value': 'Woodlands Green'}, {'trait_type': 'Skin', 'value': 'Light'}, {'trait_type': 'Hair', 'value': 'Blue Wavy'}, {'trait_type': 'Mouth', 'value': 'Surprised'}, {'trait_type': 'Eyes', 'value': 'Red'}, {'trait_type': 'Guild', 'value': 'Elf'}]","{'files': [{'uri': 'https://www.arweave.net/DeNwnTFV-yvp3VdY0AddWpclbOjYGGDBsd7FkhczITg?ext=png', 'type': 'image/png'}], 'category': 'image', 'creators': [{'address': '86AxRRykFLUsnNFPxHxmpCtg8xM8BdCwCXz2urYYxYSH', 'share': 100}]}",1,9tqDoTaTnM1VVDgcvSGs9NvbvJtWUNHb4BsSagxaeoSJ,1,{},False,"{'auctionHouseKey': 'E8cU1WiRWjanGxmn96ewBgk9vPTcL6AEZ1t6F6fkgUWe', 'sellerReferral': 'autMW8SgBkVYeBgqYiTuJZnkvDZMVU2MHJh9Jh7CSQ2', 'expiry': -1}",{'moonrank': {'rank': 2693}}
