,id,price,escrowPubkey,owner,collectionName,collectionTitle,img,title,content,externalURL,propertyCategory,creators,sellerFeeBasisPoints,mintAddress,attributes,properties,supply,updateAuthority,primarySaleHappened,onChainCollection,tokenDelegateValid,v2,rarity
0,E4yU1UniDT1Wk7iy8h8sShXfvuHD1ZsXJCg297RY1WEw,0.18,H4dbumUiFwxhHESC4a8SGHvASqqchy8DrNDNAzmYzcTK,7wTii3A6Whu9w8yfR1yuGfyEsNmLzo7ikbv3mttcBgoy,almost_famous_pandas,Almost Famous Pandas,https://bafybeievzt5mm7b3rnf6mybrxygzjuntpcnu2h77mepmfxtk2gjlqgjpnm.ipfs.dweb.link/7221.png?ext=png,Almost Famous Pandas #7222,,https://afpnft.com,image,"[{'address': 'A3YoUrpRZNMNvPAS7cpVQtYtF9iW5vdXcR4qTfanNL5j', 'verified': 1, 'share': 0}, {'address': 'RRUMF9KYPcvNSmnicNMAFKx5wDYix3wjNa6bA7R6xqA', 'verified': 0, 'share': 10}, {'address': 'DFvNsRC6ctWP9H627k1An4mjDEdyWSbNgwLKvL2DEyP6', 'verified': 0, 'share': 90}]",800,9tTXJseuKvne4Jw1oFyYzVSCX1qotLKch6sJzUBvSSC7,"[{'trait_type': 'Outfit', 'value': 'Black Suspender Suit'}, {'trait_type': 'Head', 'value': 'Beanie'}, {'trait_type': 'Glasses', 'value': 'None'}, {'trait_type': 'Eyes', 'value': 'Regular'}, {'trait_type': 'Extras', 'value': 'None'}, {'trait_type': 'Skin', 'value': 'None'}, {'trait_type': 'Mouth', 'value': 'Smile'}, {'trait_type': 'Body', 'value': 'Inverted'}, {'trait_type': 'Background', 'value': 'Purple'}, {'trait_type': 'Face', 'value': 'None'}]","{'category': 'image', 'creators': [{'address': 'RRUMF9KYPcvNSmnicNMAFKx5wDYix3wjNa6bA7R6xqA', 'share': 10}, {'address': 'DFvNsRC6ctWP9H627k1An4mjDEdyWSbNgwLKvL2DEyP6', 'share': 90}], 'files': [{'uri': 'https://bafybeievzt5mm7b3rnf6mybrxygzjuntpcnu2h77mepmfxtk2gjlqgjpnm.ipfs.dweb.link/7221.png?ext=png', 'type': 'image/png'}]}",1,HALWJKhdRPk79XnVMg5wozWhsZtUe4UwSTqvvRGRpyR1,1,{},False,"{'auctionHouseKey': 'E8cU1WiRWjanGxmn96ewBgk9vPTcL6AEZ1t6F6fkgUWe', 'sellerReferral': 'autMW8SgBkVYeBgqYiTuJZnkvDZMVU2MHJh9Jh7CSQ2', 'expiry': -1}",{'howrare': {'rank': 8109}}
1,GXrt6LFw6TeH6JYsDySvGwfSM5Ux8Zge5oPfRTxz1eDc,0.19,7zprqs4US2sN3Uvw6q6Z4zDYNpLPW9G6Bi8c9YyEZ2DR,7wTii3A6Whu9w8yfR1yuGfyEsNmLzo7ikbv3mttcBgoy,almost_famous_pandas,Almost Famous Pandas,https://bafybeibuxq6s7q3sdtoyynr6nsufxfhof7dxui3p5p2xltumottke3fthm.ipfs.dweb.link/7141.png?ext=png,Almost Famous Pandas #7142,,https://afpnft.com,image,"[{'address': 'A3YoUrpRZNMNvPAS7cpVQtYtF9iW5vdXcR4qTfanNL5j', 'verified': 1, 'share': 0}, {'address': 'RRUMF9KYPcvNSmnicNMAFKx5wDYix3wjNa6bA7R6xqA', 'verified': 0, 'share': 10}, {'address': 'DFvNsRC6ctWP9H627k1An4mjDEdyWSbNgwLKvL2DEyP6', 'verified': 0, 'share': 90}]",800,FnxpW5UDPdr6N1nefAsFpGBkMJy9AqyL3XYhDV3njR4F,"[{'trait_type': 'Outfit', 'value': 'Sweater & Pearls'}, {'trait_type': 'Head', 'value': 'Beanie'}, {'trait_type': 'Glasses', 'value': 'None'}, {'trait_type': 'Eyes', 'value': 'Regular'}, {'trait_type': 'Extras', 'value': 'None'}, {'trait_type': 'Skin', 'value': 'Bandaid'}, {'trait_type': 'Mouth', 'value': 'Closed'}, {'trait_type': 'Body', 'value': 'Base'}, {'trait_type': 'Background', 'value': 'Green'}, {'trait_type': 'Face', 'value': 'None'}]","{'category': 'image', 'creators': [{'address': 'RRUMF9KYPcvNSmnicNMAFKx5wDYix3wjNa6bA7R6xqA', 'share': 10}, {'address': 'DFvNsRC6ctWP9H627k1An4mjDEdyWSbNgwLKvL2DEyP6', 'share': 90}], 'files': [{'uri': 'https://bafybeibuxq6s7q3sdtoyynr6nsufxfhof7dxui3p5p2xltumottke3fthm.ipfs.dweb.link/7141.png?ext=png', 'type': 'image/png'}]}",1,HALWJKhdRPk79XnVMg5wozWhsZtUe4UwSTqvvRGRpyR1,1,{},False,"{'auctionHouseKey': 'E8cU1WiRWjanGxmn96ewBgk9vPTcL6AEZ1t6F6fkgUWe', 'sellerReferral': 'autMW8SgBkVYeBgqYiTuJZnkvDZMVU2MHJh9Jh7CSQ2', 'expiry': -1}",{'howrare': {'rank': 7953}}
2,2gRFLcsEFfDWcdj8PdRMFrG4iBHUXo8hQqTRXXxnwnsG,0.19,HmgsiukcbvyX7TC1T5JWSaa2v7Y2vTQsvm4UAj7faxUA,71rYgyLhnDrg5hzgd5FQSpR5Lodex9kG1WmQSDKnydbJ,almost_famous_pandas,Almost Famous Pandas,https://bafybeiddi6rurngfdfiy2n4ywa6gra5u3kgdy4rcsmyienfghohco2duim.ipfs.dweb.link/7015.png?ext=png,Almost Famous Pandas #7016,,https://afpnft.com,image,"[{'address': 'A3YoUrpRZNMNvPAS7cpVQtYtF9iW5vdXcR4qTfanNL5j', 'verified': 1, 'share': 0}, {'address': 'RRUMF9KYPcvNSmnicNMAFKx5wDYix3wjNa6bA7R6xqA', 'verified': 0, 'share': 10}, {'address': 'DFvNsRC6ctWP9H627k1An4mjDEdyWSbNgwLKvL2DEyP6', 'verified': 0, 'share': 90}]",800,7k7AADkXq1zQbPaZyosz7dgjJTvxBafMS5TEbyHSniwF,"[{'trait_type': 'Outfit', 'value': 'White Overalls'}, {'trait_type': 'Head', 'value': 'Blonde Long Hair'}, {'trait_type': 'Glasses', 'value': 'Crystal Glasses'}, {'trait_type': 'Eyes', 'value': 'Regular'}, {'trait_type': 'Extras', 'value': 'None'}, {'trait_type': 'Skin', 'value': 'None'}, {'trait_type': 'Mouth', 'value': 'None'}, {'trait_type': 'Body', 'value': 'Rainbow'}, {'trait_type': 'Background', 'value': 'Gold'}, {'trait_type': 'Face', 'value': 'None'}]","{'category': 'image', 'creators': [{'address': 'RRUMF9KYPcvNSmnicNMAFKx5wDYix3wjNa6bA7R6xqA', 'share': 10}, {'address': 'DFvNsRC6ctWP9H627k1An4mjDEdyWSbNgwLKvL2DEyP6', 'share': 90}], 'files': [{'uri': 'https://bafybeiddi6rurngfdfiy2n4ywa6gra5u3kgdy4rcsmyienfghohco2duim.ipfs.dweb.link/7015.png?ext=png', 'type': 'image/png'}]}",1,HALWJKhdRPk79XnVMg5wozWhsZtUe4UwSTqvvRGRpyR1,1,{},False,"{'auctionHouseKey': 'E8cU1WiRWjanGxmn96ewBgk9vPTcL6AEZ1t6F6fkgUWe', 'sellerReferral': 'autMW8SgBkVYeBgqYiTuJZnkvDZMVU2MHJh9Jh7CSQ2', 'expiry': -1}",{'howrare': {'rank': 3070}}
3,5xXogH4EJzebCMkdx8xYRnAM31X32ACDsRbw7sCSMo8G,0.19,2NMCQ8oGYBgEGTsi2HjaHK33PqtrMasVjD55yxCd3oUQ,3KyqitUyhPYRQLhdB4dZ8zRNjSo9t99sgDSfJSqfUbz1,almost_famous_pandas,Almost Famous Pandas,https://bafybeievzt5mm7b3rnf6mybrxygzjuntpcnu2h77mepmfxtk2gjlqgjpnm.ipfs.dweb.link/7216.png?ext=png,Almost Famous Pandas #7217,,https://afpnft.com,image,"[{'address': 'A3YoUrpRZNMNvPAS7cpVQtYtF9iW5vdXcR4qTfanNL5j', 'verified': 1, 'share': 0}, {'address': 'RRUMF9KYPcvNSmnicNMAFKx5wDYix3wjNa6bA7R6xqA', 'verified': 0, 'share': 10}, {'address': 'DFvNsRC6ctWP9H627k1An4mjDEdyWSbNgwLKvL2DEyP6', 'verified': 0, 'share': 90}]",800,2z9EeRT913C9o1BVtPo9RYY7fANetMJMDFwKg61XkWXe,"[{'trait_type': 'Outfit', 'value': 'Three-Piece Suit'}, {'trait_type': 'Head', 'value': 'Afro'}, {'trait_type': 'Glasses', 'value': '3D Glasses'}, {'trait_type': 'Eyes', 'value': 'Regular'}, {'trait_type': 'Extras', 'value': 'None'}, {'trait_type': 'Skin', 'value': 'None'}, {'trait_type': 'Mouth', 'value': 'None'}, {'trait_type': 'Body', 'value': 'Base'}, {'trait_type': 'Background', 'value': 'Teal'}, {'trait_type': 'Face', 'value': 'None'}]","{'category': 'image', 'creators': [{'address': 'RRUMF9KYPcvNSmnicNMAFKx5wDYix3wjNa6bA7R6xqA', 'share': 10}, {'address': 'DFvNsRC6ctWP9H627k1An4mjDEdyWSbNgwLKvL2DEyP6', 'share': 90}], 'files': [{'uri': 'https://bafybeievzt5mm7b3rnf6mybrxygzjuntpcnu2h77mepmfxtk2gjlqgjpnm.ipfs.dweb.link/7216.png?ext=png', 'type': 'image/png'}]}",1,HALWJKhdRPk79XnVMg5wozWhsZtUe4UwSTqvvRGRpyR1,1,{},False,"{'auctionHouseKey': 'E8cU1WiRWjanGxmn96ewBgk9vPTcL6AEZ1t6F6fkgUWe', 'sellerReferral': 'autMW8SgBkVYeBgqYiTuJZnkvDZMVU2MHJh9Jh7CSQ2', 'expiry': -1}",{'howrare': {'rank': 8235}}
4,7JmHZzLAePob6wb9vsoWQtQGXv2z6SjDDzEu61feKKgg,0.19,BuYsEPZAr9bP4MKD6b2J8Yi2qBAv24seM4JjFhZ7fi2t,5xhRY4jWhY8LvQjqKcm3cM47qME6qK1yy8YAurbnavmv,almost_famous_pandas,Almost Famous Pandas,https://bafybeif6m66qjqyvdslgjsvf7gvn6cdiaal6n6npeflt7rpqpqwciwewy4.ipfs.dweb.link/4070.png?ext=png,Almost Famous Pandas #4071,,https://afpnft.com,image,"[{'address': 'A3YoUrpRZNMNvPAS7cpVQtYtF9iW5vdXcR4qTfanNL5j', 'verified': 1, 'share': 0}, {'address': 'RRUMF9KYPcvNSmnicNMAFKx5wDYix3wjNa6bA7R6xqA', 'verified': 0, 'share': 10}, {'address': 'DFvNsRC6ctWP9H627k1An4mjDEdyWSbNgwLKvL2DEyP6', 'verified': 0, 'share': 90}]",800,EZL7ff19uDchJHD6PiZsBHSXr5t9e9aDKezZdMzZRvnY,"[{'trait_type': 'Outfit', 'value': 'White Overalls'}, {'trait_type': 'Head', 'value': 'Red Hair'}, {'trait_type': 'Glasses', 'value': 'Eyepatch'}, {'trait_type': 'Eyes', 'value': 'Regular'}, {'trait_type': 'Extras', 'value': 'None'}, {'trait_type': 'Skin', 'value': 'None'}, {'trait_type': 'Mouth', 'value': 'Closed'}, {'trait_type': 'Body', 'value': 'Base'}, {'trait_type': 'Background', 'value': 'Blue'}, {'trait_type': 'Face', 'value': 'None'}]","{'category': 'image', 'creators': [{'address': 'RRUMF9KYPcvNSmnicNMAFKx5wDYix3wjNa6bA7R6xqA', 'share': 10}, {'address': 'DFvNsRC6ctWP9H627k1An4mjDEdyWSbNgwLKvL2DEyP6', 'share': 90}], 'files': [{'uri': 'https://bafybeif6m66qjqyvdslgjsvf7gvn6cdiaal6n6npeflt7rpqpqwciwewy4.ipfs.dweb.link/4070.png?ext=png', 'type': 'image/png'}]}",1,HALWJKhdRPk79XnVMg5wozWhsZtUe4UwSTqvvRGRpyR1,1,{},False,"{'auctionHouseKey': 'E8cU1WiRWjanGxmn96ewBgk9vPTcL6AEZ1t6F6fkgUWe', 'sellerReferral': 'autMW8SgBkVYeBgqYiTuJZnkvDZMVU2MHJh9Jh7CSQ2', 'expiry': -1}",{}
5,7otuwJGbyAcmf5KE7vfXudgM8SE3hTCYCfhZ7EaVap6K,0.2,J7wR1dnA4mpa4SxbRDETod4WUDJrWjvaozFECeCqQyuM,HyB88yNeNo4DqXSFZLgkyCM7VmCnAmab3yceH2wTKZVB,almost_famous_pandas,Almost Famous Pandas,https://bafybeigyvsugpy6cdyl3d3sh5azjkp7jp5tpgsnbkwu2kszljxba7xkbm4.ipfs.dweb.link/5674.png?ext=png,Almost Famous Pandas #5675,,https://afpnft.com,image,"[{'address': 'A3YoUrpRZNMNvPAS7cpVQtYtF9iW5vdXcR4qTfanNL5j', 'verified': 1, 'share': 0}, {'address': 'RRUMF9KYPcvNSmnicNMAFKx5wDYix3wjNa6bA7R6xqA', 'verified': 0, 'share': 10}, {'address': 'DFvNsRC6ctWP9H627k1An4mjDEdyWSbNgwLKvL2DEyP6', 'verified': 0, 'share': 90}]",800,AzxNXTRWB1Rx8z8x3YqXK2U2i2hven6afGP4FTfkN34u,"[{'trait_type': 'Outfit', 'value': 'Yellow Hoodie'}, {'trait_type': 'Head', 'value': 'Rasta Hat'}, {'trait_type': 'Glasses', 'value': 'Slender Shades'}, {'trait_type': 'Eyes', 'value': 'Regular'}, {'trait_type': 'Extras', 'value': 'None'}, {'trait_type': 'Skin', 'value': 'Tattoos'}, {'trait_type': 'Mouth', 'value': 'Closed'}, {'trait_type': 'Body', 'value': 'White Monochrome'}, {'trait_type': 'Background', 'value': 'Brown'}, {'trait_type': 'Face', 'value': 'None'}]","{'category': 'image', 'creators': [{'address': 'RRUMF9KYPcvNSmnicNMAFKx5wDYix3wjNa6bA7R6xqA', 'share': 10}, {'address': 'DFvNsRC6ctWP9H627k1An4mjDEdyWSbNgwLKvL2DEyP6', 'share': 90}], 'files': [{'uri': 'https://bafybeigyvsugpy6cdyl3d3sh5azjkp7jp5tpgsnbkwu2kszljxba7xkbm4.ipfs.dweb.link/5674.png?ext=png', 'type': 'image/png'}]}",1,HALWJKhdRPk79XnVMg5wozWhsZtUe4UwSTqvvRGRpyR1,1,{},False,"{'auctionHouseKey': 'E8cU1WiRWjanGxmn96ewBgk9vPTcL6AEZ1t6F6fkgUWe', 'sellerReferral': 'autMW8SgBkVYeBgqYiTuJZnkvDZMVU2MHJh9Jh7CSQ2', 'expiry': -1}",{'howrare': {'rank': 4681}}
6,3ZLs4hvr4veTXLjyL4bzPNDynCQ4eXY299SbpYr5B2Zg,0.21,8Yjdtzft8Cd78S1kuZgbga3Sj7pmST4iVAGeTUwAiNRB,8b64wGcNvDTN1Rojyb9yc9wyhGt2o14L5SHvgH2bvFok,almost_famous_pandas,Almost Famous Pandas,https://bafybeieovgujok3u2snaochafcbqpesqlakdjpn3ns2teanonqjuei43tm.ipfs.dweb.link/6477.png?ext=png,Almost Famous Pandas #6478,,https://afpnft.com,image,"[{'address': 'A3YoUrpRZNMNvPAS7cpVQtYtF9iW5vdXcR4qTfanNL5j', 'verified': 1, 'share': 0}, {'address': 'RRUMF9KYPcvNSmnicNMAFKx5wDYix3wjNa6bA7R6xqA', 'verified': 0, 'share': 10}, {'address': 'DFvNsRC6ctWP9H627k1An4mjDEdyWSbNgwLKvL2DEyP6', 'verified': 0, 'share': 90}]",800,8huRk2Zvv9sKMxPvfTpezDatNcBv6EJME7MgtcktkwtC,"[{'trait_type': 'Outfit', 'value': 'Sweater & Pearls'}, {'trait_type': 'Head', 'value': 'Chainmail'}, {'trait_type': 'Glasses', 'value': 'None'}, {'trait_type': 'Eyes', 'value': 'Regular'}, {'trait_type': 'Extras', 'value': 'None'}, {'trait_type': 'Skin', 'value': 'None'}, {'trait_type': 'Mouth', 'value': 'None'}, {'trait_type': 'Body', 'value': 'Blue'}, {'trait_type': 'Background', 'value': 'Silver'}, {'trait_type': 'Face', 'value': 'None'}]","{'category': 'image', 'creators': [{'address': 'RRUMF9KYPcvNSmnicNMAFKx5wDYix3wjNa6bA7R6xqA', 'share': 10}, {'address': 'DFvNsRC6ctWP9H627k1An4mjDEdyWSbNgwLKvL2DEyP6', 'share': 90}], 'files': [{'uri': 'https://bafybeieovgujok3u2snaochafcbqpesqlakdjpn3ns2teanonqjuei43tm.ipfs.dweb.link/6477.png?ext=png', 'type': 'image/png'}]}",1,HALWJKhdRPk79XnVMg5wozWhsZtUe4UwSTqvvRGRpyR1,1,{},False,"{'auctionHouseKey': 'E8cU1WiRWjanGxmn96ewBgk9vPTcL6AEZ1t6F6fkgUWe', 'sellerReferral': 'autMW8SgBkVYeBgqYiTuJZnkvDZMVU2MHJh9Jh7CSQ2', 'expiry': -1}",{'howrare': {'rank': 2442}}
7,D5T3J5ZKtwQfaRMug13UT8SDzij5cCFmYQ7P2VWzUWdu,0.21,6h2PAFVbuvkopwsa8hUmjzg9HBdGMHXLHdGTndVFNVJX,3CVonzHLCvLrB7rwMBnydYLSSBwyGfZ3S64jvgMmzPwb,almost_famous_pandas,Almost Famous Pandas,https://bafybeiespvll35h3u2wfjywheof4n6bjnkkazofwv3jl4z3oswxgjuqwle.ipfs.dweb.link/1777.png?ext=png,Almost Famous Pandas #1778,,https://afpnft.com,image,"[{'address': 'A3YoUrpRZNMNvPAS7cpVQtYtF9iW5vdXcR4qTfanNL5j', 'verified': 1, 'share': 0}, {'address': 'RRUMF9KYPcvNSmnicNMAFKx5wDYix3wjNa6bA7R6xqA', 'verified': 0, 'share': 10}, {'address': 'DFvNsRC6ctWP9H627k1An4mjDEdyWSbNgwLKvL2DEyP6', 'verified': 0, 'share': 90}]",800,C5kzf12a1m3hRQDB6EXovNfkW9B6Xy4gxTizPxQ279ki,"[{'trait_type': 'Outfit', 'value': 'Star Jumpsuit'}, {'trait_type': 'Head', 'value': 'Undercut'}, {'trait_type': 'Glasses', 'value': 'None'}, {'trait_type': 'Eyes', 'value': 'Regular'}, {'trait_type': 'Extras', 'value': 'None'}, {'trait_type': 'Skin', 'value': 'None'}, {'trait_type': 'Mouth', 'value': 'Teeth'}, {'trait_type': 'Body', 'value': 'Base'}, {'trait_type': 'Background', 'value': 'Teal'}, {'trait_type': 'Face', 'value': 'None'}]","{'category': 'image', 'creators': [{'address': 'RRUMF9KYPcvNSmnicNMAFKx5wDYix3wjNa6bA7R6xqA', 'share': 10}, {'address': 'DFvNsRC6ctWP9H627k1An4mjDEdyWSbNgwLKvL2DEyP6', 'share': 90}], 'files': [{'uri': 'https://bafybeiespvll35h3u2wfjywheof4n6bjnkkazofwv3jl4z3oswxgjuqwle.ipfs.dweb.link/1777.png?ext=png', 'type': 'image/png'}]}",1,HALWJKhdRPk79XnVMg5wozWhsZtUe4UwSTqvvRGRpyR1,1,{},False,"{'auctionHouseKey': 'E8cU1WiRWjanGxmn96ewBgk9vPTcL6AEZ1t6F6fkgUWe', 'sellerReferral': 'autMW8SgBkVYeBgqYiTuJZnkvDZMVU2MHJh9Jh7CSQ2', 'expiry': -1}",{'howrare': {'rank': 8869}}
8,7yCTjp9h9WDqdN1yxxwvydB7ev1PkqgqoWc5MihP3zu1,0.21,Fzbpe7CAAxFDSE2UPqpEz6T8NkpyrtKqoAJZiyw5zqUg,Eegs6HZCYcFbiSqByyo9Neu59fAhYVD4RbpgjL7Xjdpt,almost_famous_pandas,Almost Famous Pandas,https://bafybeigkq2343l2j7li6kzvcjjcka3stxrx4urslw5dzmwyc6zwslybdfu.ipfs.dweb.link/8160.png?ext=png,Almost Famous Pandas #8161,,https://afpnft.com,image,"[{'address': 'A3YoUrpRZNMNvPAS7cpVQtYtF9iW5vdXcR4qTfanNL5j', 'verified': 1, 'share': 0}, {'address': 'RRUMF9KYPcvNSmnicNMAFKx5wDYix3wjNa6bA7R6xqA', 'verified': 0, 'share': 10}, {'address': 'DFvNsRC6ctWP9H627k1An4mjDEdyWSbNgwLKvL2DEyP6', 'verified': 0, 'share': 90}]",800,DuLEzej41vyGj8tN8R7vGS2NnW4q4jPkqPdyfjCWd4Bu,"[{'trait_type': 'Outfit', 'value': 'Blue Stripes'}, {'trait_type': 'Head', 'value': 'Newsboy Cap'}, {'trait_type': 'Glasses', 'value': 'None'}, {'trait_type': 'Eyes', 'value': 'Regular'}, {'trait_type': 'Extras', 'value': 'None'}, {'trait_type': 'Skin', 'value': 'None'}, {'trait_type': 'Mouth', 'value': 'Smile'}, {'trait_type': 'Body', 'value': 'Black Monochrome'}, {'trait_type': 'Background', 'value': 'Dark Green'}, {'trait_type': 'Face', 'value': 'None'}]","{'category': 'image', 'creators': [{'address': 'RRUMF9KYPcvNSmnicNMAFKx5wDYix3wjNa6bA7R6xqA', 'share': 10}, {'address': 'DFvNsRC6ctWP9H627k1An4mjDEdyWSbNgwLKvL2DEyP6', 'share': 90}], 'files': [{'uri': 'https://bafybeigkq2343l2j7li6kzvcjjcka3stxrx4urslw5dzmwyc6zwslybdfu.ipfs.dweb.link/8160.png?ext=png', 'type': 'image/png'}]}",1,HALWJKhdRPk79XnVMg5wozWhsZtUe4UwSTqvvRGRpyR1,1,{},False,"{'auctionHouseKey': 'E8cU1WiRWjanGxmn96ewBgk9vPTcL6AEZ1t6F6fkgUWe', 'sellerReferral': 'autMW8SgBkVYeBgqYiTuJZnkvDZMVU2MHJh9Jh7CSQ2', 'expiry': -1}",{'howrare': {'rank': 8575}}
9,H8CQF72AKmE5Jk5WcYW2cdFDhjPANSh2pGf4tadeNTXY,0.22,3xp1EcRY9Nu75MHtyVjnsT4fouErQdBLEgbn2xMTEjZ2,J6YzcHq6yk19xHwohdRy67p9DgueLeXx9nWoWGtNJZNw,almost_famous_pandas,Almost Famous Pandas,https://bafybeifnckswplbxpmruiu4yopwtnyfbxuhpshnu4klpk537hztrtqnhme.ipfs.dweb.link/1702.png?ext=png,Almost Famous Pandas #1703,,https://afpnft.com,image,"[{'address': 'A3YoUrpRZNMNvPAS7cpVQtYtF9iW5vdXcR4qTfanNL5j', 'verified': 1, 'share': 0}, {'address': 'RRUMF9KYPcvNSmnicNMAFKx5wDYix3wjNa6bA7R6xqA', 'verified': 0, 'share': 10}, {'address': 'DFvNsRC6ctWP9H627k1An4mjDEdyWSbNgwLKvL2DEyP6', 'verified': 0, 'share': 90}]",800,2FRLaUSfEZYvtv4LEh2WqLdASQe8Kj3UB9fVAGzaxyi9,"[{'trait_type': 'Outfit', 'value': 'White Dragon Suit'}, {'trait_type': 'Head', 'value': 'Gold Patch'}, {'trait_type': 'Glasses', 'value': 'None'}, {'trait_type': 'Eyes', 'value': 'Regular'}, {'trait_type': 'Extras', 'value': 'None'}, {'trait_type': 'Skin', 'value': 'None'}, {'trait_type': 'Mouth', 'value': 'Tongue'}, {'trait_type': 'Body', 'value': 'White Monochrome'}, {'trait_type': 'Background', 'value': 'Teal'}, {'trait_type': 'Face', 'value': 'None'}]","{'category': 'image', 'creators': [{'address': 'RRUMF9KYPcvNSmnicNMAFKx5wDYix3wjNa6bA7R6xqA', 'share': 10}, {'address': 'DFvNsRC6ctWP9H627k1An4mjDEdyWSbNgwLKvL2DEyP6', 'share': 90}], 'files': [{'uri': 'https://bafybeifnckswplbxpmruiu4yopwtnyfbxuhpshnu4klpk537hztrtqnhme.ipfs.dweb.link/1702.png?ext=png', 'type': 'image/png'}]}",1,HALWJKhdRPk79XnVMg5wozWhsZtUe4UwSTqvvRGRpyR1,1,{},False,"{'auctionHouseKey': 'E8cU1WiRWjanGxmn96ewBgk9vPTcL6AEZ1t6F6fkgUWe', 'sellerReferral': 'autMW8SgBkVYeBgqYiTuJZnkvDZMVU2MHJh9Jh7CSQ2', 'expiry': -1}",{}
10,AA4awDg4barYhr9SPiJ3YjGEtujWwN5zaYQuBj9X8VZv,0.22,EPNnz1hqnieDFJWXGXhKoWgyhDET7oRi2XZobosdt1LJ,3CVonzHLCvLrB7rwMBnydYLSSBwyGfZ3S64jvgMmzPwb,almost_famous_pandas,Almost Famous Pandas,https://bafybeih25h2rajzs6oserwuhkhuioblapxux66dno64ypxcg3t5or4imbi.ipfs.dweb.link/1967.png?ext=png,Almost Famous Pandas #1968,,https://afpnft.com,image,"[{'address': 'A3YoUrpRZNMNvPAS7cpVQtYtF9iW5vdXcR4qTfanNL5j', 'verified': 1, 'share': 0}, {'address': 'RRUMF9KYPcvNSmnicNMAFKx5wDYix3wjNa6bA7R6xqA', 'verified': 0, 'share': 10}, {'address': 'DFvNsRC6ctWP9H627k1An4mjDEdyWSbNgwLKvL2DEyP6', 'verified': 0, 'share': 90}]",800,3VH1dASkrQbJVFgVqXAcTFhNgsdbM9gqsFbnxzaEmsnz,"[{'trait_type': 'Outfit', 'value': 'Green Suspender Suit'}, {'trait_type': 'Head', 'value': 'Rasta Hat'}, {'trait_type': 'Glasses', 'value': 'Pink Reggie Glasses'}, {'trait_type': 'Eyes', 'value': 'Regular'}, {'trait_type': 'Extras', 'value': 'None'}, {'trait_type': 'Skin', 'value': 'None'}, {'trait_type': 'Mouth', 'value': 'Tongue'}, {'trait_type': 'Body', 'value': 'Base'}, {'trait_type': 'Background', 'value': 'Green'}, {'trait_type': 'Face', 'value': 'None'}]","{'category': 'image', 'creators': [{'address': 'RRUMF9KYPcvNSmnicNMAFKx5wDYix3wjNa6bA7R6xqA', 'share': 10}, {'address': 'DFvNsRC6ctWP9H627k1An4mjDEdyWSbNgwLKvL2DEyP6', 'share': 90}], 'files': [{'uri': 'https://bafybeih25h2rajzs6oserwuhkhuioblapxux66dno64ypxcg3t5or4imbi.ipfs.dweb.link/1967.png?ext=png', 'type': 'image/png'}]}",1,HALWJKhdRPk79XnVMg5wozWhsZtUe4UwSTqvvRGRpyR1,1,{},False,"{'auctionHouseKey': 'E8cU1WiRWjanGxmn96ewBgk9vPTcL6AEZ1t6F6fkgUWe', 'sellerReferral': 'autMW8SgBkVYeBgqYiTuJZnkvDZMVU2MHJh9Jh7CSQ2', 'expiry': -1}",{'howrare': {'rank': 5649}}
