,id,price,escrowPubkey,owner,collectionName,collectionTitle,img,title,content,externalURL,propertyCategory,creators,sellerFeeBasisPoints,mintAddress,attributes,properties,supply,updateAuthority,primarySaleHappened,onChainCollection,tokenDelegateValid,v2,rarity
0,3BRBu8zi2h9fw8VdBiwQ8V5xNh1SyFTpfRmLfQqWLEYA,12.1,HG3o54bu8H6hbYEJhfiE2teRVhFmsj2g8gcAaMwkGtr4,BtAN3AK9dzMZ9dqYYbYcX3wSjcvJMALyfqpX9mq3jAay,stepn,STEPN,https://arweave.net/DzNOBYgts_cKTo1W2NYge_bqjFZIe2NGqO1uoC8e4AQ,Sneaker #395502330,"NFT Sneaker, use it in STEPN to move2earn",https://stepn.com,image,"[{'address': 'STEPNq2UGeGSzCyGVr2nMQAzf8xuejwqebd84wcksCK', 'verified': 1, 'share': 100}]",400,9EKTbRxZp3GYBVAunx8y691N7id4rX2TyEmqqNWpqKEB,"[{'trait_type': 'Sneaker type', 'value': 'Jogger'}, {'trait_type': 'Sneaker quality', 'value': 'Common'}, {'trait_type': 'Level', 'value': '5'}, {'trait_type': 'Optimal Speed', 'value': '4.0-10.0km/h'}, {'trait_type': 'Shoe-minting Count', 'value': '2/7'}, {'trait_type': 'Efficiency', 'value': '19.7'}, {'trait_type': 'Luck', 'value': '3.7'}, {'trait_type': 'Comfortability', 'value': '2.5'}, {'trait_type': 'Resilience', 'value': '8.7'}, {'trait_type': 'Durability', 'value': '100/100'}, {'trait_type': 'Socket 1', 'value': 'Durability/unknown/empty'}, {'trait_type': 'Socket 2', 'value': 'Efficiency/unknown/empty'}, {'trait_type': 'Socket 3', 'value': 'Comfort/unknown/empty'}, {'trait_type': 'Socket 4', 'value': 'Durability/unknown/empty'}, {'trait_type': 'Badge', 'value': 'None'}]","{'files': [{'uri': 'https://arweave.net/DzNOBYgts_cKTo1W2NYge_bqjFZIe2NGqO1uoC8e4AQ', 'type': 'image/png'}], 'category': 'image', 'creators': [{'address': 'STEPNq2UGeGSzCyGVr2nMQAzf8xuejwqebd84wcksCK', 'share': 100}]}",1,STEPNq2UGeGSzCyGVr2nMQAzf8xuejwqebd84wcksCK,0,{},False,"{'auctionHouseKey': 'E8cU1WiRWjanGxmn96ewBgk9vPTcL6AEZ1t6F6fkgUWe', 'sellerReferral': 'autMW8SgBkVYeBgqYiTuJZnkvDZMVU2MHJh9Jh7CSQ2', 'expiry': -1}",{}
1,5ygShFvPzqW7BLYEoic1KjCaxhsgwTpzVhEc34GqWLN2,12.19,2jLpuHMCqmQyFnrDYRTUcnjEjZDwgZNFyj7WAuToK2hG,5s9jzsDfantLCMRdMGTijGTRJxGkXEoZw5hLrHYX5PvA,stepn,STEPN,https://arweave.net/x2pUPK8dUuU1CwkekjztlqLN3fRxqnDIHZvmPH5o5Bs,Sneaker #189364129,"NFT Sneaker, use it in STEPN to move2earn",https://stepn.com,image,"[{'address': 'STEPNq2UGeGSzCyGVr2nMQAzf8xuejwqebd84wcksCK', 'verified': 1, 'share': 100}]",400,8B8xXnAjcjtgVL71qTy7t1kz4BVRGrXDvrwKda4khSw7,"[{'trait_type': 'Sneaker type', 'value': 'Runner'}, {'trait_type': 'Sneaker quality', 'value': 'Common'}, {'trait_type': 'Level', 'value': '5'}, {'trait_type': 'Optimal Speed', 'value': '8.0-20.0km/h'}, {'trait_type': 'Shoe-minting Count', 'value': '2/7'}, {'trait_type': 'Efficiency', 'value': '2.9'}, {'trait_type': 'Luck', 'value': '9.5'}, {'trait_type': 'Comfortability', 'value': '2.6'}, {'trait_type': 'Resilience', 'value': '7.0'}, {'trait_type': 'Durability', 'value': '100/100'}, {'trait_type': 'Socket 1', 'value': 'Comfort/unknown/empty'}, {'trait_type': 'Socket 2', 'value': 'Efficiency/unknown/empty'}, {'trait_type': 'Socket 3', 'value': 'Comfort/unknown/empty'}, {'trait_type': 'Socket 4', 'value': 'Luck/unknown/empty'}, {'trait_type': 'Badge', 'value': 'None'}]","{'files': [{'uri': 'https://arweave.net/x2pUPK8dUuU1CwkekjztlqLN3fRxqnDIHZvmPH5o5Bs', 'type': 'image/png'}], 'category': 'image', 'creators': [{'address': 'STEPNq2UGeGSzCyGVr2nMQAzf8xuejwqebd84wcksCK', 'share': 100}]}",1,STEPNq2UGeGSzCyGVr2nMQAzf8xuejwqebd84wcksCK,0,{},False,"{'auctionHouseKey': 'E8cU1WiRWjanGxmn96ewBgk9vPTcL6AEZ1t6F6fkgUWe', 'sellerReferral': 'autMW8SgBkVYeBgqYiTuJZnkvDZMVU2MHJh9Jh7CSQ2', 'expiry': -1}",{}
2,CpTcwBRFuf9ctHqgEagAZNy9cuzxe6Js3RBkzT7sfdDz,12.2,zuZvC2FRyv6jMi2PDQUKzYXjZYA66ASd7yMj8nG1cLG,AfGw6dG2tXXg7uiFtHvHCy8aZMdeHzd1PD3NhM7QBsyQ,stepn,STEPN,https://arweave.net/gCexIf1SV71DyrqeRLKSg4eoZ-NqNUqUoiaEH5C-eqw,Sneaker #495375241,"NFT Sneaker, use it in STEPN to move2earn",https://stepn.com,image,"[{'address': 'STEPNq2UGeGSzCyGVr2nMQAzf8xuejwqebd84wcksCK', 'verified': 1, 'share': 100}]",400,9DX4dyW1NcQSgMWLd2TzrgcxwshbQjcCE2rg6H8qh3aa,"[{'trait_type': 'Sneaker type', 'value': 'Runner'}, {'trait_type': 'Sneaker quality', 'value': 'Common'}, {'trait_type': 'Level', 'value': '5'}, {'trait_type': 'Optimal Speed', 'value': '8.0-20.0km/h'}, {'trait_type': 'Shoe-minting Count', 'value': '2/7'}, {'trait_type': 'Efficiency', 'value': '21.8'}, {'trait_type': 'Luck', 'value': '3.6'}, {'trait_type': 'Comfortability', 'value': '3.3'}, {'trait_type': 'Resilience', 'value': '2.5'}, {'trait_type': 'Durability', 'value': '100/100'}, {'trait_type': 'Socket 1', 'value': 'Efficiency/unknown/empty'}, {'trait_type': 'Socket 2', 'value': 'Durability/unknown/empty'}, {'trait_type': 'Socket 3', 'value': 'Durability/unknown/empty'}, {'trait_type': 'Socket 4', 'value': 'Luck/unknown/empty'}, {'trait_type': 'Badge', 'value': 'None'}]","{'files': [{'uri': 'https://arweave.net/gCexIf1SV71DyrqeRLKSg4eoZ-NqNUqUoiaEH5C-eqw', 'type': 'image/png'}], 'category': 'image', 'creators': [{'address': 'STEPNq2UGeGSzCyGVr2nMQAzf8xuejwqebd84wcksCK', 'share': 100}]}",1,STEPNq2UGeGSzCyGVr2nMQAzf8xuejwqebd84wcksCK,0,{},False,"{'auctionHouseKey': 'E8cU1WiRWjanGxmn96ewBgk9vPTcL6AEZ1t6F6fkgUWe', 'sellerReferral': 'autMW8SgBkVYeBgqYiTuJZnkvDZMVU2MHJh9Jh7CSQ2', 'expiry': -1}",{}
3,69heAoqYnnVZDWyEH1MvGNvCHbzTtW5DuCSmDmrd4ZWa,12.34,3uM65TVn3BKAhmuiYk6PczEwmtEU2oezM5ThjyvwFBD1,AVCgu2H3oNKSzgf73EK6ik4nakrQp7ewhnsnGRk55BpJ,stepn,STEPN,https://arweave.net/32h6H3WLAJJrqpy0UCI8WX0B_JGi0Hb3408DsSAQ3mk,Sneaker #313165410,"NFT Sneaker, use it in STEPN to move2earn",https://stepn.com,image,"[{'address': 'STEPNq2UGeGSzCyGVr2nMQAzf8xuejwqebd84wcksCK', 'verified': 1, 'share': 100}]",400,42B1SS1arkr6TpF5x7Bhh8eHSo41R46FmABFdNZyjKo5,"[{'trait_type': 'Sneaker type', 'value': 'Runner'}, {'trait_type': 'Sneaker quality', 'value': 'Common'}, {'trait_type': 'Level', 'value': '5'}, {'trait_type': 'Optimal Speed', 'value': '8.0-20.0km/h'}, {'trait_type': 'Shoe-minting Count', 'value': '1/7'}, {'trait_type': 'Efficiency', 'value': '16.8'}, {'trait_type': 'Luck', 'value': '2.4'}, {'trait_type': 'Comfortability', 'value': '2.4'}, {'trait_type': 'Resilience', 'value': '10.0'}, {'trait_type': 'Durability', 'value': '100/100'}, {'trait_type': 'Socket 1', 'value': 'Efficiency/unknown/empty'}, {'trait_type': 'Socket 2', 'value': 'Efficiency/unknown/empty'}, {'trait_type': 'Socket 3', 'value': 'Durability/unknown/empty'}, {'trait_type': 'Socket 4', 'value': 'Luck/unknown/empty'}, {'trait_type': 'Badge', 'value': 'None'}]","{'files': [{'uri': 'https://arweave.net/32h6H3WLAJJrqpy0UCI8WX0B_JGi0Hb3408DsSAQ3mk', 'type': 'image/png'}], 'category': 'image', 'creators': [{'address': 'STEPNq2UGeGSzCyGVr2nMQAzf8xuejwqebd84wcksCK', 'share': 100}]}",1,STEPNq2UGeGSzCyGVr2nMQAzf8xuejwqebd84wcksCK,0,{},False,"{'auctionHouseKey': 'E8cU1WiRWjanGxmn96ewBgk9vPTcL6AEZ1t6F6fkgUWe', 'sellerReferral': 'autMW8SgBkVYeBgqYiTuJZnkvDZMVU2MHJh9Jh7CSQ2', 'expiry': -1}",{}
4,ByxuAe2vfj6CRSHr7GAE5x88YdpKNegvaTwbg9xZAi2k,12.66,58cS7xgeGX35H6r4YNrCoqkrJK6VwsrVWmnGbE7gfqJv,FQ8g5R2zBua72nUXFn9jDPKoLTQZwF37K4arihuWEbiB,stepn,STEPN,https://arweave.net/WyVrt8XaHRJ1Z1TZV4bg3P8aVpE8LVaGkBca5xS1oj0,Sneaker #622296078,"NFT Sneaker, use it in STEPN to move2earn",https://stepn.com,image,"[{'address': 'STEPNq2UGeGSzCyGVr2nMQAzf8xuejwqebd84wcksCK', 'verified': 1, 'share': 100}]",400,9HgMdkddcxcUruasze1SneS1rBXffBR29PsnmPiD66FC,"[{'trait_type': 'Sneaker type', 'value': 'Walker'}, {'trait_type': 'Sneaker quality', 'value': 'Common'}, {'trait_type': 'Level', 'value': '5'}, {'trait_type': 'Optimal Speed', 'value': '1.0-6.0km/h'}, {'trait_type': 'Shoe-minting Count', 'value': '2/7'}, {'trait_type': 'Efficiency', 'value': '7.5'}, {'trait_type': 'Luck', 'value': '9.0'}, {'trait_type': 'Comfortability', 'value': '3.2'}, {'trait_type': 'Resilience', 'value': '8.3'}, {'trait_type': 'Durability', 'value': '100/100'}, {'trait_type': 'Socket 1', 'value': 'Luck/unknown/empty'}, {'trait_type': 'Socket 2', 'value': 'Luck/unknown/empty'}, {'trait_type': 'Socket 3', 'value': 'Durability/unknown/empty'}, {'trait_type': 'Socket 4', 'value': 'Durability/unknown/empty'}, {'trait_type': 'Badge', 'value': 'None'}]","{'files': [{'uri': 'https://arweave.net/WyVrt8XaHRJ1Z1TZV4bg3P8aVpE8LVaGkBca5xS1oj0', 'type': 'image/png'}], 'category': 'image', 'creators': [{'address': 'STEPNq2UGeGSzCyGVr2nMQAzf8xuejwqebd84wcksCK', 'share': 100}]}",1,STEPNq2UGeGSzCyGVr2nMQAzf8xuejwqebd84wcksCK,0,{},False,"{'auctionHouseKey': 'E8cU1WiRWjanGxmn96ewBgk9vPTcL6AEZ1t6F6fkgUWe', 'sellerReferral': 'autMW8SgBkVYeBgqYiTuJZnkvDZMVU2MHJh9Jh7CSQ2', 'expiry': -1}",{}
5,HL7LdkamNBRfkz3GPii2Qur3DrGck9JLkmVGuSCEzmsc,12.78,8frbetdo34aYudFAnjQgNZwwPgL26sAC6Zziogc4JvD8,47ygwr39bJ95WiZ51ybztEsxo3cZ41UHcqHNg5jnqSn3,stepn,STEPN,https://arweave.net/uZ8N3U5N4U-etF6U__gMk0l1rNjBQHuiWtpu0ZOUw8g,Sneaker #998946277,"NFT Sneaker, use it in STEPN to move2earn",https://stepn.com,image,"[{'address': 'STEPNq2UGeGSzCyGVr2nMQAzf8xuejwqebd84wcksCK', 'verified': 1, 'share': 100}]",400,7ZWuJvKSrtNXFSYZ2Pas1AEeGTuUzwDPS2eKBahiKtHo,"[{'trait_type': 'Sneaker type', 'value': 'Walker'}, {'trait_type': 'Sneaker quality', 'value': 'Common'}, {'trait_type': 'Level', 'value': '5'}, {'trait_type': 'Optimal Speed', 'value': '1.0-6.0km/h'}, {'trait_type': 'Shoe-minting Count', 'value': '2/7'}, {'trait_type': 'Efficiency', 'value': '20.5'}, {'trait_type': 'Luck', 'value': '5.7'}, {'trait_type': 'Comfortability', 'value': '1.6'}, {'trait_type': 'Resilience', 'value': '6.5'}, {'trait_type': 'Durability', 'value': '100/100'}, {'trait_type': 'Socket 1', 'value': 'Durability/unknown/empty'}, {'trait_type': 'Socket 2', 'value': 'Efficiency/unknown/empty'}, {'trait_type': 'Socket 3', 'value': 'Durability/unknown/empty'}, {'trait_type': 'Socket 4', 'value': 'Durability/unknown/empty'}, {'trait_type': 'Badge', 'value': 'None'}]","{'files': [{'uri': 'https://arweave.net/uZ8N3U5N4U-etF6U__gMk0l1rNjBQHuiWtpu0ZOUw8g', 'type': 'image/png'}], 'category': 'image', 'creators': [{'address': 'STEPNq2UGeGSzCyGVr2nMQAzf8xuejwqebd84wcksCK', 'share': 100}]}",1,STEPNq2UGeGSzCyGVr2nMQAzf8xuejwqebd84wcksCK,0,{},False,"{'auctionHouseKey': 'E8cU1WiRWjanGxmn96ewBgk9vPTcL6AEZ1t6F6fkgUWe', 'sellerReferral': 'autMW8SgBkVYeBgqYiTuJZnkvDZMVU2MHJh9Jh7CSQ2', 'expiry': -1}",{}
6,Huh5xKhkrp6HRcrfwsWzBGvCFY4xaapMkzCQFbR2xoMB,13.0,J2xYqJFeMDmpPk6o26ZyvUmGprVJKjxhgYjFzCD6jPjZ,2Bq2sPTUdNCw7D2gYejjrisDJkrJduV2hRVdPbn2adf5,stepn,STEPN,https://arweave.net/_wkZTs6fpeTvYQYpSXTsrtgdzKPjQ0rQNXjXZEJustY,Sneaker #255070422,"NFT Sneaker, use it in STEPN to move2earn",https://stepn.com,image,"[{'address': 'STEPNq2UGeGSzCyGVr2nMQAzf8xuejwqebd84wcksCK', 'verified': 1, 'share': 100}]",400,13yCuQMRAdEiTRMGfnhpepPv6a8HNyiBtqDC1ZvKx9mb,"[{'trait_type': 'Sneaker type', 'value': 'Runner'}, {'trait_type': 'Sneaker quality', 'value': 'Common'}, {'trait_type': 'Level', 'value': '5'}, {'trait_type': 'Optimal Speed', 'value': '8.0-20.0km/h'}, {'trait_type': 'Shoe-minting Count', 'value': '2/7'}, {'trait_type': 'Efficiency', 'value': '9.8'}, {'trait_type': 'Luck', 'value': '9.9'}, {'trait_type': 'Comfortability', 'value': '9.2'}, {'trait_type': 'Resilience', 'value': '8.6'}, {'trait_type': 'Durability', 'value': '100/100'}, {'trait_type': 'Socket 1', 'value': 'Durability/unknown/empty'}, {'trait_type': 'Socket 2', 'value': 'Luck/unknown/empty'}, {'trait_type': 'Socket 3', 'value': 'Comfort/unknown/empty'}, {'trait_type': 'Socket 4', 'value': 'Luck/unknown/empty'}, {'trait_type': 'Badge', 'value': 'None'}]","{'files': [{'uri': 'https://arweave.net/_wkZTs6fpeTvYQYpSXTsrtgdzKPjQ0rQNXjXZEJustY', 'type': 'image/png'}], 'category': 'image', 'creators': [{'address': 'STEPNq2UGeGSzCyGVr2nMQAzf8xuejwqebd84wcksCK', 'share': 100}]}",1,STEPNq2UGeGSzCyGVr2nMQAzf8xuejwqebd84wcksCK,0,{},False,"{'auctionHouseKey': 'E8cU1WiRWjanGxmn96ewBgk9vPTcL6AEZ1t6F6fkgUWe', 'sellerReferral': 'autMW8SgBkVYeBgqYiTuJZnkvDZMVU2MHJh9Jh7CSQ2', 'expiry': -1}",{}
7,7x7nSZZmu1qJ8KVqtovCEHMqLSi8kWTsvTEj8QCFZAEP,13.28,BZa2zLfmKqoHWaeuqN9kgTV6m3xLsNdqZctSysTx6gXF,G3NzGtgRS2h8FAsZk3LyTosQrLvg2K1tRFKNn9ZdsBPa,stepn,STEPN,https://arweave.net/SYgpWKUZyPjSRDI07BNuaoLszpp07dslGh4rIWl-KY4,Sneaker #318909650,"NFT Sneaker, use it in STEPN to move2earn",https://stepn.com,image,"[{'address': 'STEPNq2UGeGSzCyGVr2nMQAzf8xuejwqebd84wcksCK', 'verified': 1, 'share': 100}]",400,DkZtZRg3ie2ygKU48jUL4tYa9aFNAaikswZgLeJF9Vpq,"[{'trait_type': 'Sneaker type', 'value': 'Runner'}, {'trait_type': 'Sneaker quality', 'value': 'Common'}, {'trait_type': 'Level', 'value': '6'}, {'trait_type': 'Optimal Speed', 'value': '8.0-20.0km/h'}, {'trait_type': 'Shoe-minting Count', 'value': '2/7'}, {'trait_type': 'Efficiency', 'value': '25.7'}, {'trait_type': 'Luck', 'value': '1.7'}, {'trait_type': 'Comfortability', 'value': '4.6'}, {'trait_type': 'Resilience', 'value': '9.9'}, {'trait_type': 'Durability', 'value': '100/100'}, {'trait_type': 'Socket 1', 'value': 'Comfort/unknown/empty'}, {'trait_type': 'Socket 2', 'value': 'Efficiency/unknown/empty'}, {'trait_type': 'Socket 3', 'value': 'Luck/unknown/empty'}, {'trait_type': 'Socket 4', 'value': 'Efficiency/unknown/empty'}, {'trait_type': 'Badge', 'value': 'None'}]","{'files': [{'uri': 'https://arweave.net/SYgpWKUZyPjSRDI07BNuaoLszpp07dslGh4rIWl-KY4', 'type': 'image/png'}], 'category': 'image', 'creators': [{'address': 'STEPNq2UGeGSzCyGVr2nMQAzf8xuejwqebd84wcksCK', 'share': 100}]}",1,STEPNq2UGeGSzCyGVr2nMQAzf8xuejwqebd84wcksCK,0,{},False,"{'auctionHouseKey': 'E8cU1WiRWjanGxmn96ewBgk9vPTcL6AEZ1t6F6fkgUWe', 'sellerReferral': 'autMW8SgBkVYeBgqYiTuJZnkvDZMVU2MHJh9Jh7CSQ2', 'expiry': -1}",{}
8,A6XMsgYQXJfsfH68Gn4riM5aeW66LXG8sPt4q2HKvFmS,13.28,6qHyNQKsqqvWgig2uUEzapTjLsWqfCgWs2WZFfZmrCF8,G3NzGtgRS2h8FAsZk3LyTosQrLvg2K1tRFKNn9ZdsBPa,stepn,STEPN,https://arweave.net/ZHBjpRw9sIngm5J7Z1LL3Z4W_95p1SRXXQoAEdnyNtw,Sneaker #718830291,"NFT Sneaker, use it in STEPN to move2earn",https://stepn.com,image,"[{'address': 'STEPNq2UGeGSzCyGVr2nMQAzf8xuejwqebd84wcksCK', 'verified': 1, 'share': 100}]",400,vgRnQr2bY8GGbqWZNg7HREAgSfEF6wDo2XFXg2v8tej,"[{'trait_type': 'Sneaker type', 'value': 'Runner'}, {'trait_type': 'Sneaker quality', 'value': 'Common'}, {'trait_type': 'Level', 'value': '5'}, {'trait_type': 'Optimal Speed', 'value': '8.0-20.0km/h'}, {'trait_type': 'Shoe-minting Count', 'value': '2/7'}, {'trait_type': 'Efficiency', 'value': '28.9'}, {'trait_type': 'Luck', 'value': '4.8'}, {'trait_type': 'Comfortability', 'value': '7.1'}, {'trait_type': 'Resilience', 'value': '4.7'}, {'trait_type': 'Durability', 'value': '100/100'}, {'trait_type': 'Socket 1', 'value': 'Luck/unknown/empty'}, {'trait_type': 'Socket 2', 'value': 'Durability/unknown/empty'}, {'trait_type': 'Socket 3', 'value': 'Efficiency/unknown/empty'}, {'trait_type': 'Socket 4', 'value': 'Comfort/unknown/empty'}, {'trait_type': 'Badge', 'value': 'None'}]","{'files': [{'uri': 'https://arweave.net/ZHBjpRw9sIngm5J7Z1LL3Z4W_95p1SRXXQoAEdnyNtw', 'type': 'image/png'}], 'category': 'image', 'creators': [{'address': 'STEPNq2UGeGSzCyGVr2nMQAzf8xuejwqebd84wcksCK', 'share': 100}]}",1,STEPNq2UGeGSzCyGVr2nMQAzf8xuejwqebd84wcksCK,0,{},False,"{'auctionHouseKey': 'E8cU1WiRWjanGxmn96ewBgk9vPTcL6AEZ1t6F6fkgUWe', 'sellerReferral': 'autMW8SgBkVYeBgqYiTuJZnkvDZMVU2MHJh9Jh7CSQ2', 'expiry': -1}",{}
9,BQUWdS3fefAA9uhy5BB1TWPn2W8bVhwn1HJ1Ad3cMRDa,13.29,HPqLCFwGwbBQFNRTVQfqfBLbDrU46PHmKxkASeJmdE62,2Ws7ycQjrtksym6VtvUQUak3YWozirJ9QjLLRZh4smLL,stepn,STEPN,https://arweave.net/srtN7Vx46MV_fj2Wjbq5yCFOOQGHzs9XIlsl21SKKNw,Sneaker #765070916,"NFT Sneaker, use it in STEPN to move2earn",https://stepn.com,image,"[{'address': 'STEPNq2UGeGSzCyGVr2nMQAzf8xuejwqebd84wcksCK', 'verified': 1, 'share': 100}]",400,G7KXFnjvipb2sN8YatFpk4SPQymcP1rmuP57wAm5k9d1,"[{'trait_type': 'Sneaker type', 'value': 'Runner'}, {'trait_type': 'Sneaker quality', 'value': 'Common'}, {'trait_type': 'Level', 'value': '5'}, {'trait_type': 'Optimal Speed', 'value': '8.0-20.0km/h'}, {'trait_type': 'Shoe-minting Count', 'value': '2/7'}, {'trait_type': 'Efficiency', 'value': '25.8'}, {'trait_type': 'Luck', 'value': '6.6'}, {'trait_type': 'Comfortability', 'value': '7.5'}, {'trait_type': 'Resilience', 'value': '1.0'}, {'trait_type': 'Durability', 'value': '100/100'}, {'trait_type': 'Socket 1', 'value': 'Durability/unknown/empty'}, {'trait_type': 'Socket 2', 'value': 'Comfort/unknown/empty'}, {'trait_type': 'Socket 3', 'value': 'Comfort/unknown/empty'}, {'trait_type': 'Socket 4', 'value': 'Efficiency/unknown/empty'}, {'trait_type': 'Badge', 'value': 'None'}]","{'files': [{'uri': 'https://arweave.net/srtN7Vx46MV_fj2Wjbq5yCFOOQGHzs9XIlsl21SKKNw', 'type': 'image/png'}], 'category': 'image', 'creators': [{'address': 'STEPNq2UGeGSzCyGVr2nMQAzf8xuejwqebd84wcksCK', 'share': 100}]}",1,STEPNq2UGeGSzCyGVr2nMQAzf8xuejwqebd84wcksCK,0,{},False,"{'auctionHouseKey': 'E8cU1WiRWjanGxmn96ewBgk9vPTcL6AEZ1t6F6fkgUWe', 'sellerReferral': 'autMW8SgBkVYeBgqYiTuJZnkvDZMVU2MHJh9Jh7CSQ2', 'expiry': -1}",{}
10,26pUWd3og7XtHDDBC6xYFdy6S73uVupcMKww1rzAoVrg,13.3,39dcfcFD57cmEX91TcbVZ3TR5BcHm2YktRHui97A8NHG,5oS7r7r69iaQWMR6piXhXGsuD7TUwHydzvs3J1jZokPq,stepn,STEPN,https://arweave.net/u3X8fW8nnTR9QaaVo95mwDW5Hx9tklViFwd3OkQjOUc,Sneaker #704977615,"NFT Sneaker, use it in STEPN to move2earn",https://stepn.com,image,"[{'address': 'STEPNq2UGeGSzCyGVr2nMQAzf8xuejwqebd84wcksCK', 'verified': 1, 'share': 100}]",400,7TP4x2L3QbvTrxVNG63rBrh1SnhcG4EnS8Y52NHY4Ro3,"[{'trait_type': 'Sneaker type', 'value': 'Runner'}, {'trait_type': 'Sneaker quality', 'value': 'Common'}, {'trait_type': 'Level', 'value': '5'}, {'trait_type': 'Optimal Speed', 'value': '8.0-20.0km/h'}, {'trait_type': 'Shoe-minting Count', 'value': '2/7'}, {'trait_type': 'Efficiency', 'value': '21.0'}, {'trait_type': 'Luck', 'value': '1.5'}, {'trait_type': 'Comfortability', 'value': '8.8'}, {'trait_type': 'Resilience', 'value': '8.8'}, {'trait_type': 'Durability', 'value': '100/100'}, {'trait_type': 'Socket 1', 'value': 'Durability/unknown/empty'}, {'trait_type': 'Socket 2', 'value': 'Efficiency/unknown/empty'}, {'trait_type': 'Socket 3', 'value': 'Comfort/unknown/empty'}, {'trait_type': 'Socket 4', 'value': 'Comfort/unknown/empty'}, {'trait_type': 'Badge', 'value': 'None'}]","{'files': [{'uri': 'https://arweave.net/u3X8fW8nnTR9QaaVo95mwDW5Hx9tklViFwd3OkQjOUc', 'type': 'image/png'}], 'category': 'image', 'creators': [{'address': 'STEPNq2UGeGSzCyGVr2nMQAzf8xuejwqebd84wcksCK', 'share': 100}]}",1,STEPNq2UGeGSzCyGVr2nMQAzf8xuejwqebd84wcksCK,0,{},False,"{'auctionHouseKey': 'E8cU1WiRWjanGxmn96ewBgk9vPTcL6AEZ1t6F6fkgUWe', 'sellerReferral': 'autMW8SgBkVYeBgqYiTuJZnkvDZMVU2MHJh9Jh7CSQ2', 'expiry': -1}",{}
11,3i8zHA3XRsxXJg8aR4wcNtvbfrTmkwW8iD8BkLykBPmD,13.31,CeJRHhE671TpLuM7aWtEEeioD9QFwLxWGtLcVoqk8oE5,AfGw6dG2tXXg7uiFtHvHCy8aZMdeHzd1PD3NhM7QBsyQ,stepn,STEPN,https://arweave.net/LRwd0VivHBoeNUl69coX3ThtIJBxYxALYRNiDqkRJpk,Sneaker #690407411,"NFT Sneaker, use it in STEPN to move2earn",https://stepn.com,image,"[{'address': 'STEPNq2UGeGSzCyGVr2nMQAzf8xuejwqebd84wcksCK', 'verified': 1, 'share': 100}]",400,86hbFKGk54Rkrfq3isexiByAJCc7tYxvssYKBXCASahZ,"[{'trait_type': 'Sneaker type', 'value': 'Runner'}, {'trait_type': 'Sneaker quality', 'value': 'Common'}, {'trait_type': 'Level', 'value': '5'}, {'trait_type': 'Optimal Speed', 'value': '8.0-20.0km/h'}, {'trait_type': 'Shoe-minting Count', 'value': '2/7'}, {'trait_type': 'Efficiency', 'value': '25.0'}, {'trait_type': 'Luck', 'value': '1.8'}, {'trait_type': 'Comfortability', 'value': '8.6'}, {'trait_type': 'Resilience', 'value': '9.9'}, {'trait_type': 'Durability', 'value': '100/100'}, {'trait_type': 'Socket 1', 'value': 'Luck/unknown/empty'}, {'trait_type': 'Socket 2', 'value': 'Durability/unknown/empty'}, {'trait_type': 'Socket 3', 'value': 'Efficiency/unknown/empty'}, {'trait_type': 'Socket 4', 'value': 'Luck/unknown/empty'}, {'trait_type': 'Badge', 'value': 'None'}]","{'files': [{'uri': 'https://arweave.net/LRwd0VivHBoeNUl69coX3ThtIJBxYxALYRNiDqkRJpk', 'type': 'image/png'}], 'category': 'image', 'creators': [{'address': 'STEPNq2UGeGSzCyGVr2nMQAzf8xuejwqebd84wcksCK', 'share': 100}]}",1,STEPNq2UGeGSzCyGVr2nMQAzf8xuejwqebd84wcksCK,0,{},False,"{'auctionHouseKey': 'E8cU1WiRWjanGxmn96ewBgk9vPTcL6AEZ1t6F6fkgUWe', 'sellerReferral': 'autMW8SgBkVYeBgqYiTuJZnkvDZMVU2MHJh9Jh7CSQ2', 'expiry': -1}",{}
