,id,price,escrowPubkey,owner,collectionName,collectionTitle,img,title,content,externalURL,propertyCategory,creators,sellerFeeBasisPoints,mintAddress,attributes,properties,supply,updateAuthority,primarySaleHappened,onChainCollection,tokenDelegateValid,v2,rarity
0,5ZMjbWtvPc8x2rVM5NKRWJsq6G2paukqF37hPUGWddXi,3.95,5kmzFAuq5TDLgnjTZWqtYZMhbQ38fCUMMhAtxnDBDN5i,BLaRjbm8Lcv3gEhKFwLQw63hT6XJMBXQx5kxZo8Wt1iv,defi_pirates,DeFi Pirates,https://chest.mypinata.cloud/ipfs/QmS5GYVvxm5s144rMqAX2qpfD9KXDQURU5Uj1Jvd23Jq2P/9870.gif,DeFi Pirate #9870,A unique utility-based NFT collection of DeFi Sea Buccaneers looking for treasure,https://chest.fi,image,"[{'address': 'Cjaj1MjAvHoo68LwY8iPXSSkYR6xsfDBqEp3ZyeRdoar', 'verified': 1, 'share': 0}, {'address': 'RRUMF9KYPcvNSmnicNMAFKx5wDYix3wjNa6bA7R6xqA', 'verified': 0, 'share': 10}, {'address': '9UwSF2gPqzssisA94NoQgzEyDmW2KPGAGBi4o34FK6pH', 'verified': 0, 'share': 90}]",600,bx6x76qw9NospCV6xoa3NMJHCHovVmoRVeEH6staGR5,"[{'trait_type': 'Background', 'value': 'Yellow'}, {'trait_type': 'Body', 'value': 'Body 2'}, {'trait_type': 'Eyes', 'value': 'Mad'}, {'trait_type': 'Eye Patch', 'value': 'None'}, {'trait_type': 'Tops', 'value': 'Shirt Red'}, {'trait_type': 'Hair', 'value': 'Bald Goatee Gray'}, {'trait_type': 'Mouth', 'value': 'Smile'}, {'trait_type': 'Accessory', 'value': 'None'}, {'trait_type': 'Earrings', 'value': 'None'}, {'trait_type': 'Hats', 'value': 'Superior Bandana'}, {'trait_type': 'Hand', 'value': 'Hook'}]","{'files': [{'uri': 'https://chest.mypinata.cloud/ipfs/QmS5GYVvxm5s144rMqAX2qpfD9KXDQURU5Uj1Jvd23Jq2P/9870.gif', 'type': 'image/fif'}], 'category': 'image', 'creators': [{'address': '9UwSF2gPqzssisA94NoQgzEyDmW2KPGAGBi4o34FK6pH', 'share': 100}]}",1,8oUB51HmCjwnquwQyptz2Ys9hSnqATeMQnv2jqeLPJhZ,1,{},False,"{'auctionHouseKey': 'E8cU1WiRWjanGxmn96ewBgk9vPTcL6AEZ1t6F6fkgUWe', 'sellerReferral': 'autMW8SgBkVYeBgqYiTuJZnkvDZMVU2MHJh9Jh7CSQ2', 'expiry': -1}","{'moonrank': {'rank': 8037}, 'howrare': {'rank': 5811}}"
1,7sYdeWy6zBTnfa1WTxXrSCGMVk9ohqQ4v84q5xzWEGCb,3.99,3Xeun8zBwwYo6rpguRRANrzTsJivZnJg6Hmy9jkQQcr5,4quwBSuifE96UWd4PukB5dGZAf9rMZH7VAmWLxUkz8uC,defi_pirates,DeFi Pirates,https://chest.mypinata.cloud/ipfs/QmS5GYVvxm5s144rMqAX2qpfD9KXDQURU5Uj1Jvd23Jq2P/8771.gif,DeFi Pirate #8771,A unique utility-based NFT collection of DeFi Sea Buccaneers looking for treasure,https://chest.fi,image,"[{'address': 'Cjaj1MjAvHoo68LwY8iPXSSkYR6xsfDBqEp3ZyeRdoar', 'verified': 1, 'share': 0}, {'address': 'RRUMF9KYPcvNSmnicNMAFKx5wDYix3wjNa6bA7R6xqA', 'verified': 0, 'share': 10}, {'address': '9UwSF2gPqzssisA94NoQgzEyDmW2KPGAGBi4o34FK6pH', 'verified': 0, 'share': 90}]",600,2ebosrmYJa9s9Ghz8YsoQ826YVtoVNutayrhhVZbsSUQ,"[{'trait_type': 'Background', 'value': 'Red'}, {'trait_type': 'Body', 'value': 'Body 2'}, {'trait_type': 'Eyes', 'value': 'Bored'}, {'trait_type': 'Eye Patch', 'value': 'None'}, {'trait_type': 'Tops', 'value': 'Shirt Black'}, {'trait_type': 'Hair', 'value': 'None'}, {'trait_type': 'Mouth', 'value': 'Smile'}, {'trait_type': 'Accessory', 'value': 'None'}, {'trait_type': 'Earrings', 'value': 'None'}, {'trait_type': 'Hats', 'value': 'Bandana Black'}, {'trait_type': 'Hand', 'value': 'Rapier'}]","{'files': [{'uri': 'https://chest.mypinata.cloud/ipfs/QmS5GYVvxm5s144rMqAX2qpfD9KXDQURU5Uj1Jvd23Jq2P/8771.gif', 'type': 'image/fif'}], 'category': 'image', 'creators': [{'address': '9UwSF2gPqzssisA94NoQgzEyDmW2KPGAGBi4o34FK6pH', 'share': 100}]}",1,8oUB51HmCjwnquwQyptz2Ys9hSnqATeMQnv2jqeLPJhZ,1,{},False,"{'auctionHouseKey': 'E8cU1WiRWjanGxmn96ewBgk9vPTcL6AEZ1t6F6fkgUWe', 'sellerReferral': 'autMW8SgBkVYeBgqYiTuJZnkvDZMVU2MHJh9Jh7CSQ2', 'expiry': -1}","{'moonrank': {'rank': 9006}, 'howrare': {'rank': 6946}}"
2,DmANis2ELYwjLo9gMM8yskK7cUUSdc2oFKcKBdgkC7ht,4.0,8gSNFTkQSfzNRXwhSfPKGESqUc5D818kFYun8yYdvdih,6Sv9SxU5vKKpU5p3AuQHrHoe2JeW2GS95vxx2JjF88bf,defi_pirates,DeFi Pirates,https://chest.mypinata.cloud/ipfs/QmS5GYVvxm5s144rMqAX2qpfD9KXDQURU5Uj1Jvd23Jq2P/9641.gif,DeFi Pirate #9641,A unique utility-based NFT collection of DeFi Sea Buccaneers looking for treasure,https://chest.fi,image,"[{'address': 'Cjaj1MjAvHoo68LwY8iPXSSkYR6xsfDBqEp3ZyeRdoar', 'verified': 1, 'share': 0}, {'address': 'RRUMF9KYPcvNSmnicNMAFKx5wDYix3wjNa6bA7R6xqA', 'verified': 0, 'share': 10}, {'address': '9UwSF2gPqzssisA94NoQgzEyDmW2KPGAGBi4o34FK6pH', 'verified': 0, 'share': 90}]",600,13RiHwwhD2A5CcZYHygukUpzywqF9h5gom8JfEt9ohku,"[{'trait_type': 'Background', 'value': 'Yellow'}, {'trait_type': 'Body', 'value': 'Body 2'}, {'trait_type': 'Eyes', 'value': 'Eyes'}, {'trait_type': 'Eye Patch', 'value': 'Eye Patch Black'}, {'trait_type': 'Tops', 'value': 'Red'}, {'trait_type': 'Hair', 'value': 'Fancy Hair Brown'}, {'trait_type': 'Mouth', 'value': 'Toothless'}, {'trait_type': 'Accessory', 'value': 'None'}, {'trait_type': 'Earrings', 'value': 'Earring Silver'}, {'trait_type': 'Hats', 'value': 'Tricorn Hat Black'}, {'trait_type': 'Hand', 'value': 'Rapier'}]","{'files': [{'uri': 'https://chest.mypinata.cloud/ipfs/QmS5GYVvxm5s144rMqAX2qpfD9KXDQURU5Uj1Jvd23Jq2P/9641.gif', 'type': 'image/gif'}], 'category': 'image', 'creators': [{'address': '9UwSF2gPqzssisA94NoQgzEyDmW2KPGAGBi4o34FK6pH', 'share': 100}]}",1,8oUB51HmCjwnquwQyptz2Ys9hSnqATeMQnv2jqeLPJhZ,1,{},False,"{'auctionHouseKey': 'E8cU1WiRWjanGxmn96ewBgk9vPTcL6AEZ1t6F6fkgUWe', 'sellerReferral': 'autMW8SgBkVYeBgqYiTuJZnkvDZMVU2MHJh9Jh7CSQ2', 'expiry': -1}","{'howrare': {'rank': 5839}, 'moonrank': {'rank': 5993}}"
3,6ZCjNQypAh32bqnBcvEVQoahRGJV8EWP4z8Rj9NrQmPg,4.0,GYw5gmAjXUhFgrkaJcMUXHfCLFWSQJPWpu3eTfV6Ahyz,AwEP3PyQskVVrutoT2k1GQnFgVwuZpJ6s5pmgd29eTfY,defi_pirates,DeFi Pirates,https://chest.mypinata.cloud/ipfs/QmS5GYVvxm5s144rMqAX2qpfD9KXDQURU5Uj1Jvd23Jq2P/6853.gif,DeFi Pirate #6853,A unique utility-based NFT collection of DeFi Sea Buccaneers looking for treasure,https://chest.fi,image,"[{'address': 'Cjaj1MjAvHoo68LwY8iPXSSkYR6xsfDBqEp3ZyeRdoar', 'verified': 1, 'share': 0}, {'address': 'RRUMF9KYPcvNSmnicNMAFKx5wDYix3wjNa6bA7R6xqA', 'verified': 0, 'share': 10}, {'address': '9UwSF2gPqzssisA94NoQgzEyDmW2KPGAGBi4o34FK6pH', 'verified': 0, 'share': 90}]",600,5r6rpw6frqRmY4WbKs6uPS4XVN5DHxBBK3mAXfNdRker,"[{'trait_type': 'Background', 'value': 'Black'}, {'trait_type': 'Body', 'value': 'Body 1'}, {'trait_type': 'Eyes', 'value': 'Eyes'}, {'trait_type': 'Eye Patch', 'value': 'Eye Patch Black'}, {'trait_type': 'Tops', 'value': 'Striped Blue'}, {'trait_type': 'Hair', 'value': 'Fancy Hair Black'}, {'trait_type': 'Mouth', 'value': 'Smile'}, {'trait_type': 'Accessory', 'value': 'None'}, {'trait_type': 'Earrings', 'value': 'None'}, {'trait_type': 'Hats', 'value': 'None'}, {'trait_type': 'Hand', 'value': 'Bomb'}]","{'files': [{'uri': 'https://chest.mypinata.cloud/ipfs/QmS5GYVvxm5s144rMqAX2qpfD9KXDQURU5Uj1Jvd23Jq2P/6853.gif', 'type': 'image/fif'}], 'category': 'image', 'creators': [{'address': '9UwSF2gPqzssisA94NoQgzEyDmW2KPGAGBi4o34FK6pH', 'share': 100}]}",1,8oUB51HmCjwnquwQyptz2Ys9hSnqATeMQnv2jqeLPJhZ,1,{},False,"{'auctionHouseKey': 'E8cU1WiRWjanGxmn96ewBgk9vPTcL6AEZ1t6F6fkgUWe', 'sellerReferral': 'autMW8SgBkVYeBgqYiTuJZnkvDZMVU2MHJh9Jh7CSQ2', 'expiry': -1}","{'moonrank': {'rank': 8790}, 'howrare': {'rank': 7099}}"
4,6NcNFVzv1DFxcGWuLxAYsHS28sjC6zHKTXkTMogDLroo,4.0,EfZYZFQi66RFSFHeJoqbMBvK51VNLawAer9tArNXJdXj,BLaRjbm8Lcv3gEhKFwLQw63hT6XJMBXQx5kxZo8Wt1iv,defi_pirates,DeFi Pirates,https://chest.mypinata.cloud/ipfs/QmS5GYVvxm5s144rMqAX2qpfD9KXDQURU5Uj1Jvd23Jq2P/898.gif,DeFi Pirate #898,A unique utility-based NFT collection of DeFi Sea Buccaneers looking for treasure,https://chest.fi,image,"[{'address': 'Cjaj1MjAvHoo68LwY8iPXSSkYR6xsfDBqEp3ZyeRdoar', 'verified': 1, 'share': 0}, {'address': 'RRUMF9KYPcvNSmnicNMAFKx5wDYix3wjNa6bA7R6xqA', 'verified': 0, 'share': 10}, {'address': '9UwSF2gPqzssisA94NoQgzEyDmW2KPGAGBi4o34FK6pH', 'verified': 0, 'share': 90}]",600,Gc7dcNxpfpHdTovX5rtom1kEfeu14exHVkqCvPtkfuAS,"[{'trait_type': 'Background', 'value': 'Blue'}, {'trait_type': 'Body', 'value': 'Body 2'}, {'trait_type': 'Eyes', 'value': 'Blank'}, {'trait_type': 'Eye Patch', 'value': 'None'}, {'trait_type': 'Tops', 'value': 'Short Sleeve Blue'}, {'trait_type': 'Hair', 'value': 'Short Brown'}, {'trait_type': 'Mouth', 'value': 'Smile'}, {'trait_type': 'Accessory', 'value': 'None'}, {'trait_type': 'Earrings', 'value': 'None'}, {'trait_type': 'Hats', 'value': 'Superior Bandana'}, {'trait_type': 'Hand', 'value': 'None'}]","{'files': [{'uri': 'https://chest.mypinata.cloud/ipfs/QmS5GYVvxm5s144rMqAX2qpfD9KXDQURU5Uj1Jvd23Jq2P/898.gif', 'type': 'image/gif'}], 'category': 'image', 'creators': [{'address': '9UwSF2gPqzssisA94NoQgzEyDmW2KPGAGBi4o34FK6pH', 'share': 100}]}",1,8oUB51HmCjwnquwQyptz2Ys9hSnqATeMQnv2jqeLPJhZ,1,{},False,"{'auctionHouseKey': 'E8cU1WiRWjanGxmn96ewBgk9vPTcL6AEZ1t6F6fkgUWe', 'sellerReferral': 'autMW8SgBkVYeBgqYiTuJZnkvDZMVU2MHJh9Jh7CSQ2', 'expiry': -1}","{'moonrank': {'rank': 8158}, 'howrare': {'rank': 6467}}"
5,BPSQou86j3AEGbnGgKyAfAgDi8pnGSfAx7orTd6dTcfx,4.03,4taZhaTivKsF2rJxBMwKTKbpDbL2eq6jgTgTDX84cxHh,BLaRjbm8Lcv3gEhKFwLQw63hT6XJMBXQx5kxZo8Wt1iv,defi_pirates,DeFi Pirates,https://chest.mypinata.cloud/ipfs/QmS5GYVvxm5s144rMqAX2qpfD9KXDQURU5Uj1Jvd23Jq2P/8677.gif,DeFi Pirate #8677,A unique utility-based NFT collection of DeFi Sea Buccaneers looking for treasure,https://chest.fi,image,"[{'address': 'Cjaj1MjAvHoo68LwY8iPXSSkYR6xsfDBqEp3ZyeRdoar', 'verified': 1, 'share': 0}, {'address': 'RRUMF9KYPcvNSmnicNMAFKx5wDYix3wjNa6bA7R6xqA', 'verified': 0, 'share': 10}, {'address': '9UwSF2gPqzssisA94NoQgzEyDmW2KPGAGBi4o34FK6pH', 'verified': 0, 'share': 90}]",600,9snC6jELH1LG9bf8312HBF8kkoyKs9M6bweNktR88LSN,"[{'trait_type': 'Background', 'value': 'Yellow'}, {'trait_type': 'Body', 'value': 'Body 2'}, {'trait_type': 'Eyes', 'value': 'Bored'}, {'trait_type': 'Eye Patch', 'value': 'None'}, {'trait_type': 'Tops', 'value': 'Coat Black'}, {'trait_type': 'Hair', 'value': 'None'}, {'trait_type': 'Mouth', 'value': 'Smile'}, {'trait_type': 'Accessory', 'value': 'None'}, {'trait_type': 'Earrings', 'value': 'None'}, {'trait_type': 'Hats', 'value': 'Bandana Black'}, {'trait_type': 'Hand', 'value': 'Bomb'}]","{'files': [{'uri': 'https://chest.mypinata.cloud/ipfs/QmS5GYVvxm5s144rMqAX2qpfD9KXDQURU5Uj1Jvd23Jq2P/8677.gif', 'type': 'image/fif'}], 'category': 'image', 'creators': [{'address': '9UwSF2gPqzssisA94NoQgzEyDmW2KPGAGBi4o34FK6pH', 'share': 100}]}",1,8oUB51HmCjwnquwQyptz2Ys9hSnqATeMQnv2jqeLPJhZ,1,{},False,"{'auctionHouseKey': 'E8cU1WiRWjanGxmn96ewBgk9vPTcL6AEZ1t6F6fkgUWe', 'sellerReferral': 'autMW8SgBkVYeBgqYiTuJZnkvDZMVU2MHJh9Jh7CSQ2', 'expiry': -1}","{'howrare': {'rank': 5717}, 'moonrank': {'rank': 8714}}"
6,Cp78yAiKPh3VXKHMxHM4AaYKctPAk8ThRSHZkvrCGETX,4.05,91boo4gbCdrAg5CjU949V6X4F4kURqiR1fNkHoAnt3Sk,BLaRjbm8Lcv3gEhKFwLQw63hT6XJMBXQx5kxZo8Wt1iv,defi_pirates,DeFi Pirates,https://chest.mypinata.cloud/ipfs/QmS5GYVvxm5s144rMqAX2qpfD9KXDQURU5Uj1Jvd23Jq2P/695.gif,DeFi Pirate #695,A unique utility-based NFT collection of DeFi Sea Buccaneers looking for treasure,https://chest.fi,image,"[{'address': 'Cjaj1MjAvHoo68LwY8iPXSSkYR6xsfDBqEp3ZyeRdoar', 'verified': 1, 'share': 0}, {'address': 'RRUMF9KYPcvNSmnicNMAFKx5wDYix3wjNa6bA7R6xqA', 'verified': 0, 'share': 10}, {'address': '9UwSF2gPqzssisA94NoQgzEyDmW2KPGAGBi4o34FK6pH', 'verified': 0, 'share': 90}]",600,8BpTXzZHaYKBD141EPqi49kj7sxnGMNkSTJSrtKtGYA5,"[{'trait_type': 'Background', 'value': 'Blue'}, {'trait_type': 'Body', 'value': 'Body 1'}, {'trait_type': 'Eyes', 'value': 'Eyes'}, {'trait_type': 'Eye Patch', 'value': 'None'}, {'trait_type': 'Tops', 'value': 'Coat White'}, {'trait_type': 'Hair', 'value': 'Short Brown'}, {'trait_type': 'Mouth', 'value': 'Smile'}, {'trait_type': 'Accessory', 'value': 'Cigar'}, {'trait_type': 'Earrings', 'value': 'Earring Silver'}, {'trait_type': 'Hats', 'value': 'Tricorn Hat Brown'}, {'trait_type': 'Hand', 'value': 'Rum'}]","{'files': [{'uri': 'https://chest.mypinata.cloud/ipfs/QmS5GYVvxm5s144rMqAX2qpfD9KXDQURU5Uj1Jvd23Jq2P/695.gif', 'type': 'image/gif'}], 'category': 'image', 'creators': [{'address': '9UwSF2gPqzssisA94NoQgzEyDmW2KPGAGBi4o34FK6pH', 'share': 100}]}",1,8oUB51HmCjwnquwQyptz2Ys9hSnqATeMQnv2jqeLPJhZ,1,{},False,"{'auctionHouseKey': 'E8cU1WiRWjanGxmn96ewBgk9vPTcL6AEZ1t6F6fkgUWe', 'sellerReferral': 'autMW8SgBkVYeBgqYiTuJZnkvDZMVU2MHJh9Jh7CSQ2', 'expiry': -1}","{'moonrank': {'rank': 7990}, 'howrare': {'rank': 8590}}"
7,A969fftc9YCxiUPzPk6EZbhzB3gNuhctgkp7yAs9AVnB,4.07,5zMcoEGEekX4LPFdwg52EVWrEopis9XSpKHs1iXLpxh3,BLaRjbm8Lcv3gEhKFwLQw63hT6XJMBXQx5kxZo8Wt1iv,defi_pirates,DeFi Pirates,https://chest.mypinata.cloud/ipfs/QmS5GYVvxm5s144rMqAX2qpfD9KXDQURU5Uj1Jvd23Jq2P/9225.gif,DeFi Pirate #9225,A unique utility-based NFT collection of DeFi Sea Buccaneers looking for treasure,https://chest.fi,image,"[{'address': 'Cjaj1MjAvHoo68LwY8iPXSSkYR6xsfDBqEp3ZyeRdoar', 'verified': 1, 'share': 0}, {'address': 'RRUMF9KYPcvNSmnicNMAFKx5wDYix3wjNa6bA7R6xqA', 'verified': 0, 'share': 10}, {'address': '9UwSF2gPqzssisA94NoQgzEyDmW2KPGAGBi4o34FK6pH', 'verified': 0, 'share': 90}]",600,DcwzdSWqfg57bLvGQeT39zUtVrZMqX4J1i4sDG3y49dy,"[{'trait_type': 'Background', 'value': 'Blue'}, {'trait_type': 'Body', 'value': 'Body 2'}, {'trait_type': 'Eyes', 'value': 'Bored'}, {'trait_type': 'Eye Patch', 'value': 'None'}, {'trait_type': 'Tops', 'value': 'Shirt Orange'}, {'trait_type': 'Hair', 'value': 'None'}, {'trait_type': 'Mouth', 'value': 'Smile'}, {'trait_type': 'Accessory', 'value': 'None'}, {'trait_type': 'Earrings', 'value': 'None'}, {'trait_type': 'Hats', 'value': 'Bandana Black'}, {'trait_type': 'Hand', 'value': 'None'}]","{'files': [{'uri': 'https://chest.mypinata.cloud/ipfs/QmS5GYVvxm5s144rMqAX2qpfD9KXDQURU5Uj1Jvd23Jq2P/9225.gif', 'type': 'image/fif'}], 'category': 'image', 'creators': [{'address': '9UwSF2gPqzssisA94NoQgzEyDmW2KPGAGBi4o34FK6pH', 'share': 100}]}",1,8oUB51HmCjwnquwQyptz2Ys9hSnqATeMQnv2jqeLPJhZ,1,{},False,"{'auctionHouseKey': 'E8cU1WiRWjanGxmn96ewBgk9vPTcL6AEZ1t6F6fkgUWe', 'sellerReferral': 'autMW8SgBkVYeBgqYiTuJZnkvDZMVU2MHJh9Jh7CSQ2', 'expiry': -1}","{'moonrank': {'rank': 9051}, 'howrare': {'rank': 687}}"
8,vHdW6qBfkscXyKjXkSdUptSCx2xxMbVGVcnH3QxMiZv,4.1,ExbDEvZWMaQvn7JVoxkax52MVZAv9dHq95WE6xiu9HVz,CLTZHqZpfhYYAhXYB7zUxAmbAKVV3gEbqMBkRp7BsH7A,defi_pirates,DeFi Pirates,https://chest.mypinata.cloud/ipfs/QmS5GYVvxm5s144rMqAX2qpfD9KXDQURU5Uj1Jvd23Jq2P/5480.gif,DeFi Pirate #5480,A unique utility-based NFT collection of DeFi Sea Buccaneers looking for treasure,https://chest.fi,image,"[{'address': 'Cjaj1MjAvHoo68LwY8iPXSSkYR6xsfDBqEp3ZyeRdoar', 'verified': 1, 'share': 0}, {'address': 'RRUMF9KYPcvNSmnicNMAFKx5wDYix3wjNa6bA7R6xqA', 'verified': 0, 'share': 10}, {'address': '9UwSF2gPqzssisA94NoQgzEyDmW2KPGAGBi4o34FK6pH', 'verified': 0, 'share': 90}]",600,BKJs7fwD9UNk5BfwTDP9zYQQbJ8swxoLf1jydxHoZUs3,"[{'trait_type': 'Background', 'value': 'Black'}, {'trait_type': 'Body', 'value': 'Body 2'}, {'trait_type': 'Eyes', 'value': 'Mad'}, {'trait_type': 'Eye Patch', 'value': 'None'}, {'trait_type': 'Tops', 'value': 'Short Sleeve Blue'}, {'trait_type': 'Hair', 'value': 'Bald Goatee Gray'}, {'trait_type': 'Mouth', 'value': 'Toothless'}, {'trait_type': 'Accessory', 'value': 'None'}, {'trait_type': 'Earrings', 'value': 'Earring Silver'}, {'trait_type': 'Hats', 'value': 'Bicorn Hat Black'}, {'trait_type': 'Hand', 'value': 'Rapier'}]","{'files': [{'uri': 'https://chest.mypinata.cloud/ipfs/QmS5GYVvxm5s144rMqAX2qpfD9KXDQURU5Uj1Jvd23Jq2P/5480.gif', 'type': 'image/gif'}], 'category': 'image', 'creators': [{'address': '9UwSF2gPqzssisA94NoQgzEyDmW2KPGAGBi4o34FK6pH', 'share': 100}]}",1,8oUB51HmCjwnquwQyptz2Ys9hSnqATeMQnv2jqeLPJhZ,1,{},False,"{'auctionHouseKey': 'E8cU1WiRWjanGxmn96ewBgk9vPTcL6AEZ1t6F6fkgUWe', 'sellerReferral': 'autMW8SgBkVYeBgqYiTuJZnkvDZMVU2MHJh9Jh7CSQ2', 'expiry': -1}","{'moonrank': {'rank': 3010}, 'howrare': {'rank': 3713}}"
9,D74hJz8oFCWptKMVnWkvW2d5V1hfZ6ssFMM5VuwWuBWz,4.1,GLmgBbkm5v1n1oSNnmJE6m8UmTcscSbzKsT4QxMNSf1N,7cejwZW49vaxiFKghEgcCLRgPhMFQYVyJwFJ1Q8YSy8k,defi_pirates,DeFi Pirates,https://chest.mypinata.cloud/ipfs/QmS5GYVvxm5s144rMqAX2qpfD9KXDQURU5Uj1Jvd23Jq2P/59.gif,DeFi Pirate #59,A unique utility-based NFT collection of DeFi Sea Buccaneers looking for treasure,https://chest.fi,image,"[{'address': 'Cjaj1MjAvHoo68LwY8iPXSSkYR6xsfDBqEp3ZyeRdoar', 'verified': 1, 'share': 0}, {'address': 'RRUMF9KYPcvNSmnicNMAFKx5wDYix3wjNa6bA7R6xqA', 'verified': 0, 'share': 10}, {'address': '9UwSF2gPqzssisA94NoQgzEyDmW2KPGAGBi4o34FK6pH', 'verified': 0, 'share': 90}]",600,HXRTtLVAo181T9doykSmN3rP51DEwKJH661ons3p2fBv,"[{'trait_type': 'Background', 'value': 'Blue'}, {'trait_type': 'Body', 'value': 'Body 2'}, {'trait_type': 'Eyes', 'value': 'Happy'}, {'trait_type': 'Eye Patch', 'value': 'None'}, {'trait_type': 'Tops', 'value': 'Short Sleeve Green'}, {'trait_type': 'Hair', 'value': 'Short Black'}, {'trait_type': 'Mouth', 'value': 'Smile'}, {'trait_type': 'Accessory', 'value': 'Cigar'}, {'trait_type': 'Earrings', 'value': 'None'}, {'trait_type': 'Hats', 'value': 'Tricorn Hat Brown'}, {'trait_type': 'Hand', 'value': 'Dagger'}]","{'files': [{'uri': 'https://chest.mypinata.cloud/ipfs/QmS5GYVvxm5s144rMqAX2qpfD9KXDQURU5Uj1Jvd23Jq2P/59.gif', 'type': 'image/gif'}], 'category': 'image', 'creators': [{'address': '9UwSF2gPqzssisA94NoQgzEyDmW2KPGAGBi4o34FK6pH', 'share': 100}]}",1,8oUB51HmCjwnquwQyptz2Ys9hSnqATeMQnv2jqeLPJhZ,1,{},False,"{'auctionHouseKey': 'E8cU1WiRWjanGxmn96ewBgk9vPTcL6AEZ1t6F6fkgUWe', 'sellerReferral': 'autMW8SgBkVYeBgqYiTuJZnkvDZMVU2MHJh9Jh7CSQ2', 'expiry': -1}","{'moonrank': {'rank': 6324}, 'howrare': {'rank': 8422}}"
10,8ZeFKgXJsdjywyj1vkLDn4AMWoZmkHMdShdEgqMogggt,4.15,9T3J9StRyM6jpK99yNxBMfbKfx1SEL21M9URbNQFySXL,7cBvjvigD2F2tXXsbHp6JzDHS3wPZy3kJtLkPu5pMuZU,defi_pirates,DeFi Pirates,https://chest.mypinata.cloud/ipfs/QmS5GYVvxm5s144rMqAX2qpfD9KXDQURU5Uj1Jvd23Jq2P/2084.gif,DeFi Pirate #2084,A unique utility-based NFT collection of DeFi Sea Buccaneers looking for treasure,https://chest.fi,image,"[{'address': 'Cjaj1MjAvHoo68LwY8iPXSSkYR6xsfDBqEp3ZyeRdoar', 'verified': 1, 'share': 0}, {'address': 'RRUMF9KYPcvNSmnicNMAFKx5wDYix3wjNa6bA7R6xqA', 'verified': 0, 'share': 10}, {'address': '9UwSF2gPqzssisA94NoQgzEyDmW2KPGAGBi4o34FK6pH', 'verified': 0, 'share': 90}]",600,CCPycn4YtNJfXNbWMmfYqD247aL2zaadZsBbNu6UqNzd,"[{'trait_type': 'Background', 'value': 'Green'}, {'trait_type': 'Body', 'value': 'Body 2'}, {'trait_type': 'Eyes', 'value': 'Eyes'}, {'trait_type': 'Eye Patch', 'value': 'None'}, {'trait_type': 'Tops', 'value': 'Short Sleeve Green'}, {'trait_type': 'Hair', 'value': 'Long Hair Shaved Ginger'}, {'trait_type': 'Mouth', 'value': 'Smile'}, {'trait_type': 'Accessory', 'value': 'None'}, {'trait_type': 'Earrings', 'value': 'None'}, {'trait_type': 'Hats', 'value': 'Tricorn Hat Brown'}, {'trait_type': 'Hand', 'value': 'Saber Gold'}]","{'files': [{'uri': 'https://chest.mypinata.cloud/ipfs/QmS5GYVvxm5s144rMqAX2qpfD9KXDQURU5Uj1Jvd23Jq2P/2084.gif', 'type': 'image/gif'}], 'category': 'image', 'creators': [{'address': '9UwSF2gPqzssisA94NoQgzEyDmW2KPGAGBi4o34FK6pH', 'share': 100}]}",1,8oUB51HmCjwnquwQyptz2Ys9hSnqATeMQnv2jqeLPJhZ,1,{},False,"{'auctionHouseKey': 'E8cU1WiRWjanGxmn96ewBgk9vPTcL6AEZ1t6F6fkgUWe', 'sellerReferral': 'autMW8SgBkVYeBgqYiTuJZnkvDZMVU2MHJh9Jh7CSQ2', 'expiry': -1}","{'moonrank': {'rank': 8055}, 'howrare': {'rank': 1935}}"
