,id,price,escrowPubkey,owner,collectionName,collectionTitle,img,title,content,externalURL,propertyCategory,creators,sellerFeeBasisPoints,mintAddress,attributes,properties,supply,updateAuthority,primarySaleHappened,onChainCollection,tokenDelegateValid,v2,rarity
0,BUamHK6gBV97VDRa5eQaPba4W99rGPz9UemJoUKLG72M,38.8,8tu1MQybhXcboF6LkQiVaPmyY3HdVjCrpWfYjpkhx3X9,Bi39DKXYtQ5tVpBKTfmFrt7KxQfryt3wdeXgKwEGFFgv,monkey_kingdom,Monkey Kingdom,https://arweave.net/7Dv9fpI0vE1NPuBzqeteAhchNDeidVRvta_gkrhc4Ks,Monkey Kingdom #1308,"2,222 algorithmically generated Wukong inspired apes imprisoned in the Solana blockchain. An additional 10% paperhand tax will apply to each sale that will contribute to the Marketing Fund to grow the project's long term goals.",https://monkeykingdom.io,image,"[{'address': 'C3UphYJYqTab4Yrr64V8wSAxeM7Wr9NUauyYGn7aomTJ', 'verified': 1, 'share': 100}]",1500,CVYhou56exGYhcZ7KJCsgQUQG26NFuXaaBiunGU36Mmj,"[{'trait_type': 'Background', 'value': 'orange'}, {'trait_type': 'Body', 'value': 'normal wukong'}, {'trait_type': 'Clothes', 'value': 'military vest'}, {'trait_type': 'Head', 'value': 'headphones red'}, {'trait_type': 'Eyes', 'value': 'blank'}, {'trait_type': 'Mouth', 'value': 'blank'}]","{'files': [{'uri': 'https://arweave.net/7Dv9fpI0vE1NPuBzqeteAhchNDeidVRvta_gkrhc4Ks'}], 'category': 'image', 'maxSupply': 1, 'creators': [{'address': 'Z9Gix88ad9dXX3NhHM3BW4QQfPswnMBtcDFuyMvGp4L', 'share': 75}, {'address': 'n89DmPhRAUdvnS6rSSoxtqs7DKTZd4JpKRBLQvz8jeF', 'share': 25}]}",1,C3UphYJYqTab4Yrr64V8wSAxeM7Wr9NUauyYGn7aomTJ,0,{},False,"{'auctionHouseKey': 'E8cU1WiRWjanGxmn96ewBgk9vPTcL6AEZ1t6F6fkgUWe', 'sellerReferral': 'autMW8SgBkVYeBgqYiTuJZnkvDZMVU2MHJh9Jh7CSQ2', 'expiry': -1}","{'howrare': {'rank': 844}, 'moonrank': {'rank': 1358}}"
1,8uhZbSXHxDJyao1QD13LcTGXwDECamy5cFg7ThbsKob9,39.5,8JjWpWiL3EzZ8swthKY1MkULtEaj383J3s6Sdhb1RucR,EXycfZt5bR15RwubNkxSnjabvpLPocygko2VVeayMi4E,monkey_kingdom,Monkey Kingdom,https://arweave.net/VTzHmco1QhB0spY41L-QH9NNE0CRrPj97XsjFJKZ_Ww,Monkey Kingdom #1524,"2,222 algorithmically generated Wukong inspired apes imprisoned in the Solana blockchain. An additional 10% paperhand tax will apply to each sale that will contribute to the Marketing Fund to grow the project's long term goals.",https://monkeykingdom.io,image,"[{'address': 'C3UphYJYqTab4Yrr64V8wSAxeM7Wr9NUauyYGn7aomTJ', 'verified': 1, 'share': 100}]",1500,VtDLp5BcMNMd8VR8NYrHKhpYKsekcYFMVzen3Cc4MPR,"[{'trait_type': 'Background', 'value': 'grey'}, {'trait_type': 'Body', 'value': 'normal wukong'}, {'trait_type': 'Clothes', 'value': 'turtleneck turquoise'}, {'trait_type': 'Head', 'value': 'blank'}, {'trait_type': 'Eyes', 'value': 'blank'}, {'trait_type': 'Mouth', 'value': 'glass of water'}]","{'files': [{'uri': 'https://arweave.net/VTzHmco1QhB0spY41L-QH9NNE0CRrPj97XsjFJKZ_Ww'}], 'category': 'image', 'maxSupply': 1, 'creators': [{'address': 'Z9Gix88ad9dXX3NhHM3BW4QQfPswnMBtcDFuyMvGp4L', 'share': 75}, {'address': 'n89DmPhRAUdvnS6rSSoxtqs7DKTZd4JpKRBLQvz8jeF', 'share': 25}]}",1,C3UphYJYqTab4Yrr64V8wSAxeM7Wr9NUauyYGn7aomTJ,0,{},False,"{'auctionHouseKey': 'E8cU1WiRWjanGxmn96ewBgk9vPTcL6AEZ1t6F6fkgUWe', 'sellerReferral': 'autMW8SgBkVYeBgqYiTuJZnkvDZMVU2MHJh9Jh7CSQ2', 'expiry': -1}","{'moonrank': {'rank': 1566}, 'howrare': {'rank': 2159}}"
2,97SWBmjWTKHbM8fJ4EKvbua7EZEJhRgTeYNq4XF2zEn3,39.5,5mMQqw9HSCaZiGuBsUPmpUZr798AGmY7Pq43j5YAn47F,EXycfZt5bR15RwubNkxSnjabvpLPocygko2VVeayMi4E,monkey_kingdom,Monkey Kingdom,https://arweave.net/8bvSeG0vl_LgM4ZhPrrPphrdCtuJBTNMdflPjgUEJME,Monkey Kingdom #1086,"2,222 algorithmically generated Wukong inspired apes imprisoned in the Solana blockchain. An additional 10% paperhand tax will apply to each sale that will contribute to the Marketing Fund to grow the project's long term goals.",https://monkeykingdom.io,image,"[{'address': 'C3UphYJYqTab4Yrr64V8wSAxeM7Wr9NUauyYGn7aomTJ', 'verified': 1, 'share': 100}]",1500,3nDnAgUJYithNvDrBeaS7ALqEvyUX2GLXBHbpxFkqoue,"[{'trait_type': 'Background', 'value': 'grey'}, {'trait_type': 'Body', 'value': 'normal wukong'}, {'trait_type': 'Clothes', 'value': 'tshirt green'}, {'trait_type': 'Head', 'value': 'bandanna red blue'}, {'trait_type': 'Eyes', 'value': 'blank'}, {'trait_type': 'Mouth', 'value': 'blank'}]","{'files': [{'uri': 'https://arweave.net/8bvSeG0vl_LgM4ZhPrrPphrdCtuJBTNMdflPjgUEJME'}], 'category': 'image', 'maxSupply': 1, 'creators': [{'address': 'Z9Gix88ad9dXX3NhHM3BW4QQfPswnMBtcDFuyMvGp4L', 'share': 75}, {'address': 'n89DmPhRAUdvnS6rSSoxtqs7DKTZd4JpKRBLQvz8jeF', 'share': 25}]}",1,C3UphYJYqTab4Yrr64V8wSAxeM7Wr9NUauyYGn7aomTJ,0,{},False,"{'auctionHouseKey': 'E8cU1WiRWjanGxmn96ewBgk9vPTcL6AEZ1t6F6fkgUWe', 'sellerReferral': 'autMW8SgBkVYeBgqYiTuJZnkvDZMVU2MHJh9Jh7CSQ2', 'expiry': -1}","{'moonrank': {'rank': 1503}, 'howrare': {'rank': 917}}"
3,8AkoGiAhUW5wdNpByWpnRepy6hZtn9Eozr5L2vDEJKQH,40.0,2sNnNcK4DnUcNq7Snh752Z8Tc3mmWzxAPmPH8tj8T46p,F4PtF2se8uffK2TsFBktWzziCsBkK9H99272LYr5VZQ3,monkey_kingdom,Monkey Kingdom,https://arweave.net/yGQywGHU5rF0UqEgVMKYKfU4nhxB_gVQQPQZJhllyfQ,Monkey Kingdom #1793,"2,222 algorithmically generated Wukong inspired apes imprisoned in the Solana blockchain. An additional 10% paperhand tax will apply to each sale that will contribute to the Marketing Fund to grow the project's long term goals.",https://monkeykingdom.io,image,"[{'address': 'C3UphYJYqTab4Yrr64V8wSAxeM7Wr9NUauyYGn7aomTJ', 'verified': 1, 'share': 100}]",1500,7zt28yvzRx1S79iGJqNyZ8drUiNnNR8doh9hH3kdamp,"[{'trait_type': 'Background', 'value': 'flax'}, {'trait_type': 'Body', 'value': 'normal wukong'}, {'trait_type': 'Clothes', 'value': 'lumberjack shirt red'}, {'trait_type': 'Head', 'value': 'blank'}, {'trait_type': 'Eyes', 'value': 'sunnies green'}, {'trait_type': 'Mouth', 'value': 'blank'}]","{'files': [{'uri': 'https://arweave.net/yGQywGHU5rF0UqEgVMKYKfU4nhxB_gVQQPQZJhllyfQ'}], 'category': 'image', 'maxSupply': 1, 'creators': [{'address': 'Z9Gix88ad9dXX3NhHM3BW4QQfPswnMBtcDFuyMvGp4L', 'share': 75}, {'address': 'n89DmPhRAUdvnS6rSSoxtqs7DKTZd4JpKRBLQvz8jeF', 'share': 25}]}",1,C3UphYJYqTab4Yrr64V8wSAxeM7Wr9NUauyYGn7aomTJ,0,{},False,"{'auctionHouseKey': 'E8cU1WiRWjanGxmn96ewBgk9vPTcL6AEZ1t6F6fkgUWe', 'sellerReferral': 'autMW8SgBkVYeBgqYiTuJZnkvDZMVU2MHJh9Jh7CSQ2', 'expiry': -1}","{'howrare': {'rank': 1895}, 'moonrank': {'rank': 1222}}"
4,8j1sPiPmftUMTcwvnJiuSveVTL7f75a9fLZ2PGd89Lfq,40.0,8tScQPGDzkd6BJ5Lwzz19kd75gqc1UFK7Dtdm4twmhZA,JAvorwJCLerU1YabNxHJrYAJEu2mV5F4WPSTkzmUrFC9,monkey_kingdom,Monkey Kingdom,https://arweave.net/miNusu31HGfTjMQAA-27TnbVTy1MCyy3u7wFna7iWZA,Monkey Kingdom #1977,"2,222 algorithmically generated Wukong inspired apes imprisoned in the Solana blockchain. An additional 10% paperhand tax will apply to each sale that will contribute to the Marketing Fund to grow the project's long term goals.",https://monkeykingdom.io,image,"[{'address': 'C3UphYJYqTab4Yrr64V8wSAxeM7Wr9NUauyYGn7aomTJ', 'verified': 1, 'share': 100}]",1500,24rrWMsawx65jZH2GpkKxop6Wbs51GwHup9Ly4hdKo2x,"[{'trait_type': 'Background', 'value': 'grey'}, {'trait_type': 'Body', 'value': 'normal wukong'}, {'trait_type': 'Clothes', 'value': 'light blue tshirt'}, {'trait_type': 'Head', 'value': 'blank'}, {'trait_type': 'Eyes', 'value': 'sunnies green'}, {'trait_type': 'Mouth', 'value': 'cigarette'}]","{'files': [{'uri': 'https://arweave.net/miNusu31HGfTjMQAA-27TnbVTy1MCyy3u7wFna7iWZA'}], 'category': 'image', 'maxSupply': 1, 'creators': [{'address': 'Z9Gix88ad9dXX3NhHM3BW4QQfPswnMBtcDFuyMvGp4L', 'share': 75}, {'address': 'n89DmPhRAUdvnS6rSSoxtqs7DKTZd4JpKRBLQvz8jeF', 'share': 25}]}",1,C3UphYJYqTab4Yrr64V8wSAxeM7Wr9NUauyYGn7aomTJ,0,{},False,"{'auctionHouseKey': 'E8cU1WiRWjanGxmn96ewBgk9vPTcL6AEZ1t6F6fkgUWe', 'sellerReferral': 'autMW8SgBkVYeBgqYiTuJZnkvDZMVU2MHJh9Jh7CSQ2', 'expiry': -1}","{'moonrank': {'rank': 690}, 'howrare': {'rank': 1927}}"
5,5YQPzZfcpb9nb2QQ288BF2dNsPcWDZ4kENsMxG2MeM9P,40.0,8yEoGNeaqD5gSmLTrQq1ecZ9Cp8pK5VWvcngiwZqRyA5,JAvorwJCLerU1YabNxHJrYAJEu2mV5F4WPSTkzmUrFC9,monkey_kingdom,Monkey Kingdom,https://arweave.net/OWfnhjWnHwhQDTi2KuGrJtrq_N2Gt8OkJg7l81xlM2w,Monkey Kingdom #2203,"2,222 algorithmically generated Wukong inspired apes imprisoned in the Solana blockchain. An additional 10% paperhand tax will apply to each sale that will contribute to the Marketing Fund to grow the project's long term goals.",https://monkeykingdom.io,image,"[{'address': 'C3UphYJYqTab4Yrr64V8wSAxeM7Wr9NUauyYGn7aomTJ', 'verified': 1, 'share': 100}]",1500,48EvkfDbQrU2fzzeMZ5ZzQuqnCishFpEpchGnNaMRgEW,"[{'trait_type': 'Background', 'value': 'orange'}, {'trait_type': 'Body', 'value': 'normal wukong'}, {'trait_type': 'Clothes', 'value': 'sailor'}, {'trait_type': 'Head', 'value': 'black baseball cap'}, {'trait_type': 'Eyes', 'value': 'blank'}, {'trait_type': 'Mouth', 'value': 'cigarette'}]","{'files': [{'uri': 'https://arweave.net/OWfnhjWnHwhQDTi2KuGrJtrq_N2Gt8OkJg7l81xlM2w'}], 'category': 'image', 'maxSupply': 1, 'creators': [{'address': 'Z9Gix88ad9dXX3NhHM3BW4QQfPswnMBtcDFuyMvGp4L', 'share': 75}, {'address': 'n89DmPhRAUdvnS6rSSoxtqs7DKTZd4JpKRBLQvz8jeF', 'share': 25}]}",1,C3UphYJYqTab4Yrr64V8wSAxeM7Wr9NUauyYGn7aomTJ,0,{},False,"{'auctionHouseKey': 'E8cU1WiRWjanGxmn96ewBgk9vPTcL6AEZ1t6F6fkgUWe', 'sellerReferral': 'autMW8SgBkVYeBgqYiTuJZnkvDZMVU2MHJh9Jh7CSQ2', 'expiry': -1}","{'howrare': {'rank': 171}, 'moonrank': {'rank': 253}}"
6,Et7pkzMUix8mo79yQvTrNqKtNeHYqWPre4KQjYa213qu,40.0,CuooitjY3JgjQDUEzGdHef8EqkUL9TJgugC14jpBqfsy,JAvorwJCLerU1YabNxHJrYAJEu2mV5F4WPSTkzmUrFC9,monkey_kingdom,Monkey Kingdom,https://arweave.net/12TDT38QP7ssGex_HL_u4NwAMAqha8GoG9k5O_zaATw,Monkey Kingdom #698,"2,222 algorithmically generated Wukong inspired apes imprisoned in the Solana blockchain. An additional 10% paperhand tax will apply to each sale that will contribute to the Marketing Fund to grow the project's long term goals.",https://monkeykingdom.io,image,"[{'address': 'C3UphYJYqTab4Yrr64V8wSAxeM7Wr9NUauyYGn7aomTJ', 'verified': 1, 'share': 100}]",1500,21yMpvEkjrUtyVi2azEHNDKyc6py7fUjvpm7EPHm68xK,"[{'trait_type': 'Background', 'value': 'grey'}, {'trait_type': 'Body', 'value': 'normal wukong'}, {'trait_type': 'Clothes', 'value': 'white shirt'}, {'trait_type': 'Head', 'value': 'front cap red'}, {'trait_type': 'Eyes', 'value': 'sunnies purple'}, {'trait_type': 'Mouth', 'value': 'blank'}]","{'files': [{'uri': 'https://arweave.net/12TDT38QP7ssGex_HL_u4NwAMAqha8GoG9k5O_zaATw'}], 'category': 'image', 'maxSupply': 1, 'creators': [{'address': 'Z9Gix88ad9dXX3NhHM3BW4QQfPswnMBtcDFuyMvGp4L', 'share': 75}, {'address': 'n89DmPhRAUdvnS6rSSoxtqs7DKTZd4JpKRBLQvz8jeF', 'share': 25}]}",1,C3UphYJYqTab4Yrr64V8wSAxeM7Wr9NUauyYGn7aomTJ,0,{},False,"{'auctionHouseKey': 'E8cU1WiRWjanGxmn96ewBgk9vPTcL6AEZ1t6F6fkgUWe', 'sellerReferral': 'autMW8SgBkVYeBgqYiTuJZnkvDZMVU2MHJh9Jh7CSQ2', 'expiry': -1}","{'moonrank': {'rank': 552}, 'howrare': {'rank': 1068}}"
7,BdTPJyT5L2tYwfWt8yTXACmryUVx5GRvUpXYy11eCpsT,40.0,3pwwZdQPrGU6qTUQMx7fmihvMgs7XJoCWWJfzTuzkURb,C3k3nmirdqYyWipS69RTUwGxUioQgFuLK7TQULfjyh3U,monkey_kingdom,Monkey Kingdom,https://arweave.net/-jCPshBLRGsaHTH-4LHG3eHYE5CDYrinL2aZLrf3tJM,Monkey Kingdom #306,"2,222 algorithmically generated Wukong inspired apes imprisoned in the Solana blockchain. An additional 10% paperhand tax will apply to each sale that will contribute to the Marketing Fund to grow the project's long term goals.",https://monkeykingdom.io,image,"[{'address': 'C3UphYJYqTab4Yrr64V8wSAxeM7Wr9NUauyYGn7aomTJ', 'verified': 1, 'share': 100}]",1500,EBrmD3nv1MVzQxV9Tpp41FqgJtrnxJSejGcDVTgJSSw1,"[{'trait_type': 'Background', 'value': 'orange'}, {'trait_type': 'Body', 'value': 'normal wukong'}, {'trait_type': 'Clothes', 'value': 'scarf green'}, {'trait_type': 'Head', 'value': 'head sunnies green'}, {'trait_type': 'Eyes', 'value': 'blank'}, {'trait_type': 'Mouth', 'value': 'blank'}]","{'files': [{'uri': 'https://arweave.net/-jCPshBLRGsaHTH-4LHG3eHYE5CDYrinL2aZLrf3tJM'}], 'category': 'image', 'maxSupply': 1, 'creators': [{'address': 'Z9Gix88ad9dXX3NhHM3BW4QQfPswnMBtcDFuyMvGp4L', 'share': 75}, {'address': 'n89DmPhRAUdvnS6rSSoxtqs7DKTZd4JpKRBLQvz8jeF', 'share': 25}]}",1,C3UphYJYqTab4Yrr64V8wSAxeM7Wr9NUauyYGn7aomTJ,0,{},False,"{'auctionHouseKey': 'E8cU1WiRWjanGxmn96ewBgk9vPTcL6AEZ1t6F6fkgUWe', 'sellerReferral': 'autMW8SgBkVYeBgqYiTuJZnkvDZMVU2MHJh9Jh7CSQ2', 'expiry': -1}","{'howrare': {'rank': 1503}, 'moonrank': {'rank': 1812}}"
8,B9PEhEv2G6qM2xdLfLtF23H5Q7BHbysQVE8XgaE8v5yu,40.0,GoguGwsGzfxV26C4iBoTd9JyAcCBm8225atgiAkMqCDJ,AaL57jvgYDE3wcQPxhmo78NPGa4gSv259xxJZS959sDm,monkey_kingdom,Monkey Kingdom,https://arweave.net/juQm6xWX_9fBT7zR5RR0F6p0Np5qQOEN-Qrqyb1eR-8,Monkey Kingdom #142,"2,222 algorithmically generated Wukong inspired apes imprisoned in the Solana blockchain. An additional 10% paperhand tax will apply to each sale that will contribute to the Marketing Fund to grow the project's long term goals.",https://monkeykingdom.io,image,"[{'address': 'C3UphYJYqTab4Yrr64V8wSAxeM7Wr9NUauyYGn7aomTJ', 'verified': 1, 'share': 100}]",1500,ACrAusxKgRWk8KCvfYZuZHZ5SDpdtuRV1MWfWPodKjXS,"[{'trait_type': 'Background', 'value': 'pink'}, {'trait_type': 'Body', 'value': 'normal wukong'}, {'trait_type': 'Clothes', 'value': 'blank'}, {'trait_type': 'Head', 'value': 'visor cap pink'}, {'trait_type': 'Eyes', 'value': 'blank'}, {'trait_type': 'Mouth', 'value': 'cigarette'}]","{'files': [{'uri': 'https://arweave.net/juQm6xWX_9fBT7zR5RR0F6p0Np5qQOEN-Qrqyb1eR-8'}], 'category': 'image', 'maxSupply': 1, 'creators': [{'address': 'Z9Gix88ad9dXX3NhHM3BW4QQfPswnMBtcDFuyMvGp4L', 'share': 75}, {'address': 'n89DmPhRAUdvnS6rSSoxtqs7DKTZd4JpKRBLQvz8jeF', 'share': 25}]}",1,C3UphYJYqTab4Yrr64V8wSAxeM7Wr9NUauyYGn7aomTJ,0,{},False,"{'auctionHouseKey': 'E8cU1WiRWjanGxmn96ewBgk9vPTcL6AEZ1t6F6fkgUWe', 'sellerReferral': 'autMW8SgBkVYeBgqYiTuJZnkvDZMVU2MHJh9Jh7CSQ2', 'expiry': -1}","{'howrare': {'rank': 2079}, 'moonrank': {'rank': 2065}}"
9,AtuBLV56oQcNr7j5tHwxyB5bLRurf1R2bWRV2h6mqmDd,42.0,2QapHeRFQZysMrvmF2vxHL1xTNF5GTPbKdVahupcBEeq,EXycfZt5bR15RwubNkxSnjabvpLPocygko2VVeayMi4E,monkey_kingdom,Monkey Kingdom,https://arweave.net/7PGQ5Gyoz2cRXs0mX751nb7DjvBRY9h4faRpEOjesDo,Monkey Kingdom #1169,"2,222 algorithmically generated Wukong inspired apes imprisoned in the Solana blockchain. An additional 10% paperhand tax will apply to each sale that will contribute to the Marketing Fund to grow the project's long term goals.",https://monkeykingdom.io,image,"[{'address': 'C3UphYJYqTab4Yrr64V8wSAxeM7Wr9NUauyYGn7aomTJ', 'verified': 1, 'share': 100}]",1500,CXD5SVEgPXFXfAZR3YFCXUueEJ5TYug2metbHaBEy1uk,"[{'trait_type': 'Background', 'value': 'flax'}, {'trait_type': 'Body', 'value': 'normal wukong'}, {'trait_type': 'Clothes', 'value': 'flower shirt blue'}, {'trait_type': 'Head', 'value': 'blank'}, {'trait_type': 'Eyes', 'value': 'blank'}, {'trait_type': 'Mouth', 'value': 'blank'}]","{'files': [{'uri': 'https://arweave.net/7PGQ5Gyoz2cRXs0mX751nb7DjvBRY9h4faRpEOjesDo'}], 'category': 'image', 'maxSupply': 1, 'creators': [{'address': 'Z9Gix88ad9dXX3NhHM3BW4QQfPswnMBtcDFuyMvGp4L', 'share': 75}, {'address': 'n89DmPhRAUdvnS6rSSoxtqs7DKTZd4JpKRBLQvz8jeF', 'share': 25}]}",1,C3UphYJYqTab4Yrr64V8wSAxeM7Wr9NUauyYGn7aomTJ,0,{},False,"{'auctionHouseKey': 'E8cU1WiRWjanGxmn96ewBgk9vPTcL6AEZ1t6F6fkgUWe', 'sellerReferral': 'autMW8SgBkVYeBgqYiTuJZnkvDZMVU2MHJh9Jh7CSQ2', 'expiry': -1}","{'moonrank': {'rank': 2221}, 'howrare': {'rank': 2208}}"
10,2ycHzzYcAFSpfBhki1awGAf3QhHedTf17o4ct5Xxt1MX,42.0,9mtdJVe7Xc8LZZZ8mGWy8M4PX2CJKFKLkCejsK4F9VmU,E2qvVBmBa8bei3nxvwDpwEa9sTAQJTQdREQrAeCG4KBy,monkey_kingdom,Monkey Kingdom,https://arweave.net/CneZOmANmbqBnuBxAzDM15c722aHSqw4i7E8fg9resg,Monkey Kingdom #2,"2,222 algorithmically generated Wukong inspired apes imprisoned in the Solana blockchain. An additional 10% paperhand tax will apply to each sale that will contribute to the Marketing Fund to grow the project's long term goals.",https://monkeykingdom.io,image,"[{'address': 'C3UphYJYqTab4Yrr64V8wSAxeM7Wr9NUauyYGn7aomTJ', 'verified': 1, 'share': 100}]",1500,Kq4x7iFpRKa1nxxvy4p39W2jsMbsqd3biPGgBZvwbmf,"[{'trait_type': 'Background', 'value': 'pink'}, {'trait_type': 'Body', 'value': 'normal wukong'}, {'trait_type': 'Clothes', 'value': 'black tie'}, {'trait_type': 'Head', 'value': 'detective hat'}, {'trait_type': 'Eyes', 'value': 'sunnies green'}, {'trait_type': 'Mouth', 'value': 'blank'}]","{'files': [{'uri': 'https://arweave.net/CneZOmANmbqBnuBxAzDM15c722aHSqw4i7E8fg9resg'}], 'category': 'image', 'maxSupply': 1, 'creators': [{'address': 'Z9Gix88ad9dXX3NhHM3BW4QQfPswnMBtcDFuyMvGp4L', 'share': 75}, {'address': 'n89DmPhRAUdvnS6rSSoxtqs7DKTZd4JpKRBLQvz8jeF', 'share': 25}]}",1,C3UphYJYqTab4Yrr64V8wSAxeM7Wr9NUauyYGn7aomTJ,0,{},False,"{'auctionHouseKey': 'E8cU1WiRWjanGxmn96ewBgk9vPTcL6AEZ1t6F6fkgUWe', 'sellerReferral': 'autMW8SgBkVYeBgqYiTuJZnkvDZMVU2MHJh9Jh7CSQ2', 'expiry': -1}","{'moonrank': {'rank': 695}, 'howrare': {'rank': 1268}}"
11,83egadRMLNLNwKpBreQPihYxf5rkUk3NBj9PJsLZb2GK,42.0,Ccdy4VR1ndf3iVT4e6BfCyU2RZvExNfqGQPF5qMJTRuS,ACo2rHE6vrhT7HS7xtZJchaDivyBR3eUKLf214qCMSXE,monkey_kingdom,Monkey Kingdom,https://arweave.net/lSSgs58xF3qyoNxZuLKpz5GXmaFjZ0oDQxz2DuM9ED8,Monkey Kingdom #125,"2,222 algorithmically generated Wukong inspired apes imprisoned in the Solana blockchain. An additional 10% paperhand tax will apply to each sale that will contribute to the Marketing Fund to grow the project's long term goals.",https://monkeykingdom.io,image,"[{'address': 'C3UphYJYqTab4Yrr64V8wSAxeM7Wr9NUauyYGn7aomTJ', 'verified': 1, 'share': 100}]",1500,HmTLtj6Rp4XQuwLukZSNxRij9ArobgsUjKwMfWYCtmjz,"[{'trait_type': 'Background', 'value': 'sky blue'}, {'trait_type': 'Body', 'value': 'normal wukong'}, {'trait_type': 'Clothes', 'value': 'tshirt orange'}, {'trait_type': 'Head', 'value': 'top hat green'}, {'trait_type': 'Eyes', 'value': 'blank'}, {'trait_type': 'Mouth', 'value': 'blank'}]","{'files': [{'uri': 'https://arweave.net/lSSgs58xF3qyoNxZuLKpz5GXmaFjZ0oDQxz2DuM9ED8'}], 'category': 'image', 'maxSupply': 1, 'creators': [{'address': 'Z9Gix88ad9dXX3NhHM3BW4QQfPswnMBtcDFuyMvGp4L', 'share': 75}, {'address': 'n89DmPhRAUdvnS6rSSoxtqs7DKTZd4JpKRBLQvz8jeF', 'share': 25}]}",1,C3UphYJYqTab4Yrr64V8wSAxeM7Wr9NUauyYGn7aomTJ,0,{},False,"{'auctionHouseKey': 'E8cU1WiRWjanGxmn96ewBgk9vPTcL6AEZ1t6F6fkgUWe', 'sellerReferral': 'autMW8SgBkVYeBgqYiTuJZnkvDZMVU2MHJh9Jh7CSQ2', 'expiry': -1}","{'moonrank': {'rank': 1706}, 'howrare': {'rank': 1448}}"
12,5A9ZEn1exYpJt1CpimJkyRbqcyJc9kRHRS23qFrykfYQ,43.0,GYUhBRAYcWtLtoshohjVwVTo95PtErQwdwz17q1FgeUq,9DzN8Lym5rgxx2p89FuwiugPkfhh6zSNu7JpzNtMW6mU,monkey_kingdom,Monkey Kingdom,https://arweave.net/QCfEA2EnRIrVQs2oVE1mOlsoes_656WKc1ZcoLWSXw0,Monkey Kingdom #1095,"2,222 algorithmically generated Wukong inspired apes imprisoned in the Solana blockchain. An additional 10% paperhand tax will apply to each sale that will contribute to the Marketing Fund to grow the project's long term goals.",https://monkeykingdom.io,image,"[{'address': 'C3UphYJYqTab4Yrr64V8wSAxeM7Wr9NUauyYGn7aomTJ', 'verified': 1, 'share': 100}]",1500,9c4K6VpTRxgaUnWwMgfomkoHq6bRSvG1jHH4jTP1Mymk,"[{'trait_type': 'Background', 'value': 'orange'}, {'trait_type': 'Body', 'value': 'normal wukong'}, {'trait_type': 'Clothes', 'value': 'military vest'}, {'trait_type': 'Head', 'value': 'head sunnies yellow'}, {'trait_type': 'Eyes', 'value': 'blank'}, {'trait_type': 'Mouth', 'value': 'blank'}]","{'files': [{'uri': 'https://arweave.net/QCfEA2EnRIrVQs2oVE1mOlsoes_656WKc1ZcoLWSXw0'}], 'category': 'image', 'maxSupply': 1, 'creators': [{'address': 'Z9Gix88ad9dXX3NhHM3BW4QQfPswnMBtcDFuyMvGp4L', 'share': 75}, {'address': 'n89DmPhRAUdvnS6rSSoxtqs7DKTZd4JpKRBLQvz8jeF', 'share': 25}]}",1,C3UphYJYqTab4Yrr64V8wSAxeM7Wr9NUauyYGn7aomTJ,0,{},False,"{'auctionHouseKey': 'E8cU1WiRWjanGxmn96ewBgk9vPTcL6AEZ1t6F6fkgUWe', 'sellerReferral': 'autMW8SgBkVYeBgqYiTuJZnkvDZMVU2MHJh9Jh7CSQ2', 'expiry': -1}","{'moonrank': {'rank': 1531}, 'howrare': {'rank': 1098}}"
