,id,price,escrowPubkey,owner,collectionName,collectionTitle,img,title,content,externalURL,propertyCategory,creators,sellerFeeBasisPoints,mintAddress,attributes,properties,supply,updateAuthority,primarySaleHappened,onChainCollection,tokenDelegateValid,v2,rarity
0,Eqjb6cirhdMDkyNtp34i7u4EKJtCU54puCKA7UoRRR7v,12.1,8ifqYtDUctKVuRZoZHB5aaWZgarMap8rFzHHHe9wzTfA,E7ewCo3WzERLcpai8BVEwBibHGVCQy3DtGQtdeBAwrse,generous_robots_dao,Generous Robots DAO,https://arweave.net/2oWpZUkRH1xUuC1bGpocrY11SqGuBHNPMBQa0ud6YoU,Generous Robot #1546,5555 Generous Robots living on Solana blockchain,https://twitter.com/generousrobots,image,"[{'address': 'FRCSh18nmJ47Yx3ueiMMygNE5hsuUKfZzfQ8MPE8AUQ2', 'verified': 1, 'share': 0}, {'address': '3BrcGhmNktbYWbNkWmKmpVVHndXLw2W7dGDiwpAVbtUt', 'verified': 0, 'share': 63}, {'address': '5dFZbzbzij85e88LuecRJfswkLXV9nC6YHBXq6x4Qh5o', 'verified': 0, 'share': 30}, {'address': 'mnKzuL9RMtR6GeSHBfDpnQaefcMsiw7waoTSduKNiXM', 'verified': 0, 'share': 7}]",1000,3qzEwoUPW7FppMtmeesG373BV3trPxi1cPjCwHDWcCkC,"[{'trait_type': 'Background', 'value': 'Purple'}, {'trait_type': 'Back', 'value': 'Guitar'}, {'trait_type': 'Body', 'value': 'Violet'}, {'trait_type': 'Outfit', 'value': 'Purple'}, {'trait_type': 'Mouth', 'value': 'Toothless'}, {'trait_type': 'Ears', 'value': 'Lamp'}, {'trait_type': 'Hat', 'value': 'Hat'}, {'trait_type': 'Eyes', 'value': 'X'}, {'trait_type': 'Arms', 'value': 'Rounded'}]","{'files': [{'uri': 'https://arweave.net/2oWpZUkRH1xUuC1bGpocrY11SqGuBHNPMBQa0ud6YoU', 'type': 'image/png'}], 'category': 'image', 'creators': [{'address': '3BrcGhmNktbYWbNkWmKmpVVHndXLw2W7dGDiwpAVbtUt', 'share': 63}, {'address': '5dFZbzbzij85e88LuecRJfswkLXV9nC6YHBXq6x4Qh5o', 'share': 30}, {'address': 'mnKzuL9RMtR6GeSHBfDpnQaefcMsiw7waoTSduKNiXM', 'share': 7}]}",1,grqRFDFvUxBhSZtCotMcNqi9TJu6LCgQ1wtYyiHJNFa,1,{},False,"{'auctionHouseKey': 'E8cU1WiRWjanGxmn96ewBgk9vPTcL6AEZ1t6F6fkgUWe', 'sellerReferral': 'autMW8SgBkVYeBgqYiTuJZnkvDZMVU2MHJh9Jh7CSQ2', 'expiry': -1}",{'howrare': {'rank': 4739}}
1,EFtCqqX99ihSFzrymA7GzUXkUmmhjgQTVNXrPkimVMcG,12.1,ESRF5ubPfEaX3oyD1LXgUvy49DiSv8NuafhWFVec2EVU,E7ewCo3WzERLcpai8BVEwBibHGVCQy3DtGQtdeBAwrse,generous_robots_dao,Generous Robots DAO,https://arweave.net/_v79iZRvdqImM6rMqr6-dGGnjov8pbO2biS4uXd_FLM,Generous Robot #1018,5555 Generous Robots living on Solana blockchain,https://twitter.com/generousrobots,image,"[{'address': 'FRCSh18nmJ47Yx3ueiMMygNE5hsuUKfZzfQ8MPE8AUQ2', 'verified': 1, 'share': 0}, {'address': '3BrcGhmNktbYWbNkWmKmpVVHndXLw2W7dGDiwpAVbtUt', 'verified': 0, 'share': 63}, {'address': '5dFZbzbzij85e88LuecRJfswkLXV9nC6YHBXq6x4Qh5o', 'verified': 0, 'share': 30}, {'address': 'mnKzuL9RMtR6GeSHBfDpnQaefcMsiw7waoTSduKNiXM', 'verified': 0, 'share': 7}]",1000,F2X9k8E9qoDkByKA7kwC4NQqhYez35rG5m1BHMhCkTeh,"[{'trait_type': 'Background', 'value': 'Green'}, {'trait_type': 'Back', 'value': 'Wrench'}, {'trait_type': 'Body', 'value': 'Blue'}, {'trait_type': 'Outfit', 'value': 'Undershirt'}, {'trait_type': 'Mouth', 'value': 'Open'}, {'trait_type': 'Ears', 'value': 'Triple'}, {'trait_type': 'Hat', 'value': 'Antenna'}, {'trait_type': 'Eyes', 'value': 'X'}, {'trait_type': 'Arms', 'value': 'Square'}]","{'files': [{'uri': 'https://arweave.net/_v79iZRvdqImM6rMqr6-dGGnjov8pbO2biS4uXd_FLM', 'type': 'image/png'}], 'category': 'image', 'creators': [{'address': '3BrcGhmNktbYWbNkWmKmpVVHndXLw2W7dGDiwpAVbtUt', 'share': 63}, {'address': '5dFZbzbzij85e88LuecRJfswkLXV9nC6YHBXq6x4Qh5o', 'share': 30}, {'address': 'mnKzuL9RMtR6GeSHBfDpnQaefcMsiw7waoTSduKNiXM', 'share': 7}]}",1,grqRFDFvUxBhSZtCotMcNqi9TJu6LCgQ1wtYyiHJNFa,1,{},False,"{'auctionHouseKey': 'E8cU1WiRWjanGxmn96ewBgk9vPTcL6AEZ1t6F6fkgUWe', 'sellerReferral': 'autMW8SgBkVYeBgqYiTuJZnkvDZMVU2MHJh9Jh7CSQ2', 'expiry': -1}",{'howrare': {'rank': 5204}}
2,AcKeRHS2sDVo9ZvV5CrhidtAFixcE7oQAr4AKrMym4GE,13.0,NmUMU5wJasB27W4kg7E6sVJTLmNomtDsFqmSkJdGrJ2,AAr4acafWEqF7BNCm1yFuBSjEjWo9PQst5SVC2L2yc7u,generous_robots_dao,Generous Robots DAO,https://arweave.net/92XXPNBj7J87QLnrmlJfofPhJOCj53MBNtUZrgrb-lo,Generous Robot #2300,5555 Generous Robots living on Solana blockchain,https://twitter.com/generousrobots,image,"[{'address': 'FRCSh18nmJ47Yx3ueiMMygNE5hsuUKfZzfQ8MPE8AUQ2', 'verified': 1, 'share': 0}, {'address': '3BrcGhmNktbYWbNkWmKmpVVHndXLw2W7dGDiwpAVbtUt', 'verified': 0, 'share': 63}, {'address': '5dFZbzbzij85e88LuecRJfswkLXV9nC6YHBXq6x4Qh5o', 'verified': 0, 'share': 30}, {'address': 'mnKzuL9RMtR6GeSHBfDpnQaefcMsiw7waoTSduKNiXM', 'verified': 0, 'share': 7}]",1000,iqUd1V21e1tUcpcZzYhGoDPPMib6TSsJZQuxJLLiPhz,"[{'trait_type': 'Background', 'value': 'Green'}, {'trait_type': 'Back', 'value': 'Umbrella'}, {'trait_type': 'Body', 'value': 'Blue'}, {'trait_type': 'Outfit', 'value': 'Chain'}, {'trait_type': 'Mouth', 'value': 'Tongue'}, {'trait_type': 'Ears', 'value': 'Triple'}, {'trait_type': 'Hat', 'value': 'Hat'}, {'trait_type': 'Eyes', 'value': 'X'}, {'trait_type': 'Arms', 'value': 'Rounded'}]","{'files': [{'uri': 'https://arweave.net/92XXPNBj7J87QLnrmlJfofPhJOCj53MBNtUZrgrb-lo', 'type': 'image/png'}], 'category': 'image', 'creators': [{'address': '3BrcGhmNktbYWbNkWmKmpVVHndXLw2W7dGDiwpAVbtUt', 'share': 63}, {'address': '5dFZbzbzij85e88LuecRJfswkLXV9nC6YHBXq6x4Qh5o', 'share': 30}, {'address': 'mnKzuL9RMtR6GeSHBfDpnQaefcMsiw7waoTSduKNiXM', 'share': 7}]}",1,grqRFDFvUxBhSZtCotMcNqi9TJu6LCgQ1wtYyiHJNFa,1,{},False,"{'auctionHouseKey': 'E8cU1WiRWjanGxmn96ewBgk9vPTcL6AEZ1t6F6fkgUWe', 'sellerReferral': 'autMW8SgBkVYeBgqYiTuJZnkvDZMVU2MHJh9Jh7CSQ2', 'expiry': -1}",{'howrare': {'rank': 4406}}
3,3EMLYrChH1XwjeAx6NrBAyZseveAF5jgqKhpbkqJmHJG,13.0,Dee9cM9wFWoPoGhReQkztFDtSRukis8TtRrdSe9MNBao,ccrwaKjeBL1eUPxhkBhGfKAixdUwubX52ngiHwUaF9a,generous_robots_dao,Generous Robots DAO,https://arweave.net/BzyMV8DB9SyYw3Az9WeVKEk0dXdEPF4OBklaqUh6MvA,Generous Robot #3336,5555 Generous Robots living on Solana blockchain,https://twitter.com/generousrobots,image,"[{'address': 'FRCSh18nmJ47Yx3ueiMMygNE5hsuUKfZzfQ8MPE8AUQ2', 'verified': 1, 'share': 0}, {'address': '3BrcGhmNktbYWbNkWmKmpVVHndXLw2W7dGDiwpAVbtUt', 'verified': 0, 'share': 63}, {'address': '5dFZbzbzij85e88LuecRJfswkLXV9nC6YHBXq6x4Qh5o', 'verified': 0, 'share': 30}, {'address': 'mnKzuL9RMtR6GeSHBfDpnQaefcMsiw7waoTSduKNiXM', 'verified': 0, 'share': 7}]",1000,8k6ZGbWVDXACEf22hUtn6RpKvdfdtKhVr1ZuJBNHZVTe,"[{'trait_type': 'Background', 'value': 'Yellow'}, {'trait_type': 'Back', 'value': 'Guitar'}, {'trait_type': 'Body', 'value': 'Violet'}, {'trait_type': 'Outfit', 'value': 'Shirt'}, {'trait_type': 'Mouth', 'value': 'Smirk'}, {'trait_type': 'Ears', 'value': 'Rounded'}, {'trait_type': 'Hat', 'value': 'Antenna'}, {'trait_type': 'Eyes', 'value': 'Cyclope'}, {'trait_type': 'Arms', 'value': 'White'}]","{'files': [{'uri': 'https://arweave.net/BzyMV8DB9SyYw3Az9WeVKEk0dXdEPF4OBklaqUh6MvA', 'type': 'image/png'}], 'category': 'image', 'creators': [{'address': '3BrcGhmNktbYWbNkWmKmpVVHndXLw2W7dGDiwpAVbtUt', 'share': 63}, {'address': '5dFZbzbzij85e88LuecRJfswkLXV9nC6YHBXq6x4Qh5o', 'share': 30}, {'address': 'mnKzuL9RMtR6GeSHBfDpnQaefcMsiw7waoTSduKNiXM', 'share': 7}]}",1,grqRFDFvUxBhSZtCotMcNqi9TJu6LCgQ1wtYyiHJNFa,1,{},False,"{'auctionHouseKey': 'E8cU1WiRWjanGxmn96ewBgk9vPTcL6AEZ1t6F6fkgUWe', 'sellerReferral': 'autMW8SgBkVYeBgqYiTuJZnkvDZMVU2MHJh9Jh7CSQ2', 'expiry': -1}",{'howrare': {'rank': 4070}}
4,3LtjFUgVMKWHPYbMj1T1AJ7iJsHyxdoE5b3ibpfrjS1Q,13.0,9RqcButEJvrvG2GPMzoXyAAqCL3HjvYUkuPZXFAJT18t,6y4W73u1EANGLwsDCukP7jc1RKSYXS8NaaxLoNh6eDLR,generous_robots_dao,Generous Robots DAO,https://arweave.net/y-KgIu5hvXE8nithKG1s2PhPbFtdpAVdSnwzl7aNOLs,Generous Robot #4835,5555 Generous Robots living on Solana blockchain,https://twitter.com/generousrobots,image,"[{'address': 'FRCSh18nmJ47Yx3ueiMMygNE5hsuUKfZzfQ8MPE8AUQ2', 'verified': 1, 'share': 0}, {'address': '3BrcGhmNktbYWbNkWmKmpVVHndXLw2W7dGDiwpAVbtUt', 'verified': 0, 'share': 63}, {'address': '5dFZbzbzij85e88LuecRJfswkLXV9nC6YHBXq6x4Qh5o', 'verified': 0, 'share': 30}, {'address': 'mnKzuL9RMtR6GeSHBfDpnQaefcMsiw7waoTSduKNiXM', 'verified': 0, 'share': 7}]",1000,2zkZS6e7UDhHsvx3BNarktfdKe4h58QZ4ZQ3FKTeXqsX,"[{'trait_type': 'Background', 'value': 'Blue'}, {'trait_type': 'Back', 'value': 'Umbrella'}, {'trait_type': 'Body', 'value': 'Golden'}, {'trait_type': 'Outfit', 'value': 'Black'}, {'trait_type': 'Mouth', 'value': 'Open'}, {'trait_type': 'Ears', 'value': 'Screw'}, {'trait_type': 'Hat', 'value': 'Parrot'}, {'trait_type': 'Eyes', 'value': 'Round'}, {'trait_type': 'Arms', 'value': 'Green'}]","{'files': [{'uri': 'https://arweave.net/y-KgIu5hvXE8nithKG1s2PhPbFtdpAVdSnwzl7aNOLs', 'type': 'image/png'}], 'category': 'image', 'creators': [{'address': '3BrcGhmNktbYWbNkWmKmpVVHndXLw2W7dGDiwpAVbtUt', 'share': 63}, {'address': '5dFZbzbzij85e88LuecRJfswkLXV9nC6YHBXq6x4Qh5o', 'share': 30}, {'address': 'mnKzuL9RMtR6GeSHBfDpnQaefcMsiw7waoTSduKNiXM', 'share': 7}]}",1,grqRFDFvUxBhSZtCotMcNqi9TJu6LCgQ1wtYyiHJNFa,1,{},False,"{'auctionHouseKey': 'E8cU1WiRWjanGxmn96ewBgk9vPTcL6AEZ1t6F6fkgUWe', 'sellerReferral': 'autMW8SgBkVYeBgqYiTuJZnkvDZMVU2MHJh9Jh7CSQ2', 'expiry': -1}",{'howrare': {'rank': 1075}}
5,AFqnqYkrkPd9p7TwfspKJ7sQt6fh73R8Rye4sJ5epsJc,13.0,3xKkr6RkFB7yyFtNuzHoZq8MtN1ZqtGxwnqvQwKNxshB,FWDuBfxJ1CT3PVpr5m43j1dsLmvyN6ppmVJK7LCq3XEg,generous_robots_dao,Generous Robots DAO,https://arweave.net/ENJt2bd07VVX4RTxeIX01rBnqXqsi8E8ERgLYLIoyeY,Generous Robot #9,5555 Generous Robots living on Solana blockchain,https://twitter.com/generousrobots,image,"[{'address': 'FRCSh18nmJ47Yx3ueiMMygNE5hsuUKfZzfQ8MPE8AUQ2', 'verified': 1, 'share': 0}, {'address': '3BrcGhmNktbYWbNkWmKmpVVHndXLw2W7dGDiwpAVbtUt', 'verified': 0, 'share': 63}, {'address': '5dFZbzbzij85e88LuecRJfswkLXV9nC6YHBXq6x4Qh5o', 'verified': 0, 'share': 30}, {'address': 'mnKzuL9RMtR6GeSHBfDpnQaefcMsiw7waoTSduKNiXM', 'verified': 0, 'share': 7}]",1000,EFTwStt7vwCwrZYCcJppsNxuWWaz9LDf3hmJxqUSoaLm,"[{'trait_type': 'Background', 'value': 'Green'}, {'trait_type': 'Back', 'value': 'Black Flag'}, {'trait_type': 'Body', 'value': 'Reddish'}, {'trait_type': 'Outfit', 'value': 'Black'}, {'trait_type': 'Mouth', 'value': 'Smirk'}, {'trait_type': 'Ears', 'value': 'Screw'}, {'trait_type': 'Hat', 'value': 'Hat'}, {'trait_type': 'Eyes', 'value': 'Cyclope'}, {'trait_type': 'Arms', 'value': 'Rounded'}]","{'files': [{'uri': 'https://arweave.net/ENJt2bd07VVX4RTxeIX01rBnqXqsi8E8ERgLYLIoyeY', 'type': 'image/png'}], 'category': 'image', 'creators': [{'address': '3BrcGhmNktbYWbNkWmKmpVVHndXLw2W7dGDiwpAVbtUt', 'share': 63}, {'address': '5dFZbzbzij85e88LuecRJfswkLXV9nC6YHBXq6x4Qh5o', 'share': 30}, {'address': 'mnKzuL9RMtR6GeSHBfDpnQaefcMsiw7waoTSduKNiXM', 'share': 7}]}",1,grqRFDFvUxBhSZtCotMcNqi9TJu6LCgQ1wtYyiHJNFa,1,{},False,"{'auctionHouseKey': 'E8cU1WiRWjanGxmn96ewBgk9vPTcL6AEZ1t6F6fkgUWe', 'sellerReferral': 'autMW8SgBkVYeBgqYiTuJZnkvDZMVU2MHJh9Jh7CSQ2', 'expiry': -1}",{'howrare': {'rank': 3994}}
6,5WcD33oqVR3hvaC5TA2pxV2i7m8BvuN1XQMU27YXeCc3,13.0,2DUxAFDiNs7eTYA5P9UeupfGDXUZyagGRVhX21GfvF5L,FWDuBfxJ1CT3PVpr5m43j1dsLmvyN6ppmVJK7LCq3XEg,generous_robots_dao,Generous Robots DAO,https://arweave.net/ZtLjIQ__80pUEUZ2K3ZBooKdTLBiP4FEkOzSKasSN-0,Generous Robot #148,5555 Generous Robots living on Solana blockchain,https://twitter.com/generousrobots,image,"[{'address': 'FRCSh18nmJ47Yx3ueiMMygNE5hsuUKfZzfQ8MPE8AUQ2', 'verified': 1, 'share': 0}, {'address': '3BrcGhmNktbYWbNkWmKmpVVHndXLw2W7dGDiwpAVbtUt', 'verified': 0, 'share': 63}, {'address': '5dFZbzbzij85e88LuecRJfswkLXV9nC6YHBXq6x4Qh5o', 'verified': 0, 'share': 30}, {'address': 'mnKzuL9RMtR6GeSHBfDpnQaefcMsiw7waoTSduKNiXM', 'verified': 0, 'share': 7}]",1000,2LxQaKkwd7t38m4bxrRU8ceCabxVwFJBmAkSvefdCP2Y,"[{'trait_type': 'Background', 'value': 'Pink'}, {'trait_type': 'Back', 'value': 'Wings'}, {'trait_type': 'Body', 'value': 'Blue'}, {'trait_type': 'Outfit', 'value': 'Life vest'}, {'trait_type': 'Mouth', 'value': 'Smirk'}, {'trait_type': 'Ears', 'value': 'Screw'}, {'trait_type': 'Hat', 'value': 'Antenna'}, {'trait_type': 'Eyes', 'value': 'Round'}, {'trait_type': 'Arms', 'value': 'Violet'}]","{'files': [{'uri': 'https://arweave.net/ZtLjIQ__80pUEUZ2K3ZBooKdTLBiP4FEkOzSKasSN-0', 'type': 'image/png'}], 'category': 'image', 'creators': [{'address': '3BrcGhmNktbYWbNkWmKmpVVHndXLw2W7dGDiwpAVbtUt', 'share': 63}, {'address': '5dFZbzbzij85e88LuecRJfswkLXV9nC6YHBXq6x4Qh5o', 'share': 30}, {'address': 'mnKzuL9RMtR6GeSHBfDpnQaefcMsiw7waoTSduKNiXM', 'share': 7}]}",1,grqRFDFvUxBhSZtCotMcNqi9TJu6LCgQ1wtYyiHJNFa,1,{},False,"{'auctionHouseKey': 'E8cU1WiRWjanGxmn96ewBgk9vPTcL6AEZ1t6F6fkgUWe', 'sellerReferral': 'autMW8SgBkVYeBgqYiTuJZnkvDZMVU2MHJh9Jh7CSQ2', 'expiry': -1}",{'howrare': {'rank': 1114}}
7,PYEtrMd1G6c6ZkDtvKNt5cw6i1q1rjdXCBjrbyHjb81,14.0,G2eR2ttRbh57pPf1Y4aGUHbybXWEqFH5v8Qinv7CQJ4T,8738qXjwp4eY98uDke4oET73zVeFXSgJB3dEPAq8go9f,generous_robots_dao,Generous Robots DAO,https://arweave.net/tyJEfxZxpAGeVP67srmIPwCW9A7GPUuT22HY_ZIu_RE,Generous Robot #5552,5555 Generous Robots living on Solana blockchain,https://twitter.com/generousrobots,image,"[{'address': 'FRCSh18nmJ47Yx3ueiMMygNE5hsuUKfZzfQ8MPE8AUQ2', 'verified': 1, 'share': 0}, {'address': '3BrcGhmNktbYWbNkWmKmpVVHndXLw2W7dGDiwpAVbtUt', 'verified': 0, 'share': 63}, {'address': '5dFZbzbzij85e88LuecRJfswkLXV9nC6YHBXq6x4Qh5o', 'verified': 0, 'share': 30}, {'address': 'mnKzuL9RMtR6GeSHBfDpnQaefcMsiw7waoTSduKNiXM', 'verified': 0, 'share': 7}]",1000,GBxkywpaF18wu13YBmokhdC946k9DuHBzoABd7CoA18Z,"[{'trait_type': 'Background', 'value': 'Purple'}, {'trait_type': 'Back', 'value': 'Black Flag'}, {'trait_type': 'Body', 'value': 'Violet'}, {'trait_type': 'Outfit', 'value': 'Pink'}, {'trait_type': 'Mouth', 'value': 'Tongue'}, {'trait_type': 'Ears', 'value': 'Rounded'}, {'trait_type': 'Hat', 'value': 'Antenna'}, {'trait_type': 'Eyes', 'value': 'Black Glasses'}, {'trait_type': 'Arms', 'value': 'Green'}]","{'files': [{'uri': 'https://arweave.net/tyJEfxZxpAGeVP67srmIPwCW9A7GPUuT22HY_ZIu_RE', 'type': 'image/png'}], 'category': 'image', 'creators': [{'address': '3BrcGhmNktbYWbNkWmKmpVVHndXLw2W7dGDiwpAVbtUt', 'share': 63}, {'address': '5dFZbzbzij85e88LuecRJfswkLXV9nC6YHBXq6x4Qh5o', 'share': 30}, {'address': 'mnKzuL9RMtR6GeSHBfDpnQaefcMsiw7waoTSduKNiXM', 'share': 7}]}",1,grqRFDFvUxBhSZtCotMcNqi9TJu6LCgQ1wtYyiHJNFa,1,{},False,"{'auctionHouseKey': 'E8cU1WiRWjanGxmn96ewBgk9vPTcL6AEZ1t6F6fkgUWe', 'sellerReferral': 'autMW8SgBkVYeBgqYiTuJZnkvDZMVU2MHJh9Jh7CSQ2', 'expiry': -1}",{'howrare': {'rank': 3407}}
8,25HqhSjLnFS3Wn84oziRgneoWdNn2mJqzs4sAwSZH2LA,15.0,7jvQovd7m1j7mgNqKdKo7RJiZyVRAfZXS1KF2DRiQx9m,7nmhu6rCFY7gcRs7Go547sTcAjSMDcD3z7sFYCrrhHrE,generous_robots_dao,Generous Robots DAO,https://arweave.net/XpAyF5PmRl6KPgjMLdiwvBNs7nUwseQLxu-IHmkt2iE,Generous Robot #5311,5555 Generous Robots living on Solana blockchain,https://twitter.com/generousrobots,image,"[{'address': 'FRCSh18nmJ47Yx3ueiMMygNE5hsuUKfZzfQ8MPE8AUQ2', 'verified': 1, 'share': 0}, {'address': '3BrcGhmNktbYWbNkWmKmpVVHndXLw2W7dGDiwpAVbtUt', 'verified': 0, 'share': 63}, {'address': '5dFZbzbzij85e88LuecRJfswkLXV9nC6YHBXq6x4Qh5o', 'verified': 0, 'share': 30}, {'address': 'mnKzuL9RMtR6GeSHBfDpnQaefcMsiw7waoTSduKNiXM', 'verified': 0, 'share': 7}]",1000,3sCaQfX5K4NzkYhRrQq3iE5aT9MRSFZbBKBTwnmoppAA,"[{'trait_type': 'Background', 'value': 'Pink'}, {'trait_type': 'Back', 'value': 'Swords'}, {'trait_type': 'Body', 'value': 'Violet'}, {'trait_type': 'Outfit', 'value': 'Pink'}, {'trait_type': 'Mouth', 'value': 'Toothless'}, {'trait_type': 'Ears', 'value': 'Screw'}, {'trait_type': 'Hat', 'value': 'Aerials'}, {'trait_type': 'Eyes', 'value': 'X'}, {'trait_type': 'Arms', 'value': 'Triangular'}]","{'files': [{'uri': 'https://arweave.net/XpAyF5PmRl6KPgjMLdiwvBNs7nUwseQLxu-IHmkt2iE', 'type': 'image/png'}], 'category': 'image', 'creators': [{'address': '3BrcGhmNktbYWbNkWmKmpVVHndXLw2W7dGDiwpAVbtUt', 'share': 63}, {'address': '5dFZbzbzij85e88LuecRJfswkLXV9nC6YHBXq6x4Qh5o', 'share': 30}, {'address': 'mnKzuL9RMtR6GeSHBfDpnQaefcMsiw7waoTSduKNiXM', 'share': 7}]}",1,grqRFDFvUxBhSZtCotMcNqi9TJu6LCgQ1wtYyiHJNFa,1,{},False,"{'auctionHouseKey': 'E8cU1WiRWjanGxmn96ewBgk9vPTcL6AEZ1t6F6fkgUWe', 'sellerReferral': 'autMW8SgBkVYeBgqYiTuJZnkvDZMVU2MHJh9Jh7CSQ2', 'expiry': -1}",{'howrare': {'rank': 2540}}
9,GtkUYyCYFEyYzvALXz3vxGWxc3vuQtUNx6cinTyrDdyP,15.0,2WnJuzvMpH4yHNaFdH7bo2SE61ogJs3oiGQQaCyBJ57T,8738qXjwp4eY98uDke4oET73zVeFXSgJB3dEPAq8go9f,generous_robots_dao,Generous Robots DAO,https://arweave.net/Hku-XdoWf-yLpnYbIniG0NJjAkHGw8v450GwH-o8LoM,Generous Robot #1528,5555 Generous Robots living on Solana blockchain,https://twitter.com/generousrobots,image,"[{'address': 'FRCSh18nmJ47Yx3ueiMMygNE5hsuUKfZzfQ8MPE8AUQ2', 'verified': 1, 'share': 0}, {'address': '3BrcGhmNktbYWbNkWmKmpVVHndXLw2W7dGDiwpAVbtUt', 'verified': 0, 'share': 63}, {'address': '5dFZbzbzij85e88LuecRJfswkLXV9nC6YHBXq6x4Qh5o', 'verified': 0, 'share': 30}, {'address': 'mnKzuL9RMtR6GeSHBfDpnQaefcMsiw7waoTSduKNiXM', 'verified': 0, 'share': 7}]",1000,DhQhK9nURayeeXRgp6pGreRCEpFPoMM2QU2VTTxg9NPK,"[{'trait_type': 'Background', 'value': 'Green'}, {'trait_type': 'Back', 'value': 'Bat'}, {'trait_type': 'Body', 'value': 'Violet'}, {'trait_type': 'Outfit', 'value': 'Purple'}, {'trait_type': 'Mouth', 'value': 'Bender'}, {'trait_type': 'Ears', 'value': 'Triple'}, {'trait_type': 'Hat', 'value': 'Cap'}, {'trait_type': 'Eyes', 'value': 'Dollars'}, {'trait_type': 'Arms', 'value': 'Spikes'}]","{'files': [{'uri': 'https://arweave.net/Hku-XdoWf-yLpnYbIniG0NJjAkHGw8v450GwH-o8LoM', 'type': 'image/png'}], 'category': 'image', 'creators': [{'address': '3BrcGhmNktbYWbNkWmKmpVVHndXLw2W7dGDiwpAVbtUt', 'share': 63}, {'address': '5dFZbzbzij85e88LuecRJfswkLXV9nC6YHBXq6x4Qh5o', 'share': 30}, {'address': 'mnKzuL9RMtR6GeSHBfDpnQaefcMsiw7waoTSduKNiXM', 'share': 7}]}",1,grqRFDFvUxBhSZtCotMcNqi9TJu6LCgQ1wtYyiHJNFa,1,{},False,"{'auctionHouseKey': 'E8cU1WiRWjanGxmn96ewBgk9vPTcL6AEZ1t6F6fkgUWe', 'sellerReferral': 'autMW8SgBkVYeBgqYiTuJZnkvDZMVU2MHJh9Jh7CSQ2', 'expiry': -1}",{'howrare': {'rank': 2700}}
10,G9SLJSkJRD8b64wiziAQMX3G2ncGpHx4oFcDHXXNcfYG,15.0,9pRURuv3V1MUVLAQ9VzaqmJRHc8kqSu3GxwxZKKu9GV7,3F7s4qVSmMMYhLcxwArtfxAhqR3cBgshJZT2HDBeL5MM,generous_robots_dao,Generous Robots DAO,https://arweave.net/IR6P_YMhN42c9rlQY0umh_UcklfLETBv5DrXv6_j0CA,Generous Robot #2471,5555 Generous Robots living on Solana blockchain,https://twitter.com/generousrobots,image,"[{'address': 'FRCSh18nmJ47Yx3ueiMMygNE5hsuUKfZzfQ8MPE8AUQ2', 'verified': 1, 'share': 0}, {'address': '3BrcGhmNktbYWbNkWmKmpVVHndXLw2W7dGDiwpAVbtUt', 'verified': 0, 'share': 63}, {'address': '5dFZbzbzij85e88LuecRJfswkLXV9nC6YHBXq6x4Qh5o', 'verified': 0, 'share': 30}, {'address': 'mnKzuL9RMtR6GeSHBfDpnQaefcMsiw7waoTSduKNiXM', 'verified': 0, 'share': 7}]",1000,FXHun7KyZfpA8rHJWzMXkszT1tVrJkvshv22wxoA1v5V,"[{'trait_type': 'Background', 'value': 'Yellow'}, {'trait_type': 'Back', 'value': 'Umbrella'}, {'trait_type': 'Body', 'value': 'Violet'}, {'trait_type': 'Outfit', 'value': 'Camouflage'}, {'trait_type': 'Mouth', 'value': 'Toothless'}, {'trait_type': 'Ears', 'value': 'Rounded'}, {'trait_type': 'Hat', 'value': 'Antenna'}, {'trait_type': 'Eyes', 'value': 'Monocle'}, {'trait_type': 'Arms', 'value': 'Rounded'}]","{'files': [{'uri': 'https://arweave.net/IR6P_YMhN42c9rlQY0umh_UcklfLETBv5DrXv6_j0CA', 'type': 'image/png'}], 'category': 'image', 'creators': [{'address': '3BrcGhmNktbYWbNkWmKmpVVHndXLw2W7dGDiwpAVbtUt', 'share': 63}, {'address': '5dFZbzbzij85e88LuecRJfswkLXV9nC6YHBXq6x4Qh5o', 'share': 30}, {'address': 'mnKzuL9RMtR6GeSHBfDpnQaefcMsiw7waoTSduKNiXM', 'share': 7}]}",1,grqRFDFvUxBhSZtCotMcNqi9TJu6LCgQ1wtYyiHJNFa,1,{},False,"{'auctionHouseKey': 'E8cU1WiRWjanGxmn96ewBgk9vPTcL6AEZ1t6F6fkgUWe', 'sellerReferral': 'autMW8SgBkVYeBgqYiTuJZnkvDZMVU2MHJh9Jh7CSQ2', 'expiry': -1}",{'howrare': {'rank': 3482}}
