,id,price,escrowPubkey,owner,collectionName,collectionTitle,img,title,content,propertyCategory,creators,sellerFeeBasisPoints,mintAddress,attributes,properties,supply,updateAuthority,primarySaleHappened,onChainCollection,tokenDelegateValid,v2,rarity
0,5UVVknGMi3dvVN458e8jnFJSzu58EXacxGVqC2rPynvX,0.739,EMCxvXuiwetnapedkcRPVwVaRuCtM9pxgKRy48hkdGSQ,9z5RRyYKX7uuRUenmGnpBdABAT8XoxCksK9grTddi1RZ,ghostguys_metaforge,Ghost Guys | By Metaforge,https://bafybeihl4v57bzb2g2a53goore6w4h7gmpycr5ajhbigxbinurttqdqwem.ipfs.dweb.link/561.png?ext=png,Ghost Guy #882,"2000 Ghost Guys haunting Solana, they are the first inhabitants & your pass inside Metaforge.",image,"[{'address': 'DKLgbeqnhM9JvVTimzhbHjJpyLhB5WBuMD45HUhrngQ3', 'verified': 1, 'share': 0}, {'address': 'RRUMF9KYPcvNSmnicNMAFKx5wDYix3wjNa6bA7R6xqA', 'verified': 0, 'share': 10}, {'address': '5FB3RHjBLvxejJrw1KDP123rgUusPeWqdGpzAFU4UQkx', 'verified': 0, 'share': 82}, {'address': 'EH2xa8LT2abTwwbnw8HL2JgtHP97Si9H32xDtZZhituh', 'verified': 0, 'share': 8}]",600,kW5qnjznFxJiTwvvQzsPdVdqroVjLMGGW7ESSRLtyUq,"[{'trait_type': 'Backrounds', 'value': 'Spotlight'}, {'trait_type': 'Hats', 'value': 'Tense'}, {'trait_type': 'Accessories', 'value': 'None'}, {'trait_type': 'Clothes', 'value': 'Denim'}, {'trait_type': 'Faces', 'value': 'Sadge'}, {'trait_type': 'Body', 'value': 'Normal'}]","{'files': [{'uri': 'https://bafybeihl4v57bzb2g2a53goore6w4h7gmpycr5ajhbigxbinurttqdqwem.ipfs.dweb.link/561.png?ext=png', 'type': 'image/png'}], 'category': 'image', 'creators': [{'address': 'RRUMF9KYPcvNSmnicNMAFKx5wDYix3wjNa6bA7R6xqA', 'share': 10}, {'address': '5FB3RHjBLvxejJrw1KDP123rgUusPeWqdGpzAFU4UQkx', 'share': 82}, {'address': 'EH2xa8LT2abTwwbnw8HL2JgtHP97Si9H32xDtZZhituh', 'share': 8}]}",1,5FB3RHjBLvxejJrw1KDP123rgUusPeWqdGpzAFU4UQkx,1,{},False,"{'auctionHouseKey': 'E8cU1WiRWjanGxmn96ewBgk9vPTcL6AEZ1t6F6fkgUWe', 'sellerReferral': 'autMW8SgBkVYeBgqYiTuJZnkvDZMVU2MHJh9Jh7CSQ2', 'expiry': -1}",{'moonrank': {'rank': 1330}}
1,BvsDzN6yKa57UFMF58R4Wp1WgQ78frvD8HVHgsdHqgUB,0.74,BU6GVw9XL3L5RUJJFp2ERU9D7UUhjrqed5bK2naHLHYE,jdapThecA4QKYKZBUsANkb3FXDmztjFozQoLX2BF1y7,ghostguys_metaforge,Ghost Guys | By Metaforge,https://bafybeichin5vqzco6inolodl6gxqwdifk5gyy55oqiviq4lzfipbqkddsm.ipfs.dweb.link/915.png?ext=png,Ghost Guy #1236,"2000 Ghost Guys haunting Solana, they are the first inhabitants & your pass inside Metaforge.",image,"[{'address': 'DKLgbeqnhM9JvVTimzhbHjJpyLhB5WBuMD45HUhrngQ3', 'verified': 1, 'share': 0}, {'address': 'RRUMF9KYPcvNSmnicNMAFKx5wDYix3wjNa6bA7R6xqA', 'verified': 0, 'share': 10}, {'address': '5FB3RHjBLvxejJrw1KDP123rgUusPeWqdGpzAFU4UQkx', 'verified': 0, 'share': 82}, {'address': 'EH2xa8LT2abTwwbnw8HL2JgtHP97Si9H32xDtZZhituh', 'verified': 0, 'share': 8}]",600,FeWiYxqxUGmxEYwPjQL2NB3HwAFd58LWUPGDV466GYxb,"[{'trait_type': 'Faces', 'value': 'Happi'}, {'trait_type': 'Hats', 'value': 'Hokage'}, {'trait_type': 'Clothes', 'value': 'Denim'}, {'trait_type': 'Body', 'value': 'Normal'}, {'trait_type': 'Backrounds', 'value': 'Blue'}, {'trait_type': 'Accessories', 'value': 'Mask'}]","{'files': [{'uri': 'https://bafybeichin5vqzco6inolodl6gxqwdifk5gyy55oqiviq4lzfipbqkddsm.ipfs.dweb.link/915.png?ext=png', 'type': 'image/png'}], 'category': 'image', 'creators': [{'address': 'RRUMF9KYPcvNSmnicNMAFKx5wDYix3wjNa6bA7R6xqA', 'share': 10}, {'address': '5FB3RHjBLvxejJrw1KDP123rgUusPeWqdGpzAFU4UQkx', 'share': 82}, {'address': 'EH2xa8LT2abTwwbnw8HL2JgtHP97Si9H32xDtZZhituh', 'share': 8}]}",1,5FB3RHjBLvxejJrw1KDP123rgUusPeWqdGpzAFU4UQkx,1,{},False,"{'auctionHouseKey': 'E8cU1WiRWjanGxmn96ewBgk9vPTcL6AEZ1t6F6fkgUWe', 'sellerReferral': 'autMW8SgBkVYeBgqYiTuJZnkvDZMVU2MHJh9Jh7CSQ2', 'expiry': -1}",{'moonrank': {'rank': 1114}}
2,4rC6qjKKNdkRFcaSkSXiEQsXVmo8CJi9UkZ18R4hgimq,0.75,5Ure6HzPRKKBhVyKWXrXVQgekvL4V2wg44nbuwb2jU9t,2Ca4GwqNtsNW3pZ5Q7h1YCeB9B4GyT9e6UCM4ThF9AcM,ghostguys_metaforge,Ghost Guys | By Metaforge,https://bafybeidjqzakaerz4l2oozpyss2ql4zvkwusjhrd6b6h2q3u5eayr7avea.ipfs.dweb.link/947.png?ext=png,Ghost Guy #1268,"2000 Ghost Guys haunting Solana, they are the first inhabitants & your pass inside Metaforge.",image,"[{'address': 'DKLgbeqnhM9JvVTimzhbHjJpyLhB5WBuMD45HUhrngQ3', 'verified': 1, 'share': 0}, {'address': 'RRUMF9KYPcvNSmnicNMAFKx5wDYix3wjNa6bA7R6xqA', 'verified': 0, 'share': 10}, {'address': '5FB3RHjBLvxejJrw1KDP123rgUusPeWqdGpzAFU4UQkx', 'verified': 0, 'share': 82}, {'address': 'EH2xa8LT2abTwwbnw8HL2JgtHP97Si9H32xDtZZhituh', 'verified': 0, 'share': 8}]",600,8mBewWkn4EP4nMMkpEUEUuJoFawf9vYXwuA27PgnX6yF,"[{'trait_type': 'Accessories', 'value': 'GhostBoy'}, {'trait_type': 'Hats', 'value': 'Sensei'}, {'trait_type': 'Faces', 'value': 'Ded'}, {'trait_type': 'Backrounds', 'value': 'White'}, {'trait_type': 'Body', 'value': 'Normal'}, {'trait_type': 'Clothes', 'value': 'Suit Up'}]","{'files': [{'uri': 'https://bafybeidjqzakaerz4l2oozpyss2ql4zvkwusjhrd6b6h2q3u5eayr7avea.ipfs.dweb.link/947.png?ext=png', 'type': 'image/png'}], 'category': 'image', 'creators': [{'address': 'RRUMF9KYPcvNSmnicNMAFKx5wDYix3wjNa6bA7R6xqA', 'share': 10}, {'address': '5FB3RHjBLvxejJrw1KDP123rgUusPeWqdGpzAFU4UQkx', 'share': 82}, {'address': 'EH2xa8LT2abTwwbnw8HL2JgtHP97Si9H32xDtZZhituh', 'share': 8}]}",1,5FB3RHjBLvxejJrw1KDP123rgUusPeWqdGpzAFU4UQkx,1,{},False,"{'auctionHouseKey': 'E8cU1WiRWjanGxmn96ewBgk9vPTcL6AEZ1t6F6fkgUWe', 'sellerReferral': 'autMW8SgBkVYeBgqYiTuJZnkvDZMVU2MHJh9Jh7CSQ2', 'expiry': -1}",{'moonrank': {'rank': 1192}}
3,Ffxnn4GvCghLVfLv9caojF56fUWnXdX7LjHkMtky85NJ,0.75,CjdJw5ukHpMXBinZvuZVGLDBqR4KhosodYRveQa5cgKQ,2Ca4GwqNtsNW3pZ5Q7h1YCeB9B4GyT9e6UCM4ThF9AcM,ghostguys_metaforge,Ghost Guys | By Metaforge,https://bafybeicetgxsgsqkvcgso6gb2ymnxd4yf3iwobkenv6mye57gjirfpnqn4.ipfs.dweb.link/1364.png?ext=png,Ghost Guy #1685,"2000 Ghost Guys haunting Solana, they are the first inhabitants & your pass inside Metaforge.",image,"[{'address': 'DKLgbeqnhM9JvVTimzhbHjJpyLhB5WBuMD45HUhrngQ3', 'verified': 1, 'share': 0}, {'address': 'RRUMF9KYPcvNSmnicNMAFKx5wDYix3wjNa6bA7R6xqA', 'verified': 0, 'share': 10}, {'address': '5FB3RHjBLvxejJrw1KDP123rgUusPeWqdGpzAFU4UQkx', 'verified': 0, 'share': 82}, {'address': 'EH2xa8LT2abTwwbnw8HL2JgtHP97Si9H32xDtZZhituh', 'verified': 0, 'share': 8}]",600,AtFcXZUCBycyc53hxbvL8u5kwT7zwYqhSQiMxpPG8sKo,"[{'trait_type': 'Backrounds', 'value': 'Poison'}, {'trait_type': 'Clothes', 'value': 'Samurai'}, {'trait_type': 'Faces', 'value': 'Ded'}, {'trait_type': 'Accessories', 'value': 'Fumez'}, {'trait_type': 'Body', 'value': 'Normal'}, {'trait_type': 'Hats', 'value': 'Snapback'}]","{'files': [{'uri': 'https://bafybeicetgxsgsqkvcgso6gb2ymnxd4yf3iwobkenv6mye57gjirfpnqn4.ipfs.dweb.link/1364.png?ext=png', 'type': 'image/png'}], 'category': 'image', 'creators': [{'address': 'RRUMF9KYPcvNSmnicNMAFKx5wDYix3wjNa6bA7R6xqA', 'share': 10}, {'address': '5FB3RHjBLvxejJrw1KDP123rgUusPeWqdGpzAFU4UQkx', 'share': 82}, {'address': 'EH2xa8LT2abTwwbnw8HL2JgtHP97Si9H32xDtZZhituh', 'share': 8}]}",1,5FB3RHjBLvxejJrw1KDP123rgUusPeWqdGpzAFU4UQkx,1,{},False,"{'auctionHouseKey': 'E8cU1WiRWjanGxmn96ewBgk9vPTcL6AEZ1t6F6fkgUWe', 'sellerReferral': 'autMW8SgBkVYeBgqYiTuJZnkvDZMVU2MHJh9Jh7CSQ2', 'expiry': -1}",{'moonrank': {'rank': 836}}
4,8tLaSZD7twHoYHrNDaDVE8L1vEiZx3ssgSRK7mhmiUoM,0.75,8U9C6Yk4jwi6tgFXsUaTsk9TqT3sSY1i4xEMmxi2QqPD,DZCArsXZUNjr6ES6cxTUhhwpXDji2bcZ3n7XAiSurZm4,ghostguys_metaforge,Ghost Guys | By Metaforge,https://bafybeigrssxnlszv7e4dmpx6a33dfg37jurw5ldfhy2lajlywepr5nkn3q.ipfs.dweb.link/644.png?ext=png,Ghost Guy #965,"2000 Ghost Guys haunting Solana, they are the first inhabitants & your pass inside Metaforge.",image,"[{'address': 'DKLgbeqnhM9JvVTimzhbHjJpyLhB5WBuMD45HUhrngQ3', 'verified': 1, 'share': 0}, {'address': 'RRUMF9KYPcvNSmnicNMAFKx5wDYix3wjNa6bA7R6xqA', 'verified': 0, 'share': 10}, {'address': '5FB3RHjBLvxejJrw1KDP123rgUusPeWqdGpzAFU4UQkx', 'verified': 0, 'share': 82}, {'address': 'EH2xa8LT2abTwwbnw8HL2JgtHP97Si9H32xDtZZhituh', 'verified': 0, 'share': 8}]",600,2SZVvUALYECDfCPivCCHQ2tGQt7HJCNwUccfCN7n5AKc,"[{'trait_type': 'Accessories', 'value': 'None'}, {'trait_type': 'Clothes', 'value': 'Skeley'}, {'trait_type': 'Hats', 'value': 'Goggles'}, {'trait_type': 'Backrounds', 'value': 'Grassy'}, {'trait_type': 'Faces', 'value': 'Pixel'}, {'trait_type': 'Body', 'value': 'Normal'}]","{'files': [{'uri': 'https://bafybeigrssxnlszv7e4dmpx6a33dfg37jurw5ldfhy2lajlywepr5nkn3q.ipfs.dweb.link/644.png?ext=png', 'type': 'image/png'}], 'category': 'image', 'creators': [{'address': 'RRUMF9KYPcvNSmnicNMAFKx5wDYix3wjNa6bA7R6xqA', 'share': 10}, {'address': '5FB3RHjBLvxejJrw1KDP123rgUusPeWqdGpzAFU4UQkx', 'share': 82}, {'address': 'EH2xa8LT2abTwwbnw8HL2JgtHP97Si9H32xDtZZhituh', 'share': 8}]}",1,5FB3RHjBLvxejJrw1KDP123rgUusPeWqdGpzAFU4UQkx,1,{},False,"{'auctionHouseKey': 'E8cU1WiRWjanGxmn96ewBgk9vPTcL6AEZ1t6F6fkgUWe', 'sellerReferral': 'autMW8SgBkVYeBgqYiTuJZnkvDZMVU2MHJh9Jh7CSQ2', 'expiry': -1}",{'moonrank': {'rank': 1548}}
5,6DmndYM2aru8U8xUxrotGmt4T3MgfwuQ51oXrYdVmo3T,0.77,4fJmBkGqtvS7CZfBTcJ4w1ghNWaZi3ai58gYv3UrRzWU,3jjqJhqY7YwGfWfH3tTuF7ixjxxLoerb1XDaMwrYhtHX,ghostguys_metaforge,Ghost Guys | By Metaforge,https://bafybeidz3vddbei626wyhgqiwfm7v2hktnfup72hdvyc6kxoavvoi6fnmm.ipfs.dweb.link/213.png?ext=png,Ghost Guy #534,"2000 Ghost Guys haunting Solana, they are the first inhabitants & your pass inside Metaforge.",image,"[{'address': 'DKLgbeqnhM9JvVTimzhbHjJpyLhB5WBuMD45HUhrngQ3', 'verified': 1, 'share': 0}, {'address': 'RRUMF9KYPcvNSmnicNMAFKx5wDYix3wjNa6bA7R6xqA', 'verified': 0, 'share': 10}, {'address': '5FB3RHjBLvxejJrw1KDP123rgUusPeWqdGpzAFU4UQkx', 'verified': 0, 'share': 82}, {'address': 'EH2xa8LT2abTwwbnw8HL2JgtHP97Si9H32xDtZZhituh', 'verified': 0, 'share': 8}]",600,GCEWUsSQJzxx5shsTRD1WPMZAc3EZNbN1ZSqWtBsSaS7,"[{'trait_type': 'Hats', 'value': 'Hokage'}, {'trait_type': 'Accessories', 'value': 'Deafened'}, {'trait_type': 'Clothes', 'value': 'Indiana'}, {'trait_type': 'Backrounds', 'value': 'Mint'}, {'trait_type': 'Faces', 'value': 'Battlescarred'}, {'trait_type': 'Body', 'value': 'Normal'}]","{'files': [{'uri': 'https://bafybeidz3vddbei626wyhgqiwfm7v2hktnfup72hdvyc6kxoavvoi6fnmm.ipfs.dweb.link/213.png?ext=png', 'type': 'image/png'}], 'category': 'image', 'creators': [{'address': 'RRUMF9KYPcvNSmnicNMAFKx5wDYix3wjNa6bA7R6xqA', 'share': 10}, {'address': '5FB3RHjBLvxejJrw1KDP123rgUusPeWqdGpzAFU4UQkx', 'share': 82}, {'address': 'EH2xa8LT2abTwwbnw8HL2JgtHP97Si9H32xDtZZhituh', 'share': 8}]}",1,5FB3RHjBLvxejJrw1KDP123rgUusPeWqdGpzAFU4UQkx,1,{},False,"{'auctionHouseKey': 'E8cU1WiRWjanGxmn96ewBgk9vPTcL6AEZ1t6F6fkgUWe', 'sellerReferral': 'autMW8SgBkVYeBgqYiTuJZnkvDZMVU2MHJh9Jh7CSQ2', 'expiry': -1}",{'moonrank': {'rank': 1532}}
6,BNvZKHn9zd8ooFGimPa3z9uwf1J7PksFJtgBFohV8Tc6,0.8,BvgfEUzm5Xqa854yoycQLZfY8Smna5YA6eFz7M9rHMgU,CFcp9YKydHSgLd7vCS8aVF5iJLwzMeBnbP1HLCXEmhEm,ghostguys_metaforge,Ghost Guys | By Metaforge,https://bafybeihl4v57bzb2g2a53goore6w4h7gmpycr5ajhbigxbinurttqdqwem.ipfs.dweb.link/560.png?ext=png,Ghost Guy #881,"2000 Ghost Guys haunting Solana, they are the first inhabitants & your pass inside Metaforge.",image,"[{'address': 'DKLgbeqnhM9JvVTimzhbHjJpyLhB5WBuMD45HUhrngQ3', 'verified': 1, 'share': 0}, {'address': 'RRUMF9KYPcvNSmnicNMAFKx5wDYix3wjNa6bA7R6xqA', 'verified': 0, 'share': 10}, {'address': '5FB3RHjBLvxejJrw1KDP123rgUusPeWqdGpzAFU4UQkx', 'verified': 0, 'share': 82}, {'address': 'EH2xa8LT2abTwwbnw8HL2JgtHP97Si9H32xDtZZhituh', 'verified': 0, 'share': 8}]",600,CteprVxdQDfiSu7YE4s5noVD291yPQixY59qDupj3Nr6,"[{'trait_type': 'Accessories', 'value': 'WGMI'}, {'trait_type': 'Hats', 'value': 'Beanie'}, {'trait_type': 'Body', 'value': 'Normal'}, {'trait_type': 'Clothes', 'value': 'Boolenci'}, {'trait_type': 'Faces', 'value': 'Battlescarred'}, {'trait_type': 'Backrounds', 'value': 'Mint'}]","{'files': [{'uri': 'https://bafybeihl4v57bzb2g2a53goore6w4h7gmpycr5ajhbigxbinurttqdqwem.ipfs.dweb.link/560.png?ext=png', 'type': 'image/png'}], 'category': 'image', 'creators': [{'address': 'RRUMF9KYPcvNSmnicNMAFKx5wDYix3wjNa6bA7R6xqA', 'share': 10}, {'address': '5FB3RHjBLvxejJrw1KDP123rgUusPeWqdGpzAFU4UQkx', 'share': 82}, {'address': 'EH2xa8LT2abTwwbnw8HL2JgtHP97Si9H32xDtZZhituh', 'share': 8}]}",1,5FB3RHjBLvxejJrw1KDP123rgUusPeWqdGpzAFU4UQkx,1,{},False,"{'auctionHouseKey': 'E8cU1WiRWjanGxmn96ewBgk9vPTcL6AEZ1t6F6fkgUWe', 'sellerReferral': 'autMW8SgBkVYeBgqYiTuJZnkvDZMVU2MHJh9Jh7CSQ2', 'expiry': -1}",{'moonrank': {'rank': 1281}}
7,FhURfQx1wvt6BfuU3v2GBS315zBfAdE2jsjERpEUD9HH,0.899,J3pz8i6LjCfmcxpnAqrNjPrrdtpuuv5dLjaWmxciePAN,9ezySxXHniBDtKYDetT4YTKBH4myHYHSUCCzDXtdUUY2,ghostguys_metaforge,Ghost Guys | By Metaforge,https://bafybeic3uikd4s6gi54kfu3lruq2dceahpawoynksyfitriyiwa3pb2aq4.ipfs.dweb.link/622.png?ext=png,Ghost Guy #943,"2000 Ghost Guys haunting Solana, they are the first inhabitants & your pass inside Metaforge.",image,"[{'address': 'DKLgbeqnhM9JvVTimzhbHjJpyLhB5WBuMD45HUhrngQ3', 'verified': 1, 'share': 0}, {'address': 'RRUMF9KYPcvNSmnicNMAFKx5wDYix3wjNa6bA7R6xqA', 'verified': 0, 'share': 10}, {'address': '5FB3RHjBLvxejJrw1KDP123rgUusPeWqdGpzAFU4UQkx', 'verified': 0, 'share': 82}, {'address': 'EH2xa8LT2abTwwbnw8HL2JgtHP97Si9H32xDtZZhituh', 'verified': 0, 'share': 8}]",600,3xvQoC4QKChY3A1cnU9y7wHXWJ8vLK5S5thQUNk8E2QM,"[{'trait_type': 'Backrounds', 'value': 'White'}, {'trait_type': 'Hats', 'value': 'Goodfella'}, {'trait_type': 'Accessories', 'value': 'None'}, {'trait_type': 'Body', 'value': 'Normal'}, {'trait_type': 'Clothes', 'value': 'Fighter'}, {'trait_type': 'Faces', 'value': 'Ghost Type'}]","{'files': [{'uri': 'https://bafybeic3uikd4s6gi54kfu3lruq2dceahpawoynksyfitriyiwa3pb2aq4.ipfs.dweb.link/622.png?ext=png', 'type': 'image/png'}], 'category': 'image', 'creators': [{'address': 'RRUMF9KYPcvNSmnicNMAFKx5wDYix3wjNa6bA7R6xqA', 'share': 10}, {'address': '5FB3RHjBLvxejJrw1KDP123rgUusPeWqdGpzAFU4UQkx', 'share': 82}, {'address': 'EH2xa8LT2abTwwbnw8HL2JgtHP97Si9H32xDtZZhituh', 'share': 8}]}",1,5FB3RHjBLvxejJrw1KDP123rgUusPeWqdGpzAFU4UQkx,1,{},False,"{'auctionHouseKey': 'E8cU1WiRWjanGxmn96ewBgk9vPTcL6AEZ1t6F6fkgUWe', 'sellerReferral': 'autMW8SgBkVYeBgqYiTuJZnkvDZMVU2MHJh9Jh7CSQ2', 'expiry': -1}",{'moonrank': {'rank': 1397}}
8,6akiwHgKT6ZLM2WVLXY4bRTPDfVCVxQhnbvWcprPBmT9,0.9,3CwRrTfeBL4MUiXftDC62DDP1L22HM7KSJjst4SztzaG,FJtBuoaRcCEaBcZ5CQcXw2eFNhPgJbe7kXusBGKEavwH,ghostguys_metaforge,Ghost Guys | By Metaforge,https://bafybeig5k7bhtfm6rw2bhgfbzcc5zop6dxzn3hf5n53m3fuawq63esjlaq.ipfs.dweb.link/422.png?ext=png,Ghost Guy #743,"2000 Ghost Guys haunting Solana, they are the first inhabitants & your pass inside Metaforge.",image,"[{'address': 'DKLgbeqnhM9JvVTimzhbHjJpyLhB5WBuMD45HUhrngQ3', 'verified': 1, 'share': 0}, {'address': 'RRUMF9KYPcvNSmnicNMAFKx5wDYix3wjNa6bA7R6xqA', 'verified': 0, 'share': 10}, {'address': '5FB3RHjBLvxejJrw1KDP123rgUusPeWqdGpzAFU4UQkx', 'verified': 0, 'share': 82}, {'address': 'EH2xa8LT2abTwwbnw8HL2JgtHP97Si9H32xDtZZhituh', 'verified': 0, 'share': 8}]",600,2rSCDnNe2ULdv6hNs33YyLSYeHSpsv7SqG8HSoNfvKAd,"[{'trait_type': 'Accessories', 'value': 'Oracle'}, {'trait_type': 'Hats', 'value': 'None'}, {'trait_type': 'Clothes', 'value': 'HypeBeast'}, {'trait_type': 'Body', 'value': 'Normal'}, {'trait_type': 'Backrounds', 'value': 'Grassy'}, {'trait_type': 'Faces', 'value': 'Boo!'}]","{'files': [{'uri': 'https://bafybeig5k7bhtfm6rw2bhgfbzcc5zop6dxzn3hf5n53m3fuawq63esjlaq.ipfs.dweb.link/422.png?ext=png', 'type': 'image/png'}], 'category': 'image', 'creators': [{'address': 'RRUMF9KYPcvNSmnicNMAFKx5wDYix3wjNa6bA7R6xqA', 'share': 10}, {'address': '5FB3RHjBLvxejJrw1KDP123rgUusPeWqdGpzAFU4UQkx', 'share': 82}, {'address': 'EH2xa8LT2abTwwbnw8HL2JgtHP97Si9H32xDtZZhituh', 'share': 8}]}",1,5FB3RHjBLvxejJrw1KDP123rgUusPeWqdGpzAFU4UQkx,1,{},False,"{'auctionHouseKey': 'E8cU1WiRWjanGxmn96ewBgk9vPTcL6AEZ1t6F6fkgUWe', 'sellerReferral': 'autMW8SgBkVYeBgqYiTuJZnkvDZMVU2MHJh9Jh7CSQ2', 'expiry': -1}",{'moonrank': {'rank': 1430}}
9,7nnCj1CfmHR3RhbKAbjKYiok43r6Pyd1XjfV83VWE4Tj,0.949,FLqNLS6utgjMFRL3bnZRGmjzhvRM9Bj9PSFaVr7hB6tC,9ezySxXHniBDtKYDetT4YTKBH4myHYHSUCCzDXtdUUY2,ghostguys_metaforge,Ghost Guys | By Metaforge,https://bafybeihnqsnbtcag6bv2axy4aqju2bphannff743v77siwsi3gkea7znhq.ipfs.dweb.link/1199.png?ext=png,Ghost Guy #1520,"2000 Ghost Guys haunting Solana, they are the first inhabitants & your pass inside Metaforge.",image,"[{'address': 'DKLgbeqnhM9JvVTimzhbHjJpyLhB5WBuMD45HUhrngQ3', 'verified': 1, 'share': 0}, {'address': 'RRUMF9KYPcvNSmnicNMAFKx5wDYix3wjNa6bA7R6xqA', 'verified': 0, 'share': 10}, {'address': '5FB3RHjBLvxejJrw1KDP123rgUusPeWqdGpzAFU4UQkx', 'verified': 0, 'share': 82}, {'address': 'EH2xa8LT2abTwwbnw8HL2JgtHP97Si9H32xDtZZhituh', 'verified': 0, 'share': 8}]",600,GTChA7Fo8jyqEf9MNCpeUP6ZS7gsmV9Aa7heeZi9KjNR,"[{'trait_type': 'Faces', 'value': 'Smoker'}, {'trait_type': 'Hats', 'value': 'Reversed'}, {'trait_type': 'Backrounds', 'value': 'Golden'}, {'trait_type': 'Clothes', 'value': 'Froggy'}, {'trait_type': 'Accessories', 'value': 'None'}, {'trait_type': 'Body', 'value': 'Normal'}]","{'files': [{'uri': 'https://bafybeihnqsnbtcag6bv2axy4aqju2bphannff743v77siwsi3gkea7znhq.ipfs.dweb.link/1199.png?ext=png', 'type': 'image/png'}], 'category': 'image', 'creators': [{'address': 'RRUMF9KYPcvNSmnicNMAFKx5wDYix3wjNa6bA7R6xqA', 'share': 10}, {'address': '5FB3RHjBLvxejJrw1KDP123rgUusPeWqdGpzAFU4UQkx', 'share': 82}, {'address': 'EH2xa8LT2abTwwbnw8HL2JgtHP97Si9H32xDtZZhituh', 'share': 8}]}",1,5FB3RHjBLvxejJrw1KDP123rgUusPeWqdGpzAFU4UQkx,1,{},False,"{'auctionHouseKey': 'E8cU1WiRWjanGxmn96ewBgk9vPTcL6AEZ1t6F6fkgUWe', 'sellerReferral': 'autMW8SgBkVYeBgqYiTuJZnkvDZMVU2MHJh9Jh7CSQ2', 'expiry': -1}",{'moonrank': {'rank': 1583}}
10,DH7eXhZyq4EvYB4DvL5duTvNPyGgWLU7eCJGhKakQiwj,0.95,FqrKncLe9ejxGijEnURrVzkNipmDcPHcvXJ5hdnkom5G,9otP1oQWAiQcVnzDsMSjZLh8zLQxx6VefAbbBd3h38a,ghostguys_metaforge,Ghost Guys | By Metaforge,https://bafybeiezq3lpjovkbpgfjvhe3blfh3pnrv2hb3r7n72qlbgkhkawwcskxy.ipfs.dweb.link/451.png?ext=png,Ghost Guy #772,"2000 Ghost Guys haunting Solana, they are the first inhabitants & your pass inside Metaforge.",image,"[{'address': 'DKLgbeqnhM9JvVTimzhbHjJpyLhB5WBuMD45HUhrngQ3', 'verified': 1, 'share': 0}, {'address': 'RRUMF9KYPcvNSmnicNMAFKx5wDYix3wjNa6bA7R6xqA', 'verified': 0, 'share': 10}, {'address': '5FB3RHjBLvxejJrw1KDP123rgUusPeWqdGpzAFU4UQkx', 'verified': 0, 'share': 82}, {'address': 'EH2xa8LT2abTwwbnw8HL2JgtHP97Si9H32xDtZZhituh', 'verified': 0, 'share': 8}]",600,96No7m7JCqEevf5cCFH1x7MQ1GgTNVogc1XaHCzM2YXW,"[{'trait_type': 'Accessories', 'value': 'Fumez'}, {'trait_type': 'Body', 'value': 'Normal'}, {'trait_type': 'Clothes', 'value': 'Suit Up'}, {'trait_type': 'Faces', 'value': 'Battlescarred'}, {'trait_type': 'Hats', 'value': 'Reversed'}, {'trait_type': 'Backrounds', 'value': 'Red'}]","{'files': [{'uri': 'https://bafybeiezq3lpjovkbpgfjvhe3blfh3pnrv2hb3r7n72qlbgkhkawwcskxy.ipfs.dweb.link/451.png?ext=png', 'type': 'image/png'}], 'category': 'image', 'creators': [{'address': 'RRUMF9KYPcvNSmnicNMAFKx5wDYix3wjNa6bA7R6xqA', 'share': 10}, {'address': '5FB3RHjBLvxejJrw1KDP123rgUusPeWqdGpzAFU4UQkx', 'share': 82}, {'address': 'EH2xa8LT2abTwwbnw8HL2JgtHP97Si9H32xDtZZhituh', 'share': 8}]}",1,5FB3RHjBLvxejJrw1KDP123rgUusPeWqdGpzAFU4UQkx,1,{},False,"{'auctionHouseKey': 'E8cU1WiRWjanGxmn96ewBgk9vPTcL6AEZ1t6F6fkgUWe', 'sellerReferral': 'autMW8SgBkVYeBgqYiTuJZnkvDZMVU2MHJh9Jh7CSQ2', 'expiry': -1}",{'moonrank': {'rank': 725}}
