,id,price,escrowPubkey,owner,collectionName,collectionTitle,img,title,content,externalURL,propertyCategory,creators,sellerFeeBasisPoints,mintAddress,attributes,properties,supply,updateAuthority,primarySaleHappened,onChainCollection,tokenDelegateValid,v2,rarity
0,BzYHthHJGhpCHXxCKXRiTv4aC5uVviSZiV2tSocJUXx8,13.5,gSQC8CJA9pgzQYmbtSZV9jgj9Lh2nfj9PNa8ZUA48V2,HSnSxBd9cWiBBxvT5MDZAzLVnB84fsmFdiuctn2ijyvM,zoom,Zaysan Raptors,https://www.arweave.net/5wM1CbcYyhBG7-sx8kvPDkP9Naj_NiX8Yy9Dmb2phbg?ext=png,Zaysan Raptors #779,An exclusive collection of 1555 Zaptors powered by $ELIXIR,www.zaysanraptors.io,image,"[{'address': 'Ehn81nZL7QFC6vkzNnKYo8X8SwLS9AHHov45i64WEmoE', 'verified': 1, 'share': 0}, {'address': 'FDvt9oqrpBXCcBR3jg7RNjSUriU9PMdrLxuNbnerdJAa', 'verified': 0, 'share': 100}]",800,4NGPrucj9vd36i9C8q6UyKJwY8zLmcFeS6CYbNFnd6DS,"[{'trait_type': 'Background', 'value': 'Pink'}, {'trait_type': 'Baze', 'value': 'White'}, {'trait_type': 'Neck', 'value': 'Denim'}, {'trait_type': 'Mouth', 'value': 'None'}, {'trait_type': 'Eyez', 'value': 'Blue'}, {'trait_type': 'Head', 'value': 'Mohawk'}, {'trait_type': 'Glazzez', 'value': 'None'}, {'trait_type': 'Faction', 'value': 'G'}, {'trait_type': 'Type', 'value': 'Geneziz'}]","{'files': [{'uri': 'https://www.arweave.net/5wM1CbcYyhBG7-sx8kvPDkP9Naj_NiX8Yy9Dmb2phbg?ext=png', 'type': 'image/png'}], 'category': 'image', 'creators': [{'address': 'FDvt9oqrpBXCcBR3jg7RNjSUriU9PMdrLxuNbnerdJAa', 'share': 100}]}",1,9r8daTPS2kHMPcNEys5EYCJzjZPVkEC5wVCXCbWRFMSt,1,{},False,"{'auctionHouseKey': 'E8cU1WiRWjanGxmn96ewBgk9vPTcL6AEZ1t6F6fkgUWe', 'sellerReferral': 'autMW8SgBkVYeBgqYiTuJZnkvDZMVU2MHJh9Jh7CSQ2', 'expiry': -1}","{'moonrank': {'rank': 901}, 'howrare': {'rank': 720}}"
1,5dawbeUqt8SdQb8Z3iLUzoU5jKTDtXkhC1Q11a6MfFab,13.5,9pgNiwMtjk2M7gnU2b3e9Eg3w2teEWvpJME6ZZV3vWRp,9j53Z6bejUaAxJCEC64BbxozLPuvsuAFsr6iqWKKDvaw,zoom,Zaysan Raptors,https://www.arweave.net/vW2VebFJuQ8xoD6mwGHtx8_Cdy2-Ev5weV0K9BIHHko?ext=png,Zaysan Raptors #757,An exclusive collection of 1555 Zaptors powered by $ELIXIR,www.zaysanraptors.io,image,"[{'address': 'Ehn81nZL7QFC6vkzNnKYo8X8SwLS9AHHov45i64WEmoE', 'verified': 1, 'share': 0}, {'address': 'FDvt9oqrpBXCcBR3jg7RNjSUriU9PMdrLxuNbnerdJAa', 'verified': 0, 'share': 100}]",800,h2gtKzvtgo9UP3YCFq1KZDhjJJkuLqZW8yP4caKJdZ1,"[{'trait_type': 'Background', 'value': 'Purple'}, {'trait_type': 'Baze', 'value': 'Toxic'}, {'trait_type': 'Neck', 'value': 'None'}, {'trait_type': 'Mouth', 'value': 'Flower'}, {'trait_type': 'Eyez', 'value': 'Blue'}, {'trait_type': 'Head', 'value': 'Minizauruz'}, {'trait_type': 'Glazzez', 'value': 'Zunglazzez'}, {'trait_type': 'Faction', 'value': 'G'}, {'trait_type': 'Type', 'value': 'Geneziz'}]","{'files': [{'uri': 'https://www.arweave.net/vW2VebFJuQ8xoD6mwGHtx8_Cdy2-Ev5weV0K9BIHHko?ext=png', 'type': 'image/png'}], 'category': 'image', 'creators': [{'address': 'FDvt9oqrpBXCcBR3jg7RNjSUriU9PMdrLxuNbnerdJAa', 'share': 100}]}",1,9r8daTPS2kHMPcNEys5EYCJzjZPVkEC5wVCXCbWRFMSt,1,{},False,"{'auctionHouseKey': 'E8cU1WiRWjanGxmn96ewBgk9vPTcL6AEZ1t6F6fkgUWe', 'sellerReferral': 'autMW8SgBkVYeBgqYiTuJZnkvDZMVU2MHJh9Jh7CSQ2', 'expiry': -1}","{'howrare': {'rank': 1115}, 'moonrank': {'rank': 759}}"
2,GLCgJPxbyY6HnDa4FxjCLGrnEMGg9gSBBJnJoiVVRTkx,13.8,2ewbCVvavn37p5uRb6FgthSjC2W2t1KbRyfismfyhm3f,4rWVGMeoaTVAeiA9iqZBXRt2SLwBJjmiwySjHCXunADL,zoom,Zaysan Raptors,https://www.arweave.net/UzwvKvGvl1Kl0zzZJnZrDRfxEvDYYhhl0sEWfZK46ks?ext=png,Zaysan Raptors #1085,An exclusive collection of 1555 Zaptors powered by $ELIXIR,www.zaysanraptors.io,image,"[{'address': 'Ehn81nZL7QFC6vkzNnKYo8X8SwLS9AHHov45i64WEmoE', 'verified': 1, 'share': 0}, {'address': 'FDvt9oqrpBXCcBR3jg7RNjSUriU9PMdrLxuNbnerdJAa', 'verified': 0, 'share': 100}]",800,4A9JaN4sY6pJnzPSpSmjzMv9Mk787fhjgJWZsjWzokM9,"[{'trait_type': 'Background', 'value': 'Pink'}, {'trait_type': 'Baze', 'value': 'Red'}, {'trait_type': 'Neck', 'value': 'Bandana'}, {'trait_type': 'Mouth', 'value': 'Joint'}, {'trait_type': 'Eyez', 'value': 'Blue'}, {'trait_type': 'Head', 'value': 'None'}, {'trait_type': 'Glazzez', 'value': 'None'}, {'trait_type': 'Faction', 'value': 'Z'}, {'trait_type': 'Type', 'value': 'Geneziz'}]","{'files': [{'uri': 'https://www.arweave.net/UzwvKvGvl1Kl0zzZJnZrDRfxEvDYYhhl0sEWfZK46ks?ext=png', 'type': 'image/png'}], 'category': 'image', 'creators': [{'address': 'FDvt9oqrpBXCcBR3jg7RNjSUriU9PMdrLxuNbnerdJAa', 'share': 100}]}",1,9r8daTPS2kHMPcNEys5EYCJzjZPVkEC5wVCXCbWRFMSt,1,{},False,"{'auctionHouseKey': 'E8cU1WiRWjanGxmn96ewBgk9vPTcL6AEZ1t6F6fkgUWe', 'sellerReferral': 'autMW8SgBkVYeBgqYiTuJZnkvDZMVU2MHJh9Jh7CSQ2', 'expiry': -1}","{'moonrank': {'rank': 1110}, 'howrare': {'rank': 1035}}"
3,EN75FxXHT2vhrV7A3GvAuqpNDKba6ioCmr5fuUqBrK2Q,14.0,8rh72gdFPwnQov4Jutsr72GqGzZhz58F8vcVYGXkY7Nk,FwXA1MbMTSNwPZu1FS9W9QDKFtVYkUF7FybkSLjy1XYL,zoom,Zaysan Raptors,https://www.arweave.net/ybJiFUnHw6bRj1tUvL9eMxKJt1VOMLbA4WlUbAD9Vks?ext=png,Zaysan Raptors #1146,An exclusive collection of 1555 Zaptors powered by $ELIXIR,www.zaysanraptors.io,image,"[{'address': 'Ehn81nZL7QFC6vkzNnKYo8X8SwLS9AHHov45i64WEmoE', 'verified': 1, 'share': 0}, {'address': 'FDvt9oqrpBXCcBR3jg7RNjSUriU9PMdrLxuNbnerdJAa', 'verified': 0, 'share': 100}]",800,HyVphxJVSdNXu85e6Efwq7EskE82p6jxoaTCP22bPDP4,"[{'trait_type': 'Background', 'value': 'Purple'}, {'trait_type': 'Baze', 'value': 'Yellow'}, {'trait_type': 'Neck', 'value': 'None'}, {'trait_type': 'Mouth', 'value': 'Frizbee'}, {'trait_type': 'Eyez', 'value': 'Yellow'}, {'trait_type': 'Head', 'value': 'Dino Egg'}, {'trait_type': 'Glazzez', 'value': 'None'}, {'trait_type': 'Faction', 'value': 'Z'}, {'trait_type': 'Type', 'value': 'Geneziz'}]","{'files': [{'uri': 'https://www.arweave.net/ybJiFUnHw6bRj1tUvL9eMxKJt1VOMLbA4WlUbAD9Vks?ext=png', 'type': 'image/png'}], 'category': 'image', 'creators': [{'address': 'FDvt9oqrpBXCcBR3jg7RNjSUriU9PMdrLxuNbnerdJAa', 'share': 100}]}",1,9r8daTPS2kHMPcNEys5EYCJzjZPVkEC5wVCXCbWRFMSt,1,{},False,"{'auctionHouseKey': 'E8cU1WiRWjanGxmn96ewBgk9vPTcL6AEZ1t6F6fkgUWe', 'sellerReferral': 'autMW8SgBkVYeBgqYiTuJZnkvDZMVU2MHJh9Jh7CSQ2', 'expiry': -1}","{'moonrank': {'rank': 1263}, 'howrare': {'rank': 1351}}"
4,71W7pFeh2vZCSN8HR1GVqQGnSpXKDo2XdRRAWJAqtPtZ,14.4,6YFW4X8wgaEAQfAemhF3mBgW7kVQk1Rv35CXp9RTFZ5Y,FDaJpWYvfyw9buAV4RcpSA4QiiLu1YohxyRTJ5Z6q1bS,zoom,Zaysan Raptors,https://www.arweave.net/G1u_p5aQK4gVjIBCKY31u4Uuhql6DTfXNxUtQ4IeCvQ?ext=png,Zaysan Raptors #1094,An exclusive collection of 1555 Zaptors powered by $ELIXIR,www.zaysanraptors.io,image,"[{'address': 'Ehn81nZL7QFC6vkzNnKYo8X8SwLS9AHHov45i64WEmoE', 'verified': 1, 'share': 0}, {'address': 'FDvt9oqrpBXCcBR3jg7RNjSUriU9PMdrLxuNbnerdJAa', 'verified': 0, 'share': 100}]",800,7i9LwbejEdEBa52gA6JtnehijPchwLbfKd1gU6CqfGSK,"[{'trait_type': 'Background', 'value': 'Turquoize'}, {'trait_type': 'Baze', 'value': 'Red'}, {'trait_type': 'Neck', 'value': 'None'}, {'trait_type': 'Mouth', 'value': 'None'}, {'trait_type': 'Eyez', 'value': 'Yellow'}, {'trait_type': 'Head', 'value': 'Dino Egg'}, {'trait_type': 'Glazzez', 'value': 'None'}, {'trait_type': 'Faction', 'value': 'Z'}, {'trait_type': 'Type', 'value': 'Geneziz'}]","{'files': [{'uri': 'https://www.arweave.net/G1u_p5aQK4gVjIBCKY31u4Uuhql6DTfXNxUtQ4IeCvQ?ext=png', 'type': 'image/png'}], 'category': 'image', 'creators': [{'address': 'FDvt9oqrpBXCcBR3jg7RNjSUriU9PMdrLxuNbnerdJAa', 'share': 100}]}",1,9r8daTPS2kHMPcNEys5EYCJzjZPVkEC5wVCXCbWRFMSt,1,{},False,"{'auctionHouseKey': 'E8cU1WiRWjanGxmn96ewBgk9vPTcL6AEZ1t6F6fkgUWe', 'sellerReferral': 'autMW8SgBkVYeBgqYiTuJZnkvDZMVU2MHJh9Jh7CSQ2', 'expiry': -1}","{'moonrank': {'rank': 1452}, 'howrare': {'rank': 1459}}"
5,7cevLudtgxZ53ZSY1npL7Gh7Lo1cNFs4ndunLRJS6732,15.0,3B7VLgvxVFySwZuuzc7vucb8fK8o5WNwZyGHPJnMqa1e,7YuMp7pA6ageaaoeRE5Ez86efJVv6TpHrRFSAbq65eAP,zoom,Zaysan Raptors,https://www.arweave.net/RWROlnmzt6wc_r1R0irrUEBclCPsfSftT3Wjj2crMsg?ext=png,Zaysan Raptors #1067,An exclusive collection of 1555 Zaptors powered by $ELIXIR,www.zaysanraptors.io,image,"[{'address': 'Ehn81nZL7QFC6vkzNnKYo8X8SwLS9AHHov45i64WEmoE', 'verified': 1, 'share': 0}, {'address': 'FDvt9oqrpBXCcBR3jg7RNjSUriU9PMdrLxuNbnerdJAa', 'verified': 0, 'share': 100}]",800,CVDtqzbxXS4Z1HQdWRYJh53yqCwWkXP4xFFujih4gcPB,"[{'trait_type': 'Background', 'value': 'Blue'}, {'trait_type': 'Baze', 'value': 'Red'}, {'trait_type': 'Neck', 'value': 'None'}, {'trait_type': 'Mouth', 'value': 'None'}, {'trait_type': 'Eyez', 'value': 'Yellow'}, {'trait_type': 'Head', 'value': 'Fren'}, {'trait_type': 'Glazzez', 'value': 'None'}, {'trait_type': 'Faction', 'value': 'Z'}, {'trait_type': 'Type', 'value': 'Geneziz'}]","{'files': [{'uri': 'https://www.arweave.net/RWROlnmzt6wc_r1R0irrUEBclCPsfSftT3Wjj2crMsg?ext=png', 'type': 'image/png'}], 'category': 'image', 'creators': [{'address': 'FDvt9oqrpBXCcBR3jg7RNjSUriU9PMdrLxuNbnerdJAa', 'share': 100}]}",1,9r8daTPS2kHMPcNEys5EYCJzjZPVkEC5wVCXCbWRFMSt,1,{},False,"{'auctionHouseKey': 'E8cU1WiRWjanGxmn96ewBgk9vPTcL6AEZ1t6F6fkgUWe', 'sellerReferral': 'autMW8SgBkVYeBgqYiTuJZnkvDZMVU2MHJh9Jh7CSQ2', 'expiry': -1}","{'moonrank': {'rank': 1450}, 'howrare': {'rank': 1461}}"
6,HGaeW3Hjm2Xd3K4AJ4XWbPmCTh13NzjyhQo3fdxStH4D,15.0,3Qh3CjJrJ53Re8MAYaTwGznK8C4sagjhsV5whdg7repL,EZxXPAadpd58BffLh2PxnJ9YT3kh5Yi3ZP7dcBWafHtn,zoom,Zaysan Raptors,https://www.arweave.net/GRMOb2A6-SBA_MF-JNASFrDEZeSWdVLMsRL7M-N9OkQ?ext=png,Zaysan Raptors #190,An exclusive collection of 1555 Zaptors powered by $ELIXIR,www.zaysanraptors.io,image,"[{'address': 'Ehn81nZL7QFC6vkzNnKYo8X8SwLS9AHHov45i64WEmoE', 'verified': 1, 'share': 0}, {'address': 'FDvt9oqrpBXCcBR3jg7RNjSUriU9PMdrLxuNbnerdJAa', 'verified': 0, 'share': 100}]",800,F17oixgmm97bw8TT8wApBX21CJvV4bAnSvfUT7teQene,"[{'trait_type': 'Background', 'value': 'Pink'}, {'trait_type': 'Baze', 'value': 'Metal'}, {'trait_type': 'Neck', 'value': 'None'}, {'trait_type': 'Mouth', 'value': 'Pizza'}, {'trait_type': 'Eyez', 'value': 'Red'}, {'trait_type': 'Head', 'value': 'Fedora'}, {'trait_type': 'Glazzez', 'value': 'None'}, {'trait_type': 'Faction', 'value': 'W'}, {'trait_type': 'Type', 'value': 'Geneziz'}]","{'files': [{'uri': 'https://www.arweave.net/GRMOb2A6-SBA_MF-JNASFrDEZeSWdVLMsRL7M-N9OkQ?ext=png', 'type': 'image/png'}], 'category': 'image', 'creators': [{'address': 'FDvt9oqrpBXCcBR3jg7RNjSUriU9PMdrLxuNbnerdJAa', 'share': 100}]}",1,9r8daTPS2kHMPcNEys5EYCJzjZPVkEC5wVCXCbWRFMSt,1,{},False,"{'auctionHouseKey': 'E8cU1WiRWjanGxmn96ewBgk9vPTcL6AEZ1t6F6fkgUWe', 'sellerReferral': 'autMW8SgBkVYeBgqYiTuJZnkvDZMVU2MHJh9Jh7CSQ2', 'expiry': -1}","{'moonrank': {'rank': 697}, 'howrare': {'rank': 719}}"
7,J5if9QccHx1gG2J83FwJDVtYyrtSYJPchpd4WkNxbpAT,15.2,66BXECvavSY7PK75zMBT7rFBvCMEG2ERZqohbbimqGGE,6Nf67Tc6nX2qYtdsXKRiNA5HneTz7VidFwCYuKg3R585,zoom,Zaysan Raptors,https://www.arweave.net/m31d9Ms2rZ6XNbcSoa2pWE2mcgpfnSMCQ4onTB0bfM8?ext=png,Zaysan Raptors #706,An exclusive collection of 1555 Zaptors powered by $ELIXIR,www.zaysanraptors.io,image,"[{'address': 'Ehn81nZL7QFC6vkzNnKYo8X8SwLS9AHHov45i64WEmoE', 'verified': 1, 'share': 0}, {'address': 'FDvt9oqrpBXCcBR3jg7RNjSUriU9PMdrLxuNbnerdJAa', 'verified': 0, 'share': 100}]",800,E1ZQZNSJXy5xhaQhMXntJDQLSwu7hQXkZ3VaU3zvdMsP,"[{'trait_type': 'Background', 'value': 'Olive'}, {'trait_type': 'Baze', 'value': 'Red'}, {'trait_type': 'Neck', 'value': 'None'}, {'trait_type': 'Mouth', 'value': 'Flower'}, {'trait_type': 'Eyez', 'value': 'Yellow'}, {'trait_type': 'Head', 'value': 'Fizh'}, {'trait_type': 'Glazzez', 'value': 'None'}, {'trait_type': 'Faction', 'value': 'G'}, {'trait_type': 'Type', 'value': 'Geneziz'}]","{'files': [{'uri': 'https://www.arweave.net/m31d9Ms2rZ6XNbcSoa2pWE2mcgpfnSMCQ4onTB0bfM8?ext=png', 'type': 'image/png'}], 'category': 'image', 'creators': [{'address': 'FDvt9oqrpBXCcBR3jg7RNjSUriU9PMdrLxuNbnerdJAa', 'share': 100}]}",1,9r8daTPS2kHMPcNEys5EYCJzjZPVkEC5wVCXCbWRFMSt,1,{},False,"{'auctionHouseKey': 'E8cU1WiRWjanGxmn96ewBgk9vPTcL6AEZ1t6F6fkgUWe', 'sellerReferral': 'autMW8SgBkVYeBgqYiTuJZnkvDZMVU2MHJh9Jh7CSQ2', 'expiry': -1}",{'moonrank': {'rank': 1117}}
8,2wdnjCQCxUuwd6Kwq5uVBPpdPQEmKFWcHnTL2CGJ52x2,15.5,14ZqcbnXfo1bAhWpr44SLMyPo1g5PsRYZW3H9uzLKJU2,7YuMp7pA6ageaaoeRE5Ez86efJVv6TpHrRFSAbq65eAP,zoom,Zaysan Raptors,https://www.arweave.net/DVMxDGf-p22uErDN9_RaYDT4ndfDxTT1CWCfrAfd6no?ext=png,Zaysan Raptors #188,An exclusive collection of 1555 Zaptors powered by $ELIXIR,www.zaysanraptors.io,image,"[{'address': 'Ehn81nZL7QFC6vkzNnKYo8X8SwLS9AHHov45i64WEmoE', 'verified': 1, 'share': 0}, {'address': 'FDvt9oqrpBXCcBR3jg7RNjSUriU9PMdrLxuNbnerdJAa', 'verified': 0, 'share': 100}]",800,95Tn2BiMmKnrzcQgnTj9mgy1KMg8sjogR7Qv938p4UdC,"[{'trait_type': 'Background', 'value': 'Olive'}, {'trait_type': 'Baze', 'value': 'Metal'}, {'trait_type': 'Neck', 'value': 'Choker'}, {'trait_type': 'Mouth', 'value': 'None'}, {'trait_type': 'Eyez', 'value': 'Green'}, {'trait_type': 'Head', 'value': 'Mohawk'}, {'trait_type': 'Glazzez', 'value': 'None'}, {'trait_type': 'Faction', 'value': 'W'}, {'trait_type': 'Type', 'value': 'Geneziz'}]","{'files': [{'uri': 'https://www.arweave.net/DVMxDGf-p22uErDN9_RaYDT4ndfDxTT1CWCfrAfd6no?ext=png', 'type': 'image/png'}], 'category': 'image', 'creators': [{'address': 'FDvt9oqrpBXCcBR3jg7RNjSUriU9PMdrLxuNbnerdJAa', 'share': 100}]}",1,9r8daTPS2kHMPcNEys5EYCJzjZPVkEC5wVCXCbWRFMSt,1,{},False,"{'auctionHouseKey': 'E8cU1WiRWjanGxmn96ewBgk9vPTcL6AEZ1t6F6fkgUWe', 'sellerReferral': 'autMW8SgBkVYeBgqYiTuJZnkvDZMVU2MHJh9Jh7CSQ2', 'expiry': -1}","{'moonrank': {'rank': 1033}, 'howrare': {'rank': 1131}}"
9,D8uSKp3vRpTrE771iv4LXzz4ctFUnyU9GDWQmCWaiEFF,15.5,Gv3kfLNuBVo3K4p5xv3oT5CtnLYtUef4DBvzvvFcB8PN,71KrBtYDVMCRmrsUog7wQVLVvbJu3yrgsKvSuD8ciEAz,zoom,Zaysan Raptors,https://www.arweave.net/9XFyDOVQ56qpjl9ZdC3cktiUI1YZxCYz8AkmBkoH150?ext=png,Zaysan Raptors #1061,An exclusive collection of 1555 Zaptors powered by $ELIXIR,www.zaysanraptors.io,image,"[{'address': 'Ehn81nZL7QFC6vkzNnKYo8X8SwLS9AHHov45i64WEmoE', 'verified': 1, 'share': 0}, {'address': 'FDvt9oqrpBXCcBR3jg7RNjSUriU9PMdrLxuNbnerdJAa', 'verified': 0, 'share': 100}]",800,AmvupB3MM23WUB59GDw5AxbLkB4pqmpQCUFzhNruyFby,"[{'trait_type': 'Background', 'value': 'Meteorite'}, {'trait_type': 'Baze', 'value': 'Red'}, {'trait_type': 'Neck', 'value': 'None'}, {'trait_type': 'Mouth', 'value': 'Cigarette'}, {'trait_type': 'Eyez', 'value': 'Yellow'}, {'trait_type': 'Head', 'value': 'None'}, {'trait_type': 'Glazzez', 'value': 'None'}, {'trait_type': 'Faction', 'value': 'Z'}, {'trait_type': 'Type', 'value': 'Geneziz'}]","{'files': [{'uri': 'https://www.arweave.net/9XFyDOVQ56qpjl9ZdC3cktiUI1YZxCYz8AkmBkoH150?ext=png', 'type': 'image/png'}], 'category': 'image', 'creators': [{'address': 'FDvt9oqrpBXCcBR3jg7RNjSUriU9PMdrLxuNbnerdJAa', 'share': 100}]}",1,9r8daTPS2kHMPcNEys5EYCJzjZPVkEC5wVCXCbWRFMSt,1,{},False,"{'auctionHouseKey': 'E8cU1WiRWjanGxmn96ewBgk9vPTcL6AEZ1t6F6fkgUWe', 'sellerReferral': 'autMW8SgBkVYeBgqYiTuJZnkvDZMVU2MHJh9Jh7CSQ2', 'expiry': -1}","{'moonrank': {'rank': 1320}, 'howrare': {'rank': 1073}}"
10,AGhUdRZ4B9GrEe7ZZNQUQeGzYaQWHMA6WyuA6NUchAs7,16.0,TxC8XZntR8mweyo7tFH69k6og4uLVwiFvYw395oaUcV,7YuMp7pA6ageaaoeRE5Ez86efJVv6TpHrRFSAbq65eAP,zoom,Zaysan Raptors,https://www.arweave.net/bhVent6SPiftbaPiRM-60lyI49IAJf9rNjxtQyd1aA4?ext=png,Zaysan Raptors #365,An exclusive collection of 1555 Zaptors powered by $ELIXIR,www.zaysanraptors.io,image,"[{'address': 'Ehn81nZL7QFC6vkzNnKYo8X8SwLS9AHHov45i64WEmoE', 'verified': 1, 'share': 0}, {'address': 'FDvt9oqrpBXCcBR3jg7RNjSUriU9PMdrLxuNbnerdJAa', 'verified': 0, 'share': 100}]",800,ANpwFazDUrYGq9Pp6VXc3KT72c9xH9CUW9T5WcpkmCwT,"[{'trait_type': 'Background', 'value': 'Purple'}, {'trait_type': 'Baze', 'value': 'Blue'}, {'trait_type': 'Neck', 'value': 'Jacket'}, {'trait_type': 'Mouth', 'value': 'None'}, {'trait_type': 'Eyez', 'value': 'Yellow'}, {'trait_type': 'Head', 'value': 'Minizauruz'}, {'trait_type': 'Glazzez', 'value': 'None'}, {'trait_type': 'Faction', 'value': 'A'}, {'trait_type': 'Type', 'value': 'Geneziz'}]","{'files': [{'uri': 'https://www.arweave.net/bhVent6SPiftbaPiRM-60lyI49IAJf9rNjxtQyd1aA4?ext=png', 'type': 'image/png'}], 'category': 'image', 'creators': [{'address': 'FDvt9oqrpBXCcBR3jg7RNjSUriU9PMdrLxuNbnerdJAa', 'share': 100}]}",1,9r8daTPS2kHMPcNEys5EYCJzjZPVkEC5wVCXCbWRFMSt,1,{},False,"{'auctionHouseKey': 'E8cU1WiRWjanGxmn96ewBgk9vPTcL6AEZ1t6F6fkgUWe', 'sellerReferral': 'autMW8SgBkVYeBgqYiTuJZnkvDZMVU2MHJh9Jh7CSQ2', 'expiry': -1}","{'moonrank': {'rank': 1247}, 'howrare': {'rank': 1402}}"
11,93dxW7jZT5fwVUxTVYX7NSqLRvYDs55Jd8hvaNaqayaZ,17.0,AQidiZChd715Cyzs54YQeUd66TGZV4beaXNUjyGD6qDJ,7YuMp7pA6ageaaoeRE5Ez86efJVv6TpHrRFSAbq65eAP,zoom,Zaysan Raptors,https://www.arweave.net/Z-u5_9reybvmZkSTubBER4AWJfhoRdx-f7rlm_uraCc?ext=png,Zaysan Raptors #259,An exclusive collection of 1555 Zaptors powered by $ELIXIR,www.zaysanraptors.io,image,"[{'address': 'Ehn81nZL7QFC6vkzNnKYo8X8SwLS9AHHov45i64WEmoE', 'verified': 1, 'share': 0}, {'address': 'FDvt9oqrpBXCcBR3jg7RNjSUriU9PMdrLxuNbnerdJAa', 'verified': 0, 'share': 100}]",800,CTH15JcerAmo75r3qfcwHvFB2Bh7wmrBq54yv785pFuP,"[{'trait_type': 'Background', 'value': 'Turquoize'}, {'trait_type': 'Baze', 'value': 'Red'}, {'trait_type': 'Neck', 'value': 'None'}, {'trait_type': 'Mouth', 'value': 'Pizza'}, {'trait_type': 'Eyez', 'value': 'Blue'}, {'trait_type': 'Head', 'value': 'Minizauruz'}, {'trait_type': 'Glazzez', 'value': 'None'}, {'trait_type': 'Faction', 'value': 'W'}, {'trait_type': 'Type', 'value': 'Geneziz'}]","{'files': [{'uri': 'https://www.arweave.net/Z-u5_9reybvmZkSTubBER4AWJfhoRdx-f7rlm_uraCc?ext=png', 'type': 'image/png'}], 'category': 'image', 'creators': [{'address': 'FDvt9oqrpBXCcBR3jg7RNjSUriU9PMdrLxuNbnerdJAa', 'share': 100}]}",1,9r8daTPS2kHMPcNEys5EYCJzjZPVkEC5wVCXCbWRFMSt,1,{},False,"{'auctionHouseKey': 'E8cU1WiRWjanGxmn96ewBgk9vPTcL6AEZ1t6F6fkgUWe', 'sellerReferral': 'autMW8SgBkVYeBgqYiTuJZnkvDZMVU2MHJh9Jh7CSQ2', 'expiry': -1}","{'moonrank': {'rank': 1200}, 'howrare': {'rank': 1264}}"
12,AMd6tZMYFQZjJsUqCWF4ayDYwKD4MSNm1NjRQHeg7gEL,17.0,DFhV7ScxpyLvZkqf9AfNPkYSSM49wmjUX6nBrVchJjEz,91hRPRh3RGw1NojeMA9rbLKU4wBYjGcyYYrz5foq7wkc,zoom,Zaysan Raptors,https://www.arweave.net/I_APkL4i47O8_RXWUSlZdUUvLNg4eOBGi8DBC6mChaA?ext=png,Zaysan Raptors #429,An exclusive collection of 1555 Zaptors powered by $ELIXIR,www.zaysanraptors.io,image,"[{'address': 'Ehn81nZL7QFC6vkzNnKYo8X8SwLS9AHHov45i64WEmoE', 'verified': 1, 'share': 0}, {'address': 'FDvt9oqrpBXCcBR3jg7RNjSUriU9PMdrLxuNbnerdJAa', 'verified': 0, 'share': 100}]",800,8XPwk7CAXHARi7UETYVNzppYkCqERr4AG6N3S1fTDwNA,"[{'trait_type': 'Background', 'value': 'Green'}, {'trait_type': 'Baze', 'value': 'Green'}, {'trait_type': 'Neck', 'value': 'Bandana'}, {'trait_type': 'Mouth', 'value': 'None'}, {'trait_type': 'Eyez', 'value': 'Blue'}, {'trait_type': 'Head', 'value': 'Mohawk'}, {'trait_type': 'Glazzez', 'value': 'None'}, {'trait_type': 'Faction', 'value': 'A'}, {'trait_type': 'Type', 'value': 'Geneziz'}]","{'files': [{'uri': 'https://www.arweave.net/I_APkL4i47O8_RXWUSlZdUUvLNg4eOBGi8DBC6mChaA?ext=png', 'type': 'image/png'}], 'category': 'image', 'creators': [{'address': 'FDvt9oqrpBXCcBR3jg7RNjSUriU9PMdrLxuNbnerdJAa', 'share': 100}]}",1,9r8daTPS2kHMPcNEys5EYCJzjZPVkEC5wVCXCbWRFMSt,1,{},False,"{'auctionHouseKey': 'E8cU1WiRWjanGxmn96ewBgk9vPTcL6AEZ1t6F6fkgUWe', 'sellerReferral': 'autMW8SgBkVYeBgqYiTuJZnkvDZMVU2MHJh9Jh7CSQ2', 'expiry': -1}","{'howrare': {'rank': 1348}, 'moonrank': {'rank': 1212}}"
