,id,price,escrowPubkey,owner,collectionName,collectionTitle,img,title,content,externalURL,propertyCategory,creators,sellerFeeBasisPoints,mintAddress,attributes,properties,supply,updateAuthority,primarySaleHappened,onChainCollection,tokenDelegateValid,v2,rarity,tokenDelegate,extern
0,3Y6e1G4c5mStMFJ9Fsd2rNXjGDMyaSfAXv296GKvxNEr,2.999,6xzojrrw8X4rYzL8wdSVjkoBnwY71igviEvEcRcy6KTo,2LmsaLGnXwcejHMqF4zvJ1CYxKb1xxmPe6cS11qPfMSt,soul_dogs,Soul Dogs,https://www.arweave.net/0qnkGCKTkrTmyup8guqGweTXAEhAXnJpDHm_Q8MEnNQ?ext=png,Soul Dogs #171,"Welcome to Soul Dogs City ... where 9,999 retro-inspired, super high-quality 3D Soul Dogs roam on Solana. Own, earn and explore in the first digital city on Solana, where Soul Dogs NFTs form digital avatars, Dog House NFTs are digital land, and $BONES tokens are the currency to fuel the SDC economy. RUFF RUFF!",https://www.souldogs.city/,image,"[{'address': '8CWKUvr9KDqFZww2q3xurag3FdjqmAUEVT97hX3ZBYz9', 'verified': 1, 'share': 0}, {'address': '13MUdUvvM26XaBa1Fc5E9Tes38VpM4pyryNHsmC4jQaf', 'verified': 0, 'share': 100}]",500,AVjBoGqGR4PtnuUdq16gmEGmbQJcq382AJWDoSkdtVsD,"[{'trait_type': 'Background', 'value': 'Blue'}, {'trait_type': 'Breed', 'value': 'Lab'}, {'trait_type': 'Head', 'value': 'Black Bucket Hat'}, {'trait_type': 'Eyes', 'value': 'Stoned Blue Eyes'}, {'trait_type': 'Clothes', 'value': 'Black Soul Dogs Tank'}, {'trait_type': 'Neck', 'value': 'None'}, {'trait_type': 'Mouth', 'value': 'Kiss'}, {'trait_type': 'Soul-O-Meter', 'value': 'Common'}]","{'files': [{'uri': 'https://www.arweave.net/0qnkGCKTkrTmyup8guqGweTXAEhAXnJpDHm_Q8MEnNQ?ext=png', 'type': 'image/png'}], 'category': 'image', 'creators': [{'address': '13MUdUvvM26XaBa1Fc5E9Tes38VpM4pyryNHsmC4jQaf', 'share': 100}]}",1,L2eH9GHbMySGF9HKJ3QnJ3mRZSv5iFRP92TpcQdniCj,1,{},False,"{'auctionHouseKey': 'E8cU1WiRWjanGxmn96ewBgk9vPTcL6AEZ1t6F6fkgUWe', 'sellerReferral': 'autMW8SgBkVYeBgqYiTuJZnkvDZMVU2MHJh9Jh7CSQ2', 'expiry': -1}","{'moonrank': {'rank': 8594}, 'howrare': {'rank': 8160}}",,
1,29Jm83AtG9oYstE23G9m3Y7DYu7tehK2XcnAModV3MLF,2.99,Bd2uSGJVCC5tbmUZVz4U3afnCpE442WR7pi5ByJ3oPZf,52tZHziducnHeEjxJicH5VuU6wyWmyaSxtxkWbfM87uQ,soul_dogs,Soul Dogs,https://www.arweave.net/pDWZtgMhtHVfde20KND42jNiqr_kMLkB_0AQcGgznp8?ext=png,Soul Dogs #7599,"Welcome to Soul Dogs City ... where 9,999 retro-inspired, super high-quality 3D Soul Dogs roam on Solana. Own, earn and explore in the first digital city on Solana, where Soul Dogs NFTs form digital avatars, Dog House NFTs are digital land, and $BONES tokens are the currency to fuel the SDC economy. RUFF RUFF!",https://www.souldogs.city/,image,"[{'address': '8CWKUvr9KDqFZww2q3xurag3FdjqmAUEVT97hX3ZBYz9', 'verified': 1, 'share': 0}, {'address': '13MUdUvvM26XaBa1Fc5E9Tes38VpM4pyryNHsmC4jQaf', 'verified': 0, 'share': 100}]",500,GQW4YyhRgNCfuQorGpvV57suVVysREXXwQxLGsTHV73U,"[{'trait_type': 'Background', 'value': 'Blue'}, {'trait_type': 'Breed', 'value': 'Hound'}, {'trait_type': 'Head', 'value': 'None'}, {'trait_type': 'Eyes', 'value': 'Drunk'}, {'trait_type': 'Clothes', 'value': 'White Soul Dogs Tee'}, {'trait_type': 'Neck', 'value': 'None'}, {'trait_type': 'Mouth', 'value': 'Open Mouth'}, {'trait_type': 'Soul-O-Meter', 'value': 'Common'}]","{'files': [{'uri': 'https://www.arweave.net/pDWZtgMhtHVfde20KND42jNiqr_kMLkB_0AQcGgznp8?ext=png', 'type': 'image/png'}], 'category': 'image', 'creators': [{'address': '13MUdUvvM26XaBa1Fc5E9Tes38VpM4pyryNHsmC4jQaf', 'share': 100}]}",1,L2eH9GHbMySGF9HKJ3QnJ3mRZSv5iFRP92TpcQdniCj,1,{},False,"{'auctionHouseKey': 'E8cU1WiRWjanGxmn96ewBgk9vPTcL6AEZ1t6F6fkgUWe', 'sellerReferral': 'autMW8SgBkVYeBgqYiTuJZnkvDZMVU2MHJh9Jh7CSQ2', 'expiry': -1}","{'moonrank': {'rank': 9986}, 'howrare': {'rank': 9562}}",,
2,7KisGHriD9WKpRiBnvMUWJFHisr6pKyLvmjMeqjHUDLK,3.0,FohU8YSKKnDZyaG4aE8Y7c5rBfNp8QMabLqZgGAPF5cC,8hmU7AimLihgt3ps8F77c9Zzm2we9U5RjYdt4yiVUcnw,soul_dogs,Soul Dogs,https://www.arweave.net/ASd3BdpPSqaAnwvX9sgDSWgfcDcV0OIhu5CeEJDEmLM?ext=png,Soul Dogs #3256,"Welcome to Soul Dogs City ... where 9,999 retro-inspired, super high-quality 3D Soul Dogs roam on Solana. Own, earn and explore in the first digital city on Solana, where Soul Dogs NFTs form digital avatars, Dog House NFTs are digital land, and $BONES tokens are the currency to fuel the SDC economy. RUFF RUFF!",https://www.souldogs.city/,image,"[{'address': '8CWKUvr9KDqFZww2q3xurag3FdjqmAUEVT97hX3ZBYz9', 'verified': 1, 'share': 0}, {'address': '13MUdUvvM26XaBa1Fc5E9Tes38VpM4pyryNHsmC4jQaf', 'verified': 0, 'share': 100}]",500,AWCty5XPCPPD9W7TmTUuAuomVUELmeU3C9L1tQKuGH8q,"[{'trait_type': 'Background', 'value': 'Green'}, {'trait_type': 'Breed', 'value': 'Retriever'}, {'trait_type': 'Head', 'value': 'Black Mohawk'}, {'trait_type': 'Eyes', 'value': 'Bored'}, {'trait_type': 'Clothes', 'value': 'White Soul Dogs Tee'}, {'trait_type': 'Neck', 'value': 'None'}, {'trait_type': 'Mouth', 'value': 'Pizza Boi'}, {'trait_type': 'Soul-O-Meter', 'value': 'Common'}]","{'files': [{'uri': 'https://www.arweave.net/ASd3BdpPSqaAnwvX9sgDSWgfcDcV0OIhu5CeEJDEmLM?ext=png', 'type': 'image/png'}], 'category': 'image', 'creators': [{'address': '13MUdUvvM26XaBa1Fc5E9Tes38VpM4pyryNHsmC4jQaf', 'share': 100}]}",1,L2eH9GHbMySGF9HKJ3QnJ3mRZSv5iFRP92TpcQdniCj,1,{},False,"{'auctionHouseKey': 'E8cU1WiRWjanGxmn96ewBgk9vPTcL6AEZ1t6F6fkgUWe', 'sellerReferral': 'autMW8SgBkVYeBgqYiTuJZnkvDZMVU2MHJh9Jh7CSQ2', 'expiry': -1}","{'moonrank': {'rank': 7429}, 'howrare': {'rank': 5240}}",,
3,GVGww8onMtrm5dCAV45Y4284T4vXaxgBMRwa3PsRr9P8,3.0,Ha2i3oC16Lw4uuWrVkE8vu4t7wXjEEqbQg9oKh5Hx1sp,3gpx5GpPyD2Heuu9ZYTA6mFXucY9XQG68wAFAMosLgVN,soul_dogs,Soul Dogs,https://www.arweave.net/mwgT8BaaxYNE-VsZKckXgBQl45HFTyHg5BQK7rAFI1Y?ext=png,Soul Dogs #6822,"Welcome to Soul Dogs City ... where 9,999 retro-inspired, super high-quality 3D Soul Dogs roam on Solana. Own, earn and explore in the first digital city on Solana, where Soul Dogs NFTs form digital avatars, Dog House NFTs are digital land, and $BONES tokens are the currency to fuel the SDC economy. RUFF RUFF!",https://www.souldogs.city/,image,"[{'address': '8CWKUvr9KDqFZww2q3xurag3FdjqmAUEVT97hX3ZBYz9', 'verified': 1, 'share': 0}, {'address': '13MUdUvvM26XaBa1Fc5E9Tes38VpM4pyryNHsmC4jQaf', 'verified': 0, 'share': 100}]",500,6K2LK3CvRwnK9LEy3Q4pduDy252G1iyhgoGDL5yVjoWU,"[{'trait_type': 'Background', 'value': 'STAT7'}, {'trait_type': 'Breed', 'value': 'Retriever'}, {'trait_type': 'Head', 'value': 'Yellow Mullet'}, {'trait_type': 'Eyes', 'value': 'Cute'}, {'trait_type': 'Clothes', 'value': 'Plain White Tee'}, {'trait_type': 'Neck', 'value': 'None'}, {'trait_type': 'Mouth', 'value': 'Chewing on Straw'}, {'trait_type': 'Soul-O-Meter', 'value': 'Cool'}]","{'files': [{'uri': 'https://www.arweave.net/mwgT8BaaxYNE-VsZKckXgBQl45HFTyHg5BQK7rAFI1Y?ext=png', 'type': 'image/png'}], 'category': 'image', 'creators': [{'address': '13MUdUvvM26XaBa1Fc5E9Tes38VpM4pyryNHsmC4jQaf', 'share': 100}]}",1,L2eH9GHbMySGF9HKJ3QnJ3mRZSv5iFRP92TpcQdniCj,1,{},False,"{'auctionHouseKey': 'E8cU1WiRWjanGxmn96ewBgk9vPTcL6AEZ1t6F6fkgUWe', 'sellerReferral': 'autMW8SgBkVYeBgqYiTuJZnkvDZMVU2MHJh9Jh7CSQ2', 'expiry': -1}",{'moonrank': {'rank': 4914}},,
4,HZ5GZYxc4jUE15i418CBW7sbfNFgvCMEteuoTsw4hjVP,3.0,2asCahxFEDPKj8ULEFmosHvdpwyGnkJJQmQzyjK8F2uH,44hsN6dXSYeFtHStaMBNRp3qCtqrZGAUT4GaY1T8oHx8,soul_dogs,Soul Dogs,https://www.arweave.net/7Cnj6ci4Y59GIXn-FD3TFH2cVAxWFjoBO-tL8-ZLwXo?ext=png,Soul Dogs #1004,"Welcome to Soul Dogs City ... where 9,999 retro-inspired, super high-quality 3D Soul Dogs roam on Solana. Own, earn and explore in the first digital city on Solana, where Soul Dogs NFTs form digital avatars, Dog House NFTs are digital land, and $BONES tokens are the currency to fuel the SDC economy. RUFF RUFF!",https://www.souldogs.city/,image,"[{'address': '8CWKUvr9KDqFZww2q3xurag3FdjqmAUEVT97hX3ZBYz9', 'verified': 1, 'share': 0}, {'address': '13MUdUvvM26XaBa1Fc5E9Tes38VpM4pyryNHsmC4jQaf', 'verified': 0, 'share': 100}]",500,hFnftc8kFth5drP61RJWP1qUsDpAgpA3N4urNaDFTWK,"[{'trait_type': 'Background', 'value': 'Yellow'}, {'trait_type': 'Breed', 'value': 'Beagle'}, {'trait_type': 'Head', 'value': 'Pink Rock Locks'}, {'trait_type': 'Eyes', 'value': 'Drunk'}, {'trait_type': 'Clothes', 'value': 'Black Tee'}, {'trait_type': 'Neck', 'value': 'Black and White Bandana'}, {'trait_type': 'Mouth', 'value': 'Tongue Out Side'}, {'trait_type': 'Soul-O-Meter', 'value': 'Common'}]","{'files': [{'uri': 'https://www.arweave.net/7Cnj6ci4Y59GIXn-FD3TFH2cVAxWFjoBO-tL8-ZLwXo?ext=png', 'type': 'image/png'}], 'category': 'image', 'creators': [{'address': '13MUdUvvM26XaBa1Fc5E9Tes38VpM4pyryNHsmC4jQaf', 'share': 100}]}",1,L2eH9GHbMySGF9HKJ3QnJ3mRZSv5iFRP92TpcQdniCj,1,{},False,"{'auctionHouseKey': 'E8cU1WiRWjanGxmn96ewBgk9vPTcL6AEZ1t6F6fkgUWe', 'sellerReferral': 'autMW8SgBkVYeBgqYiTuJZnkvDZMVU2MHJh9Jh7CSQ2', 'expiry': -1}",{'moonrank': {'rank': 3157}},,
5,7NBSoo9RRoSMq1mCK5DiZ7tnFZfDBH3Rir8TuikUfgn1,3.09,6kGrnDGDL3TDNzj31dk8nxZMrZs6uy6fsZm1sxGwGZPQ,7yPy2gaDtfzU3T8T166qrpBS4KrgQVYztoDozQaC8ejJ,soul_dogs,Soul Dogs,https://www.arweave.net/qQgB0pqnV8fz5nxraS9qQx0-_KmwnsLnFv8Fk-dZcFg?ext=png,Soul Dogs #9113,"Welcome to Soul Dogs City ... where 9,999 retro-inspired, super high-quality 3D Soul Dogs roam on Solana. Own, earn and explore in the first digital city on Solana, where Soul Dogs NFTs form digital avatars, Dog House NFTs are digital land, and $BONES tokens are the currency to fuel the SDC economy. RUFF RUFF!",https://www.souldogs.city/,image,"[{'address': '8CWKUvr9KDqFZww2q3xurag3FdjqmAUEVT97hX3ZBYz9', 'verified': 1, 'share': 0}, {'address': '13MUdUvvM26XaBa1Fc5E9Tes38VpM4pyryNHsmC4jQaf', 'verified': 0, 'share': 100}]",500,5qwVK5ntPv9AhkPve1StDv5NSowwwVHeZFxz3egYET45,"[{'trait_type': 'Background', 'value': 'Yellow'}, {'trait_type': 'Breed', 'value': 'Retriever'}, {'trait_type': 'Head', 'value': 'White Backward Cap'}, {'trait_type': 'Eyes', 'value': 'Bored'}, {'trait_type': 'Clothes', 'value': 'Blue Hawaiian Shirt'}, {'trait_type': 'Neck', 'value': 'None'}, {'trait_type': 'Mouth', 'value': 'Closed Mouth'}, {'trait_type': 'Soul-O-Meter', 'value': 'Common'}]","{'files': [{'uri': 'https://www.arweave.net/qQgB0pqnV8fz5nxraS9qQx0-_KmwnsLnFv8Fk-dZcFg?ext=png', 'type': 'image/png'}], 'category': 'image', 'creators': [{'address': '13MUdUvvM26XaBa1Fc5E9Tes38VpM4pyryNHsmC4jQaf', 'share': 100}]}",1,L2eH9GHbMySGF9HKJ3QnJ3mRZSv5iFRP92TpcQdniCj,1,{},False,"{'auctionHouseKey': 'E8cU1WiRWjanGxmn96ewBgk9vPTcL6AEZ1t6F6fkgUWe', 'sellerReferral': 'autMW8SgBkVYeBgqYiTuJZnkvDZMVU2MHJh9Jh7CSQ2', 'expiry': -1}","{'moonrank': {'rank': 9574}, 'howrare': {'rank': 8976}}",,
6,5o3CcYgAcLjBhaRd828StasK5b23Bn139PCVSGMS8TDK,3.1,DeNQAGKp2weXd2AcWs3VsqNPiUZax4RY6PKnZE5i2dDa,Hg6GzW3qV4vGXRaZ3i6sKs8d7yYZBmuSCFksVLMhkkam,soul_dogs,Soul Dogs,https://www.arweave.net/LpZWrPLxFL_CI1yd36U99b53BoOs5EwB_EphKHiznZY?ext=png,Soul Dogs #5804,"Welcome to Soul Dogs City ... where 9,999 retro-inspired, super high-quality 3D Soul Dogs roam on Solana. Own, earn and explore in the first digital city on Solana, where Soul Dogs NFTs form digital avatars, Dog House NFTs are digital land, and $BONES tokens are the currency to fuel the SDC economy. RUFF RUFF!",https://www.souldogs.city/,image,"[{'address': '8CWKUvr9KDqFZww2q3xurag3FdjqmAUEVT97hX3ZBYz9', 'verified': 1, 'share': 0}, {'address': '13MUdUvvM26XaBa1Fc5E9Tes38VpM4pyryNHsmC4jQaf', 'verified': 0, 'share': 100}]",500,GSmZuUezdKEXM9SohaaBgzz47afmvGSQtHM8cd6Mbw6d,"[{'trait_type': 'Background', 'value': 'Orange'}, {'trait_type': 'Breed', 'value': 'Hound'}, {'trait_type': 'Head', 'value': 'Doctor Light'}, {'trait_type': 'Eyes', 'value': 'Drunk'}, {'trait_type': 'Clothes', 'value': 'Black Overalls'}, {'trait_type': 'Neck', 'value': 'None'}, {'trait_type': 'Mouth', 'value': 'Beer Can Boi'}, {'trait_type': 'Soul-O-Meter', 'value': 'Common'}]","{'files': [{'uri': 'https://www.arweave.net/LpZWrPLxFL_CI1yd36U99b53BoOs5EwB_EphKHiznZY?ext=png', 'type': 'image/png'}], 'category': 'image', 'creators': [{'address': '13MUdUvvM26XaBa1Fc5E9Tes38VpM4pyryNHsmC4jQaf', 'share': 100}]}",1,L2eH9GHbMySGF9HKJ3QnJ3mRZSv5iFRP92TpcQdniCj,1,{},False,"{'auctionHouseKey': 'E8cU1WiRWjanGxmn96ewBgk9vPTcL6AEZ1t6F6fkgUWe', 'sellerReferral': 'autMW8SgBkVYeBgqYiTuJZnkvDZMVU2MHJh9Jh7CSQ2', 'expiry': -1}","{'moonrank': {'rank': 7897}, 'howrare': {'rank': 5847}}",,
7,3u6xyYyt2sYhFfkX16vnC5nEGYU6U4CBBpf1mTMWzHUX,3.1,G2sJ7k1swRtz44Msa91ZT4CJmtHZSmRvCoKiKuHxVxpM,Ct4u7jLb9by8j8rtjjCTTNKzh7ZKE5RLuUaCJBoYmKTj,soul_dogs,Soul Dogs,https://www.arweave.net/oWiY5voczloO-M-pXoHsjG3r4rvMV-lswBX-qqXMRgg?ext=png,Soul Dogs #4704,"Welcome to Soul Dogs City ... where 9,999 retro-inspired, super high-quality 3D Soul Dogs roam on Solana. Own, earn and explore in the first digital city on Solana, where Soul Dogs NFTs form digital avatars, Dog House NFTs are digital land, and $BONES tokens are the currency to fuel the SDC economy. RUFF RUFF!",https://www.souldogs.city/,image,"[{'address': '8CWKUvr9KDqFZww2q3xurag3FdjqmAUEVT97hX3ZBYz9', 'verified': 1, 'share': 0}, {'address': '13MUdUvvM26XaBa1Fc5E9Tes38VpM4pyryNHsmC4jQaf', 'verified': 0, 'share': 100}]",500,GbawCm4rXvGm7725chX8X5m9PEahi89BgxWJL4s8RyAU,"[{'trait_type': 'Background', 'value': 'Green'}, {'trait_type': 'Breed', 'value': 'Lab'}, {'trait_type': 'Head', 'value': 'Le Fez'}, {'trait_type': 'Eyes', 'value': 'Aviators'}, {'trait_type': 'Clothes', 'value': 'Purple Tee'}, {'trait_type': 'Neck', 'value': 'Doggy Bandana'}, {'trait_type': 'Mouth', 'value': 'Open Mouth'}, {'trait_type': 'Soul-O-Meter', 'value': 'Cool'}]","{'files': [{'uri': 'https://www.arweave.net/oWiY5voczloO-M-pXoHsjG3r4rvMV-lswBX-qqXMRgg?ext=png', 'type': 'image/png'}], 'category': 'image', 'creators': [{'address': '13MUdUvvM26XaBa1Fc5E9Tes38VpM4pyryNHsmC4jQaf', 'share': 100}]}",1,L2eH9GHbMySGF9HKJ3QnJ3mRZSv5iFRP92TpcQdniCj,1,{},False,"{'auctionHouseKey': 'E8cU1WiRWjanGxmn96ewBgk9vPTcL6AEZ1t6F6fkgUWe', 'sellerReferral': 'autMW8SgBkVYeBgqYiTuJZnkvDZMVU2MHJh9Jh7CSQ2', 'expiry': -1}","{'moonrank': {'rank': 4994}, 'howrare': {'rank': 4879}}",,
8,7CDPHC6dv3grxB7E8mtZ2ZWmZ3BPc548kocUbeLnHH8z,3.1,2wJVJo1dMKQ2c1h4zm6ecFVm1MpF4NbYK74Psnoq6BZz,Hg6GzW3qV4vGXRaZ3i6sKs8d7yYZBmuSCFksVLMhkkam,soul_dogs,Soul Dogs,https://www.arweave.net/7BrDxIX-qpDNCj7RynBfS_8gqUNBd8xol9fe9WIoZxM?ext=png,Soul Dogs #6890,"Welcome to Soul Dogs City ... where 9,999 retro-inspired, super high-quality 3D Soul Dogs roam on Solana. Own, earn and explore in the first digital city on Solana, where Soul Dogs NFTs form digital avatars, Dog House NFTs are digital land, and $BONES tokens are the currency to fuel the SDC economy. RUFF RUFF!",https://www.souldogs.city/,image,"[{'address': '8CWKUvr9KDqFZww2q3xurag3FdjqmAUEVT97hX3ZBYz9', 'verified': 1, 'share': 0}, {'address': '13MUdUvvM26XaBa1Fc5E9Tes38VpM4pyryNHsmC4jQaf', 'verified': 0, 'share': 100}]",500,DCE8Nb4J342Uo4yheBasBE4CLf1kvzvpCNxmxDR3Dhhk,"[{'trait_type': 'Background', 'value': 'Red'}, {'trait_type': 'Breed', 'value': 'Hound'}, {'trait_type': 'Head', 'value': 'Blue Bow'}, {'trait_type': 'Eyes', 'value': 'Stoned Blue Eyes'}, {'trait_type': 'Clothes', 'value': 'White Soul Dogs Tee'}, {'trait_type': 'Neck', 'value': 'Black and White Bandana'}, {'trait_type': 'Mouth', 'value': 'Closed Mouth'}, {'trait_type': 'Soul-O-Meter', 'value': 'Common'}]","{'files': [{'uri': 'https://www.arweave.net/7BrDxIX-qpDNCj7RynBfS_8gqUNBd8xol9fe9WIoZxM?ext=png', 'type': 'image/png'}], 'category': 'image', 'creators': [{'address': '13MUdUvvM26XaBa1Fc5E9Tes38VpM4pyryNHsmC4jQaf', 'share': 100}]}",1,L2eH9GHbMySGF9HKJ3QnJ3mRZSv5iFRP92TpcQdniCj,1,{},False,"{'auctionHouseKey': 'E8cU1WiRWjanGxmn96ewBgk9vPTcL6AEZ1t6F6fkgUWe', 'sellerReferral': 'autMW8SgBkVYeBgqYiTuJZnkvDZMVU2MHJh9Jh7CSQ2', 'expiry': -1}","{'moonrank': {'rank': 6860}, 'howrare': {'rank': 7207}}",,
9,AK4PxcipCUAti32KEobUD5JHraTkeNy6Z6fQ34fKXW2a,3.1,8o83f3q6Fd5DKZ7v5gnntmVBWmJPAh8yuXMKtNAkTNQh,Hg6GzW3qV4vGXRaZ3i6sKs8d7yYZBmuSCFksVLMhkkam,soul_dogs,Soul Dogs,https://www.arweave.net/5cT4r_Mu1QiRiZdtYJC8R944waqjJaLFHIJKdfpQy4E?ext=png,Soul Dogs #4094,"Welcome to Soul Dogs City ... where 9,999 retro-inspired, super high-quality 3D Soul Dogs roam on Solana. Own, earn and explore in the first digital city on Solana, where Soul Dogs NFTs form digital avatars, Dog House NFTs are digital land, and $BONES tokens are the currency to fuel the SDC economy. RUFF RUFF!",https://www.souldogs.city/,image,"[{'address': '8CWKUvr9KDqFZww2q3xurag3FdjqmAUEVT97hX3ZBYz9', 'verified': 1, 'share': 0}, {'address': '13MUdUvvM26XaBa1Fc5E9Tes38VpM4pyryNHsmC4jQaf', 'verified': 0, 'share': 100}]",500,DcmB5GNiKXrZGMNUMBrqg8QY9DQf6Xegc9wbBQB72ZJe,"[{'trait_type': 'Background', 'value': 'Pink'}, {'trait_type': 'Breed', 'value': 'Dalmatian'}, {'trait_type': 'Head', 'value': 'White Backward Cap'}, {'trait_type': 'Eyes', 'value': 'Monocle'}, {'trait_type': 'Clothes', 'value': 'Blue Overalls'}, {'trait_type': 'Neck', 'value': 'None'}, {'trait_type': 'Mouth', 'value': 'Open Mouth'}, {'trait_type': 'Soul-O-Meter', 'value': 'Common'}]","{'files': [{'uri': 'https://www.arweave.net/5cT4r_Mu1QiRiZdtYJC8R944waqjJaLFHIJKdfpQy4E?ext=png', 'type': 'image/png'}], 'category': 'image', 'creators': [{'address': '13MUdUvvM26XaBa1Fc5E9Tes38VpM4pyryNHsmC4jQaf', 'share': 100}]}",1,L2eH9GHbMySGF9HKJ3QnJ3mRZSv5iFRP92TpcQdniCj,1,{},False,"{'auctionHouseKey': 'E8cU1WiRWjanGxmn96ewBgk9vPTcL6AEZ1t6F6fkgUWe', 'sellerReferral': 'autMW8SgBkVYeBgqYiTuJZnkvDZMVU2MHJh9Jh7CSQ2', 'expiry': -1}",{'moonrank': {'rank': 9376}},,
10,FQFNxUr5Viwz9F34FZWzmYLQhBh71SBghJJ6qCrgGxT7,3.1,HUuXy5M56tAxw94jKLhVnqtxs47hhFP91YRNB4K3bCno,59HiVZNyExJvvZYAFmqJ6naZMfwZeQp8PYsG8ctY2zWp,soul_dogs,Soul Dogs,https://www.arweave.net/rY7d20buR-CoWHyTLeXm_psDVCuaJJaELrl11Tp2fIM?ext=png,Soul Dogs #1083,"Welcome to Soul Dogs City ... where 9,999 retro-inspired, super high-quality 3D Soul Dogs roam on Solana. Own, earn and explore in the first digital city on Solana, where Soul Dogs NFTs form digital avatars, Dog House NFTs are digital land, and $BONES tokens are the currency to fuel the SDC economy. RUFF RUFF!",https://www.souldogs.city/,image,"[{'address': '8CWKUvr9KDqFZww2q3xurag3FdjqmAUEVT97hX3ZBYz9', 'verified': 1, 'share': 0}, {'address': '13MUdUvvM26XaBa1Fc5E9Tes38VpM4pyryNHsmC4jQaf', 'verified': 0, 'share': 100}]",500,9AdyYKUqxoEDz72VQsT9duNRMrfgS2e8UNvNN59ENmhX,"[{'trait_type': 'Background', 'value': 'Blue'}, {'trait_type': 'Breed', 'value': 'Lab'}, {'trait_type': 'Head', 'value': 'American Flag Bandana'}, {'trait_type': 'Eyes', 'value': 'Angry'}, {'trait_type': 'Clothes', 'value': 'Blue Hoodie'}, {'trait_type': 'Neck', 'value': 'Spiked Collar Necklace'}, {'trait_type': 'Mouth', 'value': 'Kiss'}, {'trait_type': 'Soul-O-Meter', 'value': 'Cool'}]","{'files': [{'uri': 'https://www.arweave.net/rY7d20buR-CoWHyTLeXm_psDVCuaJJaELrl11Tp2fIM?ext=png', 'type': 'image/png'}], 'category': 'image', 'creators': [{'address': '13MUdUvvM26XaBa1Fc5E9Tes38VpM4pyryNHsmC4jQaf', 'share': 100}]}",1,L2eH9GHbMySGF9HKJ3QnJ3mRZSv5iFRP92TpcQdniCj,1,{},False,"{'auctionHouseKey': 'E8cU1WiRWjanGxmn96ewBgk9vPTcL6AEZ1t6F6fkgUWe', 'sellerReferral': 'autMW8SgBkVYeBgqYiTuJZnkvDZMVU2MHJh9Jh7CSQ2', 'expiry': -1}",{'moonrank': {'rank': 3358}},,
11,8oq34wFwxYRsE4xqUJxXWG2TWikjFLBfvrpBaLUq8Csy,3.1,2rESsdr8rgs9V9zfSx1SVKAEX5NdLJDPYT35pzjsLLYS,Hg6GzW3qV4vGXRaZ3i6sKs8d7yYZBmuSCFksVLMhkkam,soul_dogs,Soul Dogs,https://www.arweave.net/75TbVbL4uPHDuawisFUDmGmqnBcF6CDarNYykVo0WPY?ext=png,Soul Dogs #2428,"Welcome to Soul Dogs City ... where 9,999 retro-inspired, super high-quality 3D Soul Dogs roam on Solana. Own, earn and explore in the first digital city on Solana, where Soul Dogs NFTs form digital avatars, Dog House NFTs are digital land, and $BONES tokens are the currency to fuel the SDC economy. RUFF RUFF!",https://www.souldogs.city/,image,"[{'address': '8CWKUvr9KDqFZww2q3xurag3FdjqmAUEVT97hX3ZBYz9', 'verified': 1, 'share': 0}, {'address': '13MUdUvvM26XaBa1Fc5E9Tes38VpM4pyryNHsmC4jQaf', 'verified': 0, 'share': 100}]",500,3FM84xzuQirinauxyGc43pv8xXGWFkhSC7LEcKZVjTWV,"[{'trait_type': 'Background', 'value': 'Orange'}, {'trait_type': 'Breed', 'value': 'Retriever'}, {'trait_type': 'Head', 'value': 'Black Cap'}, {'trait_type': 'Eyes', 'value': 'Happy'}, {'trait_type': 'Clothes', 'value': 'Lab Coat'}, {'trait_type': 'Neck', 'value': 'Peace Sign Necklace'}, {'trait_type': 'Mouth', 'value': 'Tongue Out'}, {'trait_type': 'Soul-O-Meter', 'value': 'Common'}]","{'files': [{'uri': 'https://www.arweave.net/75TbVbL4uPHDuawisFUDmGmqnBcF6CDarNYykVo0WPY?ext=png', 'type': 'image/png'}], 'category': 'image', 'creators': [{'address': '13MUdUvvM26XaBa1Fc5E9Tes38VpM4pyryNHsmC4jQaf', 'share': 100}]}",1,L2eH9GHbMySGF9HKJ3QnJ3mRZSv5iFRP92TpcQdniCj,1,{},False,"{'auctionHouseKey': 'E8cU1WiRWjanGxmn96ewBgk9vPTcL6AEZ1t6F6fkgUWe', 'sellerReferral': 'autMW8SgBkVYeBgqYiTuJZnkvDZMVU2MHJh9Jh7CSQ2', 'expiry': -1}","{'moonrank': {'rank': 5990}, 'howrare': {'rank': 6351}}",,
