,id,price,escrowPubkey,owner,collectionName,collectionTitle,img,title,content,externalURL,propertyCategory,creators,sellerFeeBasisPoints,mintAddress,attributes,properties,supply,updateAuthority,primarySaleHappened,onChainCollection,tokenDelegateValid,v2,rarity
0,U3idRroeQK8HowtPG52MpEURpzVo6Ks1WsjsxEUt3Lh,6.59,BRGB9Ff3Py4DSaNqCtuH6vNMyawDirvBJNbsczzeba9z,4DEHYPyaosA268imJ8jATXnSNzjfvVVShuSkSR4QApuK,dazedducks_metagalactic_club,DazedDucks Metagalactic Club,https://djib.io/ipfs/QmcpFUQrAk2XQyrKnPmEsZqswix6WbVUSZSnsEjP5ttjaJ,Dazed Ducks #9761,"10,000 Dazed Ducks On A Metagalactic Mission.",https://dazedducks.com,image,"[{'address': '5jvdkYbLZjgMx822eEMeT2QFuQD6yN6VRLqEihSWfoG4', 'verified': 1, 'share': 0}, {'address': 'G9o9JQf6gDZKWanfpP4p1TD61SjD16aUsCr7fXUsnz4x', 'verified': 0, 'share': 100}]",600,CvQf7pbnqajySZsG6FZXhrSbFkXMCAy8q54tRvWehfUR,"[{'trait_type': 'Background', 'value': 'Sand'}, {'trait_type': 'Skin', 'value': 'Clean Green'}, {'trait_type': 'Clothing', 'value': 'Navy Blue Military Jacket'}, {'trait_type': 'Beak', 'value': 'Pizza'}, {'trait_type': 'Eyes', 'value': 'Worried'}, {'trait_type': 'Hat', 'value': 'No Hat'}]","{'files': [{'uri': 'https://djib.io/ipfs/QmcpFUQrAk2XQyrKnPmEsZqswix6WbVUSZSnsEjP5ttjaJ', 'type': 'image/gif'}], 'category': 'image', 'creators': [{'address': 'G9o9JQf6gDZKWanfpP4p1TD61SjD16aUsCr7fXUsnz4x', 'share': 100}]}",1,G9o9JQf6gDZKWanfpP4p1TD61SjD16aUsCr7fXUsnz4x,1,{},False,"{'auctionHouseKey': 'E8cU1WiRWjanGxmn96ewBgk9vPTcL6AEZ1t6F6fkgUWe', 'sellerReferral': 'autMW8SgBkVYeBgqYiTuJZnkvDZMVU2MHJh9Jh7CSQ2', 'expiry': -1}","{'moonrank': {'rank': 9420}, 'howrare': {'rank': 9113}}"
1,DYi8gQvqazeVMatDUvZmN9o9abJaPWkfq4wd6zqFWuBF,7.0,CVZK7AcN8FwumHLs47bqy2Sdry2EdSFepFktXpivkSEJ,AFNJAdcE66Lftb7VgSCvR5P1ZzbH2s8K1kyTzvBeFEmv,dazedducks_metagalactic_club,DazedDucks Metagalactic Club,https://djib.io/ipfs/Qma6Wu3dMA1zSEiuzpA9yBYaCbEBmbdTFvuB8REH1vXi4V,Dazed Ducks #5941,"10,000 Dazed Ducks On A Metagalactic Mission.",https://dazedducks.com,image,"[{'address': '5jvdkYbLZjgMx822eEMeT2QFuQD6yN6VRLqEihSWfoG4', 'verified': 1, 'share': 0}, {'address': 'G9o9JQf6gDZKWanfpP4p1TD61SjD16aUsCr7fXUsnz4x', 'verified': 0, 'share': 100}]",600,9ReTxYV54Edp69dA6Cz1eLYDsugVja2DUhaYLuMZ15LB,"[{'trait_type': 'Background', 'value': 'Sand'}, {'trait_type': 'Skin', 'value': 'Sand Ruffles'}, {'trait_type': 'Clothing', 'value': 'Pink Bomber Jacket'}, {'trait_type': 'Beak', 'value': 'Worms'}, {'trait_type': 'Eyes', 'value': 'Vague'}, {'trait_type': 'Hat', 'value': 'No Hat'}]","{'files': [{'uri': 'https://djib.io/ipfs/Qma6Wu3dMA1zSEiuzpA9yBYaCbEBmbdTFvuB8REH1vXi4V', 'type': 'image/gif'}], 'category': 'image', 'creators': [{'address': 'G9o9JQf6gDZKWanfpP4p1TD61SjD16aUsCr7fXUsnz4x', 'share': 100}]}",1,G9o9JQf6gDZKWanfpP4p1TD61SjD16aUsCr7fXUsnz4x,1,{},False,"{'auctionHouseKey': 'E8cU1WiRWjanGxmn96ewBgk9vPTcL6AEZ1t6F6fkgUWe', 'sellerReferral': 'autMW8SgBkVYeBgqYiTuJZnkvDZMVU2MHJh9Jh7CSQ2', 'expiry': -1}","{'moonrank': {'rank': 9586}, 'howrare': {'rank': 9334}}"
2,2CtRemUtpL3QWPbGp9dZLpLSmk8UrroYEgNcA6FdezVN,7.1,9WZ1SU5uzxUbKYRufjFCUQWxij4Fw5KYWU2row31MZkh,BnNCBKQoGKdjUvC8xKF9DR87rn36fRB1rqGQfzjWzb7a,dazedducks_metagalactic_club,DazedDucks Metagalactic Club,https://djib.io/ipfs/QmXfAox6LJ6uBYtvRpJgysBJQtmDX842P5QoAsQgieyD4u,Dazed Ducks #3560,"10,000 Dazed Ducks On A Metagalactic Mission.",https://dazedducks.com,image,"[{'address': '5jvdkYbLZjgMx822eEMeT2QFuQD6yN6VRLqEihSWfoG4', 'verified': 1, 'share': 0}, {'address': 'G9o9JQf6gDZKWanfpP4p1TD61SjD16aUsCr7fXUsnz4x', 'verified': 0, 'share': 100}]",600,7BDqjaG4QyAe8xaoykkCd4xjW2PvDctudzrbBJzHYxF7,"[{'trait_type': 'Background', 'value': 'Salmon'}, {'trait_type': 'Skin', 'value': 'Clean Yellow'}, {'trait_type': 'Clothing', 'value': 'Butterfly Hoodie'}, {'trait_type': 'Beak', 'value': 'Joint'}, {'trait_type': 'Eyes', 'value': 'Think Left'}, {'trait_type': 'Hat', 'value': 'Orange 5 Panel'}]","{'files': [{'uri': 'https://djib.io/ipfs/QmXfAox6LJ6uBYtvRpJgysBJQtmDX842P5QoAsQgieyD4u', 'type': 'image/gif'}], 'category': 'image', 'creators': [{'address': 'G9o9JQf6gDZKWanfpP4p1TD61SjD16aUsCr7fXUsnz4x', 'share': 100}]}",1,G9o9JQf6gDZKWanfpP4p1TD61SjD16aUsCr7fXUsnz4x,1,{},False,"{'auctionHouseKey': 'E8cU1WiRWjanGxmn96ewBgk9vPTcL6AEZ1t6F6fkgUWe', 'sellerReferral': 'autMW8SgBkVYeBgqYiTuJZnkvDZMVU2MHJh9Jh7CSQ2', 'expiry': -1}","{'moonrank': {'rank': 7194}, 'howrare': {'rank': 8892}}"
3,2A2x3ruAKpdhWHfaWsh3DpnGmB6Xa9Rwc1Fuo3Xtz7pT,7.15,CZtkMxBjhbdv1vwXLCFdmFbx35KpNWgbtHZhqx4jKpQy,6jfAX3pwKX2AtjKsJMCj1SJi1MmYY3mRTNsiQWxk5SNV,dazedducks_metagalactic_club,DazedDucks Metagalactic Club,https://djib.io/ipfs/Qmaa1vF9w3c6A87mL6Vapv51ks8AAXGXV9dRdipBs3LLVa,Dazed Ducks #7886,"10,000 Dazed Ducks On A Metagalactic Mission.",https://dazedducks.com,image,"[{'address': '5jvdkYbLZjgMx822eEMeT2QFuQD6yN6VRLqEihSWfoG4', 'verified': 1, 'share': 0}, {'address': 'G9o9JQf6gDZKWanfpP4p1TD61SjD16aUsCr7fXUsnz4x', 'verified': 0, 'share': 100}]",600,Dwz69vA2deY4ixHuho46ZYU5hZ8K1vnFmhdPTKM56hic,"[{'trait_type': 'Background', 'value': 'Light Gray'}, {'trait_type': 'Skin', 'value': 'Sand Ruffles'}, {'trait_type': 'Clothing', 'value': 'Pink Bubble Jacket'}, {'trait_type': 'Beak', 'value': 'Stubble'}, {'trait_type': 'Eyes', 'value': 'Dazed'}, {'trait_type': 'Hat', 'value': 'Red Trucker'}]","{'files': [{'uri': 'https://djib.io/ipfs/Qmaa1vF9w3c6A87mL6Vapv51ks8AAXGXV9dRdipBs3LLVa', 'type': 'image/gif'}], 'category': 'image', 'creators': [{'address': 'G9o9JQf6gDZKWanfpP4p1TD61SjD16aUsCr7fXUsnz4x', 'share': 100}]}",1,G9o9JQf6gDZKWanfpP4p1TD61SjD16aUsCr7fXUsnz4x,1,{},False,"{'auctionHouseKey': 'E8cU1WiRWjanGxmn96ewBgk9vPTcL6AEZ1t6F6fkgUWe', 'sellerReferral': 'autMW8SgBkVYeBgqYiTuJZnkvDZMVU2MHJh9Jh7CSQ2', 'expiry': -1}","{'moonrank': {'rank': 9712}, 'howrare': {'rank': 9721}}"
4,CCZKfYx2PiETZBr5mkX3yKR7G4f8WWfP3UCWK9LgarWe,7.15,CoeG3cCannxZtAz9sGCFmSHRd1tj5z1pMjG3L3bHcAEx,74nFe2oyU74RWpAXHnaKqRdCe2sLChVXMsZdTJ2mM7FV,dazedducks_metagalactic_club,DazedDucks Metagalactic Club,https://djib.io/ipfs/QmcTJewpPgoF2vduao3sV3cFuQiq3b7tFcJNtzfGihQYWV,Dazed Ducks #8700,"10,000 Dazed Ducks On A Metagalactic Mission.",https://dazedducks.com,image,"[{'address': '5jvdkYbLZjgMx822eEMeT2QFuQD6yN6VRLqEihSWfoG4', 'verified': 1, 'share': 0}, {'address': 'G9o9JQf6gDZKWanfpP4p1TD61SjD16aUsCr7fXUsnz4x', 'verified': 0, 'share': 100}]",600,5SFZvoZvAiaoTm4MuEwV9G8ngDqawsuXnTEyCq61qLd4,"[{'trait_type': 'Background', 'value': 'Salmon'}, {'trait_type': 'Skin', 'value': 'Yellow Scars'}, {'trait_type': 'Clothing', 'value': 'Ice Cream Sweatshirt'}, {'trait_type': 'Beak', 'value': 'Tongue'}, {'trait_type': 'Eyes', 'value': 'Light'}, {'trait_type': 'Hat', 'value': 'No Hat'}]","{'files': [{'uri': 'https://djib.io/ipfs/QmcTJewpPgoF2vduao3sV3cFuQiq3b7tFcJNtzfGihQYWV', 'type': 'image/gif'}], 'category': 'image', 'creators': [{'address': 'G9o9JQf6gDZKWanfpP4p1TD61SjD16aUsCr7fXUsnz4x', 'share': 100}]}",1,G9o9JQf6gDZKWanfpP4p1TD61SjD16aUsCr7fXUsnz4x,1,{},False,"{'auctionHouseKey': 'E8cU1WiRWjanGxmn96ewBgk9vPTcL6AEZ1t6F6fkgUWe', 'sellerReferral': 'autMW8SgBkVYeBgqYiTuJZnkvDZMVU2MHJh9Jh7CSQ2', 'expiry': -1}","{'howrare': {'rank': 5483}, 'moonrank': {'rank': 8373}}"
5,8uPLhm8ZS5Wo7GrxuQhevChRHRrPDaQPykFbN4j91iRx,7.3,EBbnYGxuTFnaJKzcZVFRhmWcNSv2NkhGTzVtqLBNCTnp,DLoX8Wo5MbWheGrzwwSakLLLpnGEbNCmzi6j3XvQRwQV,dazedducks_metagalactic_club,DazedDucks Metagalactic Club,https://djib.io/ipfs/QmPDofJYRXWLpYjaf6v4Py2fuvamUXSxkc7frUHKoRiAKB,Dazed Ducks #8650,"10,000 Dazed Ducks On A Metagalactic Mission.",https://dazedducks.com,image,"[{'address': '5jvdkYbLZjgMx822eEMeT2QFuQD6yN6VRLqEihSWfoG4', 'verified': 1, 'share': 0}, {'address': 'G9o9JQf6gDZKWanfpP4p1TD61SjD16aUsCr7fXUsnz4x', 'verified': 0, 'share': 100}]",600,DgK54uJVVdfCSpmY1wAiSRxMzYP6bUQyw5FVGM2jvJEd,"[{'trait_type': 'Background', 'value': 'Sand'}, {'trait_type': 'Skin', 'value': 'Green Ruffles'}, {'trait_type': 'Clothing', 'value': 'Cosmic Slug Hoodie'}, {'trait_type': 'Beak', 'value': 'Blisters'}, {'trait_type': 'Eyes', 'value': 'Confused'}, {'trait_type': 'Hat', 'value': 'No Hat'}]","{'files': [{'uri': 'https://djib.io/ipfs/QmPDofJYRXWLpYjaf6v4Py2fuvamUXSxkc7frUHKoRiAKB', 'type': 'image/gif'}], 'category': 'image', 'creators': [{'address': 'G9o9JQf6gDZKWanfpP4p1TD61SjD16aUsCr7fXUsnz4x', 'share': 100}]}",1,G9o9JQf6gDZKWanfpP4p1TD61SjD16aUsCr7fXUsnz4x,1,{},False,"{'auctionHouseKey': 'E8cU1WiRWjanGxmn96ewBgk9vPTcL6AEZ1t6F6fkgUWe', 'sellerReferral': 'autMW8SgBkVYeBgqYiTuJZnkvDZMVU2MHJh9Jh7CSQ2', 'expiry': -1}","{'howrare': {'rank': 5126}, 'moonrank': {'rank': 8096}}"
6,AVoB2khqTYMwH3MaL6aVNj2SfdeX9cxTWw6neL51Yzvd,7.3,H1KZpyrWkCMPcrxhfkvhYWSuFHdNHrs9SoygMUcEqXKg,6fqbSyhh3PPdgRcLraHb7Jahj9s1oHHeX3SsjNSsGa6t,dazedducks_metagalactic_club,DazedDucks Metagalactic Club,https://djib.io/ipfs/QmSGpRgFZ7qHdMDSrnJVPNBCmwPqV3zLJJF2MaFNWcAYf1,Dazed Ducks #5504,"10,000 Dazed Ducks On A Metagalactic Mission.",https://dazedducks.com,image,"[{'address': '5jvdkYbLZjgMx822eEMeT2QFuQD6yN6VRLqEihSWfoG4', 'verified': 1, 'share': 0}, {'address': 'G9o9JQf6gDZKWanfpP4p1TD61SjD16aUsCr7fXUsnz4x', 'verified': 0, 'share': 100}]",600,77Za9cWk6KqNoJSenAbXq4HhE5USgssc4MVxhvzwPkbw,"[{'trait_type': 'Background', 'value': 'Green'}, {'trait_type': 'Skin', 'value': 'Orange Feathers'}, {'trait_type': 'Clothing', 'value': 'Charcoal Bomber Jacket'}, {'trait_type': 'Beak', 'value': 'Tomato'}, {'trait_type': 'Eyes', 'value': 'Dazed'}, {'trait_type': 'Hat', 'value': 'Green Golf Hat'}]","{'files': [{'uri': 'https://djib.io/ipfs/QmSGpRgFZ7qHdMDSrnJVPNBCmwPqV3zLJJF2MaFNWcAYf1', 'type': 'image/gif'}], 'category': 'image', 'creators': [{'address': 'G9o9JQf6gDZKWanfpP4p1TD61SjD16aUsCr7fXUsnz4x', 'share': 100}]}",1,G9o9JQf6gDZKWanfpP4p1TD61SjD16aUsCr7fXUsnz4x,1,{},False,"{'auctionHouseKey': 'E8cU1WiRWjanGxmn96ewBgk9vPTcL6AEZ1t6F6fkgUWe', 'sellerReferral': 'autMW8SgBkVYeBgqYiTuJZnkvDZMVU2MHJh9Jh7CSQ2', 'expiry': -1}","{'howrare': {'rank': 8236}, 'moonrank': {'rank': 7784}}"
7,78d9YiH7uYJV2ZEin3AgwjosyC3Qiq5oqCXnMJjJdzyC,7.35,DJtXKCaECKgUvJwfbbDRNLsV7D52gbKgNEFfSnJbKUje,4PRHCfbpq1F2eBrBbXb7KgnmkB8qD1tLkD8jbvXfosvU,dazedducks_metagalactic_club,DazedDucks Metagalactic Club,https://djib.io/ipfs/QmfT1NBUh5fHytz8VRoLhhtgY3v9HSGyGYDQWSm74VquVh,Dazed Ducks #5767,"10,000 Dazed Ducks On A Metagalactic Mission.",https://dazedducks.com,image,"[{'address': '5jvdkYbLZjgMx822eEMeT2QFuQD6yN6VRLqEihSWfoG4', 'verified': 1, 'share': 0}, {'address': 'G9o9JQf6gDZKWanfpP4p1TD61SjD16aUsCr7fXUsnz4x', 'verified': 0, 'share': 100}]",600,DzhWdoH9WZb8Rt52WSUVm6YH8dEfBPh8xWWMzs5oqn8Z,"[{'trait_type': 'Background', 'value': 'Pink'}, {'trait_type': 'Skin', 'value': 'Yellow Scars'}, {'trait_type': 'Clothing', 'value': 'Green Bubble Vest'}, {'trait_type': 'Beak', 'value': 'Clean'}, {'trait_type': 'Eyes', 'value': 'Get Real'}, {'trait_type': 'Hat', 'value': 'Head Band'}]","{'files': [{'uri': 'https://djib.io/ipfs/QmfT1NBUh5fHytz8VRoLhhtgY3v9HSGyGYDQWSm74VquVh', 'type': 'image/gif'}], 'category': 'image', 'creators': [{'address': 'G9o9JQf6gDZKWanfpP4p1TD61SjD16aUsCr7fXUsnz4x', 'share': 100}]}",1,G9o9JQf6gDZKWanfpP4p1TD61SjD16aUsCr7fXUsnz4x,1,{},False,"{'auctionHouseKey': 'E8cU1WiRWjanGxmn96ewBgk9vPTcL6AEZ1t6F6fkgUWe', 'sellerReferral': 'autMW8SgBkVYeBgqYiTuJZnkvDZMVU2MHJh9Jh7CSQ2', 'expiry': -1}","{'moonrank': {'rank': 8212}, 'howrare': {'rank': 8316}}"
8,6oPzzv1W4sBHCfTjUvGBAFjUTyCECMLpGNC13Zzy6WaY,7.49,HudWLaoRRMjvHLLbXG4sTwY4Cf3s2BYn9FSCLgGu542m,8hKB28nNomkZkkY3MbW5owfwhuvFMvJzmMYDN1sNrXPC,dazedducks_metagalactic_club,DazedDucks Metagalactic Club,https://djib.io/ipfs/QmYLCnrNE7AsUJRcdPVfD2PKeND8S2EbASnKTNxM5z5yMk,Dazed Ducks #9571,"10,000 Dazed Ducks On A Metagalactic Mission.",https://dazedducks.com,image,"[{'address': '5jvdkYbLZjgMx822eEMeT2QFuQD6yN6VRLqEihSWfoG4', 'verified': 1, 'share': 0}, {'address': 'G9o9JQf6gDZKWanfpP4p1TD61SjD16aUsCr7fXUsnz4x', 'verified': 0, 'share': 100}]",600,7zmqwfu35rSnG1X7rEsYBwV8g9yJ19dzKJXvVR94bMtB,"[{'trait_type': 'Background', 'value': 'Light Blue'}, {'trait_type': 'Skin', 'value': 'Military Green Scars'}, {'trait_type': 'Clothing', 'value': 'Blood Sweatshirt'}, {'trait_type': 'Beak', 'value': 'Nose Ring'}, {'trait_type': 'Eyes', 'value': 'Dazed'}, {'trait_type': 'Hat', 'value': 'Beetle Snapback'}]","{'files': [{'uri': 'https://djib.io/ipfs/QmYLCnrNE7AsUJRcdPVfD2PKeND8S2EbASnKTNxM5z5yMk', 'type': 'image/gif'}], 'category': 'image', 'creators': [{'address': 'G9o9JQf6gDZKWanfpP4p1TD61SjD16aUsCr7fXUsnz4x', 'share': 100}]}",1,G9o9JQf6gDZKWanfpP4p1TD61SjD16aUsCr7fXUsnz4x,1,{},False,"{'auctionHouseKey': 'E8cU1WiRWjanGxmn96ewBgk9vPTcL6AEZ1t6F6fkgUWe', 'sellerReferral': 'autMW8SgBkVYeBgqYiTuJZnkvDZMVU2MHJh9Jh7CSQ2', 'expiry': -1}","{'howrare': {'rank': 5102}, 'moonrank': {'rank': 7626}}"
9,DEodj9HKnbmF4PhZL98atWNMUsAKa4fgC66r81KuXoVX,7.49,FHcj7Xrw9M75dGKsLiUz9Gfa4Ld8Sd1G2FJmH8FbpBTH,8hKB28nNomkZkkY3MbW5owfwhuvFMvJzmMYDN1sNrXPC,dazedducks_metagalactic_club,DazedDucks Metagalactic Club,https://djib.io/ipfs/QmNsRVB4jzDeJxddRxPtaCje3cuEyzotZD3zCwWHceM4dG,Dazed Ducks #3056,"10,000 Dazed Ducks On A Metagalactic Mission.",https://dazedducks.com,image,"[{'address': '5jvdkYbLZjgMx822eEMeT2QFuQD6yN6VRLqEihSWfoG4', 'verified': 1, 'share': 0}, {'address': 'G9o9JQf6gDZKWanfpP4p1TD61SjD16aUsCr7fXUsnz4x', 'verified': 0, 'share': 100}]",600,GuDfXL6upwc4BUoAHrW3W2Dye3mb66GaQesQLWFh5RuF,"[{'trait_type': 'Background', 'value': 'Orange'}, {'trait_type': 'Skin', 'value': 'Military Green Scars'}, {'trait_type': 'Clothing', 'value': 'Striped Species Sweatshirt'}, {'trait_type': 'Beak', 'value': 'Stubble'}, {'trait_type': 'Eyes', 'value': 'Vague'}, {'trait_type': 'Hat', 'value': 'No Hat'}]","{'files': [{'uri': 'https://djib.io/ipfs/QmNsRVB4jzDeJxddRxPtaCje3cuEyzotZD3zCwWHceM4dG', 'type': 'image/png'}], 'category': 'image', 'creators': [{'address': 'G9o9JQf6gDZKWanfpP4p1TD61SjD16aUsCr7fXUsnz4x', 'share': 100}]}",1,G9o9JQf6gDZKWanfpP4p1TD61SjD16aUsCr7fXUsnz4x,1,{},False,"{'auctionHouseKey': 'E8cU1WiRWjanGxmn96ewBgk9vPTcL6AEZ1t6F6fkgUWe', 'sellerReferral': 'autMW8SgBkVYeBgqYiTuJZnkvDZMVU2MHJh9Jh7CSQ2', 'expiry': -1}","{'howrare': {'rank': 7789}, 'moonrank': {'rank': 9518}}"
10,pw5iAdLJLuskApj9ETX8NH1kUUNZMu5or6veTRU24XF,7.49,9jyL32mBDmUtpZCm9G2VZbp1iK55pcFYUGMt7M4VV5AE,8hKB28nNomkZkkY3MbW5owfwhuvFMvJzmMYDN1sNrXPC,dazedducks_metagalactic_club,DazedDucks Metagalactic Club,https://djib.io/ipfs/QmbdvCeU4BP3eJY7JmzAkVGTyyphdUbra3aUyo1ZQDJ4bv,Dazed Ducks #8881,"10,000 Dazed Ducks On A Metagalactic Mission.",https://dazedducks.com,image,"[{'address': '5jvdkYbLZjgMx822eEMeT2QFuQD6yN6VRLqEihSWfoG4', 'verified': 1, 'share': 0}, {'address': 'G9o9JQf6gDZKWanfpP4p1TD61SjD16aUsCr7fXUsnz4x', 'verified': 0, 'share': 100}]",600,7quVkDerMUXqhykwsrVoL2vUAtWCztwH8Pp2fDQiAxMm,"[{'trait_type': 'Background', 'value': 'Sky Blue'}, {'trait_type': 'Skin', 'value': 'Red Ruffles'}, {'trait_type': 'Clothing', 'value': 'Brown Bomber Jacket'}, {'trait_type': 'Beak', 'value': 'Stubble'}, {'trait_type': 'Eyes', 'value': 'Vague'}, {'trait_type': 'Hat', 'value': 'Beetle Snapback'}]","{'files': [{'uri': 'https://djib.io/ipfs/QmbdvCeU4BP3eJY7JmzAkVGTyyphdUbra3aUyo1ZQDJ4bv', 'type': 'image/gif'}], 'category': 'image', 'creators': [{'address': 'G9o9JQf6gDZKWanfpP4p1TD61SjD16aUsCr7fXUsnz4x', 'share': 100}]}",1,G9o9JQf6gDZKWanfpP4p1TD61SjD16aUsCr7fXUsnz4x,1,{},False,"{'auctionHouseKey': 'E8cU1WiRWjanGxmn96ewBgk9vPTcL6AEZ1t6F6fkgUWe', 'sellerReferral': 'autMW8SgBkVYeBgqYiTuJZnkvDZMVU2MHJh9Jh7CSQ2', 'expiry': -1}","{'moonrank': {'rank': 8638}, 'howrare': {'rank': 9706}}"
11,EBADhNHrwFTyCagCRAwHgP13k7RWYZMRUfMeYDSQo3fx,7.49,5zXXCQLWVqnzZU7GsgTP9ecDGQ2T2xEtUaaoyd8eH2PA,8hKB28nNomkZkkY3MbW5owfwhuvFMvJzmMYDN1sNrXPC,dazedducks_metagalactic_club,DazedDucks Metagalactic Club,https://djib.io/ipfs/QmPcebtoqHxz2obBcfYHpV3LnFyLVy9KKLsu3qQGX3TbXX,Dazed Ducks #648,"10,000 Dazed Ducks On A Metagalactic Mission.",https://dazedducks.com,image,"[{'address': '5jvdkYbLZjgMx822eEMeT2QFuQD6yN6VRLqEihSWfoG4', 'verified': 1, 'share': 0}, {'address': 'G9o9JQf6gDZKWanfpP4p1TD61SjD16aUsCr7fXUsnz4x', 'verified': 0, 'share': 100}]",600,CgUDiXVrx3CS2Jb7snWeKKZaDBnYwtS1QcNcnRXnSCGd,"[{'trait_type': 'Background', 'value': 'Light Blue'}, {'trait_type': 'Skin', 'value': 'Purple Scars'}, {'trait_type': 'Clothing', 'value': 'Pink Bubble Jacket'}, {'trait_type': 'Beak', 'value': 'Stubble'}, {'trait_type': 'Eyes', 'value': 'Think Right'}, {'trait_type': 'Hat', 'value': 'Orange Beanie'}]","{'files': [{'uri': 'https://djib.io/ipfs/QmPcebtoqHxz2obBcfYHpV3LnFyLVy9KKLsu3qQGX3TbXX', 'type': 'image/gif'}], 'category': 'image', 'creators': [{'address': 'G9o9JQf6gDZKWanfpP4p1TD61SjD16aUsCr7fXUsnz4x', 'share': 100}]}",1,G9o9JQf6gDZKWanfpP4p1TD61SjD16aUsCr7fXUsnz4x,1,{},False,"{'auctionHouseKey': 'E8cU1WiRWjanGxmn96ewBgk9vPTcL6AEZ1t6F6fkgUWe', 'sellerReferral': 'autMW8SgBkVYeBgqYiTuJZnkvDZMVU2MHJh9Jh7CSQ2', 'expiry': -1}","{'howrare': {'rank': 7945}, 'moonrank': {'rank': 7795}}"
12,6e1CPnqAqueqLZR7fa7ou4pG7XMcQnA912MQYYBu9X84,7.49,AjgQRQg38Ji7AwbCq3aMBaz5LvS1wnvnCAWvZZvizJsN,DQxphmdoGAitfvwGTvJigdJ5q4UvWVHfYoSNDAvCX19r,dazedducks_metagalactic_club,DazedDucks Metagalactic Club,https://djib.io/ipfs/QmWurmxBZhj5h1ijsRuUrwPkdnH6ZrPwy2Y16JbR3NLWyE,Dazed Ducks #5659,"10,000 Dazed Ducks On A Metagalactic Mission.",https://dazedducks.com,image,"[{'address': '5jvdkYbLZjgMx822eEMeT2QFuQD6yN6VRLqEihSWfoG4', 'verified': 1, 'share': 0}, {'address': 'G9o9JQf6gDZKWanfpP4p1TD61SjD16aUsCr7fXUsnz4x', 'verified': 0, 'share': 100}]",600,E5XojfXXmjs16sEQSqurPhKbbAaS5bbB6swjYfuT3aAa,"[{'trait_type': 'Background', 'value': 'Yellow'}, {'trait_type': 'Skin', 'value': 'Green Hyena'}, {'trait_type': 'Clothing', 'value': 'Sand Bomber Jacket'}, {'trait_type': 'Beak', 'value': 'Nose Ring'}, {'trait_type': 'Eyes', 'value': 'Gaze'}, {'trait_type': 'Hat', 'value': 'Blue Trucker'}]","{'files': [{'uri': 'https://djib.io/ipfs/QmWurmxBZhj5h1ijsRuUrwPkdnH6ZrPwy2Y16JbR3NLWyE', 'type': 'image/gif'}], 'category': 'image', 'creators': [{'address': 'G9o9JQf6gDZKWanfpP4p1TD61SjD16aUsCr7fXUsnz4x', 'share': 100}]}",1,G9o9JQf6gDZKWanfpP4p1TD61SjD16aUsCr7fXUsnz4x,1,{},False,"{'auctionHouseKey': 'E8cU1WiRWjanGxmn96ewBgk9vPTcL6AEZ1t6F6fkgUWe', 'sellerReferral': 'autMW8SgBkVYeBgqYiTuJZnkvDZMVU2MHJh9Jh7CSQ2', 'expiry': -1}","{'moonrank': {'rank': 6934}, 'howrare': {'rank': 7472}}"
13,26jW9ZNgwXqD2EzowSzxrmY6CQ4AkreiD2bYT6rW7U4Z,7.5,3ZPELrJMgtCUn3Hi62zTjiJ3zcWKiAH718vGfAVqjUrt,7f4wGVtQ8BLvjPo5GjG8SuuhLchDzNj7GYVHtb7hHwu7,dazedducks_metagalactic_club,DazedDucks Metagalactic Club,https://djib.io/ipfs/QmNUnGMAbza76y6iusBoi2uV1KDEuy5L1wxbWyPMr5nrqt,Dazed Ducks #3294,"10,000 Dazed Ducks On A Metagalactic Mission.",https://dazedducks.com,image,"[{'address': '5jvdkYbLZjgMx822eEMeT2QFuQD6yN6VRLqEihSWfoG4', 'verified': 1, 'share': 0}, {'address': 'G9o9JQf6gDZKWanfpP4p1TD61SjD16aUsCr7fXUsnz4x', 'verified': 0, 'share': 100}]",600,5imeryTPtTiQ8zou7SqsX333z8RoKQduVcbYU9wkLcVZ,"[{'trait_type': 'Background', 'value': 'Salmon'}, {'trait_type': 'Skin', 'value': 'Clean Yellow'}, {'trait_type': 'Clothing', 'value': 'Red Bubble Jacket'}, {'trait_type': 'Beak', 'value': 'Blisters'}, {'trait_type': 'Eyes', 'value': 'Annoyed'}, {'trait_type': 'Hat', 'value': 'Horns'}]","{'files': [{'uri': 'https://djib.io/ipfs/QmNUnGMAbza76y6iusBoi2uV1KDEuy5L1wxbWyPMr5nrqt', 'type': 'image/png'}], 'category': 'image', 'creators': [{'address': 'G9o9JQf6gDZKWanfpP4p1TD61SjD16aUsCr7fXUsnz4x', 'share': 100}]}",1,G9o9JQf6gDZKWanfpP4p1TD61SjD16aUsCr7fXUsnz4x,1,{},False,"{'auctionHouseKey': 'E8cU1WiRWjanGxmn96ewBgk9vPTcL6AEZ1t6F6fkgUWe', 'sellerReferral': 'autMW8SgBkVYeBgqYiTuJZnkvDZMVU2MHJh9Jh7CSQ2', 'expiry': -1}","{'moonrank': {'rank': 7093}, 'howrare': {'rank': 7360}}"
