,id,price,escrowPubkey,owner,collectionName,collectionTitle,img,title,content,propertyCategory,creators,sellerFeeBasisPoints,mintAddress,attributes,properties,supply,updateAuthority,primarySaleHappened,onChainCollection,tokenDelegateValid,v2,rarity
0,AySvnXuyA9u5W6BFVSenqovAiH9dtGYvU6EKwJmKogkq,5.55,4NF6GEf2s42WQVDAAsH6bYxBZJg3cye6igFCHgG5pcRM,FvQtLPov69ZqEpq8xYWyk25v5tVvAU2wsSoyHWJh5Xac,decimusdynamics,Decimus Dynamics,https://assets.creatormachine.com/decimus-dynamics/1010.png,Decimus #1011,A collection of 4000 robots created by mentally enhanced raccoons rebuilding civilization from the ground up.,image,"[{'address': '4sCKDkFiPLR46uNfZ1WNjhKbccaxs5wsGrZPjqxD2ux3', 'verified': 1, 'share': 0}, {'address': 'DxThXLurABNEXMFDgJjaLdW6SCvSpz653ibG1WdchArS', 'verified': 0, 'share': 70}, {'address': '7CcCU4pDJo3DayLAqXhT1mn3myLeNuU2CHmdLsFWaaik', 'verified': 0, 'share': 15}, {'address': 'BpxuQvzz6vfaemW5vzbzV6a1rFkeBgQxZPw6fd2w17wv', 'verified': 0, 'share': 15}]",800,5PkzFiRfqKbhbyd6mpJuK2quPnPy6bCJyNeVKgsKry1r,"[{'trait_type': 'Background', 'value': 'Blue'}, {'trait_type': 'Faction', 'value': 'The-Garraxi'}, {'trait_type': 'Body', 'value': 'Bronze'}, {'trait_type': 'Right Shoulder', 'value': 'Soul-Siphoner'}, {'trait_type': 'Head', 'value': 'Monacle'}, {'trait_type': 'Left Shoulder', 'value': 'Rail'}]","{'files': [{'uri': 'https://assets.creatormachine.com/decimus-dynamics/1010.png', 'type': 'image/png'}], 'category': 'image', 'creators': [{'address': 'DxThXLurABNEXMFDgJjaLdW6SCvSpz653ibG1WdchArS', 'share': 70}, {'address': '7CcCU4pDJo3DayLAqXhT1mn3myLeNuU2CHmdLsFWaaik', 'share': 15}, {'address': 'BpxuQvzz6vfaemW5vzbzV6a1rFkeBgQxZPw6fd2w17wv', 'share': 15}]}",1,FSHP7g2kz3Mhy4oQ3w8JYksPR487hMgkcrjYAdjzwtaE,1,{},False,"{'auctionHouseKey': 'E8cU1WiRWjanGxmn96ewBgk9vPTcL6AEZ1t6F6fkgUWe', 'sellerReferral': 'autMW8SgBkVYeBgqYiTuJZnkvDZMVU2MHJh9Jh7CSQ2', 'expiry': -1}",{'moonrank': {'rank': 3181}}
1,HwnP5j9KAk91VHfaxhuQDETn6FreqT8UcHmQSsBtqMZM,5.6,4wp3qinRJhurE9gwF5k7KjwxcrPXnX3enpzzYY3FdQpQ,XvnFYYeghTQnJtZbqkc4FiTqcE9vWFv6UvjezGewEJh,decimusdynamics,Decimus Dynamics,https://assets.creatormachine.com/decimus-dynamics/1503.png,Decimus #1504,A collection of 4000 robots created by mentally enhanced raccoons rebuilding civilization from the ground up.,image,"[{'address': '4sCKDkFiPLR46uNfZ1WNjhKbccaxs5wsGrZPjqxD2ux3', 'verified': 1, 'share': 0}, {'address': 'DxThXLurABNEXMFDgJjaLdW6SCvSpz653ibG1WdchArS', 'verified': 0, 'share': 70}, {'address': '7CcCU4pDJo3DayLAqXhT1mn3myLeNuU2CHmdLsFWaaik', 'verified': 0, 'share': 15}, {'address': 'BpxuQvzz6vfaemW5vzbzV6a1rFkeBgQxZPw6fd2w17wv', 'verified': 0, 'share': 15}]",800,4LXuwqEz87jvs2pQ5amRwu1f25RWEug9BBDnQMvt7qsS,"[{'trait_type': 'Background', 'value': 'Red'}, {'trait_type': 'Faction', 'value': 'The-Bellicose'}, {'trait_type': 'Body', 'value': 'Grunt'}, {'trait_type': 'Right Shoulder', 'value': 'Grenade-Launcher'}, {'trait_type': 'Head', 'value': 'Melted-Skull'}, {'trait_type': 'Left Shoulder', 'value': 'Blade'}]","{'files': [{'uri': 'https://assets.creatormachine.com/decimus-dynamics/1503.png', 'type': 'image/png'}], 'category': 'image', 'creators': [{'address': 'DxThXLurABNEXMFDgJjaLdW6SCvSpz653ibG1WdchArS', 'share': 70}, {'address': '7CcCU4pDJo3DayLAqXhT1mn3myLeNuU2CHmdLsFWaaik', 'share': 15}, {'address': 'BpxuQvzz6vfaemW5vzbzV6a1rFkeBgQxZPw6fd2w17wv', 'share': 15}]}",1,FSHP7g2kz3Mhy4oQ3w8JYksPR487hMgkcrjYAdjzwtaE,1,{},False,"{'auctionHouseKey': 'E8cU1WiRWjanGxmn96ewBgk9vPTcL6AEZ1t6F6fkgUWe', 'sellerReferral': 'autMW8SgBkVYeBgqYiTuJZnkvDZMVU2MHJh9Jh7CSQ2', 'expiry': -1}",{'moonrank': {'rank': 3351}}
2,DK5gqhUC1giCymLKHtzsDYkqCpXoxJS2GrcEVP7uc4p6,5.7,ALGXbsj2sso19izjd3s2nanjVLgCnBichjdPr6AgHREj,2mM32DWQR8nqh2PDm71SeNwqb7Te2MjPV7ersy4Nh6BC,decimusdynamics,Decimus Dynamics,https://assets.creatormachine.com/decimus-dynamics/3359.png,Decimus #3360,A collection of 4000 robots created by mentally enhanced raccoons rebuilding civilization from the ground up.,image,"[{'address': '4sCKDkFiPLR46uNfZ1WNjhKbccaxs5wsGrZPjqxD2ux3', 'verified': 1, 'share': 0}, {'address': 'DxThXLurABNEXMFDgJjaLdW6SCvSpz653ibG1WdchArS', 'verified': 0, 'share': 70}, {'address': '7CcCU4pDJo3DayLAqXhT1mn3myLeNuU2CHmdLsFWaaik', 'verified': 0, 'share': 15}, {'address': 'BpxuQvzz6vfaemW5vzbzV6a1rFkeBgQxZPw6fd2w17wv', 'verified': 0, 'share': 15}]",800,5Px89wKKzLmx4i8ZoLa2hE9Pd9SamjpUzLugkEaxG3hY,"[{'trait_type': 'Background', 'value': 'Tan'}, {'trait_type': 'Faction', 'value': 'The-Church-of-Talos'}, {'trait_type': 'Body', 'value': 'Spiritual'}, {'trait_type': 'Right Shoulder', 'value': 'Flamethrower'}, {'trait_type': 'Head', 'value': 'Cracked-God'}, {'trait_type': 'Left Shoulder', 'value': 'Crossbow'}]","{'files': [{'uri': 'https://assets.creatormachine.com/decimus-dynamics/3359.png', 'type': 'image/png'}], 'category': 'image', 'creators': [{'address': 'DxThXLurABNEXMFDgJjaLdW6SCvSpz653ibG1WdchArS', 'share': 70}, {'address': '7CcCU4pDJo3DayLAqXhT1mn3myLeNuU2CHmdLsFWaaik', 'share': 15}, {'address': 'BpxuQvzz6vfaemW5vzbzV6a1rFkeBgQxZPw6fd2w17wv', 'share': 15}]}",1,FSHP7g2kz3Mhy4oQ3w8JYksPR487hMgkcrjYAdjzwtaE,1,{},False,"{'auctionHouseKey': 'E8cU1WiRWjanGxmn96ewBgk9vPTcL6AEZ1t6F6fkgUWe', 'sellerReferral': 'autMW8SgBkVYeBgqYiTuJZnkvDZMVU2MHJh9Jh7CSQ2', 'expiry': -1}",{'moonrank': {'rank': 2555}}
3,2xYtNuoj8JGeBbfAxCZHWEQAodD5djT8RcpPZU3qCNfM,5.7,Ff2UKgUNAxWobXYmz1nhpddns4PWyhYW7GEh9YrCbVBD,2x39beNGqESn6bnDbmiZQawsnbD3uWCXqGKdxBhP9YZt,decimusdynamics,Decimus Dynamics,https://assets.creatormachine.com/decimus-dynamics/194.png,Decimus #195,A collection of 4000 robots created by mentally enhanced raccoons rebuilding civilization from the ground up.,image,"[{'address': '4sCKDkFiPLR46uNfZ1WNjhKbccaxs5wsGrZPjqxD2ux3', 'verified': 1, 'share': 0}, {'address': 'DxThXLurABNEXMFDgJjaLdW6SCvSpz653ibG1WdchArS', 'verified': 0, 'share': 70}, {'address': '7CcCU4pDJo3DayLAqXhT1mn3myLeNuU2CHmdLsFWaaik', 'verified': 0, 'share': 15}, {'address': 'BpxuQvzz6vfaemW5vzbzV6a1rFkeBgQxZPw6fd2w17wv', 'verified': 0, 'share': 15}]",800,DhnEr9j7prCjDmNaXZKbtwoseRR89aMwMfgxZkJWuQok,"[{'trait_type': 'Background', 'value': 'Sandstorm'}, {'trait_type': 'Faction', 'value': 'The-Bellicose'}, {'trait_type': 'Body', 'value': 'Grunt'}, {'trait_type': 'Right Shoulder', 'value': 'Cannon'}, {'trait_type': 'Head', 'value': 'Skull'}, {'trait_type': 'Left Shoulder', 'value': 'Floating-Eye'}]","{'files': [{'uri': 'https://assets.creatormachine.com/decimus-dynamics/194.png', 'type': 'image/png'}], 'category': 'image', 'creators': [{'address': 'DxThXLurABNEXMFDgJjaLdW6SCvSpz653ibG1WdchArS', 'share': 70}, {'address': '7CcCU4pDJo3DayLAqXhT1mn3myLeNuU2CHmdLsFWaaik', 'share': 15}, {'address': 'BpxuQvzz6vfaemW5vzbzV6a1rFkeBgQxZPw6fd2w17wv', 'share': 15}]}",1,FSHP7g2kz3Mhy4oQ3w8JYksPR487hMgkcrjYAdjzwtaE,1,{},False,"{'auctionHouseKey': 'E8cU1WiRWjanGxmn96ewBgk9vPTcL6AEZ1t6F6fkgUWe', 'sellerReferral': 'autMW8SgBkVYeBgqYiTuJZnkvDZMVU2MHJh9Jh7CSQ2', 'expiry': -1}",{'moonrank': {'rank': 1808}}
4,3QYa8Rb8aGWivfk6vBrCrwyBJZdbLsV3cU53YpVJq6Vn,5.75,5R838eZEvjkkZFRjBt7ZfmUKNyoA5FTYifSD3dNMToNt,3NkF4pRyNViiGj7pc6JFQb8s6Yj9bkY8S7P4cTRgd5rE,decimusdynamics,Decimus Dynamics,https://assets.creatormachine.com/decimus-dynamics/1341.png,Decimus #1342,A collection of 4000 robots created by mentally enhanced raccoons rebuilding civilization from the ground up.,image,"[{'address': '4sCKDkFiPLR46uNfZ1WNjhKbccaxs5wsGrZPjqxD2ux3', 'verified': 1, 'share': 0}, {'address': 'DxThXLurABNEXMFDgJjaLdW6SCvSpz653ibG1WdchArS', 'verified': 0, 'share': 70}, {'address': '7CcCU4pDJo3DayLAqXhT1mn3myLeNuU2CHmdLsFWaaik', 'verified': 0, 'share': 15}, {'address': 'BpxuQvzz6vfaemW5vzbzV6a1rFkeBgQxZPw6fd2w17wv', 'verified': 0, 'share': 15}]",800,DFmJHJUuuYVmTmMe7rDpEY97PNDy36VMdhAR7fVTy1xq,"[{'trait_type': 'Background', 'value': 'Grey'}, {'trait_type': 'Faction', 'value': 'The-Strazar'}, {'trait_type': 'Body', 'value': 'Overgrown'}, {'trait_type': 'Right Shoulder', 'value': 'Cannon'}, {'trait_type': 'Head', 'value': 'Overgrown'}, {'trait_type': 'Left Shoulder', 'value': 'Grenade-Launcher'}]","{'files': [{'uri': 'https://assets.creatormachine.com/decimus-dynamics/1341.png', 'type': 'image/png'}], 'category': 'image', 'creators': [{'address': 'DxThXLurABNEXMFDgJjaLdW6SCvSpz653ibG1WdchArS', 'share': 70}, {'address': '7CcCU4pDJo3DayLAqXhT1mn3myLeNuU2CHmdLsFWaaik', 'share': 15}, {'address': 'BpxuQvzz6vfaemW5vzbzV6a1rFkeBgQxZPw6fd2w17wv', 'share': 15}]}",1,FSHP7g2kz3Mhy4oQ3w8JYksPR487hMgkcrjYAdjzwtaE,1,{},False,"{'auctionHouseKey': 'E8cU1WiRWjanGxmn96ewBgk9vPTcL6AEZ1t6F6fkgUWe', 'sellerReferral': 'autMW8SgBkVYeBgqYiTuJZnkvDZMVU2MHJh9Jh7CSQ2', 'expiry': -1}",{'moonrank': {'rank': 3109}}
5,JBdKb8F6spcCY7VijvBiqci5qjFtYmDRTcRy6yYzWnhm,5.79,3Rz9iLkbiGBvgU8hVS6B2fof8oRJmz2g67rC6YvqRTJA,ABsNYDwkUVWXYF1q22c4R2gojCGPV3wtvWk5Gt1MUPfu,decimusdynamics,Decimus Dynamics,https://assets.creatormachine.com/decimus-dynamics/2479.png,Decimus #2480,A collection of 4000 robots created by mentally enhanced raccoons rebuilding civilization from the ground up.,image,"[{'address': '4sCKDkFiPLR46uNfZ1WNjhKbccaxs5wsGrZPjqxD2ux3', 'verified': 1, 'share': 0}, {'address': 'DxThXLurABNEXMFDgJjaLdW6SCvSpz653ibG1WdchArS', 'verified': 0, 'share': 70}, {'address': '7CcCU4pDJo3DayLAqXhT1mn3myLeNuU2CHmdLsFWaaik', 'verified': 0, 'share': 15}, {'address': 'BpxuQvzz6vfaemW5vzbzV6a1rFkeBgQxZPw6fd2w17wv', 'verified': 0, 'share': 15}]",800,9Tp9P1mWyakg69d7Jj3VtPbUkKmrZi8ifDhDmfz5KS1N,"[{'trait_type': 'Background', 'value': 'Purple'}, {'trait_type': 'Faction', 'value': 'The-Strazar'}, {'trait_type': 'Body', 'value': 'Solar'}, {'trait_type': 'Right Shoulder', 'value': 'Radar'}, {'trait_type': 'Head', 'value': 'Astronaut'}, {'trait_type': 'Left Shoulder', 'value': 'Tentacle'}]","{'files': [{'uri': 'https://assets.creatormachine.com/decimus-dynamics/2479.png', 'type': 'image/png'}], 'category': 'image', 'creators': [{'address': 'DxThXLurABNEXMFDgJjaLdW6SCvSpz653ibG1WdchArS', 'share': 70}, {'address': '7CcCU4pDJo3DayLAqXhT1mn3myLeNuU2CHmdLsFWaaik', 'share': 15}, {'address': 'BpxuQvzz6vfaemW5vzbzV6a1rFkeBgQxZPw6fd2w17wv', 'share': 15}]}",1,FSHP7g2kz3Mhy4oQ3w8JYksPR487hMgkcrjYAdjzwtaE,1,{},False,"{'auctionHouseKey': 'E8cU1WiRWjanGxmn96ewBgk9vPTcL6AEZ1t6F6fkgUWe', 'sellerReferral': 'autMW8SgBkVYeBgqYiTuJZnkvDZMVU2MHJh9Jh7CSQ2', 'expiry': -1}",{'moonrank': {'rank': 3865}}
6,D8P7LJDf6K7N9yqbHM4NKyTXvPGETiHjKSo11cUA9uj8,5.8,7ANdjuUTaToUQBLGhTfVcX1z74nvcFEASFRYZKSdKSZS,2w8gGAKUsgKk1qUczQ4Gzppu1Z4PpGgcN9H9ugraxTod,decimusdynamics,Decimus Dynamics,https://assets.creatormachine.com/decimus-dynamics/152.png,Decimus #153,A collection of 4000 robots created by mentally enhanced raccoons rebuilding civilization from the ground up.,image,"[{'address': '4sCKDkFiPLR46uNfZ1WNjhKbccaxs5wsGrZPjqxD2ux3', 'verified': 1, 'share': 0}, {'address': 'DxThXLurABNEXMFDgJjaLdW6SCvSpz653ibG1WdchArS', 'verified': 0, 'share': 70}, {'address': '7CcCU4pDJo3DayLAqXhT1mn3myLeNuU2CHmdLsFWaaik', 'verified': 0, 'share': 15}, {'address': 'BpxuQvzz6vfaemW5vzbzV6a1rFkeBgQxZPw6fd2w17wv', 'verified': 0, 'share': 15}]",800,ydCpQTtKRum7r87N3LZj8GRWRbMbypTgdgeTyF7odDK,"[{'trait_type': 'Background', 'value': 'Tan'}, {'trait_type': 'Faction', 'value': 'The-Bellicose'}, {'trait_type': 'Body', 'value': 'Lieutenant'}, {'trait_type': 'Right Shoulder', 'value': 'Mutant-Eye'}, {'trait_type': 'Head', 'value': 'Skull'}, {'trait_type': 'Left Shoulder', 'value': 'Porcupine'}]","{'files': [{'uri': 'https://assets.creatormachine.com/decimus-dynamics/152.png', 'type': 'image/png'}], 'category': 'image', 'creators': [{'address': 'DxThXLurABNEXMFDgJjaLdW6SCvSpz653ibG1WdchArS', 'share': 70}, {'address': '7CcCU4pDJo3DayLAqXhT1mn3myLeNuU2CHmdLsFWaaik', 'share': 15}, {'address': 'BpxuQvzz6vfaemW5vzbzV6a1rFkeBgQxZPw6fd2w17wv', 'share': 15}]}",1,FSHP7g2kz3Mhy4oQ3w8JYksPR487hMgkcrjYAdjzwtaE,1,{},False,"{'auctionHouseKey': 'E8cU1WiRWjanGxmn96ewBgk9vPTcL6AEZ1t6F6fkgUWe', 'sellerReferral': 'autMW8SgBkVYeBgqYiTuJZnkvDZMVU2MHJh9Jh7CSQ2', 'expiry': -1}",{'moonrank': {'rank': 2669}}
7,HAbKwp2H5AXbyB1obMoURJsAHi1JmQCfrLqZuHQdFVX3,5.8,9ZGzuXxJ9bu6YUWt5vVUVxrMB2zR9eZQLaTp2sxApRiJ,2w8gGAKUsgKk1qUczQ4Gzppu1Z4PpGgcN9H9ugraxTod,decimusdynamics,Decimus Dynamics,https://assets.creatormachine.com/decimus-dynamics/3391.png,Decimus #3392,A collection of 4000 robots created by mentally enhanced raccoons rebuilding civilization from the ground up.,image,"[{'address': '4sCKDkFiPLR46uNfZ1WNjhKbccaxs5wsGrZPjqxD2ux3', 'verified': 1, 'share': 0}, {'address': 'DxThXLurABNEXMFDgJjaLdW6SCvSpz653ibG1WdchArS', 'verified': 0, 'share': 70}, {'address': '7CcCU4pDJo3DayLAqXhT1mn3myLeNuU2CHmdLsFWaaik', 'verified': 0, 'share': 15}, {'address': 'BpxuQvzz6vfaemW5vzbzV6a1rFkeBgQxZPw6fd2w17wv', 'verified': 0, 'share': 15}]",800,3XhFFAus1MWPB4Zc2VBsNiaSuDHx8pGv5RqXvzurGoHP,"[{'trait_type': 'Background', 'value': 'Tan'}, {'trait_type': 'Faction', 'value': 'The-Strazar'}, {'trait_type': 'Body', 'value': 'Solar'}, {'trait_type': 'Right Shoulder', 'value': 'Rail'}, {'trait_type': 'Head', 'value': 'Astronaut'}, {'trait_type': 'Left Shoulder', 'value': 'Mutant-Eye'}]","{'files': [{'uri': 'https://assets.creatormachine.com/decimus-dynamics/3391.png', 'type': 'image/png'}], 'category': 'image', 'creators': [{'address': 'DxThXLurABNEXMFDgJjaLdW6SCvSpz653ibG1WdchArS', 'share': 70}, {'address': '7CcCU4pDJo3DayLAqXhT1mn3myLeNuU2CHmdLsFWaaik', 'share': 15}, {'address': 'BpxuQvzz6vfaemW5vzbzV6a1rFkeBgQxZPw6fd2w17wv', 'share': 15}]}",1,FSHP7g2kz3Mhy4oQ3w8JYksPR487hMgkcrjYAdjzwtaE,1,{},False,"{'auctionHouseKey': 'E8cU1WiRWjanGxmn96ewBgk9vPTcL6AEZ1t6F6fkgUWe', 'sellerReferral': 'autMW8SgBkVYeBgqYiTuJZnkvDZMVU2MHJh9Jh7CSQ2', 'expiry': -1}",{'moonrank': {'rank': 3414}}
8,CE4DgNRZCeuARCstKRS4eSBwcNgttSUU7Syiv854nmAS,5.8,53Ks329vKS9mc17oeQcLnHFxRR7rErn1GtQs3uedbgYR,2w8gGAKUsgKk1qUczQ4Gzppu1Z4PpGgcN9H9ugraxTod,decimusdynamics,Decimus Dynamics,https://assets.creatormachine.com/decimus-dynamics/2966.png,Decimus #2967,A collection of 4000 robots created by mentally enhanced raccoons rebuilding civilization from the ground up.,image,"[{'address': '4sCKDkFiPLR46uNfZ1WNjhKbccaxs5wsGrZPjqxD2ux3', 'verified': 1, 'share': 0}, {'address': 'DxThXLurABNEXMFDgJjaLdW6SCvSpz653ibG1WdchArS', 'verified': 0, 'share': 70}, {'address': '7CcCU4pDJo3DayLAqXhT1mn3myLeNuU2CHmdLsFWaaik', 'verified': 0, 'share': 15}, {'address': 'BpxuQvzz6vfaemW5vzbzV6a1rFkeBgQxZPw6fd2w17wv', 'verified': 0, 'share': 15}]",800,A4HDQ25kACMYHpcVNn919zXXQFFUFtnX62TWDweT3odi,"[{'trait_type': 'Background', 'value': 'Yellow'}, {'trait_type': 'Faction', 'value': 'The-Strazar'}, {'trait_type': 'Body', 'value': 'Overgrown'}, {'trait_type': 'Right Shoulder', 'value': 'Soul-Siphoner'}, {'trait_type': 'Head', 'value': 'Overgrown'}, {'trait_type': 'Left Shoulder', 'value': 'Turbine'}]","{'files': [{'uri': 'https://assets.creatormachine.com/decimus-dynamics/2966.png', 'type': 'image/png'}], 'category': 'image', 'creators': [{'address': 'DxThXLurABNEXMFDgJjaLdW6SCvSpz653ibG1WdchArS', 'share': 70}, {'address': '7CcCU4pDJo3DayLAqXhT1mn3myLeNuU2CHmdLsFWaaik', 'share': 15}, {'address': 'BpxuQvzz6vfaemW5vzbzV6a1rFkeBgQxZPw6fd2w17wv', 'share': 15}]}",1,FSHP7g2kz3Mhy4oQ3w8JYksPR487hMgkcrjYAdjzwtaE,1,{},False,"{'auctionHouseKey': 'E8cU1WiRWjanGxmn96ewBgk9vPTcL6AEZ1t6F6fkgUWe', 'sellerReferral': 'autMW8SgBkVYeBgqYiTuJZnkvDZMVU2MHJh9Jh7CSQ2', 'expiry': -1}",{'moonrank': {'rank': 2474}}
9,G6Ccm3U6xkL8CNJtBLGGiovAwune8n4LP5e5gQpGvHbg,5.8,D44f3eGr3HJSYmNd8jEQ4u75LG7pxabjH4sjBcqz6SFg,2w8gGAKUsgKk1qUczQ4Gzppu1Z4PpGgcN9H9ugraxTod,decimusdynamics,Decimus Dynamics,https://assets.creatormachine.com/decimus-dynamics/2313.png,Decimus #2314,A collection of 4000 robots created by mentally enhanced raccoons rebuilding civilization from the ground up.,image,"[{'address': '4sCKDkFiPLR46uNfZ1WNjhKbccaxs5wsGrZPjqxD2ux3', 'verified': 1, 'share': 0}, {'address': 'DxThXLurABNEXMFDgJjaLdW6SCvSpz653ibG1WdchArS', 'verified': 0, 'share': 70}, {'address': '7CcCU4pDJo3DayLAqXhT1mn3myLeNuU2CHmdLsFWaaik', 'verified': 0, 'share': 15}, {'address': 'BpxuQvzz6vfaemW5vzbzV6a1rFkeBgQxZPw6fd2w17wv', 'verified': 0, 'share': 15}]",800,6ZHYhZ5eEk9aJZQscZF4Nu7D7GtonpQiAHGfhKnyHAh6,"[{'trait_type': 'Background', 'value': 'Purple'}, {'trait_type': 'Faction', 'value': 'The-Bellicose'}, {'trait_type': 'Body', 'value': 'Grunt'}, {'trait_type': 'Right Shoulder', 'value': 'Radar'}, {'trait_type': 'Head', 'value': 'Melted-Skull'}, {'trait_type': 'Left Shoulder', 'value': 'Cannon'}]","{'files': [{'uri': 'https://assets.creatormachine.com/decimus-dynamics/2313.png', 'type': 'image/png'}], 'category': 'image', 'creators': [{'address': 'DxThXLurABNEXMFDgJjaLdW6SCvSpz653ibG1WdchArS', 'share': 70}, {'address': '7CcCU4pDJo3DayLAqXhT1mn3myLeNuU2CHmdLsFWaaik', 'share': 15}, {'address': 'BpxuQvzz6vfaemW5vzbzV6a1rFkeBgQxZPw6fd2w17wv', 'share': 15}]}",1,FSHP7g2kz3Mhy4oQ3w8JYksPR487hMgkcrjYAdjzwtaE,1,{},False,"{'auctionHouseKey': 'E8cU1WiRWjanGxmn96ewBgk9vPTcL6AEZ1t6F6fkgUWe', 'sellerReferral': 'autMW8SgBkVYeBgqYiTuJZnkvDZMVU2MHJh9Jh7CSQ2', 'expiry': -1}",{'moonrank': {'rank': 3314}}
10,3nWQ6CK9LgtAXUqvKwAMRB5THfAiDJ5jJo3VhcR6BaQk,5.89,4ZvpPsyr7F8mZ33iQycsdbSCNcsyr4fffPuuRezEPQxV,282ZEkxUchvtNufrBrHP5vMBCn6SkFoucnV4Af7oVHhp,decimusdynamics,Decimus Dynamics,https://assets.creatormachine.com/decimus-dynamics/3019.png,Decimus #3020,A collection of 4000 robots created by mentally enhanced raccoons rebuilding civilization from the ground up.,image,"[{'address': '4sCKDkFiPLR46uNfZ1WNjhKbccaxs5wsGrZPjqxD2ux3', 'verified': 1, 'share': 0}, {'address': 'DxThXLurABNEXMFDgJjaLdW6SCvSpz653ibG1WdchArS', 'verified': 0, 'share': 70}, {'address': '7CcCU4pDJo3DayLAqXhT1mn3myLeNuU2CHmdLsFWaaik', 'verified': 0, 'share': 15}, {'address': 'BpxuQvzz6vfaemW5vzbzV6a1rFkeBgQxZPw6fd2w17wv', 'verified': 0, 'share': 15}]",800,5YDTKHDe3FL7fj8DWixwmfs8f1mH2mNBEV5cQbJ1SNKU,"[{'trait_type': 'Background', 'value': 'Sandstorm'}, {'trait_type': 'Faction', 'value': 'The-Garraxi'}, {'trait_type': 'Body', 'value': 'Bronze'}, {'trait_type': 'Right Shoulder', 'value': 'Oracle'}, {'trait_type': 'Head', 'value': 'Television'}, {'trait_type': 'Left Shoulder', 'value': 'Gas-Tank'}]","{'files': [{'uri': 'https://assets.creatormachine.com/decimus-dynamics/3019.png', 'type': 'image/png'}], 'category': 'image', 'creators': [{'address': 'DxThXLurABNEXMFDgJjaLdW6SCvSpz653ibG1WdchArS', 'share': 70}, {'address': '7CcCU4pDJo3DayLAqXhT1mn3myLeNuU2CHmdLsFWaaik', 'share': 15}, {'address': 'BpxuQvzz6vfaemW5vzbzV6a1rFkeBgQxZPw6fd2w17wv', 'share': 15}]}",1,FSHP7g2kz3Mhy4oQ3w8JYksPR487hMgkcrjYAdjzwtaE,1,{},False,"{'auctionHouseKey': 'E8cU1WiRWjanGxmn96ewBgk9vPTcL6AEZ1t6F6fkgUWe', 'sellerReferral': 'autMW8SgBkVYeBgqYiTuJZnkvDZMVU2MHJh9Jh7CSQ2', 'expiry': -1}",{'moonrank': {'rank': 1789}}
11,3rQVgxgiMm2rtEszhErgoHfsLaTPbGiK5NheAtJeSMsw,5.9,6LkJ2QCGauxM9Y1jM9vKJQxJkfd99qax6gpBviwAJAof,5JDwgLNxvCyw755Y7TVBJxHE1pvWKtkvRmJ5MfBscrxY,decimusdynamics,Decimus Dynamics,https://assets.creatormachine.com/decimus-dynamics/786.png,Decimus #787,A collection of 4000 robots created by mentally enhanced raccoons rebuilding civilization from the ground up.,image,"[{'address': '4sCKDkFiPLR46uNfZ1WNjhKbccaxs5wsGrZPjqxD2ux3', 'verified': 1, 'share': 0}, {'address': 'DxThXLurABNEXMFDgJjaLdW6SCvSpz653ibG1WdchArS', 'verified': 0, 'share': 70}, {'address': '7CcCU4pDJo3DayLAqXhT1mn3myLeNuU2CHmdLsFWaaik', 'verified': 0, 'share': 15}, {'address': 'BpxuQvzz6vfaemW5vzbzV6a1rFkeBgQxZPw6fd2w17wv', 'verified': 0, 'share': 15}]",800,GZ13oU5FGZCnXPFf9Bbq4gMdKk8R32rXfvczC5rk289Z,"[{'trait_type': 'Background', 'value': 'City'}, {'trait_type': 'Faction', 'value': 'The-Bellicose'}, {'trait_type': 'Body', 'value': 'Lieutenant'}, {'trait_type': 'Right Shoulder', 'value': 'Soul-Siphoner'}, {'trait_type': 'Head', 'value': 'Tactical'}, {'trait_type': 'Left Shoulder', 'value': 'Grenade-Launcher'}]","{'files': [{'uri': 'https://assets.creatormachine.com/decimus-dynamics/786.png', 'type': 'image/png'}], 'category': 'image', 'creators': [{'address': 'DxThXLurABNEXMFDgJjaLdW6SCvSpz653ibG1WdchArS', 'share': 70}, {'address': '7CcCU4pDJo3DayLAqXhT1mn3myLeNuU2CHmdLsFWaaik', 'share': 15}, {'address': 'BpxuQvzz6vfaemW5vzbzV6a1rFkeBgQxZPw6fd2w17wv', 'share': 15}]}",1,FSHP7g2kz3Mhy4oQ3w8JYksPR487hMgkcrjYAdjzwtaE,1,{},False,"{'auctionHouseKey': 'E8cU1WiRWjanGxmn96ewBgk9vPTcL6AEZ1t6F6fkgUWe', 'sellerReferral': 'autMW8SgBkVYeBgqYiTuJZnkvDZMVU2MHJh9Jh7CSQ2', 'expiry': -1}",{'moonrank': {'rank': 1125}}
