,id,price,escrowPubkey,owner,collectionName,collectionTitle,img,title,content,externalURL,propertyCategory,creators,sellerFeeBasisPoints,mintAddress,attributes,properties,supply,updateAuthority,primarySaleHappened,onChainCollection,tokenDelegateValid,v2,rarity
0,8wYxeh8vnsX9DkVQRoasinAEcCyHQra41WYdQ1BcsiHN,0.37,8mQfVLjFHv954xwCHK2jrjrEMmrmVfZG3x3And7jPm2D,JA6AMpsnx1oaEVrgFANHaDzuf8t33ZYmLKNrKiYbAdsH,defiland_gen0,DeFi Land Gen-0 NFTs,https://d29mb09d0a2rpx.cloudfront.net/defiland/p2e/4_0_232.jpg,Fishing Rod #5100,"DeFi Land Gen-0 Fishing Rods - Catch a fish to Earn, craft, trade, rent and enjoy the gameplay in the most unique Play and Earn metaverse.",https://defiland.app,image,"[{'address': 'FF1uGW7AUvUBskvWNqda1ehFX1jCkvaUk6FRcbWUEaBw', 'verified': 1, 'share': 0}, {'address': '3eqZxNVEjatz8T48RsRSQGZbSbhxzhGBjQnZF9da3m8r', 'verified': 0, 'share': 100}]",500,GonzQZz69K7yoXnLB4BVSuZU9hrdvE7Aa1pNfn5NDsQd,"[{'trait_type': 'Nft Type', 'value': 'Fishing Rod'}, {'trait_type': 'Float Type', 'value': 'Common'}, {'trait_type': 'Float Name', 'value': 'Single Blue'}, {'trait_type': 'Float Level', 'value': '2/30'}, {'trait_type': 'Body Type', 'value': 'Common'}, {'trait_type': 'Body Name', 'value': 'Plastic Violet'}, {'trait_type': 'Body Level', 'value': '2/30'}, {'trait_type': 'Hook Type', 'value': 'Common'}, {'trait_type': 'Hook Name', 'value': 'Quadra+ Silver'}, {'trait_type': 'Hook Level', 'value': '2/30'}, {'trait_type': 'Reel Type', 'value': 'Common'}, {'trait_type': 'Reel Name', 'value': 'Starter Gray'}, {'trait_type': 'Reel Level', 'value': '1/30'}]","{'creators': [{'share': 100, 'address': '3eqZxNVEjatz8T48RsRSQGZbSbhxzhGBjQnZF9da3m8r'}], 'category': 'image', 'files': [{'type': 'image/png', 'uri': 'https://d29mb09d0a2rpx.cloudfront.net/defiland/p2e/4_0_232.jpg'}]}",1,ADUWVbqXZ5PfzfPg6RqdPoyNHcCKBE4wFCmYrtw2v4NN,1,{},False,"{'auctionHouseKey': 'E8cU1WiRWjanGxmn96ewBgk9vPTcL6AEZ1t6F6fkgUWe', 'sellerReferral': 'autMW8SgBkVYeBgqYiTuJZnkvDZMVU2MHJh9Jh7CSQ2', 'expiry': -1}",{}
1,EYJ3jb1gk852XFpd5e3qwsF3jjno9LdGLqDX6x4XvnU9,0.39,8eBQR7QU9HZHC6pGpP95N1AzhRMBVDHCTsXDWex1r24m,2PMvEGkN9dViTSshnYw2MT41c73zULGNkXyHN4QV6CR2,defiland_gen0,DeFi Land Gen-0 NFTs,https://d29mb09d0a2rpx.cloudfront.net/defiland/p2e/0_1_1899.jpg,Shooting Gun #1899,"DeFi Land Gen-0 Shotguns - Sharpen your aim, craft, trade, rent and enjoy the gameplay in the most unique Play and Earn metaverse.",https://defiland.app,image,"[{'address': '3XE8DuYzqZLKr1XqXrvADRTxXWL91KuakqsKfD3cYoLP', 'verified': 1, 'share': 0}, {'address': '3eqZxNVEjatz8T48RsRSQGZbSbhxzhGBjQnZF9da3m8r', 'verified': 0, 'share': 100}]",500,ZNT9jJar6iM9e9VthWYSpFLiAf3oyZPbkENg7CAaqvF,"[{'trait_type': 'Nft Type', 'value': 'Shooting Gun'}, {'trait_type': 'Handle Type', 'value': 'Common'}, {'trait_type': 'Handle Name', 'value': 'Ivory Blue'}, {'trait_type': 'Handle Level', 'value': '1/30'}, {'trait_type': 'Barrel Type', 'value': 'Common'}, {'trait_type': 'Barrel Name', 'value': 'Single Black'}, {'trait_type': 'Barrel Level', 'value': '3/30'}, {'trait_type': 'Charm Type', 'value': 'Common'}, {'trait_type': 'Charm Name', 'value': 'Hammer'}, {'trait_type': 'Charm Level', 'value': '2/30'}, {'trait_type': 'Scope Type', 'value': 'Uncommon'}, {'trait_type': 'Scope Name', 'value': 'Indigo Gold'}, {'trait_type': 'Scope Level', 'value': '6/50'}]","{'creators': [{'share': 100, 'address': '3eqZxNVEjatz8T48RsRSQGZbSbhxzhGBjQnZF9da3m8r'}], 'category': 'image', 'files': [{'type': 'image/png', 'uri': 'https://d29mb09d0a2rpx.cloudfront.net/defiland/p2e/0_1_1899.jpg'}]}",1,ADUWVbqXZ5PfzfPg6RqdPoyNHcCKBE4wFCmYrtw2v4NN,1,{},False,"{'auctionHouseKey': 'E8cU1WiRWjanGxmn96ewBgk9vPTcL6AEZ1t6F6fkgUWe', 'sellerReferral': 'autMW8SgBkVYeBgqYiTuJZnkvDZMVU2MHJh9Jh7CSQ2', 'expiry': -1}",{}
2,DdAiNXDiAe2nNLgqBVwTt36pBueCCotmF9efpWLuAM61,0.4,8DYBBYHKTWriDSMTziKXiX3EMk7W1cZX6oPCzhGtfkvL,CQ9z7hikqV8KYcjxE65rSpvZr8JYuLQUq1zXXWh69Qao,defiland_gen0,DeFi Land Gen-0 NFTs,https://d29mb09d0a2rpx.cloudfront.net/defiland/p2e/1_1_1362.jpg,Harvester #5123,"DeFi Land Gen-0 Harvesters - Harvest your crops, craft, trade, rent and enjoy the gameplay in the most unique Play and Earn metaverse.",https://defiland.app,image,"[{'address': 'CDNsHymcJadDkoXxzhpDe2i6723ezm15QZqkEP91uXij', 'verified': 1, 'share': 0}, {'address': '3eqZxNVEjatz8T48RsRSQGZbSbhxzhGBjQnZF9da3m8r', 'verified': 0, 'share': 100}]",500,4na4yAPegiBh6uFnn7g3VFF5AmA1MZhyxw3Bbt7ktCyT,"[{'trait_type': 'Nft Type', 'value': 'Harvester'}, {'trait_type': 'Body Type', 'value': 'Common'}, {'trait_type': 'Body Name', 'value': 'Classic Blue'}, {'trait_type': 'Body Level', 'value': '1/30'}, {'trait_type': 'Harvester Type', 'value': 'Uncommon'}, {'trait_type': 'Harvester Name', 'value': 'Industrial Blue'}, {'trait_type': 'Harvester Level', 'value': '5/50'}, {'trait_type': 'Tube Type', 'value': 'Common'}, {'trait_type': 'Tube Name', 'value': 'Classic Red'}, {'trait_type': 'Tube Level', 'value': '2/30'}, {'trait_type': 'Wheel Type', 'value': 'Common'}, {'trait_type': 'Wheel Name', 'value': 'Experienced'}, {'trait_type': 'Wheel Level', 'value': '2/30'}]","{'creators': [{'share': 100, 'address': '3eqZxNVEjatz8T48RsRSQGZbSbhxzhGBjQnZF9da3m8r'}], 'category': 'image', 'files': [{'type': 'image/png', 'uri': 'https://d29mb09d0a2rpx.cloudfront.net/defiland/p2e/1_1_1362.jpg'}]}",1,ADUWVbqXZ5PfzfPg6RqdPoyNHcCKBE4wFCmYrtw2v4NN,1,{},False,"{'auctionHouseKey': 'E8cU1WiRWjanGxmn96ewBgk9vPTcL6AEZ1t6F6fkgUWe', 'sellerReferral': 'autMW8SgBkVYeBgqYiTuJZnkvDZMVU2MHJh9Jh7CSQ2', 'expiry': -1}",{}
3,6KqQgWyaNfHrN7ALjSNANTQEwzw8wvZKX2cy2Wypuqi2,0.4,CX8xTW4aDh5Bg8pTjTLqAexRSegG9uVDkarZDqfPHRBN,8yX5RS5Q4adfPqSMMUgA8dtpif9MNsMkgfW4Km2KQYwc,defiland_gen0,DeFi Land Gen-0 NFTs,https://d29mb09d0a2rpx.cloudfront.net/defiland/p2e/0_2_1606.jpg,Harvester #1606,"DeFi Land Gen-0 Harvesters - Harvest your crops, craft, trade, rent and enjoy the gameplay in the most unique Play and Earn metaverse.",https://defiland.app,image,"[{'address': '4exgPiVhpromTi8duBsMnscoodAjU1as13s1AXZGsGHP', 'verified': 1, 'share': 0}, {'address': '3eqZxNVEjatz8T48RsRSQGZbSbhxzhGBjQnZF9da3m8r', 'verified': 0, 'share': 100}]",500,7jxj3NGt7p2jHpdJEDZau789cNjr2yxp3TfVb6qyKtd8,"[{'trait_type': 'Nft Type', 'value': 'Harvester'}, {'trait_type': 'Body Type', 'value': 'Common'}, {'trait_type': 'Body Name', 'value': 'Handy Blue'}, {'trait_type': 'Body Level', 'value': '2/30'}, {'trait_type': 'Harvester Type', 'value': 'Common'}, {'trait_type': 'Harvester Name', 'value': 'Gladiator Brown'}, {'trait_type': 'Harvester Level', 'value': '2/30'}, {'trait_type': 'Tube Type', 'value': 'Common'}, {'trait_type': 'Tube Name', 'value': 'Classic Red'}, {'trait_type': 'Tube Level', 'value': '3/30'}, {'trait_type': 'Wheel Type', 'value': 'Uncommon'}, {'trait_type': 'Wheel Name', 'value': 'Mountain'}, {'trait_type': 'Wheel Level', 'value': '5/50'}]","{'creators': [{'share': 100, 'address': '3eqZxNVEjatz8T48RsRSQGZbSbhxzhGBjQnZF9da3m8r'}], 'category': 'image', 'files': [{'type': 'image/png', 'uri': 'https://d29mb09d0a2rpx.cloudfront.net/defiland/p2e/0_2_1606.jpg'}]}",1,ADUWVbqXZ5PfzfPg6RqdPoyNHcCKBE4wFCmYrtw2v4NN,1,{},False,"{'auctionHouseKey': 'E8cU1WiRWjanGxmn96ewBgk9vPTcL6AEZ1t6F6fkgUWe', 'sellerReferral': 'autMW8SgBkVYeBgqYiTuJZnkvDZMVU2MHJh9Jh7CSQ2', 'expiry': -1}",{}
4,BArb2cRrNEJpfqPxccU6PvVHtv2McNVhdunrSysi4zqy,0.42,Gvr5xQhJ3CMTZDjwnu8H18hj2QBXtgi5d8ZNRkJUB4mY,8qqsmy1ZysgVGNLDe7sVNK9MeypVPbKZrdQtMERCQ7zf,defiland_gen0,DeFi Land Gen-0 NFTs,https://d29mb09d0a2rpx.cloudfront.net/defiland/p2e/0_0_2663.jpg,Fishing Rod #2663,"DeFi Land Gen-0 Fishing Rods - Catch a fish to Earn, craft, trade, rent and enjoy the gameplay in the most unique Play and Earn metaverse.",https://defiland.app,image,"[{'address': 'Ajp7uzkyPUU35pGdkjZd9Gbe4zgDQXterWY8ZzvP4sCk', 'verified': 1, 'share': 0}, {'address': '3eqZxNVEjatz8T48RsRSQGZbSbhxzhGBjQnZF9da3m8r', 'verified': 0, 'share': 100}]",500,hMN6NFXt3wAe8pDfbJufPeK5MXU9EE5Q982rdLm3iJ2,"[{'trait_type': 'Nft Type', 'value': 'Fishing Rod'}, {'trait_type': 'Float Type', 'value': 'Uncommon'}, {'trait_type': 'Float Name', 'value': 'Chess Gold'}, {'trait_type': 'Float Level', 'value': '7/50'}, {'trait_type': 'Body Type', 'value': 'Common'}, {'trait_type': 'Body Name', 'value': 'Stick Green'}, {'trait_type': 'Body Level', 'value': '2/30'}, {'trait_type': 'Hook Type', 'value': 'Common'}, {'trait_type': 'Hook Name', 'value': 'Cubic Brick'}, {'trait_type': 'Hook Level', 'value': '2/30'}, {'trait_type': 'Reel Type', 'value': 'Common'}, {'trait_type': 'Reel Name', 'value': 'Village Brown'}, {'trait_type': 'Reel Level', 'value': '1/30'}]","{'creators': [{'share': 100, 'address': '3eqZxNVEjatz8T48RsRSQGZbSbhxzhGBjQnZF9da3m8r'}], 'category': 'image', 'files': [{'type': 'image/png', 'uri': 'https://d29mb09d0a2rpx.cloudfront.net/defiland/p2e/0_0_2663.jpg'}]}",1,ADUWVbqXZ5PfzfPg6RqdPoyNHcCKBE4wFCmYrtw2v4NN,1,{},False,"{'auctionHouseKey': 'E8cU1WiRWjanGxmn96ewBgk9vPTcL6AEZ1t6F6fkgUWe', 'sellerReferral': 'autMW8SgBkVYeBgqYiTuJZnkvDZMVU2MHJh9Jh7CSQ2', 'expiry': -1}",{}
5,6ypMu7kN9BNcaNCD3Jt7R8csVKKGQ4KfDQW2yC6qVxER,0.42,H3Nbw468NCqnLk18GUXuDryEr3StYryczwPrxxhe9aUP,BEVqC1tceHXhKZqV64dTmp2uHuQVabT4WrGtZZyLNkrv,defiland_gen0,DeFi Land Gen-0 NFTs,https://d29mb09d0a2rpx.cloudfront.net/defiland/p2e/1_1_353.jpg,Harvester #4114,"DeFi Land Gen-0 Harvesters - Harvest your crops, craft, trade, rent and enjoy the gameplay in the most unique Play and Earn metaverse.",https://defiland.app,image,"[{'address': 'CDNsHymcJadDkoXxzhpDe2i6723ezm15QZqkEP91uXij', 'verified': 1, 'share': 0}, {'address': '3eqZxNVEjatz8T48RsRSQGZbSbhxzhGBjQnZF9da3m8r', 'verified': 0, 'share': 100}]",500,E45XiJRzU62pJfDeW7WR7rhttkWRqsj95ru4tkEgpgEh,"[{'trait_type': 'Nft Type', 'value': 'Harvester'}, {'trait_type': 'Body Type', 'value': 'Common'}, {'trait_type': 'Body Name', 'value': 'US Red'}, {'trait_type': 'Body Level', 'value': '2/30'}, {'trait_type': 'Harvester Type', 'value': 'Common'}, {'trait_type': 'Harvester Name', 'value': 'Modern Red'}, {'trait_type': 'Harvester Level', 'value': '1/30'}, {'trait_type': 'Tube Type', 'value': 'Common'}, {'trait_type': 'Tube Name', 'value': 'Classic Blue'}, {'trait_type': 'Tube Level', 'value': '3/30'}, {'trait_type': 'Wheel Type', 'value': 'Uncommon'}, {'trait_type': 'Wheel Name', 'value': 'Ship Captain'}, {'trait_type': 'Wheel Level', 'value': '5/50'}]","{'creators': [{'share': 100, 'address': '3eqZxNVEjatz8T48RsRSQGZbSbhxzhGBjQnZF9da3m8r'}], 'category': 'image', 'files': [{'type': 'image/png', 'uri': 'https://d29mb09d0a2rpx.cloudfront.net/defiland/p2e/1_1_353.jpg'}]}",1,ADUWVbqXZ5PfzfPg6RqdPoyNHcCKBE4wFCmYrtw2v4NN,1,{},False,"{'auctionHouseKey': 'E8cU1WiRWjanGxmn96ewBgk9vPTcL6AEZ1t6F6fkgUWe', 'sellerReferral': 'autMW8SgBkVYeBgqYiTuJZnkvDZMVU2MHJh9Jh7CSQ2', 'expiry': -1}",{}
6,6BXiUBQZ23ZSP838ZgKxx3cbsx5J5QrjvM6B9jpvAcqP,0.42,ACNPykL1wZSGjWptUNaqtfcCjcNCLnMBFk5xLiMXvUer,WrEsRkTosA5eVEA4P6NyEtsmcMhTwdWYQou2fuvBQUS,defiland_gen0,DeFi Land Gen-0 NFTs,https://d29mb09d0a2rpx.cloudfront.net/defiland/p2e/2_0_119.jpg,Fishing Rod #4562,"DeFi Land Gen-0 Fishing Rods - Catch a fish to Earn, craft, trade, rent and enjoy the gameplay in the most unique Play and Earn metaverse.",https://defiland.app,image,"[{'address': '3eYyhpeZD2V8iGAdAM8qDPVAgvy7LqbdQBbybnpKgvCu', 'verified': 1, 'share': 0}, {'address': '3eqZxNVEjatz8T48RsRSQGZbSbhxzhGBjQnZF9da3m8r', 'verified': 0, 'share': 100}]",500,Dapk4i6CKHQKQe9mGjMr7gsi3kBNHB6JkSZFch4njofr,"[{'trait_type': 'Nft Type', 'value': 'Fishing Rod'}, {'trait_type': 'Float Type', 'value': 'Common'}, {'trait_type': 'Float Name', 'value': 'Single Green'}, {'trait_type': 'Float Level', 'value': '1/30'}, {'trait_type': 'Body Type', 'value': 'Uncommon'}, {'trait_type': 'Body Name', 'value': 'Factory Wood'}, {'trait_type': 'Body Level', 'value': '7/50'}, {'trait_type': 'Hook Type', 'value': 'Common'}, {'trait_type': 'Hook Name', 'value': 'Single Light'}, {'trait_type': 'Hook Level', 'value': '1/30'}, {'trait_type': 'Reel Type', 'value': 'Common'}, {'trait_type': 'Reel Name', 'value': 'Village Cream'}, {'trait_type': 'Reel Level', 'value': '2/30'}]","{'creators': [{'share': 100, 'address': '3eqZxNVEjatz8T48RsRSQGZbSbhxzhGBjQnZF9da3m8r'}], 'category': 'image', 'files': [{'type': 'image/png', 'uri': 'https://d29mb09d0a2rpx.cloudfront.net/defiland/p2e/2_0_119.jpg'}]}",1,ADUWVbqXZ5PfzfPg6RqdPoyNHcCKBE4wFCmYrtw2v4NN,1,{},False,"{'auctionHouseKey': 'E8cU1WiRWjanGxmn96ewBgk9vPTcL6AEZ1t6F6fkgUWe', 'sellerReferral': 'autMW8SgBkVYeBgqYiTuJZnkvDZMVU2MHJh9Jh7CSQ2', 'expiry': -1}",{}
7,5mkDFxMDm5gBjDKxTVm8B3hee3Ta2wwv8goYiZ9Awg1B,0.43,3TusM6chh7SE1AYhtfBxoMGjGuJ8Krw9wRN1N3hU8jQf,3Y2inJZTtM7RMP8Ku9qc51jB6JifDBFPCNFXP5yVSgXg,defiland_gen0,DeFi Land Gen-0 NFTs,https://d29mb09d0a2rpx.cloudfront.net/defiland/p2e/0_2_3143.jpg,Harvester #3143,"DeFi Land Gen-0 Harvesters - Harvest your crops, craft, trade, rent and enjoy the gameplay in the most unique Play and Earn metaverse.",https://defiland.app,image,"[{'address': '4exgPiVhpromTi8duBsMnscoodAjU1as13s1AXZGsGHP', 'verified': 1, 'share': 0}, {'address': '3eqZxNVEjatz8T48RsRSQGZbSbhxzhGBjQnZF9da3m8r', 'verified': 0, 'share': 100}]",500,rwinWPvz5WTnZkVpZejt8HYfc4NRZiVJXTfUdyXYgwq,"[{'trait_type': 'Nft Type', 'value': 'Harvester'}, {'trait_type': 'Body Type', 'value': 'Common'}, {'trait_type': 'Body Name', 'value': 'Astro Yellow'}, {'trait_type': 'Body Level', 'value': '1/30'}, {'trait_type': 'Harvester Type', 'value': 'Uncommon'}, {'trait_type': 'Harvester Name', 'value': 'Spiral Green'}, {'trait_type': 'Harvester Level', 'value': '6/50'}, {'trait_type': 'Tube Type', 'value': 'Common'}, {'trait_type': 'Tube Name', 'value': 'Classic Blue'}, {'trait_type': 'Tube Level', 'value': '3/30'}, {'trait_type': 'Wheel Type', 'value': 'Common'}, {'trait_type': 'Wheel Name', 'value': 'Smooth'}, {'trait_type': 'Wheel Level', 'value': '1/30'}]","{'creators': [{'share': 100, 'address': '3eqZxNVEjatz8T48RsRSQGZbSbhxzhGBjQnZF9da3m8r'}], 'category': 'image', 'files': [{'type': 'image/png', 'uri': 'https://d29mb09d0a2rpx.cloudfront.net/defiland/p2e/0_2_3143.jpg'}]}",1,ADUWVbqXZ5PfzfPg6RqdPoyNHcCKBE4wFCmYrtw2v4NN,1,{},False,"{'auctionHouseKey': 'E8cU1WiRWjanGxmn96ewBgk9vPTcL6AEZ1t6F6fkgUWe', 'sellerReferral': 'autMW8SgBkVYeBgqYiTuJZnkvDZMVU2MHJh9Jh7CSQ2', 'expiry': -1}",{}
8,7zPvJB1kbtNfWEhLJ5hx8JzF6k7vCG24cszoWQS2KjhZ,0.43,GMVFApsPusY5x2tag6KqkaHHvtreHGS3euU1Z6dLwAQo,BNfZ4gsiRFY6g6nyKbRNKuABQUvc3EW1uJ4MxH57qbKg,defiland_gen0,DeFi Land Gen-0 NFTs,https://d29mb09d0a2rpx.cloudfront.net/defiland/p2e/2_0_224.jpg,Shooting Gun #4522,"DeFi Land Gen-0 Shotguns - Sharpen your aim, craft, trade, rent and enjoy the gameplay in the most unique Play and Earn metaverse.",https://defiland.app,image,"[{'address': '3eYyhpeZD2V8iGAdAM8qDPVAgvy7LqbdQBbybnpKgvCu', 'verified': 1, 'share': 0}, {'address': '3eqZxNVEjatz8T48RsRSQGZbSbhxzhGBjQnZF9da3m8r', 'verified': 0, 'share': 100}]",500,BKMT5D92K4g1icTieAyQ2YU8VR8ed59Bk32GyA9q5Jcb,"[{'trait_type': 'Nft Type', 'value': 'Shooting Gun'}, {'trait_type': 'Handle Type', 'value': 'Common'}, {'trait_type': 'Handle Name', 'value': 'Classic Brown'}, {'trait_type': 'Handle Level', 'value': '1/30'}, {'trait_type': 'Barrel Type', 'value': 'Common'}, {'trait_type': 'Barrel Name', 'value': 'Double Brown'}, {'trait_type': 'Barrel Level', 'value': '1/30'}, {'trait_type': 'Charm Type', 'value': 'Uncommon'}, {'trait_type': 'Charm Name', 'value': 'Tractor'}, {'trait_type': 'Charm Level', 'value': '6/50'}, {'trait_type': 'Scope Type', 'value': 'Common'}, {'trait_type': 'Scope Name', 'value': 'Indigo Green'}, {'trait_type': 'Scope Level', 'value': '1/30'}]","{'creators': [{'share': 100, 'address': '3eqZxNVEjatz8T48RsRSQGZbSbhxzhGBjQnZF9da3m8r'}], 'category': 'image', 'files': [{'type': 'image/png', 'uri': 'https://d29mb09d0a2rpx.cloudfront.net/defiland/p2e/2_0_224.jpg'}]}",1,ADUWVbqXZ5PfzfPg6RqdPoyNHcCKBE4wFCmYrtw2v4NN,1,{},False,"{'auctionHouseKey': 'E8cU1WiRWjanGxmn96ewBgk9vPTcL6AEZ1t6F6fkgUWe', 'sellerReferral': 'autMW8SgBkVYeBgqYiTuJZnkvDZMVU2MHJh9Jh7CSQ2', 'expiry': -1}",{}
9,CCBXF1NmE3C5oAh8JgcHyWoowXUUdEp99zTTjJ1ayBj7,0.43,7a7CzzFmu33aa953iBeQompFpU2PHrhnd4cZVrBjZKsT,BNfZ4gsiRFY6g6nyKbRNKuABQUvc3EW1uJ4MxH57qbKg,defiland_gen0,DeFi Land Gen-0 NFTs,https://d29mb09d0a2rpx.cloudfront.net/defiland/p2e/1_0_1042.jpg,Shooting Gun #4121,"DeFi Land Gen-0 Shotguns - Sharpen your aim, craft, trade, rent and enjoy the gameplay in the most unique Play and Earn metaverse.",https://defiland.app,image,"[{'address': '5B9AwfGpR5GRYTipUrFuvishUmPA86R5E1JcGodEsPq1', 'verified': 1, 'share': 0}, {'address': '3eqZxNVEjatz8T48RsRSQGZbSbhxzhGBjQnZF9da3m8r', 'verified': 0, 'share': 100}]",500,9xvHGzr7S5Sc9T2mbb8GsuLogjJc6i6Fd6kk5NsuFkk9,"[{'trait_type': 'Nft Type', 'value': 'Shooting Gun'}, {'trait_type': 'Handle Type', 'value': 'Common'}, {'trait_type': 'Handle Name', 'value': 'Nail-Man Green'}, {'trait_type': 'Handle Level', 'value': '1/30'}, {'trait_type': 'Barrel Type', 'value': 'Common'}, {'trait_type': 'Barrel Name', 'value': 'Single Blue'}, {'trait_type': 'Barrel Level', 'value': '2/30'}, {'trait_type': 'Charm Type', 'value': 'Uncommon'}, {'trait_type': 'Charm Name', 'value': 'Wheel'}, {'trait_type': 'Charm Level', 'value': '5/50'}, {'trait_type': 'Scope Type', 'value': 'Common'}, {'trait_type': 'Scope Name', 'value': 'Sinister Silver'}, {'trait_type': 'Scope Level', 'value': '2/30'}]","{'creators': [{'share': 100, 'address': '3eqZxNVEjatz8T48RsRSQGZbSbhxzhGBjQnZF9da3m8r'}], 'category': 'image', 'files': [{'type': 'image/png', 'uri': 'https://d29mb09d0a2rpx.cloudfront.net/defiland/p2e/1_0_1042.jpg'}]}",1,ADUWVbqXZ5PfzfPg6RqdPoyNHcCKBE4wFCmYrtw2v4NN,1,{},False,"{'auctionHouseKey': 'E8cU1WiRWjanGxmn96ewBgk9vPTcL6AEZ1t6F6fkgUWe', 'sellerReferral': 'autMW8SgBkVYeBgqYiTuJZnkvDZMVU2MHJh9Jh7CSQ2', 'expiry': -1}",{}
10,BJjKuKBEDNCKyLHQC6ovS3cLTnpsJcbDQcRxPHgt4uS7,0.43,EivAmR3v5PsdP8bSHukQN8aVSQbSzGxHDNUbbbwbfgaf,rCZcgKzjnPiAEDB3GYriwwkv98yUd5Gdq3HDasCL7x7,defiland_gen0,DeFi Land Gen-0 NFTs,https://d29mb09d0a2rpx.cloudfront.net/defiland/p2e/4_0_77.jpg,Fishing Rod #4945,"DeFi Land Gen-0 Fishing Rods - Catch a fish to Earn, craft, trade, rent and enjoy the gameplay in the most unique Play and Earn metaverse.",https://defiland.app,image,"[{'address': 'FF1uGW7AUvUBskvWNqda1ehFX1jCkvaUk6FRcbWUEaBw', 'verified': 1, 'share': 0}, {'address': '3eqZxNVEjatz8T48RsRSQGZbSbhxzhGBjQnZF9da3m8r', 'verified': 0, 'share': 100}]",500,6KtCKvEVxgk6ey9m8i2LmcL6G8y83mpq9mvxGhcDQDrz,"[{'trait_type': 'Nft Type', 'value': 'Fishing Rod'}, {'trait_type': 'Float Type', 'value': 'Common'}, {'trait_type': 'Float Name', 'value': 'Wheel Green'}, {'trait_type': 'Float Level', 'value': '1/30'}, {'trait_type': 'Body Type', 'value': 'Uncommon'}, {'trait_type': 'Body Name', 'value': 'Modern Gold'}, {'trait_type': 'Body Level', 'value': '5/50'}, {'trait_type': 'Hook Type', 'value': 'Common'}, {'trait_type': 'Hook Name', 'value': 'Cubic Stone'}, {'trait_type': 'Hook Level', 'value': '1/30'}, {'trait_type': 'Reel Type', 'value': 'Common'}, {'trait_type': 'Reel Name', 'value': 'Basic Blue'}, {'trait_type': 'Reel Level', 'value': '1/30'}]","{'creators': [{'share': 100, 'address': '3eqZxNVEjatz8T48RsRSQGZbSbhxzhGBjQnZF9da3m8r'}], 'category': 'image', 'files': [{'type': 'image/png', 'uri': 'https://d29mb09d0a2rpx.cloudfront.net/defiland/p2e/4_0_77.jpg'}]}",1,ADUWVbqXZ5PfzfPg6RqdPoyNHcCKBE4wFCmYrtw2v4NN,1,{},False,"{'auctionHouseKey': 'E8cU1WiRWjanGxmn96ewBgk9vPTcL6AEZ1t6F6fkgUWe', 'sellerReferral': 'autMW8SgBkVYeBgqYiTuJZnkvDZMVU2MHJh9Jh7CSQ2', 'expiry': -1}",{}
11,ARUectV5Dd89s4i9xMQ6MMizd9ybUbM2kM5AaGgLJ6m4,0.43,Cj4VieVUrAFVCMDsn9VgFMGUqUuioWfm7KX83AxXCiak,9SLdRGJUa1wHUAdQNDKcyQAm9NbRJetqk6vjYcaVYScW,defiland_gen0,DeFi Land Gen-0 NFTs,https://d29mb09d0a2rpx.cloudfront.net/defiland/p2e/3_0_355.jpg,Shooting Gun #4663,"DeFi Land Gen-0 Shotguns - Sharpen your aim, craft, trade, rent and enjoy the gameplay in the most unique Play and Earn metaverse.",https://defiland.app,image,"[{'address': 'DhHpYwT9oy75BB8XXb8Fz6HBLxktwqc1yhUPvcCg5GPB', 'verified': 1, 'share': 0}, {'address': '3eqZxNVEjatz8T48RsRSQGZbSbhxzhGBjQnZF9da3m8r', 'verified': 0, 'share': 100}]",500,76Ym3QHt2KXZYBPvRAMqP1KYo3TKuWQLKgEd1mDn7St3,"[{'trait_type': 'Nft Type', 'value': 'Shooting Gun'}, {'trait_type': 'Handle Type', 'value': 'Common'}, {'trait_type': 'Handle Name', 'value': 'Ivory Brown'}, {'trait_type': 'Handle Level', 'value': '1/30'}, {'trait_type': 'Barrel Type', 'value': 'Common'}, {'trait_type': 'Barrel Name', 'value': 'Rural Blue'}, {'trait_type': 'Barrel Level', 'value': '1/30'}, {'trait_type': 'Charm Type', 'value': 'Uncommon'}, {'trait_type': 'Charm Name', 'value': 'Angle Grinder'}, {'trait_type': 'Charm Level', 'value': '5/50'}, {'trait_type': 'Scope Type', 'value': 'Common'}, {'trait_type': 'Scope Name', 'value': 'Wood Red'}, {'trait_type': 'Scope Level', 'value': '2/30'}]","{'creators': [{'share': 100, 'address': '3eqZxNVEjatz8T48RsRSQGZbSbhxzhGBjQnZF9da3m8r'}], 'category': 'image', 'files': [{'type': 'image/png', 'uri': 'https://d29mb09d0a2rpx.cloudfront.net/defiland/p2e/3_0_355.jpg'}]}",1,ADUWVbqXZ5PfzfPg6RqdPoyNHcCKBE4wFCmYrtw2v4NN,1,{},False,"{'auctionHouseKey': 'E8cU1WiRWjanGxmn96ewBgk9vPTcL6AEZ1t6F6fkgUWe', 'sellerReferral': 'autMW8SgBkVYeBgqYiTuJZnkvDZMVU2MHJh9Jh7CSQ2', 'expiry': -1}",{}
