,id,price,escrowPubkey,owner,collectionName,collectionTitle,img,title,content,animationURL,propertyCategory,creators,sellerFeeBasisPoints,mintAddress,attributes,properties,supply,updateAuthority,primarySaleHappened,onChainCollection,tokenDelegateValid,v2,rarity
0,C4WxQMeXPoDngWQqc7abm3MiG3Nhbt9pWkFmjM6HGubj,37.99,GJLqLNh8sYw6eAXXkJFZiaf2vpyuYbZ6zHteWD4jBG5m,3WaHFhgk2oojwaD2xGQgLpV2ySjbQjD2BziBR7LfVj5C,visionary_studios,Visionary Studios,https://arweave.net/liJYoNwv6oHlxnZzV4K8Du8QTsHwD0mexOwKkwfjm8I,Visionary Studios #644,777 Genesis Membership NFT's for Visionary Studios.,https://arweave.net/OYfAVDKA85OY6zEnrR6_GD4nzqvtsht86GPJptUqw-s,video,"[{'address': '6oNpLuaME2HbAgUK4aPvLoPof5VnUXxJPL1eGa6zAKk8', 'verified': 1, 'share': 0}, {'address': '3Vp72o1PD3pxz4Uwtc7uaRf6RZ6LBrKEv1AgT4MsbTc5', 'verified': 0, 'share': 5}, {'address': 'XKuNQ5Nanm9hMi52yVvA8RhxgKXy6ZTthJK2QgSnntJ', 'verified': 0, 'share': 95}]",1111,86pTPyqhd3MA1ppVraukJsWS3NFWAG2KGQ7WTc62JZ5m,"[{'trait_type': 'Visionary Studios', 'value': 'Genesis Membership'}]","{'files': [{'uri': 'https://arweave.net/OYfAVDKA85OY6zEnrR6_GD4nzqvtsht86GPJptUqw-s', 'type': 'video/mp4'}], 'category': 'video', 'creators': [{'address': '3Vp72o1PD3pxz4Uwtc7uaRf6RZ6LBrKEv1AgT4MsbTc5', 'share': 5}, {'address': 'XKuNQ5Nanm9hMi52yVvA8RhxgKXy6ZTthJK2QgSnntJ', 'share': 95}]}",1,XKuNQ5Nanm9hMi52yVvA8RhxgKXy6ZTthJK2QgSnntJ,1,{},False,"{'auctionHouseKey': 'E8cU1WiRWjanGxmn96ewBgk9vPTcL6AEZ1t6F6fkgUWe', 'sellerReferral': 'autMW8SgBkVYeBgqYiTuJZnkvDZMVU2MHJh9Jh7CSQ2', 'expiry': -1}",{}
1,6wwX5GRx8SRfbwwjsej3TUDA8nZ67qZXR1hmCgiVUub8,38.0,2oq2o85k3JKLmMzT2yXdqaDq27FeSSMxaFH82icDLy8C,qzADqCJpqvmN8SAFbVoHZLGLusyAby7fnKcdkrTiEuj,visionary_studios,Visionary Studios,https://arweave.net/liJYoNwv6oHlxnZzV4K8Du8QTsHwD0mexOwKkwfjm8I,Visionary Studios #630,777 Genesis Membership NFT's for Visionary Studios.,https://arweave.net/OYfAVDKA85OY6zEnrR6_GD4nzqvtsht86GPJptUqw-s,video,"[{'address': '6oNpLuaME2HbAgUK4aPvLoPof5VnUXxJPL1eGa6zAKk8', 'verified': 1, 'share': 0}, {'address': '3Vp72o1PD3pxz4Uwtc7uaRf6RZ6LBrKEv1AgT4MsbTc5', 'verified': 0, 'share': 5}, {'address': 'XKuNQ5Nanm9hMi52yVvA8RhxgKXy6ZTthJK2QgSnntJ', 'verified': 0, 'share': 95}]",1111,9MzBe33jenWRHHUp3UTjkNHb2bSiD9axHAu6vSnQk1B9,"[{'trait_type': 'Visionary Studios', 'value': 'Genesis Membership'}]","{'files': [{'uri': 'https://arweave.net/OYfAVDKA85OY6zEnrR6_GD4nzqvtsht86GPJptUqw-s', 'type': 'video/mp4'}], 'category': 'video', 'creators': [{'address': '3Vp72o1PD3pxz4Uwtc7uaRf6RZ6LBrKEv1AgT4MsbTc5', 'share': 5}, {'address': 'XKuNQ5Nanm9hMi52yVvA8RhxgKXy6ZTthJK2QgSnntJ', 'share': 95}]}",1,XKuNQ5Nanm9hMi52yVvA8RhxgKXy6ZTthJK2QgSnntJ,1,{},False,"{'auctionHouseKey': 'E8cU1WiRWjanGxmn96ewBgk9vPTcL6AEZ1t6F6fkgUWe', 'sellerReferral': 'autMW8SgBkVYeBgqYiTuJZnkvDZMVU2MHJh9Jh7CSQ2', 'expiry': -1}",{}
2,GigQahAY3BJA7oYbuUsDeqzy2YF2h2MU8eZmMF8isbNz,38.0,GqdEGc8QXVwbWhUzmQNtHs3bPj51BzzuyCZA9ncTd6KF,GMw69EccHLY6ZssQUuBCZ19xaK7a4H8G86v7CjyW4nRM,visionary_studios,Visionary Studios,https://arweave.net/liJYoNwv6oHlxnZzV4K8Du8QTsHwD0mexOwKkwfjm8I,Visionary Studios #316,777 Genesis Membership NFT's for Visionary Studios.,https://arweave.net/OYfAVDKA85OY6zEnrR6_GD4nzqvtsht86GPJptUqw-s,video,"[{'address': '6oNpLuaME2HbAgUK4aPvLoPof5VnUXxJPL1eGa6zAKk8', 'verified': 1, 'share': 0}, {'address': '3Vp72o1PD3pxz4Uwtc7uaRf6RZ6LBrKEv1AgT4MsbTc5', 'verified': 0, 'share': 5}, {'address': 'XKuNQ5Nanm9hMi52yVvA8RhxgKXy6ZTthJK2QgSnntJ', 'verified': 0, 'share': 95}]",1111,7KYPKHDj1QfN5RvekTwwoLbYLXJZ4fQnXfzFnA6kKZq,"[{'trait_type': 'Visionary Studios', 'value': 'Genesis Membership'}]","{'files': [{'uri': 'https://arweave.net/OYfAVDKA85OY6zEnrR6_GD4nzqvtsht86GPJptUqw-s', 'type': 'video/mp4'}], 'category': 'video', 'creators': [{'address': '3Vp72o1PD3pxz4Uwtc7uaRf6RZ6LBrKEv1AgT4MsbTc5', 'share': 5}, {'address': 'XKuNQ5Nanm9hMi52yVvA8RhxgKXy6ZTthJK2QgSnntJ', 'share': 95}]}",1,XKuNQ5Nanm9hMi52yVvA8RhxgKXy6ZTthJK2QgSnntJ,1,{},False,"{'auctionHouseKey': 'E8cU1WiRWjanGxmn96ewBgk9vPTcL6AEZ1t6F6fkgUWe', 'sellerReferral': 'autMW8SgBkVYeBgqYiTuJZnkvDZMVU2MHJh9Jh7CSQ2', 'expiry': -1}",{}
3,8UgMYk27jX1Cm1cim7fiZtCUC9h5MpjQveGrK2LUz5zq,39.5,6oEHHoZVPFmzTPuKisMugGivtFmcHLMH6zeThnnqLq9B,B6r9Ag79gy36x81DYXtQEKyRERTwAmexrmZSn14asFah,visionary_studios,Visionary Studios,https://arweave.net/liJYoNwv6oHlxnZzV4K8Du8QTsHwD0mexOwKkwfjm8I,Visionary Studios #717,777 Genesis Membership NFT's for Visionary Studios.,https://arweave.net/OYfAVDKA85OY6zEnrR6_GD4nzqvtsht86GPJptUqw-s,video,"[{'address': '6oNpLuaME2HbAgUK4aPvLoPof5VnUXxJPL1eGa6zAKk8', 'verified': 1, 'share': 0}, {'address': '3Vp72o1PD3pxz4Uwtc7uaRf6RZ6LBrKEv1AgT4MsbTc5', 'verified': 0, 'share': 5}, {'address': 'XKuNQ5Nanm9hMi52yVvA8RhxgKXy6ZTthJK2QgSnntJ', 'verified': 0, 'share': 95}]",1111,4bh8HCGfJKE2MuVzixEJ8x5u8ZbMn2caMWfQjgszdhad,"[{'trait_type': 'Visionary Studios', 'value': 'Genesis Membership'}]","{'files': [{'uri': 'https://arweave.net/OYfAVDKA85OY6zEnrR6_GD4nzqvtsht86GPJptUqw-s', 'type': 'video/mp4'}], 'category': 'video', 'creators': [{'address': '3Vp72o1PD3pxz4Uwtc7uaRf6RZ6LBrKEv1AgT4MsbTc5', 'share': 5}, {'address': 'XKuNQ5Nanm9hMi52yVvA8RhxgKXy6ZTthJK2QgSnntJ', 'share': 95}]}",1,XKuNQ5Nanm9hMi52yVvA8RhxgKXy6ZTthJK2QgSnntJ,1,{},False,"{'auctionHouseKey': 'E8cU1WiRWjanGxmn96ewBgk9vPTcL6AEZ1t6F6fkgUWe', 'sellerReferral': 'autMW8SgBkVYeBgqYiTuJZnkvDZMVU2MHJh9Jh7CSQ2', 'expiry': -1}",{}
4,9A2hRvftTQUZJC1Cj5Te82MCRQVMeTYYqVXFJg5XJv49,39.69,BaEaZbe6W8zR7ExVsszreW2583XjRY5U1obfmKHhN2JX,GZZtZDsrgziLqdSh3et5TzbQBfxmWWeET3d7d3WTAQXP,visionary_studios,Visionary Studios,https://arweave.net/liJYoNwv6oHlxnZzV4K8Du8QTsHwD0mexOwKkwfjm8I,Visionary Studios #532,777 Genesis Membership NFT's for Visionary Studios.,https://arweave.net/OYfAVDKA85OY6zEnrR6_GD4nzqvtsht86GPJptUqw-s,video,"[{'address': '6oNpLuaME2HbAgUK4aPvLoPof5VnUXxJPL1eGa6zAKk8', 'verified': 1, 'share': 0}, {'address': '3Vp72o1PD3pxz4Uwtc7uaRf6RZ6LBrKEv1AgT4MsbTc5', 'verified': 0, 'share': 5}, {'address': 'XKuNQ5Nanm9hMi52yVvA8RhxgKXy6ZTthJK2QgSnntJ', 'verified': 0, 'share': 95}]",1111,7DcJ5oCXXihVJ3DuLY5ZCVjvG4f92mMSdEmgn53TyR8E,"[{'trait_type': 'Visionary Studios', 'value': 'Genesis Membership'}]","{'files': [{'uri': 'https://arweave.net/OYfAVDKA85OY6zEnrR6_GD4nzqvtsht86GPJptUqw-s', 'type': 'video/mp4'}], 'category': 'video', 'creators': [{'address': '3Vp72o1PD3pxz4Uwtc7uaRf6RZ6LBrKEv1AgT4MsbTc5', 'share': 5}, {'address': 'XKuNQ5Nanm9hMi52yVvA8RhxgKXy6ZTthJK2QgSnntJ', 'share': 95}]}",1,XKuNQ5Nanm9hMi52yVvA8RhxgKXy6ZTthJK2QgSnntJ,1,{},False,"{'auctionHouseKey': 'E8cU1WiRWjanGxmn96ewBgk9vPTcL6AEZ1t6F6fkgUWe', 'sellerReferral': 'autMW8SgBkVYeBgqYiTuJZnkvDZMVU2MHJh9Jh7CSQ2', 'expiry': -1}",{}
5,MaU2sbNVuLe2yWuVU5QpD7hvMpSxkMfrq16mHEXtRS3,40.0,Gqd91GZHhQzZ8496Bnchn6HnCUVeFefF9oe6Y8S3f2kr,5KYsrdS3RSNAM2JGNfaqmTgpXpKc5KXjhNMtAw6HJhgb,visionary_studios,Visionary Studios,https://arweave.net/liJYoNwv6oHlxnZzV4K8Du8QTsHwD0mexOwKkwfjm8I,Visionary Studios #747,777 Genesis Membership NFT's for Visionary Studios.,https://arweave.net/OYfAVDKA85OY6zEnrR6_GD4nzqvtsht86GPJptUqw-s,video,"[{'address': '6oNpLuaME2HbAgUK4aPvLoPof5VnUXxJPL1eGa6zAKk8', 'verified': 1, 'share': 0}, {'address': '3Vp72o1PD3pxz4Uwtc7uaRf6RZ6LBrKEv1AgT4MsbTc5', 'verified': 0, 'share': 5}, {'address': 'XKuNQ5Nanm9hMi52yVvA8RhxgKXy6ZTthJK2QgSnntJ', 'verified': 0, 'share': 95}]",1111,Hwjw16tbaaFNeCd1TPweGqKUzMXRA5duKprFh1GjuJ2g,"[{'trait_type': 'Visionary Studios', 'value': 'Genesis Membership'}]","{'files': [{'uri': 'https://arweave.net/OYfAVDKA85OY6zEnrR6_GD4nzqvtsht86GPJptUqw-s', 'type': 'video/mp4'}], 'category': 'video', 'creators': [{'address': '3Vp72o1PD3pxz4Uwtc7uaRf6RZ6LBrKEv1AgT4MsbTc5', 'share': 5}, {'address': 'XKuNQ5Nanm9hMi52yVvA8RhxgKXy6ZTthJK2QgSnntJ', 'share': 95}]}",1,XKuNQ5Nanm9hMi52yVvA8RhxgKXy6ZTthJK2QgSnntJ,1,{},False,"{'auctionHouseKey': 'E8cU1WiRWjanGxmn96ewBgk9vPTcL6AEZ1t6F6fkgUWe', 'sellerReferral': 'autMW8SgBkVYeBgqYiTuJZnkvDZMVU2MHJh9Jh7CSQ2', 'expiry': -1}",{}
6,CW9MS2m5cUYZWMK9AAtpYWo9p5g9Ze7nc5G5ssCiUGLT,42.0,BBsTbDLSBcmELsNTN6NFZ5fU3mPUVyn5ZmWPbB9CHZ6Z,3abAthvF1WcmskNT8k8pgT8dka4rdxyi7RDMmWoYPLip,visionary_studios,Visionary Studios,https://arweave.net/liJYoNwv6oHlxnZzV4K8Du8QTsHwD0mexOwKkwfjm8I,Visionary Studios #275,777 Genesis Membership NFT's for Visionary Studios.,https://arweave.net/OYfAVDKA85OY6zEnrR6_GD4nzqvtsht86GPJptUqw-s,video,"[{'address': '6oNpLuaME2HbAgUK4aPvLoPof5VnUXxJPL1eGa6zAKk8', 'verified': 1, 'share': 0}, {'address': '3Vp72o1PD3pxz4Uwtc7uaRf6RZ6LBrKEv1AgT4MsbTc5', 'verified': 0, 'share': 5}, {'address': 'XKuNQ5Nanm9hMi52yVvA8RhxgKXy6ZTthJK2QgSnntJ', 'verified': 0, 'share': 95}]",1111,Epgkyj67JNy3DoLA98rQAuZEKUaGc1gv1Ps9Qg3Hm1Wg,"[{'trait_type': 'Visionary Studios', 'value': 'Genesis Membership'}]","{'files': [{'uri': 'https://arweave.net/OYfAVDKA85OY6zEnrR6_GD4nzqvtsht86GPJptUqw-s', 'type': 'video/mp4'}], 'category': 'video', 'creators': [{'address': '3Vp72o1PD3pxz4Uwtc7uaRf6RZ6LBrKEv1AgT4MsbTc5', 'share': 5}, {'address': 'XKuNQ5Nanm9hMi52yVvA8RhxgKXy6ZTthJK2QgSnntJ', 'share': 95}]}",1,XKuNQ5Nanm9hMi52yVvA8RhxgKXy6ZTthJK2QgSnntJ,1,{},False,"{'auctionHouseKey': 'E8cU1WiRWjanGxmn96ewBgk9vPTcL6AEZ1t6F6fkgUWe', 'sellerReferral': 'autMW8SgBkVYeBgqYiTuJZnkvDZMVU2MHJh9Jh7CSQ2', 'expiry': -1}",{}
7,BYeibYkdAcUhqBayF5WYHBqBhRVkjy6ZM391cP8EE4fK,44.5,HnDBWqzG26eUzuuGsFmevEE3NLRtPbSvWN5gZDzehZUS,G7DWVjvKjxaZYuYUL9GP94Ai6BN4nJ2qoqkoqpgPHH3W,visionary_studios,Visionary Studios,https://arweave.net/liJYoNwv6oHlxnZzV4K8Du8QTsHwD0mexOwKkwfjm8I,Visionary Studios #704,777 Genesis Membership NFT's for Visionary Studios.,https://arweave.net/OYfAVDKA85OY6zEnrR6_GD4nzqvtsht86GPJptUqw-s,video,"[{'address': '6oNpLuaME2HbAgUK4aPvLoPof5VnUXxJPL1eGa6zAKk8', 'verified': 1, 'share': 0}, {'address': '3Vp72o1PD3pxz4Uwtc7uaRf6RZ6LBrKEv1AgT4MsbTc5', 'verified': 0, 'share': 5}, {'address': 'XKuNQ5Nanm9hMi52yVvA8RhxgKXy6ZTthJK2QgSnntJ', 'verified': 0, 'share': 95}]",1111,3H4n325soAmrwsuEirGEsPqSmxkGxZSd7AUfFAfSSA3k,"[{'trait_type': 'Visionary Studios', 'value': 'Genesis Membership'}]","{'files': [{'uri': 'https://arweave.net/OYfAVDKA85OY6zEnrR6_GD4nzqvtsht86GPJptUqw-s', 'type': 'video/mp4'}], 'category': 'video', 'creators': [{'address': '3Vp72o1PD3pxz4Uwtc7uaRf6RZ6LBrKEv1AgT4MsbTc5', 'share': 5}, {'address': 'XKuNQ5Nanm9hMi52yVvA8RhxgKXy6ZTthJK2QgSnntJ', 'share': 95}]}",1,XKuNQ5Nanm9hMi52yVvA8RhxgKXy6ZTthJK2QgSnntJ,1,{},False,"{'auctionHouseKey': 'E8cU1WiRWjanGxmn96ewBgk9vPTcL6AEZ1t6F6fkgUWe', 'sellerReferral': 'autMW8SgBkVYeBgqYiTuJZnkvDZMVU2MHJh9Jh7CSQ2', 'expiry': -1}",{}
8,8NTBw9vY1PkgsxmdAG4Heh7KZF9jwNSn9xE5kxG1e3vo,45.0,514hvDGG9ck6gmdzw1boFQF5MitkvVgwdQzPDhUELXFZ,BWKXPEAz1QSfXtW6BJTJxEPCpBNfAUtxwBbgPrchBGpS,visionary_studios,Visionary Studios,https://arweave.net/liJYoNwv6oHlxnZzV4K8Du8QTsHwD0mexOwKkwfjm8I,Visionary Studios #640,777 Genesis Membership NFT's for Visionary Studios.,https://arweave.net/OYfAVDKA85OY6zEnrR6_GD4nzqvtsht86GPJptUqw-s,video,"[{'address': '6oNpLuaME2HbAgUK4aPvLoPof5VnUXxJPL1eGa6zAKk8', 'verified': 1, 'share': 0}, {'address': '3Vp72o1PD3pxz4Uwtc7uaRf6RZ6LBrKEv1AgT4MsbTc5', 'verified': 0, 'share': 5}, {'address': 'XKuNQ5Nanm9hMi52yVvA8RhxgKXy6ZTthJK2QgSnntJ', 'verified': 0, 'share': 95}]",1111,EXoaPs94jX1pRJyuwdJeUCow1a4RoGawuV8kw9QuW18X,"[{'trait_type': 'Visionary Studios', 'value': 'Genesis Membership'}]","{'files': [{'uri': 'https://arweave.net/OYfAVDKA85OY6zEnrR6_GD4nzqvtsht86GPJptUqw-s', 'type': 'video/mp4'}], 'category': 'video', 'creators': [{'address': '3Vp72o1PD3pxz4Uwtc7uaRf6RZ6LBrKEv1AgT4MsbTc5', 'share': 5}, {'address': 'XKuNQ5Nanm9hMi52yVvA8RhxgKXy6ZTthJK2QgSnntJ', 'share': 95}]}",1,XKuNQ5Nanm9hMi52yVvA8RhxgKXy6ZTthJK2QgSnntJ,1,{},False,"{'auctionHouseKey': 'E8cU1WiRWjanGxmn96ewBgk9vPTcL6AEZ1t6F6fkgUWe', 'sellerReferral': 'autMW8SgBkVYeBgqYiTuJZnkvDZMVU2MHJh9Jh7CSQ2', 'expiry': -1}",{}
9,DQBwRdVgAEMuACc9kgBNm3Um2haToF68gce9s3g3UCAp,50.0,CMaMMSZsRbdVKxpYdFkkhX1RbtRdeaiLDUuHaPHEiCw,8wvJpr8JG6gcU5X8Dni6RNdi4iBMH7UnRCvtNgvbgsWZ,visionary_studios,Visionary Studios,https://arweave.net/liJYoNwv6oHlxnZzV4K8Du8QTsHwD0mexOwKkwfjm8I,Visionary Studios #451,777 Genesis Membership NFT's for Visionary Studios.,https://arweave.net/OYfAVDKA85OY6zEnrR6_GD4nzqvtsht86GPJptUqw-s,video,"[{'address': '6oNpLuaME2HbAgUK4aPvLoPof5VnUXxJPL1eGa6zAKk8', 'verified': 1, 'share': 0}, {'address': '3Vp72o1PD3pxz4Uwtc7uaRf6RZ6LBrKEv1AgT4MsbTc5', 'verified': 0, 'share': 5}, {'address': 'XKuNQ5Nanm9hMi52yVvA8RhxgKXy6ZTthJK2QgSnntJ', 'verified': 0, 'share': 95}]",1111,RXisViwbRmasy5EhcPiVXWgZae6ugezyojxtvSCtd3m,"[{'trait_type': 'Visionary Studios', 'value': 'Genesis Membership'}]","{'files': [{'uri': 'https://arweave.net/OYfAVDKA85OY6zEnrR6_GD4nzqvtsht86GPJptUqw-s', 'type': 'video/mp4'}], 'category': 'video', 'creators': [{'address': '3Vp72o1PD3pxz4Uwtc7uaRf6RZ6LBrKEv1AgT4MsbTc5', 'share': 5}, {'address': 'XKuNQ5Nanm9hMi52yVvA8RhxgKXy6ZTthJK2QgSnntJ', 'share': 95}]}",1,XKuNQ5Nanm9hMi52yVvA8RhxgKXy6ZTthJK2QgSnntJ,1,{},False,"{'auctionHouseKey': 'E8cU1WiRWjanGxmn96ewBgk9vPTcL6AEZ1t6F6fkgUWe', 'sellerReferral': 'autMW8SgBkVYeBgqYiTuJZnkvDZMVU2MHJh9Jh7CSQ2', 'expiry': -1}",{}
10,HutBxXRrUbarqWWFm2kww5sEi9uUjFuNvB4vCWG5CjNE,50.0,HYSGnCSZ1Xnj7vToT2McMmpat5fNuaQS1eQVrfDuDhGs,3iMNngRUK8W1Pfrsj3gAxbPuQXmcb3QJtHzDtdH811Qj,visionary_studios,Visionary Studios,https://arweave.net/liJYoNwv6oHlxnZzV4K8Du8QTsHwD0mexOwKkwfjm8I,Visionary Studios #563,777 Genesis Membership NFT's for Visionary Studios.,https://arweave.net/OYfAVDKA85OY6zEnrR6_GD4nzqvtsht86GPJptUqw-s,video,"[{'address': '6oNpLuaME2HbAgUK4aPvLoPof5VnUXxJPL1eGa6zAKk8', 'verified': 1, 'share': 0}, {'address': '3Vp72o1PD3pxz4Uwtc7uaRf6RZ6LBrKEv1AgT4MsbTc5', 'verified': 0, 'share': 5}, {'address': 'XKuNQ5Nanm9hMi52yVvA8RhxgKXy6ZTthJK2QgSnntJ', 'verified': 0, 'share': 95}]",1111,BfrsNAzusFg72urmSVP1q1Qv8KbE3uBzCfavt5qkMU78,"[{'trait_type': 'Visionary Studios', 'value': 'Genesis Membership'}]","{'files': [{'uri': 'https://arweave.net/OYfAVDKA85OY6zEnrR6_GD4nzqvtsht86GPJptUqw-s', 'type': 'video/mp4'}], 'category': 'video', 'creators': [{'address': '3Vp72o1PD3pxz4Uwtc7uaRf6RZ6LBrKEv1AgT4MsbTc5', 'share': 5}, {'address': 'XKuNQ5Nanm9hMi52yVvA8RhxgKXy6ZTthJK2QgSnntJ', 'share': 95}]}",1,XKuNQ5Nanm9hMi52yVvA8RhxgKXy6ZTthJK2QgSnntJ,1,{},False,"{'auctionHouseKey': 'E8cU1WiRWjanGxmn96ewBgk9vPTcL6AEZ1t6F6fkgUWe', 'sellerReferral': 'autMW8SgBkVYeBgqYiTuJZnkvDZMVU2MHJh9Jh7CSQ2', 'expiry': -1}",{}
11,HNwwyxgEQbTNhpGTeQ6ZLTZ8vWUf7kpmQkQgkjQzMaZZ,50.0,9ZAGqKUzDLq6rZ2NkJ6iDgwXVEE2K9mdsG3jgnGgRNpe,3iMNngRUK8W1Pfrsj3gAxbPuQXmcb3QJtHzDtdH811Qj,visionary_studios,Visionary Studios,https://arweave.net/liJYoNwv6oHlxnZzV4K8Du8QTsHwD0mexOwKkwfjm8I,Visionary Studios #136,777 Genesis Membership NFT's for Visionary Studios.,https://arweave.net/OYfAVDKA85OY6zEnrR6_GD4nzqvtsht86GPJptUqw-s,video,"[{'address': '6oNpLuaME2HbAgUK4aPvLoPof5VnUXxJPL1eGa6zAKk8', 'verified': 1, 'share': 0}, {'address': '3Vp72o1PD3pxz4Uwtc7uaRf6RZ6LBrKEv1AgT4MsbTc5', 'verified': 0, 'share': 5}, {'address': 'XKuNQ5Nanm9hMi52yVvA8RhxgKXy6ZTthJK2QgSnntJ', 'verified': 0, 'share': 95}]",1111,4LmkUs279jTugWfoJFJxvb8EJqqosMGStaRVpKqxFyeW,"[{'trait_type': 'Visionary Studios', 'value': 'Genesis Membership'}]","{'files': [{'uri': 'https://arweave.net/OYfAVDKA85OY6zEnrR6_GD4nzqvtsht86GPJptUqw-s', 'type': 'video/mp4'}], 'category': 'video', 'creators': [{'address': '3Vp72o1PD3pxz4Uwtc7uaRf6RZ6LBrKEv1AgT4MsbTc5', 'share': 5}, {'address': 'XKuNQ5Nanm9hMi52yVvA8RhxgKXy6ZTthJK2QgSnntJ', 'share': 95}]}",1,XKuNQ5Nanm9hMi52yVvA8RhxgKXy6ZTthJK2QgSnntJ,1,{},False,"{'auctionHouseKey': 'E8cU1WiRWjanGxmn96ewBgk9vPTcL6AEZ1t6F6fkgUWe', 'sellerReferral': 'autMW8SgBkVYeBgqYiTuJZnkvDZMVU2MHJh9Jh7CSQ2', 'expiry': -1}",{}
