,id,price,escrowPubkey,owner,collectionName,collectionTitle,img,title,content,externalURL,propertyCategory,creators,sellerFeeBasisPoints,mintAddress,attributes,properties,supply,updateAuthority,primarySaleHappened,onChainCollection,tokenDelegateValid,v2,rarity
0,GUkZUMAqPDHExSMviFMBVw7bnbYFjk3xos71qspKvamn,1.95,4QjHJHk8wHgbJqqowWTwwd2xiXETLKn3URL5sbDyNSTq,57VZmfH8DC6hKk4YLCK1gR6cBZxdwDEUMWvzqxbLUsC,curedlabs,Cursed Labs,https://www.arweave.net/-1NatjXt0iiFMrwPyCABMMgLNoLP78gDokLwZCVc57c?ext=png,Cursed Labs #694,"Cursed Labs is a unique collection of Test, Tubes, Vials, Jars, and Scientists that rewards 80% of its entire net business revenue to its holders. Each NFT staked has its own $ZION yield based on tier and can be stacked with (4) 100% Cursed Token multipliers for maximum yield.",,image,"[{'address': '2kAJ9ysjdxx4Sc3SEokcGCv2ZGvZkoCRgnZcRXQv17WU', 'verified': 1, 'share': 0}, {'address': 'DU7Ek8xSiJXf4wdb9WVm5uEd9XL9njiYnQpGKPc17qgA', 'verified': 0, 'share': 100}]",1000,G4a9VjTwGzPom2ax48JHihtgw7dB3P7csuEauVZ2pgj1,"[{'trait_type': 'Background', 'value': 'Pixel Blue'}, {'trait_type': 'Zion Payout', 'value': 'Tier 1'}, {'trait_type': 'Scientist', 'value': 'zombie blue'}]","{'files': [{'uri': 'https://www.arweave.net/-1NatjXt0iiFMrwPyCABMMgLNoLP78gDokLwZCVc57c?ext=png', 'type': 'image/png'}], 'category': 'image', 'creators': [{'address': 'DU7Ek8xSiJXf4wdb9WVm5uEd9XL9njiYnQpGKPc17qgA', 'share': 100}]}",1,HoQk7sibph3ZUjurU1k2GGL7hDXaL8TjLeEmngQ1o4Vy,1,{},False,"{'auctionHouseKey': 'E8cU1WiRWjanGxmn96ewBgk9vPTcL6AEZ1t6F6fkgUWe', 'sellerReferral': 'autMW8SgBkVYeBgqYiTuJZnkvDZMVU2MHJh9Jh7CSQ2', 'expiry': -1}",{}
1,BuTeHETCyEijDEDD3uZjLQsYRk2fqbgjkhDy3mioQUZi,1.97,E2WWNgRhS1aEgtnT3QGhZTdHwdksXfTKWfPw4Phg5B5f,H87ej5SvMGCvAqu973fLfcSebRYHjNeywaAGUBQVpfP5,curedlabs,Cursed Labs,https://www.arweave.net/fpQP8GGpoMzHOUTJK5BsHlTKg5VUQgO6YSzM4eS7hCA?ext=png,Cursed Labs #1003,"Cursed Labs is a unique collection of Test, Tubes, Vials, Jars, and Scientists that rewards 80% of its entire net business revenue to its holders. Each NFT staked has its own $ZION yield based on tier and can be stacked with (4) 100% Cursed Token multipliers for maximum yield.",,image,"[{'address': '2kAJ9ysjdxx4Sc3SEokcGCv2ZGvZkoCRgnZcRXQv17WU', 'verified': 1, 'share': 0}, {'address': 'DU7Ek8xSiJXf4wdb9WVm5uEd9XL9njiYnQpGKPc17qgA', 'verified': 0, 'share': 100}]",1000,CreyEe82jKqUKRsxU8bPhkr72PaRaMn6EEX3LrsKePex,"[{'trait_type': 'Background', 'value': 'Pixel Green'}, {'trait_type': 'Zion Payout', 'value': 'Tier 1'}, {'trait_type': 'Scientist', 'value': 'alien purple slime'}]","{'files': [{'uri': 'https://www.arweave.net/fpQP8GGpoMzHOUTJK5BsHlTKg5VUQgO6YSzM4eS7hCA?ext=png', 'type': 'image/png'}], 'category': 'image', 'creators': [{'address': 'DU7Ek8xSiJXf4wdb9WVm5uEd9XL9njiYnQpGKPc17qgA', 'share': 100}]}",1,HoQk7sibph3ZUjurU1k2GGL7hDXaL8TjLeEmngQ1o4Vy,1,{},False,"{'auctionHouseKey': 'E8cU1WiRWjanGxmn96ewBgk9vPTcL6AEZ1t6F6fkgUWe', 'sellerReferral': 'autMW8SgBkVYeBgqYiTuJZnkvDZMVU2MHJh9Jh7CSQ2', 'expiry': -1}",{}
2,5THQzwDT56Lj6UXzhzPZpWSDWipKZ5qKDfdZwxSYJBjW,1.98,ABSWxkJV575NCnLFHiCZh8EykdDS5Ukc4esdcgFfP91o,H87ej5SvMGCvAqu973fLfcSebRYHjNeywaAGUBQVpfP5,curedlabs,Cursed Labs,https://www.arweave.net/5HSaex_UjPQRqSqMqOIDB-Hh_4mcvx94IdX4n0Wj960?ext=png,Cursed Labs #3614,"Cursed Labs is a unique collection of Test, Tubes, Vials, Jars, and Scientists that rewards 80% of its entire net business revenue to its holders. Each NFT staked has its own $ZION yield based on tier and can be stacked with (4) 100% Cursed Token multipliers for maximum yield.",,image,"[{'address': '2kAJ9ysjdxx4Sc3SEokcGCv2ZGvZkoCRgnZcRXQv17WU', 'verified': 1, 'share': 0}, {'address': 'DU7Ek8xSiJXf4wdb9WVm5uEd9XL9njiYnQpGKPc17qgA', 'verified': 0, 'share': 100}]",1000,BBP5L9HAyqhoNGWYnu3iRc5TBXH632DPrRjHqwjCDbG3,"[{'trait_type': 'Background', 'value': 'SuperNova Blue'}, {'trait_type': 'Zion Payout', 'value': 'Tier 1'}, {'trait_type': 'Scientist', 'value': 'zombie yellow eyeball'}]","{'files': [{'uri': 'https://www.arweave.net/5HSaex_UjPQRqSqMqOIDB-Hh_4mcvx94IdX4n0Wj960?ext=png', 'type': 'image/png'}], 'category': 'image', 'creators': [{'address': 'DU7Ek8xSiJXf4wdb9WVm5uEd9XL9njiYnQpGKPc17qgA', 'share': 100}]}",1,HoQk7sibph3ZUjurU1k2GGL7hDXaL8TjLeEmngQ1o4Vy,1,{},False,"{'auctionHouseKey': 'E8cU1WiRWjanGxmn96ewBgk9vPTcL6AEZ1t6F6fkgUWe', 'sellerReferral': 'autMW8SgBkVYeBgqYiTuJZnkvDZMVU2MHJh9Jh7CSQ2', 'expiry': -1}",{}
3,8D7cKRQVuh5QqWrmQZDBYmgjkgXLeei7zAnGkP7ehAAQ,1.99,AMpmCno8K3MzWhhDvuMFDy5HMTiBooNddeGohX6AGUYU,DHVtpnEjKfgr3cG9T4sz3DxqbaKgnmQnHBxnitXoSGGN,curedlabs,Cursed Labs,https://www.arweave.net/NZNUyPFlMVHvMhp9diK4L1mC-clt2sgul-OJhzKIbvM?ext=png,Cursed Labs #4764,"Cursed Labs is a unique collection of Test, Tubes, Vials, Jars, and Scientists that rewards 80% of its entire net business revenue to its holders. Each NFT staked has its own $ZION yield based on tier and can be stacked with (4) 100% Cursed Token multipliers for maximum yield.",,image,"[{'address': '2kAJ9ysjdxx4Sc3SEokcGCv2ZGvZkoCRgnZcRXQv17WU', 'verified': 1, 'share': 0}, {'address': 'DU7Ek8xSiJXf4wdb9WVm5uEd9XL9njiYnQpGKPc17qgA', 'verified': 0, 'share': 100}]",1000,2uVcQwT6bids9X7WxKTbH8K6WeiSZkwbT3rNGsrzVKod,"[{'trait_type': 'Background', 'value': 'Purple'}, {'trait_type': 'Zion Payout', 'value': 'Tier 1'}, {'trait_type': 'Scientist', 'value': 'cat yellow'}]","{'files': [{'uri': 'https://www.arweave.net/NZNUyPFlMVHvMhp9diK4L1mC-clt2sgul-OJhzKIbvM?ext=png', 'type': 'image/png'}], 'category': 'image', 'creators': [{'address': 'DU7Ek8xSiJXf4wdb9WVm5uEd9XL9njiYnQpGKPc17qgA', 'share': 100}]}",1,HoQk7sibph3ZUjurU1k2GGL7hDXaL8TjLeEmngQ1o4Vy,1,{},False,"{'auctionHouseKey': 'E8cU1WiRWjanGxmn96ewBgk9vPTcL6AEZ1t6F6fkgUWe', 'sellerReferral': 'autMW8SgBkVYeBgqYiTuJZnkvDZMVU2MHJh9Jh7CSQ2', 'expiry': -1}",{}
4,GrGMcDTCLi9jL2TbpzcRK6p7EJwmCdJqpGkNy1FxfDfr,2.0,5XCKVvHYi7ibM5QNoXDM7UgZg8sRzyymgUEubwZ7QHBg,H87ej5SvMGCvAqu973fLfcSebRYHjNeywaAGUBQVpfP5,curedlabs,Cursed Labs,https://www.arweave.net/H8131s6NLaZ7HBuZwV9DAl_tFbTuZIQWIMIzmAZ5JnM?ext=png,Cursed Labs #4661,"Cursed Labs is a unique collection of Test, Tubes, Vials, Jars, and Scientists that rewards 80% of its entire net business revenue to its holders. Each NFT staked has its own $ZION yield based on tier and can be stacked with (4) 100% Cursed Token multipliers for maximum yield.",,image,"[{'address': '2kAJ9ysjdxx4Sc3SEokcGCv2ZGvZkoCRgnZcRXQv17WU', 'verified': 1, 'share': 0}, {'address': 'DU7Ek8xSiJXf4wdb9WVm5uEd9XL9njiYnQpGKPc17qgA', 'verified': 0, 'share': 100}]",1000,AbjpsoQQMTAJXKYXcpNoQrNJV9RXCmkxQA7kZ7PesBCU,"[{'trait_type': 'Background', 'value': 'Purple'}, {'trait_type': 'Zion Payout', 'value': 'Tier 1'}, {'trait_type': 'Scientist', 'value': 'alien green eyeball'}]","{'files': [{'uri': 'https://www.arweave.net/H8131s6NLaZ7HBuZwV9DAl_tFbTuZIQWIMIzmAZ5JnM?ext=png', 'type': 'image/png'}], 'category': 'image', 'creators': [{'address': 'DU7Ek8xSiJXf4wdb9WVm5uEd9XL9njiYnQpGKPc17qgA', 'share': 100}]}",1,HoQk7sibph3ZUjurU1k2GGL7hDXaL8TjLeEmngQ1o4Vy,1,{},False,"{'auctionHouseKey': 'E8cU1WiRWjanGxmn96ewBgk9vPTcL6AEZ1t6F6fkgUWe', 'sellerReferral': 'autMW8SgBkVYeBgqYiTuJZnkvDZMVU2MHJh9Jh7CSQ2', 'expiry': -1}",{}
5,3dC3eTknS2dnQgEFCzm4x88eLsV9svaP4cZzNVeFmLxq,2.0,BHugmm9sB45bRcPmZMpF9cbRtymqShAVt764NK1VC6qh,BbiCtb7dNRhTQcAmxkrSjqMXJaGqRfWWJw9DWGDfRS9z,curedlabs,Cursed Labs,https://www.arweave.net/ZW6vE_rcGaC9NUY3xSusIbbTQ7wtoK9zY6obhpZzQfA?ext=png,Cursed Labs #3021,"Cursed Labs is a unique collection of Test, Tubes, Vials, Jars, and Scientists that rewards 80% of its entire net business revenue to its holders. Each NFT staked has its own $ZION yield based on tier and can be stacked with (4) 100% Cursed Token multipliers for maximum yield.",,image,"[{'address': '2kAJ9ysjdxx4Sc3SEokcGCv2ZGvZkoCRgnZcRXQv17WU', 'verified': 1, 'share': 0}, {'address': 'DU7Ek8xSiJXf4wdb9WVm5uEd9XL9njiYnQpGKPc17qgA', 'verified': 0, 'share': 100}]",1000,GbUat3VoCeNxvPHgLxviAbbDzj4k9cC7YP9DnVSUHmgQ,"[{'trait_type': 'Background', 'value': 'Purple'}, {'trait_type': 'Zion Payout', 'value': 'Tier 1'}, {'trait_type': 'Scientist', 'value': 'robot gradient'}]","{'files': [{'uri': 'https://www.arweave.net/ZW6vE_rcGaC9NUY3xSusIbbTQ7wtoK9zY6obhpZzQfA?ext=png', 'type': 'image/png'}], 'category': 'image', 'creators': [{'address': 'DU7Ek8xSiJXf4wdb9WVm5uEd9XL9njiYnQpGKPc17qgA', 'share': 100}]}",1,HoQk7sibph3ZUjurU1k2GGL7hDXaL8TjLeEmngQ1o4Vy,1,{},False,"{'auctionHouseKey': 'E8cU1WiRWjanGxmn96ewBgk9vPTcL6AEZ1t6F6fkgUWe', 'sellerReferral': 'autMW8SgBkVYeBgqYiTuJZnkvDZMVU2MHJh9Jh7CSQ2', 'expiry': -1}",{}
6,63hYg1i2v1mKHHKMqbYEbQLJZR2jtnFAzmdhk4k9bZRQ,2.0,t2pPg1TG2MEXJg3pezeoUj3aWvM1LE1Ye691Kpcz23T,H87ej5SvMGCvAqu973fLfcSebRYHjNeywaAGUBQVpfP5,curedlabs,Cursed Labs,https://www.arweave.net/R9jRy9LmHFulNJz_zLfVjDAwc0DjzCkgOMFTpNbwjRw?ext=png,Cursed Labs #974,"Cursed Labs is a unique collection of Test, Tubes, Vials, Jars, and Scientists that rewards 80% of its entire net business revenue to its holders. Each NFT staked has its own $ZION yield based on tier and can be stacked with (4) 100% Cursed Token multipliers for maximum yield.",,image,"[{'address': '2kAJ9ysjdxx4Sc3SEokcGCv2ZGvZkoCRgnZcRXQv17WU', 'verified': 1, 'share': 0}, {'address': 'DU7Ek8xSiJXf4wdb9WVm5uEd9XL9njiYnQpGKPc17qgA', 'verified': 0, 'share': 100}]",1000,9RfG5JgEXW9uXWnXEGHeGSFeseKn2jJSj2ibwSQh41xB,"[{'trait_type': 'Background', 'value': 'Pixel Green'}, {'trait_type': 'Zion Payout', 'value': 'Tier 1'}, {'trait_type': 'Scientist', 'value': 'astro blue eyeball'}]","{'files': [{'uri': 'https://www.arweave.net/R9jRy9LmHFulNJz_zLfVjDAwc0DjzCkgOMFTpNbwjRw?ext=png', 'type': 'image/png'}], 'category': 'image', 'creators': [{'address': 'DU7Ek8xSiJXf4wdb9WVm5uEd9XL9njiYnQpGKPc17qgA', 'share': 100}]}",1,HoQk7sibph3ZUjurU1k2GGL7hDXaL8TjLeEmngQ1o4Vy,1,{},False,"{'auctionHouseKey': 'E8cU1WiRWjanGxmn96ewBgk9vPTcL6AEZ1t6F6fkgUWe', 'sellerReferral': 'autMW8SgBkVYeBgqYiTuJZnkvDZMVU2MHJh9Jh7CSQ2', 'expiry': -1}",{}
7,4n73ouheoxU4LuR8tbjzC54oYRYMw1zTreFuRH1uuCbF,2.0,EhSQpNSXoksD2nDWeVCYLx6jNuaLxZpvhj1cgtUM4sSz,BthKGScyTNHdGsLMvHWSxwzsKsF7z42SZ158aUFyxd5Y,curedlabs,Cursed Labs,https://www.arweave.net/MOGc2kp6E6VxsS4OuI1qpfKYxhZImBB-J8jdRTPpkE8?ext=png,Cursed Labs #1155,"Cursed Labs is a unique collection of Test, Tubes, Vials, Jars, and Scientists that rewards 80% of its entire net business revenue to its holders. Each NFT staked has its own $ZION yield based on tier and can be stacked with (4) 100% Cursed Token multipliers for maximum yield.",,image,"[{'address': '2kAJ9ysjdxx4Sc3SEokcGCv2ZGvZkoCRgnZcRXQv17WU', 'verified': 1, 'share': 0}, {'address': 'DU7Ek8xSiJXf4wdb9WVm5uEd9XL9njiYnQpGKPc17qgA', 'verified': 0, 'share': 100}]",1000,5Nm2gcVKCRiTTzU4qQv21SwKdii6DYhzmDwUcoRMjXpr,"[{'trait_type': 'Background', 'value': 'Pixel Blue'}, {'trait_type': 'Zion Payout', 'value': 'Tier 1'}, {'trait_type': 'Scientist', 'value': 'prof yellow root'}]","{'files': [{'uri': 'https://www.arweave.net/MOGc2kp6E6VxsS4OuI1qpfKYxhZImBB-J8jdRTPpkE8?ext=png', 'type': 'image/png'}], 'category': 'image', 'creators': [{'address': 'DU7Ek8xSiJXf4wdb9WVm5uEd9XL9njiYnQpGKPc17qgA', 'share': 100}]}",1,HoQk7sibph3ZUjurU1k2GGL7hDXaL8TjLeEmngQ1o4Vy,1,{},False,"{'auctionHouseKey': 'E8cU1WiRWjanGxmn96ewBgk9vPTcL6AEZ1t6F6fkgUWe', 'sellerReferral': 'autMW8SgBkVYeBgqYiTuJZnkvDZMVU2MHJh9Jh7CSQ2', 'expiry': -1}",{}
8,Cv3Yfb77rNU38UNAo3Hxad6ZzoZS9fzUwuBZaNNDN2pr,2.0,4cSWq2T6Mq9FrLAjDhSQ2aLesJYr9ViZjnr8uficdPj2,J5KBb9u4UMhhSRV6aXrZWF7i2XkqpYZhgr4ix8JBw7pi,curedlabs,Cursed Labs,https://www.arweave.net/IuueiZTAPC6VLrdNzU7bMo4wB63RzjRLc6bGU0NXaqg?ext=png,Cursed Labs #2104,"Cursed Labs is a unique collection of Test, Tubes, Vials, Jars, and Scientists that rewards 80% of its entire net business revenue to its holders. Each NFT staked has its own $ZION yield based on tier and can be stacked with (4) 100% Cursed Token multipliers for maximum yield.",,image,"[{'address': '2kAJ9ysjdxx4Sc3SEokcGCv2ZGvZkoCRgnZcRXQv17WU', 'verified': 1, 'share': 0}, {'address': 'DU7Ek8xSiJXf4wdb9WVm5uEd9XL9njiYnQpGKPc17qgA', 'verified': 0, 'share': 100}]",1000,45R4DN6zJmaiHn4wuDamZyxZ3JL9XW9K9hJadPVX6B9v,"[{'trait_type': 'Background', 'value': 'Pixel Green'}, {'trait_type': 'Zion Payout', 'value': 'Tier 1'}, {'trait_type': 'Scientist', 'value': 'ghost blue ghost'}]","{'files': [{'uri': 'https://www.arweave.net/IuueiZTAPC6VLrdNzU7bMo4wB63RzjRLc6bGU0NXaqg?ext=png', 'type': 'image/png'}], 'category': 'image', 'creators': [{'address': 'DU7Ek8xSiJXf4wdb9WVm5uEd9XL9njiYnQpGKPc17qgA', 'share': 100}]}",1,HoQk7sibph3ZUjurU1k2GGL7hDXaL8TjLeEmngQ1o4Vy,1,{},False,"{'auctionHouseKey': 'E8cU1WiRWjanGxmn96ewBgk9vPTcL6AEZ1t6F6fkgUWe', 'sellerReferral': 'autMW8SgBkVYeBgqYiTuJZnkvDZMVU2MHJh9Jh7CSQ2', 'expiry': -1}",{}
9,n6tXhzAHQqob6HkhzSTWQn5qxPoEg2hb18nNTwwyy9P,2.0,GoKa2HqSKjy8vGYoB9EndfnY1xK1DoBpkpC7mSc2HRdD,7h4PSaoS79hNMobiq4rDCZjsBZT23fPjjcWhKm1LAF5m,curedlabs,Cursed Labs,https://www.arweave.net/qg7Oc3YLzqr2xH4AhmRfiGiGdj3Wo0-jRyJzpi1o_vY?ext=png,Cursed Labs #2600,"Cursed Labs is a unique collection of Test, Tubes, Vials, Jars, and Scientists that rewards 80% of its entire net business revenue to its holders. Each NFT staked has its own $ZION yield based on tier and can be stacked with (4) 100% Cursed Token multipliers for maximum yield.",,image,"[{'address': '2kAJ9ysjdxx4Sc3SEokcGCv2ZGvZkoCRgnZcRXQv17WU', 'verified': 1, 'share': 0}, {'address': 'DU7Ek8xSiJXf4wdb9WVm5uEd9XL9njiYnQpGKPc17qgA', 'verified': 0, 'share': 100}]",1000,9DDKxWzEepSVaC7zMxcArWhqEUEi9dj5mvx9ssYqFQ1k,"[{'trait_type': 'Background', 'value': 'Green'}, {'trait_type': 'Zion Payout', 'value': 'Tier 1'}, {'trait_type': 'Scientist', 'value': 'balloon gradient smoke'}]","{'files': [{'uri': 'https://www.arweave.net/qg7Oc3YLzqr2xH4AhmRfiGiGdj3Wo0-jRyJzpi1o_vY?ext=png', 'type': 'image/png'}], 'category': 'image', 'creators': [{'address': 'DU7Ek8xSiJXf4wdb9WVm5uEd9XL9njiYnQpGKPc17qgA', 'share': 100}]}",1,HoQk7sibph3ZUjurU1k2GGL7hDXaL8TjLeEmngQ1o4Vy,1,{},False,"{'auctionHouseKey': 'E8cU1WiRWjanGxmn96ewBgk9vPTcL6AEZ1t6F6fkgUWe', 'sellerReferral': 'autMW8SgBkVYeBgqYiTuJZnkvDZMVU2MHJh9Jh7CSQ2', 'expiry': -1}",{}
10,DqtMmMn8cbVTzNipX5TawEy27Cq5eY8yj7LZ1jYtc246,2.028548,CDXTRJfqQde9yRGqSHwSFHv8VcwLZozDzbbwjCyZu214,9tdi93RzFnejMNiipxZxx7KfGkrV2RNx7Z97aiw74wFp,curedlabs,Cursed Labs,https://www.arweave.net/2T38yGCFiP2R9McsGt4iamgAYUc6RnAxK88o3aX_ryo?ext=png,Cursed Labs #4553,"Cursed Labs is a unique collection of Test, Tubes, Vials, Jars, and Scientists that rewards 80% of its entire net business revenue to its holders. Each NFT staked has its own $ZION yield based on tier and can be stacked with (4) 100% Cursed Token multipliers for maximum yield.",,image,"[{'address': '2kAJ9ysjdxx4Sc3SEokcGCv2ZGvZkoCRgnZcRXQv17WU', 'verified': 1, 'share': 0}, {'address': 'DU7Ek8xSiJXf4wdb9WVm5uEd9XL9njiYnQpGKPc17qgA', 'verified': 0, 'share': 100}]",1000,F762YNoSExtAxcVZGMHx6YqCs4cEJEVL7Raa4XpejSao,"[{'trait_type': 'Background', 'value': 'SuperNova Green'}, {'trait_type': 'Zion Payout', 'value': 'Tier 1'}, {'trait_type': 'Scientist', 'value': 'monkey yellow'}]","{'files': [{'uri': 'https://www.arweave.net/2T38yGCFiP2R9McsGt4iamgAYUc6RnAxK88o3aX_ryo?ext=png', 'type': 'image/png'}], 'category': 'image', 'creators': [{'address': 'DU7Ek8xSiJXf4wdb9WVm5uEd9XL9njiYnQpGKPc17qgA', 'share': 100}]}",1,HoQk7sibph3ZUjurU1k2GGL7hDXaL8TjLeEmngQ1o4Vy,1,{},False,"{'auctionHouseKey': 'E8cU1WiRWjanGxmn96ewBgk9vPTcL6AEZ1t6F6fkgUWe', 'sellerReferral': 'autMW8SgBkVYeBgqYiTuJZnkvDZMVU2MHJh9Jh7CSQ2', 'expiry': -1}",{}
11,AqKvicR2WuVXP9UiC2kLmbBhowVSRuuMtFMS9sYiSS4F,2.05,9HCwdsR56voSq4Wr8jf7LEPXwYQPUw2wL5tGYhShR91B,H87ej5SvMGCvAqu973fLfcSebRYHjNeywaAGUBQVpfP5,curedlabs,Cursed Labs,https://www.arweave.net/ev6aVtjPRtc4mpLtQcJsPbXjDs3HUI1VNPhWZLXc12g?ext=png,Cursed Labs #994,"Cursed Labs is a unique collection of Test, Tubes, Vials, Jars, and Scientists that rewards 80% of its entire net business revenue to its holders. Each NFT staked has its own $ZION yield based on tier and can be stacked with (4) 100% Cursed Token multipliers for maximum yield.",,image,"[{'address': '2kAJ9ysjdxx4Sc3SEokcGCv2ZGvZkoCRgnZcRXQv17WU', 'verified': 1, 'share': 0}, {'address': 'DU7Ek8xSiJXf4wdb9WVm5uEd9XL9njiYnQpGKPc17qgA', 'verified': 0, 'share': 100}]",1000,XWTsPPJxrD7n9oBhrEg1nutJ6d2C5AmEZBB4LBbYY8B,"[{'trait_type': 'Background', 'value': 'Red'}, {'trait_type': 'Zion Payout', 'value': 'Tier 1'}, {'trait_type': 'Scientist', 'value': 'prof green smoke'}]","{'files': [{'uri': 'https://www.arweave.net/ev6aVtjPRtc4mpLtQcJsPbXjDs3HUI1VNPhWZLXc12g?ext=png', 'type': 'image/png'}], 'category': 'image', 'creators': [{'address': 'DU7Ek8xSiJXf4wdb9WVm5uEd9XL9njiYnQpGKPc17qgA', 'share': 100}]}",1,HoQk7sibph3ZUjurU1k2GGL7hDXaL8TjLeEmngQ1o4Vy,1,{},False,"{'auctionHouseKey': 'E8cU1WiRWjanGxmn96ewBgk9vPTcL6AEZ1t6F6fkgUWe', 'sellerReferral': 'autMW8SgBkVYeBgqYiTuJZnkvDZMVU2MHJh9Jh7CSQ2', 'expiry': -1}",{}
12,HMysgj4yZ6tBXi8LDhBXQmGoSdwb6WEHM9aGTVmZrcBu,2.05,2MP44EPKbGeFXMSWYx8Qrf2ppnmjjVABXu9SNHtG5GUM,H87ej5SvMGCvAqu973fLfcSebRYHjNeywaAGUBQVpfP5,curedlabs,Cursed Labs,https://www.arweave.net/etgAWlZO7h9DmSYdN6FFXap970xO1kRPM7RN-i-7ji8?ext=png,Cursed Labs #4584,"Cursed Labs is a unique collection of Test, Tubes, Vials, Jars, and Scientists that rewards 80% of its entire net business revenue to its holders. Each NFT staked has its own $ZION yield based on tier and can be stacked with (4) 100% Cursed Token multipliers for maximum yield.",,image,"[{'address': '2kAJ9ysjdxx4Sc3SEokcGCv2ZGvZkoCRgnZcRXQv17WU', 'verified': 1, 'share': 0}, {'address': 'DU7Ek8xSiJXf4wdb9WVm5uEd9XL9njiYnQpGKPc17qgA', 'verified': 0, 'share': 100}]",1000,7J2k6JVNZFqdJh6JvgRrXPCt1XhrGtWRPbqQLvZqGwQB,"[{'trait_type': 'Background', 'value': 'Red'}, {'trait_type': 'Zion Payout', 'value': 'Tier 1'}, {'trait_type': 'Scientist', 'value': 'cat gradient smoke'}]","{'files': [{'uri': 'https://www.arweave.net/etgAWlZO7h9DmSYdN6FFXap970xO1kRPM7RN-i-7ji8?ext=png', 'type': 'image/png'}], 'category': 'image', 'creators': [{'address': 'DU7Ek8xSiJXf4wdb9WVm5uEd9XL9njiYnQpGKPc17qgA', 'share': 100}]}",1,HoQk7sibph3ZUjurU1k2GGL7hDXaL8TjLeEmngQ1o4Vy,1,{},False,"{'auctionHouseKey': 'E8cU1WiRWjanGxmn96ewBgk9vPTcL6AEZ1t6F6fkgUWe', 'sellerReferral': 'autMW8SgBkVYeBgqYiTuJZnkvDZMVU2MHJh9Jh7CSQ2', 'expiry': -1}",{}
13,9BR9J6K4SBiEhT8J5d1G31ySUS4MTYPAXfC8XKcW96BN,2.05,9XKZivrZBdWxjwC5Hfr45bs2zDkwsEqBjfqCXnfJoi5V,H87ej5SvMGCvAqu973fLfcSebRYHjNeywaAGUBQVpfP5,curedlabs,Cursed Labs,https://www.arweave.net/hhK7IsFiXYZjChj0FhghD1UXm__3GAnijOJay2TDVE8?ext=png,Cursed Labs #4916,"Cursed Labs is a unique collection of Test, Tubes, Vials, Jars, and Scientists that rewards 80% of its entire net business revenue to its holders. Each NFT staked has its own $ZION yield based on tier and can be stacked with (4) 100% Cursed Token multipliers for maximum yield.",,image,"[{'address': '2kAJ9ysjdxx4Sc3SEokcGCv2ZGvZkoCRgnZcRXQv17WU', 'verified': 1, 'share': 0}, {'address': 'DU7Ek8xSiJXf4wdb9WVm5uEd9XL9njiYnQpGKPc17qgA', 'verified': 0, 'share': 100}]",1000,2xNuMU9QbZrEFzyAfzb5ETEnp1r4DPKc7qTDbQk7LsEo,"[{'trait_type': 'Background', 'value': 'SuperNova Purple'}, {'trait_type': 'Zion Payout', 'value': 'Tier 1'}, {'trait_type': 'Scientist', 'value': 'prof blue root'}]","{'files': [{'uri': 'https://www.arweave.net/hhK7IsFiXYZjChj0FhghD1UXm__3GAnijOJay2TDVE8?ext=png', 'type': 'image/png'}], 'category': 'image', 'creators': [{'address': 'DU7Ek8xSiJXf4wdb9WVm5uEd9XL9njiYnQpGKPc17qgA', 'share': 100}]}",1,HoQk7sibph3ZUjurU1k2GGL7hDXaL8TjLeEmngQ1o4Vy,1,{},False,"{'auctionHouseKey': 'E8cU1WiRWjanGxmn96ewBgk9vPTcL6AEZ1t6F6fkgUWe', 'sellerReferral': 'autMW8SgBkVYeBgqYiTuJZnkvDZMVU2MHJh9Jh7CSQ2', 'expiry': -1}",{}
