,id,price,escrowPubkey,owner,collectionName,collectionTitle,img,title,content,propertyCategory,creators,sellerFeeBasisPoints,mintAddress,attributes,properties,supply,updateAuthority,primarySaleHappened,onChainCollection,tokenDelegateValid,v2,rarity
0,EkrmY7D5CTaUDHuuts5JTukqd5QLxD2hjAyzDKpA5QhG,13.8,BZ8GD12usncA357hBUCaZ4hFqbshLB4YWyJJkccnZU1m,HNnhrSiKACdsjBjugwv8hHVHA5Ch1gHiyxPy6QVY9UJs,degendojonft,Degen Dojo,https://www.arweave.net/tfVXHrcCWQ1fFMMd81fFjKCeEK43b8NFB1szhTM1pBk?ext=png,DOJO DEGEN #1678,"They’re just a bunch of Broke Samurai that have no war to fight in. They beat each other senseless with dead chickens, gamble like degenerates and cling to the delusion that one day their name will echo through the histories.",image,"[{'address': 'HEyazxpV2wxMUvNx53UZUXthRS9Rjsbv7hoHYJNbVedC', 'verified': 1, 'share': 0}, {'address': '9TRzQP9oxDYti5pDyrV7VK9yNaijcPwpuDyDkaEvS4oe', 'verified': 0, 'share': 100}]",999,z647nUqKs4LfVWQ68CVikecxNriGUYkfCYTHv2fkrMq,"[{'trait_type': 'Accessories', 'value': 'Shirtless Runt'}, {'trait_type': 'Background', 'value': 'Grey Mist '}, {'trait_type': 'Body', 'value': 'Human'}, {'trait_type': 'Clothing', 'value': 'Katana Kimono '}, {'trait_type': 'Face', 'value': 'Drooling Azuma'}, {'trait_type': 'Glasses', 'value': 'Shirtless Runt'}, {'trait_type': 'Hair', 'value': 'Mohawk Spike'}, {'trait_type': 'Weapon', 'value': 'Giant Sake Bottle'}, {'trait_type': 'Encrypted Traits', 'value': 'U2FsdGVkX198zv9aVko5a1Eys13uCKpMyRJJLMR9cy8='}]","{'files': [{'uri': 'https://www.arweave.net/tfVXHrcCWQ1fFMMd81fFjKCeEK43b8NFB1szhTM1pBk?ext=png', 'type': 'image/png'}], 'category': 'image', 'creators': [{'address': '9TRzQP9oxDYti5pDyrV7VK9yNaijcPwpuDyDkaEvS4oe', 'share': 100}]}",1,2Ke5WsFii66o9cwqn5Js58k4hn3fCa4QjXK4JMJeRgkp,1,{},False,"{'auctionHouseKey': 'E8cU1WiRWjanGxmn96ewBgk9vPTcL6AEZ1t6F6fkgUWe', 'sellerReferral': 'autMW8SgBkVYeBgqYiTuJZnkvDZMVU2MHJh9Jh7CSQ2', 'expiry': -1}","{'moonrank': {'rank': 3023}, 'howrare': {'rank': 3165}}"
1,GnDq1WjqdzKcQQ1WvHnvjkqp42eRkXb543H7MFDdixKB,13.88,2KxiUEi4rJ91sXxCsNqzSMh7TaSfiURvfEFyvcE7AU4k,EUW6bLBcu8Mz2woNADUod3y1NZLT5fwLzHJSuiDp7a21,degendojonft,Degen Dojo,https://www.arweave.net/dednz5QLSHt_ALTOcmkkckZ5mpxR4CKURUcf40PNse8?ext=png,DOJO DEGEN #2491,"They’re just a bunch of Broke Samurai that have no war to fight in. They beat each other senseless with dead chickens, gamble like degenerates and cling to the delusion that one day their name will echo through the histories.",image,"[{'address': 'HEyazxpV2wxMUvNx53UZUXthRS9Rjsbv7hoHYJNbVedC', 'verified': 1, 'share': 0}, {'address': '9TRzQP9oxDYti5pDyrV7VK9yNaijcPwpuDyDkaEvS4oe', 'verified': 0, 'share': 100}]",999,6RfpicBwAP1LQoVsU7oXofKUbbFhLjJpYhSFrqEgSsrx,"[{'trait_type': 'Accessories', 'value': 'Shirtless Runt'}, {'trait_type': 'Background', 'value': 'Grey Mist '}, {'trait_type': 'Body', 'value': 'Human'}, {'trait_type': 'Clothing', 'value': 'Silken Sunflower Kimono'}, {'trait_type': 'Face', 'value': 'Fatty Bobsticks'}, {'trait_type': 'Glasses', 'value': 'Shirtless Runt'}, {'trait_type': 'Hair', 'value': 'Degen Graffiti Rice Hat'}, {'trait_type': 'Weapon', 'value': 'Shamisen'}, {'trait_type': 'Encrypted Traits', 'value': 'U2FsdGVkX182onPfhFdfbVKTlM0ZV4x4Oz28T1XwH4w='}]","{'files': [{'uri': 'https://www.arweave.net/dednz5QLSHt_ALTOcmkkckZ5mpxR4CKURUcf40PNse8?ext=png', 'type': 'image/png'}], 'category': 'image', 'creators': [{'address': '9TRzQP9oxDYti5pDyrV7VK9yNaijcPwpuDyDkaEvS4oe', 'share': 100}]}",1,2Ke5WsFii66o9cwqn5Js58k4hn3fCa4QjXK4JMJeRgkp,1,{},False,"{'auctionHouseKey': 'E8cU1WiRWjanGxmn96ewBgk9vPTcL6AEZ1t6F6fkgUWe', 'sellerReferral': 'autMW8SgBkVYeBgqYiTuJZnkvDZMVU2MHJh9Jh7CSQ2', 'expiry': -1}","{'moonrank': {'rank': 2279}, 'howrare': {'rank': 1787}}"
2,Bc48L8VcUysqYGSpvPd9xDfvafZAqmWXdVLJRjBwKihX,13.99,33TLQbgYSuzjkZKZ9TbSkhatxbS42DaMAqpi2nDoGAvo,GaDymq19qCm2MwhJRLQYo74q5yNQoG9ngWNztV1KdPnS,degendojonft,Degen Dojo,https://www.arweave.net/dbmQGKxNLX3_AduDoYz8G_mG4egyromwLuX_Q-qOY2Y?ext=png,DOJO DEGEN #2881,"They’re just a bunch of Broke Samurai that have no war to fight in. They beat each other senseless with dead chickens, gamble like degenerates and cling to the delusion that one day their name will echo through the histories.",image,"[{'address': 'HEyazxpV2wxMUvNx53UZUXthRS9Rjsbv7hoHYJNbVedC', 'verified': 1, 'share': 0}, {'address': '9TRzQP9oxDYti5pDyrV7VK9yNaijcPwpuDyDkaEvS4oe', 'verified': 0, 'share': 100}]",999,HUPyF4BdSqGHdoNjdynL1qMMnwFrHXWxTYLFgRVbqCW9,"[{'trait_type': 'Accessories', 'value': 'Shirtless Runt'}, {'trait_type': 'Background', 'value': 'Light Grey'}, {'trait_type': 'Body', 'value': 'Human'}, {'trait_type': 'Clothing', 'value': 'Degen Dojo Kimono'}, {'trait_type': 'Face', 'value': 'Cheery Haru'}, {'trait_type': 'Glasses', 'value': 'Dojo Graffiti'}, {'trait_type': 'Hair', 'value': 'Wide Kasa Fisherman'}, {'trait_type': 'Weapon', 'value': 'Large Branch '}, {'trait_type': 'Encrypted Traits', 'value': 'U2FsdGVkX1+F9DH2ueoyooFACpGXXPq6y9j4CYHISy4='}]","{'files': [{'uri': 'https://www.arweave.net/dbmQGKxNLX3_AduDoYz8G_mG4egyromwLuX_Q-qOY2Y?ext=png', 'type': 'image/png'}], 'category': 'image', 'creators': [{'address': '9TRzQP9oxDYti5pDyrV7VK9yNaijcPwpuDyDkaEvS4oe', 'share': 100}]}",1,2Ke5WsFii66o9cwqn5Js58k4hn3fCa4QjXK4JMJeRgkp,1,{},False,"{'auctionHouseKey': 'E8cU1WiRWjanGxmn96ewBgk9vPTcL6AEZ1t6F6fkgUWe', 'sellerReferral': 'autMW8SgBkVYeBgqYiTuJZnkvDZMVU2MHJh9Jh7CSQ2', 'expiry': -1}","{'moonrank': {'rank': 1608}, 'howrare': {'rank': 2311}}"
3,CeUjSafUncAtsDEjNZDc8dypix8jtrRrZ5h31rxA6qMc,14.0,J5WoFveGHAApPZFz5qpFt76ssPQmyDTK2j3k8ohY8CTt,3B566NidZA3xjHSy27kct6GrfKV9TdPX4MoJpZ7S2myq,degendojonft,Degen Dojo,https://www.arweave.net/8fZM-9afwO_ChvtRhIrk5xFIeNkk8mlf0TyIsXB0HN8?ext=png,DOJO DEGEN #2204,"They’re just a bunch of Broke Samurai that have no war to fight in. They beat each other senseless with dead chickens, gamble like degenerates and cling to the delusion that one day their name will echo through the histories.",image,"[{'address': 'HEyazxpV2wxMUvNx53UZUXthRS9Rjsbv7hoHYJNbVedC', 'verified': 1, 'share': 0}, {'address': '9TRzQP9oxDYti5pDyrV7VK9yNaijcPwpuDyDkaEvS4oe', 'verified': 0, 'share': 100}]",999,HSRo3LvUJA9taBRxgvMhJ2ifJzoYmbKZBe17Kqf3Zvdx,"[{'trait_type': 'Accessories', 'value': 'Shirtless Runt'}, {'trait_type': 'Background', 'value': 'Red High Moon'}, {'trait_type': 'Body', 'value': 'Human'}, {'trait_type': 'Clothing', 'value': 'Sushi Love Loose Kimono'}, {'trait_type': 'Face', 'value': 'Igor The Bear'}, {'trait_type': 'Glasses', 'value': 'Shirtless Runt'}, {'trait_type': 'Hair', 'value': 'Mohawk Spike'}, {'trait_type': 'Weapon', 'value': 'Katana'}, {'trait_type': 'Encrypted Traits', 'value': 'U2FsdGVkX184IRfnSVU89FraOqv/p/BKfaUo85bqC/s='}]","{'files': [{'uri': 'https://www.arweave.net/8fZM-9afwO_ChvtRhIrk5xFIeNkk8mlf0TyIsXB0HN8?ext=png', 'type': 'image/png'}], 'category': 'image', 'creators': [{'address': '9TRzQP9oxDYti5pDyrV7VK9yNaijcPwpuDyDkaEvS4oe', 'share': 100}]}",1,2Ke5WsFii66o9cwqn5Js58k4hn3fCa4QjXK4JMJeRgkp,1,{},False,"{'auctionHouseKey': 'E8cU1WiRWjanGxmn96ewBgk9vPTcL6AEZ1t6F6fkgUWe', 'sellerReferral': 'autMW8SgBkVYeBgqYiTuJZnkvDZMVU2MHJh9Jh7CSQ2', 'expiry': -1}","{'moonrank': {'rank': 2271}, 'howrare': {'rank': 2054}}"
4,FJmCgccd94faJ2shpkWadtnuw3duNTbbSEABHeazVjHa,14.0,2Ra1VxTYGTZjdLrokytZPov4qsnBsQwXmUC7xv6GCttv,9sdEKmVSQmhhsTNMaTLkhCokiSQPPRsxauHS5pHjPdpf,degendojonft,Degen Dojo,https://www.arweave.net/cJ9tB4fX49J6gYaZl1CzmdLuQ1FpEhrr5Ed-l1WGlnc?ext=png,DOJO DEGEN #3664,"They’re just a bunch of Broke Samurai that have no war to fight in. They beat each other senseless with dead chickens, gamble like degenerates and cling to the delusion that one day their name will echo through the histories.",image,"[{'address': 'HEyazxpV2wxMUvNx53UZUXthRS9Rjsbv7hoHYJNbVedC', 'verified': 1, 'share': 0}, {'address': '9TRzQP9oxDYti5pDyrV7VK9yNaijcPwpuDyDkaEvS4oe', 'verified': 0, 'share': 100}]",999,2sZJt1dHgb9HSsTYohQ5BeAPcqG2TT1ZCJMC7yfEWbLe,"[{'trait_type': 'Accessories', 'value': 'Shirtless Runt'}, {'trait_type': 'Background', 'value': 'Blue Evening'}, {'trait_type': 'Body', 'value': 'Human'}, {'trait_type': 'Clothing', 'value': 'Battle Scars'}, {'trait_type': 'Face', 'value': 'Raikou The Stoner'}, {'trait_type': 'Glasses', 'value': 'Shirtless Runt'}, {'trait_type': 'Hair', 'value': 'Yakuza Ruffian'}, {'trait_type': 'Weapon', 'value': 'Rusty Nail'}, {'trait_type': 'Encrypted Traits', 'value': 'U2FsdGVkX1+4EgjGkD5mKD5s6tZR13lfabcJbjcIs6c='}]","{'files': [{'uri': 'https://www.arweave.net/cJ9tB4fX49J6gYaZl1CzmdLuQ1FpEhrr5Ed-l1WGlnc?ext=png', 'type': 'image/png'}], 'category': 'image', 'creators': [{'address': '9TRzQP9oxDYti5pDyrV7VK9yNaijcPwpuDyDkaEvS4oe', 'share': 100}]}",1,2Ke5WsFii66o9cwqn5Js58k4hn3fCa4QjXK4JMJeRgkp,1,{},False,"{'auctionHouseKey': 'E8cU1WiRWjanGxmn96ewBgk9vPTcL6AEZ1t6F6fkgUWe', 'sellerReferral': 'autMW8SgBkVYeBgqYiTuJZnkvDZMVU2MHJh9Jh7CSQ2', 'expiry': -1}","{'moonrank': {'rank': 3420}, 'howrare': {'rank': 3368}}"
5,6bxUkgxCiAAzugCtZ6myC7EL9TmBzZREgJ1H1Bsa7yTJ,14.0,EunxREtVEa9JhMnuZEMUfbN9hxGiaL8pkwfcVfs9Ytqa,Cv7yketReGCPsW5NfmHyRGWyUk7zKXjHQREkriiqLuth,degendojonft,Degen Dojo,https://www.arweave.net/QnsgzZLx8nLnAlg-EdyX_4B40C4RWxTMpi7oafuSbiY?ext=png,DOJO DEGEN #3468,"They’re just a bunch of Broke Samurai that have no war to fight in. They beat each other senseless with dead chickens, gamble like degenerates and cling to the delusion that one day their name will echo through the histories.",image,"[{'address': 'HEyazxpV2wxMUvNx53UZUXthRS9Rjsbv7hoHYJNbVedC', 'verified': 1, 'share': 0}, {'address': '9TRzQP9oxDYti5pDyrV7VK9yNaijcPwpuDyDkaEvS4oe', 'verified': 0, 'share': 100}]",999,7AANeE7zVY1jvPfNMsTFATYcENfJ4kmF7ykvWvRVwMJF,"[{'trait_type': 'Accessories', 'value': 'Shirtless Runt'}, {'trait_type': 'Background', 'value': 'Shoji Night'}, {'trait_type': 'Body', 'value': 'Human'}, {'trait_type': 'Clothing', 'value': 'Battle Scars'}, {'trait_type': 'Face', 'value': 'Gloomy Masumi'}, {'trait_type': 'Glasses', 'value': 'Shirtless Runt'}, {'trait_type': 'Hair', 'value': 'Black Bantu Knots'}, {'trait_type': 'Weapon', 'value': 'Dead Fish'}, {'trait_type': 'Encrypted Traits', 'value': 'U2FsdGVkX1+ag1z66CjFu1lf5R+YOCMiV6q9IVodubM='}]","{'files': [{'uri': 'https://www.arweave.net/QnsgzZLx8nLnAlg-EdyX_4B40C4RWxTMpi7oafuSbiY?ext=png', 'type': 'image/png'}], 'category': 'image', 'creators': [{'address': '9TRzQP9oxDYti5pDyrV7VK9yNaijcPwpuDyDkaEvS4oe', 'share': 100}]}",1,2Ke5WsFii66o9cwqn5Js58k4hn3fCa4QjXK4JMJeRgkp,1,{},False,"{'auctionHouseKey': 'E8cU1WiRWjanGxmn96ewBgk9vPTcL6AEZ1t6F6fkgUWe', 'sellerReferral': 'autMW8SgBkVYeBgqYiTuJZnkvDZMVU2MHJh9Jh7CSQ2', 'expiry': -1}","{'moonrank': {'rank': 3486}, 'howrare': {'rank': 3461}}"
6,4RXxaUdrNv6uuJTDVVHiN9k91GjnjDBsH4TRDdASvJjj,14.0,CSzLBK9dgAnbhqyNyq2dKkCiVvXyCrZJ8xrbXuSqj5pQ,HNnhrSiKACdsjBjugwv8hHVHA5Ch1gHiyxPy6QVY9UJs,degendojonft,Degen Dojo,https://www.arweave.net/_DkK1V4nwuquw1VLAfK8gq9_YM4LDDcD2ENnH-DosAc?ext=png,DOJO DEGEN #11,"They’re just a bunch of Broke Samurai that have no war to fight in. They beat each other senseless with dead chickens, gamble like degenerates and cling to the delusion that one day their name will echo through the histories.",image,"[{'address': 'HEyazxpV2wxMUvNx53UZUXthRS9Rjsbv7hoHYJNbVedC', 'verified': 1, 'share': 0}, {'address': '9TRzQP9oxDYti5pDyrV7VK9yNaijcPwpuDyDkaEvS4oe', 'verified': 0, 'share': 100}]",999,6dycuazEGiJnVatzEBzUQJAibeS65GkikvnZDYU9shZ4,"[{'trait_type': 'Accessories', 'value': 'Shirtless Runt'}, {'trait_type': 'Background', 'value': 'Warm Grey'}, {'trait_type': 'Body', 'value': 'Human'}, {'trait_type': 'Clothing', 'value': 'Shirtless Runt'}, {'trait_type': 'Face', 'value': 'Oleg Of War'}, {'trait_type': 'Glasses', 'value': 'Shirtless Runt'}, {'trait_type': 'Hair', 'value': 'Degen Dojo Headband'}, {'trait_type': 'Weapon', 'value': 'Large Branch '}, {'trait_type': 'Encrypted Traits', 'value': 'U2FsdGVkX18WoxCZEd0tMTu8BRT1xZsTwYC8iu+RP2s='}]","{'files': [{'uri': 'https://www.arweave.net/_DkK1V4nwuquw1VLAfK8gq9_YM4LDDcD2ENnH-DosAc?ext=png', 'type': 'image/png'}], 'category': 'image', 'creators': [{'address': '9TRzQP9oxDYti5pDyrV7VK9yNaijcPwpuDyDkaEvS4oe', 'share': 100}]}",1,2Ke5WsFii66o9cwqn5Js58k4hn3fCa4QjXK4JMJeRgkp,1,{},False,"{'auctionHouseKey': 'E8cU1WiRWjanGxmn96ewBgk9vPTcL6AEZ1t6F6fkgUWe', 'sellerReferral': 'autMW8SgBkVYeBgqYiTuJZnkvDZMVU2MHJh9Jh7CSQ2', 'expiry': -1}","{'moonrank': {'rank': 2258}, 'howrare': {'rank': 1210}}"
7,J8c3oBCm8N5SXaAxQQCjXUU7rmuLrLpT24hEQSxdaBBU,14.9,sphS7Dby5A6yUhG7evBs6ysKEQqVRi3o8xbSf9biMqk,Fi9efforaVVRXMzhJNz15sGcRWMGeJVFCwBsuhmgxo4o,degendojonft,Degen Dojo,https://www.arweave.net/pNJ60vGjq-gQK4-rwN2DrQ2vJJUp4oeymbr_xlUKSFM?ext=png,DOJO DEGEN #261,"They’re just a bunch of Broke Samurai that have no war to fight in. They beat each other senseless with dead chickens, gamble like degenerates and cling to the delusion that one day their name will echo through the histories.",image,"[{'address': 'HEyazxpV2wxMUvNx53UZUXthRS9Rjsbv7hoHYJNbVedC', 'verified': 1, 'share': 0}, {'address': '9TRzQP9oxDYti5pDyrV7VK9yNaijcPwpuDyDkaEvS4oe', 'verified': 0, 'share': 100}]",999,EiKQnZE5CaGvkf9Jjs3nom3r6EazqqHnbdKzqRyZ5ZaZ,"[{'trait_type': 'Accessories', 'value': 'Shirtless Runt'}, {'trait_type': 'Background', 'value': 'Night Forest'}, {'trait_type': 'Body', 'value': 'Human'}, {'trait_type': 'Clothing', 'value': 'Fuck You Kimono'}, {'trait_type': 'Face', 'value': 'Edmundo'}, {'trait_type': 'Glasses', 'value': 'Shirtless Runt'}, {'trait_type': 'Hair', 'value': 'Karate Headband'}, {'trait_type': 'Weapon', 'value': 'Noose'}, {'trait_type': 'Encrypted Traits', 'value': 'U2FsdGVkX18GDoLWldWVsN0y6YMkl5M3ysUEd14u4tk='}]","{'files': [{'uri': 'https://www.arweave.net/pNJ60vGjq-gQK4-rwN2DrQ2vJJUp4oeymbr_xlUKSFM?ext=png', 'type': 'image/png'}], 'category': 'image', 'creators': [{'address': '9TRzQP9oxDYti5pDyrV7VK9yNaijcPwpuDyDkaEvS4oe', 'share': 100}]}",1,2Ke5WsFii66o9cwqn5Js58k4hn3fCa4QjXK4JMJeRgkp,1,{},False,"{'auctionHouseKey': 'E8cU1WiRWjanGxmn96ewBgk9vPTcL6AEZ1t6F6fkgUWe', 'sellerReferral': 'autMW8SgBkVYeBgqYiTuJZnkvDZMVU2MHJh9Jh7CSQ2', 'expiry': -1}","{'moonrank': {'rank': 3431}, 'howrare': {'rank': 3596}}"
8,69nnHueRQUijRCxoop6FKjBPF6o2zsVadKrYDw8dpf9X,15.0,EBKdamWPjr9HaYPgxmX6NXdtfGjrXMzd4x7e6cFrAmTW,B9CjYYZdbrmo2DYhybnNwHkcJxBCDPsgKoqinC2Dc922,degendojonft,Degen Dojo,https://www.arweave.net/hO-tQEk5mzNP5B59fiMxrjki7N528EeYanykZJmiaoE?ext=png,DOJO DEGEN #3355,"They’re just a bunch of Broke Samurai that have no war to fight in. They beat each other senseless with dead chickens, gamble like degenerates and cling to the delusion that one day their name will echo through the histories.",image,"[{'address': 'HEyazxpV2wxMUvNx53UZUXthRS9Rjsbv7hoHYJNbVedC', 'verified': 1, 'share': 0}, {'address': '9TRzQP9oxDYti5pDyrV7VK9yNaijcPwpuDyDkaEvS4oe', 'verified': 0, 'share': 100}]",999,9aXPMm29tKMA8QwiGNknSArRu45LEGKu4wqLbnkZXTVV,"[{'trait_type': 'Accessories', 'value': 'Shirtless Runt'}, {'trait_type': 'Background', 'value': 'Light Grey'}, {'trait_type': 'Body', 'value': 'Human'}, {'trait_type': 'Clothing', 'value': 'Dejen Apostate'}, {'trait_type': 'Face', 'value': 'Drooling Azuma'}, {'trait_type': 'Glasses', 'value': 'Shirtless Runt'}, {'trait_type': 'Hair', 'value': 'Red Heihachi'}, {'trait_type': 'Weapon', 'value': 'Large Branch '}, {'trait_type': 'Encrypted Traits', 'value': 'U2FsdGVkX18hXT/NuoGE22/MYG7DXerRtWyeXnUmzxk='}]","{'files': [{'uri': 'https://www.arweave.net/hO-tQEk5mzNP5B59fiMxrjki7N528EeYanykZJmiaoE?ext=png', 'type': 'image/png'}], 'category': 'image', 'creators': [{'address': '9TRzQP9oxDYti5pDyrV7VK9yNaijcPwpuDyDkaEvS4oe', 'share': 100}]}",1,2Ke5WsFii66o9cwqn5Js58k4hn3fCa4QjXK4JMJeRgkp,1,{},False,"{'auctionHouseKey': 'E8cU1WiRWjanGxmn96ewBgk9vPTcL6AEZ1t6F6fkgUWe', 'sellerReferral': 'autMW8SgBkVYeBgqYiTuJZnkvDZMVU2MHJh9Jh7CSQ2', 'expiry': -1}","{'moonrank': {'rank': 3429}, 'howrare': {'rank': 3288}}"
9,3pqUDyYuNNfkLE4Fg9xc3cpezyQFtQmTZ6PmtwWZUteP,15.0,4E2G77y4mv698npmZWgQ1WrKGjBd1N9zUwkwVJ3Q9U46,FNdY8jQGad8g2qymZXKPbL1GQxiTBQVYcAJeyCi3mZXi,degendojonft,Degen Dojo,https://www.arweave.net/JCDKGXFjRHXRzRcIoc7SeA1CSjxFvjE7GWCK9Qesy8Y?ext=png,DOJO DEGEN #3818,"They’re just a bunch of Broke Samurai that have no war to fight in. They beat each other senseless with dead chickens, gamble like degenerates and cling to the delusion that one day their name will echo through the histories.",image,"[{'address': 'HEyazxpV2wxMUvNx53UZUXthRS9Rjsbv7hoHYJNbVedC', 'verified': 1, 'share': 0}, {'address': '9TRzQP9oxDYti5pDyrV7VK9yNaijcPwpuDyDkaEvS4oe', 'verified': 0, 'share': 100}]",999,6cWQLKpTdghAphWybtexC4Fd75WZ1oszxP2kSbuR9MEn,"[{'trait_type': 'Accessories', 'value': 'Shirtless Runt'}, {'trait_type': 'Background', 'value': 'Orange Afternoon'}, {'trait_type': 'Body', 'value': 'Human'}, {'trait_type': 'Clothing', 'value': 'Cet Kimono'}, {'trait_type': 'Face', 'value': 'Teary Goro'}, {'trait_type': 'Glasses', 'value': 'Shirtless Runt'}, {'trait_type': 'Hair', 'value': 'Bum Headband Ruffian'}, {'trait_type': 'Weapon', 'value': 'Shamisen'}, {'trait_type': 'Encrypted Traits', 'value': 'U2FsdGVkX18xZmHDNIpG73qxQMYyMiGUHsCm2SyMYDE='}]","{'files': [{'uri': 'https://www.arweave.net/JCDKGXFjRHXRzRcIoc7SeA1CSjxFvjE7GWCK9Qesy8Y?ext=png', 'type': 'image/png'}], 'category': 'image', 'creators': [{'address': '9TRzQP9oxDYti5pDyrV7VK9yNaijcPwpuDyDkaEvS4oe', 'share': 100}]}",1,2Ke5WsFii66o9cwqn5Js58k4hn3fCa4QjXK4JMJeRgkp,1,{},False,"{'auctionHouseKey': 'E8cU1WiRWjanGxmn96ewBgk9vPTcL6AEZ1t6F6fkgUWe', 'sellerReferral': 'autMW8SgBkVYeBgqYiTuJZnkvDZMVU2MHJh9Jh7CSQ2', 'expiry': -1}","{'moonrank': {'rank': 3320}, 'howrare': {'rank': 3451}}"
10,76WT8Au4huXgzx4S3A2btRg4MLWVnTcDq6vzo4GYhrjh,15.0,Bkv1HXn4yLaxEELY2jyPzEGVttwZpgUnyi8hDmSJqqEc,9WtXVVZjnZdHQryXhXkQR34UWjpYQk7vznduPdKyKMja,degendojonft,Degen Dojo,https://www.arweave.net/ZX-lXfn4dtfYHyaotDZRwNxIn8ou6OjXpX8JoFhhsuo?ext=png,DOJO DEGEN #2869,"They’re just a bunch of Broke Samurai that have no war to fight in. They beat each other senseless with dead chickens, gamble like degenerates and cling to the delusion that one day their name will echo through the histories.",image,"[{'address': 'HEyazxpV2wxMUvNx53UZUXthRS9Rjsbv7hoHYJNbVedC', 'verified': 1, 'share': 0}, {'address': '9TRzQP9oxDYti5pDyrV7VK9yNaijcPwpuDyDkaEvS4oe', 'verified': 0, 'share': 100}]",999,4TMNxxBYoZXwySb4iv33fs27BtxFwQKCgxsHDjPk8ybJ,"[{'trait_type': 'Accessories', 'value': 'Shirtless Runt'}, {'trait_type': 'Background', 'value': 'Purple Night'}, {'trait_type': 'Body', 'value': 'Human'}, {'trait_type': 'Clothing', 'value': 'Dried Straw'}, {'trait_type': 'Face', 'value': 'Stresshead Rin'}, {'trait_type': 'Glasses', 'value': 'Shirtless Runt'}, {'trait_type': 'Hair', 'value': 'Short Spiky Grey'}, {'trait_type': 'Weapon', 'value': 'Noose'}, {'trait_type': 'Encrypted Traits', 'value': 'U2FsdGVkX18zBc8NyvxAVqrw3P+0pWLHOudvw9KmuP4='}]","{'files': [{'uri': 'https://www.arweave.net/ZX-lXfn4dtfYHyaotDZRwNxIn8ou6OjXpX8JoFhhsuo?ext=png', 'type': 'image/png'}], 'category': 'image', 'creators': [{'address': '9TRzQP9oxDYti5pDyrV7VK9yNaijcPwpuDyDkaEvS4oe', 'share': 100}]}",1,2Ke5WsFii66o9cwqn5Js58k4hn3fCa4QjXK4JMJeRgkp,1,{},False,"{'auctionHouseKey': 'E8cU1WiRWjanGxmn96ewBgk9vPTcL6AEZ1t6F6fkgUWe', 'sellerReferral': 'autMW8SgBkVYeBgqYiTuJZnkvDZMVU2MHJh9Jh7CSQ2', 'expiry': -1}","{'howrare': {'rank': 3445}, 'moonrank': {'rank': 3335}}"
11,5W37d9dZBZiUUAhBEzMmjY16c4MfkzFR55cHVTuNs6Hw,15.0,3vqCvubYER2Gh6jnGzp3a1ScSXVQXd4MouspaHjvk896,BZcoxpJMizpfAMAfULZZVG7TKoRs1A5N79eaWwUhtb64,degendojonft,Degen Dojo,https://www.arweave.net/GChd_e6dd9Wrv_rRU1shzR_k_pblqeY2oY9Xla53Jno?ext=png,DOJO DEGEN #3392,"They’re just a bunch of Broke Samurai that have no war to fight in. They beat each other senseless with dead chickens, gamble like degenerates and cling to the delusion that one day their name will echo through the histories.",image,"[{'address': 'HEyazxpV2wxMUvNx53UZUXthRS9Rjsbv7hoHYJNbVedC', 'verified': 1, 'share': 0}, {'address': '9TRzQP9oxDYti5pDyrV7VK9yNaijcPwpuDyDkaEvS4oe', 'verified': 0, 'share': 100}]",999,Cn66Xvxhhxq12Xbj9uV6PL7ZtdkgH9EDc6g6RoFjCKYk,"[{'trait_type': 'Accessories', 'value': 'Nails'}, {'trait_type': 'Background', 'value': 'Shoji Night'}, {'trait_type': 'Body', 'value': 'Human'}, {'trait_type': 'Clothing', 'value': 'Dejen Apostate'}, {'trait_type': 'Face', 'value': 'Akuma '}, {'trait_type': 'Glasses', 'value': 'Shirtless Runt'}, {'trait_type': 'Hair', 'value': 'Braided Samurai Ponytail'}, {'trait_type': 'Weapon', 'value': 'Chicken'}, {'trait_type': 'Encrypted Traits', 'value': 'U2FsdGVkX1+YKxfNFdwE3VF2S49Yf3aqhyD2FOcvpL8='}]","{'files': [{'uri': 'https://www.arweave.net/GChd_e6dd9Wrv_rRU1shzR_k_pblqeY2oY9Xla53Jno?ext=png', 'type': 'image/png'}], 'category': 'image', 'creators': [{'address': '9TRzQP9oxDYti5pDyrV7VK9yNaijcPwpuDyDkaEvS4oe', 'share': 100}]}",1,2Ke5WsFii66o9cwqn5Js58k4hn3fCa4QjXK4JMJeRgkp,1,{},False,"{'auctionHouseKey': 'E8cU1WiRWjanGxmn96ewBgk9vPTcL6AEZ1t6F6fkgUWe', 'sellerReferral': 'autMW8SgBkVYeBgqYiTuJZnkvDZMVU2MHJh9Jh7CSQ2', 'expiry': -1}","{'moonrank': {'rank': 1474}, 'howrare': {'rank': 2251}}"
