,id,price,escrowPubkey,owner,collectionName,collectionTitle,img,title,content,externalURL,propertyCategory,creators,sellerFeeBasisPoints,mintAddress,attributes,properties,supply,updateAuthority,primarySaleHappened,onChainCollection,tokenDelegateValid,v2,rarity,tokenDelegate,extern
0,9jqaHp3xs7LZ9cYJ6zc11AgAHZxRiTamfnESN5QsQKvc,0.47,Bmx8QjQT9QYm2mgMtzMxQ4USoh8AuvWFbvr1UDQmdEG8,3Ne67a1k3jdJs9BDLnHR6yawSzRmjodfXVtn4wSpcRBb,stoner_cups,Stoner Cups,https://www.arweave.net/JID4qsLMLnGRjIsqtDhJWmSiJ4VvtJ3lrGzit3808CY?ext=png,Stoner Cups #1841,Stoner cups is a unique collection of NFTs getting baked on the Solana blockchain that is 100% community driven.,https://twitter.com/StonerCups,image,"[{'address': 'DvqFgnQDw1PzAzGZzuTNVqN3twXtSHqxxSh1k7Hpvwt1', 'verified': 1, 'share': 0}, {'address': 'KFcxk3DazidnpFQGw9B2UgsPzngHAZM66esoH3hBHdf', 'verified': 0, 'share': 100}]",1000,9v3y7HVGJ8FChrzAkMD6RGnc2835xMwbnbuj4UdLFCWv,"[{'trait_type': 'background', 'value': 'Blue'}, {'trait_type': 'body', 'value': 'Blue'}, {'trait_type': 'head', 'value': 'Original'}, {'trait_type': 'handle', 'value': 'Print'}, {'trait_type': 'skin', 'value': 'None'}, {'trait_type': 'eyes', 'value': 'Hollow'}, {'trait_type': 'clothes', 'value': 'StonerT'}, {'trait_type': 'mouth', 'value': 'Lip bite'}, {'trait_type': 'ear', 'value': 'Cup'}, {'trait_type': 'hat', 'value': 'Snail'}]","{'files': [{'uri': 'https://www.arweave.net/JID4qsLMLnGRjIsqtDhJWmSiJ4VvtJ3lrGzit3808CY?ext=png', 'type': 'image/png'}], 'category': 'image', 'creators': [{'address': 'KFcxk3DazidnpFQGw9B2UgsPzngHAZM66esoH3hBHdf', 'share': 100}]}",1,KeDGV1oXVWYZyJCVP2ikaK6yFK6j7evobSbNL8NnNyv,1,{},False,"{'auctionHouseKey': 'E8cU1WiRWjanGxmn96ewBgk9vPTcL6AEZ1t6F6fkgUWe', 'sellerReferral': 'autMW8SgBkVYeBgqYiTuJZnkvDZMVU2MHJh9Jh7CSQ2', 'expiry': -1}",{'howrare': {'rank': 4852}},,
1,Awyu8e4Ucc7ZenQZSTb58Pr35RkeZz687gpAvnycqian,0.5,AzdSqkTZ9SiEQ8Abg2MLtM2GtoNQ39rnucxJV3G5V55Q,9u5NCGtgFu6U8DFn1sC8peqctMMFiPXUTajRB7VScosZ,stoner_cups,Stoner Cups,https://www.arweave.net/kghG1-lJxo3zDIcinXpg66d6cKQiHNVGLvX0tBaRVIM?ext=png,Stoner Cups #2189,Stoner cups is a unique collection of NFTs getting baked on the Solana blockchain that is 100% community driven.,https://twitter.com/StonerCups,image,"[{'address': 'DvqFgnQDw1PzAzGZzuTNVqN3twXtSHqxxSh1k7Hpvwt1', 'verified': 1, 'share': 0}, {'address': 'KFcxk3DazidnpFQGw9B2UgsPzngHAZM66esoH3hBHdf', 'verified': 0, 'share': 100}]",1000,EM1Kqr3MQ14v3VzeZczvXhu6RJsUrjLtAYfoyb7vLyXn,"[{'trait_type': 'background', 'value': 'Purple'}, {'trait_type': 'body', 'value': 'Original'}, {'trait_type': 'head', 'value': 'Broken'}, {'trait_type': 'handle', 'value': 'Print'}, {'trait_type': 'skin', 'value': 'Original'}, {'trait_type': 'eyes', 'value': 'Original'}, {'trait_type': 'clothes', 'value': 'caesar'}, {'trait_type': 'mouth', 'value': 'Bad'}, {'trait_type': 'ear', 'value': 'None'}, {'trait_type': 'hat', 'value': 'Fire'}]","{'files': [{'uri': 'https://www.arweave.net/kghG1-lJxo3zDIcinXpg66d6cKQiHNVGLvX0tBaRVIM?ext=png', 'type': 'image/png'}], 'category': 'image', 'creators': [{'address': 'KFcxk3DazidnpFQGw9B2UgsPzngHAZM66esoH3hBHdf', 'share': 100}]}",1,KeDGV1oXVWYZyJCVP2ikaK6yFK6j7evobSbNL8NnNyv,1,{},False,"{'auctionHouseKey': 'E8cU1WiRWjanGxmn96ewBgk9vPTcL6AEZ1t6F6fkgUWe', 'sellerReferral': 'autMW8SgBkVYeBgqYiTuJZnkvDZMVU2MHJh9Jh7CSQ2', 'expiry': -1}",{'howrare': {'rank': 2039}},,
2,6h15jqyJ2TxTXhBrcDFEUGtWJ8xyH7dvathmC7f6nikv,0.5,2UpBKVP2kmQUD4aSHKSMfwGfszNzS3iVkA4ziLLJ27g3,EASzh7QTSLYCchrJ43GMBZpAmthwap3ZZS5U4Dwf4mmC,stoner_cups,Stoner Cups,https://www.arweave.net/0LN26oCYWa5VEdxN20T2bR4t4b8t7JyW7ULFwWLxsfc?ext=png,Stoner Cups #1114,Stoner cups is a unique collection of NFTs getting baked on the Solana blockchain that is 100% community driven.,https://twitter.com/StonerCups,image,"[{'address': 'DvqFgnQDw1PzAzGZzuTNVqN3twXtSHqxxSh1k7Hpvwt1', 'verified': 1, 'share': 0}, {'address': 'KFcxk3DazidnpFQGw9B2UgsPzngHAZM66esoH3hBHdf', 'verified': 0, 'share': 100}]",1000,5izxjJ5HgYETPApiU6XNuNC5ZbvyxHoe9rToYWyFDgRe,"[{'trait_type': 'background', 'value': 'B2'}, {'trait_type': 'body', 'value': 'Original'}, {'trait_type': 'head', 'value': 'Broken'}, {'trait_type': 'handle', 'value': 'Original'}, {'trait_type': 'skin', 'value': 'Blue'}, {'trait_type': 'eyes', 'value': 'Hollow'}, {'trait_type': 'clothes', 'value': 'Tshirt'}, {'trait_type': 'mouth', 'value': 'Drooling'}, {'trait_type': 'ear', 'value': 'Grinder'}, {'trait_type': 'hat', 'value': 'Shark'}]","{'files': [{'uri': 'https://www.arweave.net/0LN26oCYWa5VEdxN20T2bR4t4b8t7JyW7ULFwWLxsfc?ext=png', 'type': 'image/png'}], 'category': 'image', 'creators': [{'address': 'KFcxk3DazidnpFQGw9B2UgsPzngHAZM66esoH3hBHdf', 'share': 100}]}",1,KeDGV1oXVWYZyJCVP2ikaK6yFK6j7evobSbNL8NnNyv,1,{},False,"{'auctionHouseKey': 'E8cU1WiRWjanGxmn96ewBgk9vPTcL6AEZ1t6F6fkgUWe', 'sellerReferral': 'autMW8SgBkVYeBgqYiTuJZnkvDZMVU2MHJh9Jh7CSQ2', 'expiry': -1}",{'howrare': {'rank': 4915}},,
3,GarRSVujDj8VUVo4o83VitE4LfvVcF39WWrdCN2d2nvc,0.5,H3NeWh8sNfb4kM2izbs7HXQvajyWQs4Ba4mKddGjJhpx,8KHKM3AWN7V3KZVxjpx4k6bWvZKU2X7gGbsBkvz4gHSD,stoner_cups,Stoner Cups,https://www.arweave.net/4ZGn3IydjQ0rEU-Ls_pz7bKdczc2RFAH0F4kJbBL4lw?ext=png,Stoner Cups #4733,Stoner cups is a unique collection of NFTs getting baked on the Solana blockchain that is 100% community driven.,https://twitter.com/StonerCups,image,"[{'address': 'DvqFgnQDw1PzAzGZzuTNVqN3twXtSHqxxSh1k7Hpvwt1', 'verified': 1, 'share': 0}, {'address': 'KFcxk3DazidnpFQGw9B2UgsPzngHAZM66esoH3hBHdf', 'verified': 0, 'share': 100}]",1000,B86aVau6Nbv5Yk6oLDwoqTDqHtogZUgCiyys1SqSuDbS,"[{'trait_type': 'background', 'value': 'Blue'}, {'trait_type': 'body', 'value': 'People'}, {'trait_type': 'head', 'value': 'Blue'}, {'trait_type': 'handle', 'value': 'Broken'}, {'trait_type': 'skin', 'value': 'Print'}, {'trait_type': 'eyes', 'value': 'Original'}, {'trait_type': 'clothes', 'value': 'StonerT'}, {'trait_type': 'mouth', 'value': 'Bad'}, {'trait_type': 'ear', 'value': 'Cup'}, {'trait_type': 'hat', 'value': 'Snail'}]","{'files': [{'uri': 'https://www.arweave.net/4ZGn3IydjQ0rEU-Ls_pz7bKdczc2RFAH0F4kJbBL4lw?ext=png', 'type': 'image/png'}], 'category': 'image', 'creators': [{'address': 'KFcxk3DazidnpFQGw9B2UgsPzngHAZM66esoH3hBHdf', 'share': 100}]}",1,KeDGV1oXVWYZyJCVP2ikaK6yFK6j7evobSbNL8NnNyv,1,{},False,"{'auctionHouseKey': 'E8cU1WiRWjanGxmn96ewBgk9vPTcL6AEZ1t6F6fkgUWe', 'sellerReferral': 'autMW8SgBkVYeBgqYiTuJZnkvDZMVU2MHJh9Jh7CSQ2', 'expiry': -1}",{'howrare': {'rank': 4274}},,
4,AiTtHjUcQfvKyygracTfQSUDpVnscLPkw46MoADrQrne,0.5,6tSbV7TQpcvQfSjQgw5kTViD3N6ZQdLjC25WTmw4rAHM,Damqt684op9UbJDFuZUAgpUZ9t1WH27J4xhiagd8PkYe,stoner_cups,Stoner Cups,https://www.arweave.net/QJs1ltp5TyZtaJvEKZ0iGii_pSnsml4ry86GDBg9Q4g?ext=png,Stoner Cups #557,Stoner cups is a unique collection of NFTs getting baked on the Solana blockchain that is 100% community driven.,https://twitter.com/StonerCups,image,"[{'address': 'DvqFgnQDw1PzAzGZzuTNVqN3twXtSHqxxSh1k7Hpvwt1', 'verified': 1, 'share': 0}, {'address': 'KFcxk3DazidnpFQGw9B2UgsPzngHAZM66esoH3hBHdf', 'verified': 0, 'share': 100}]",1000,HQigZrwFzNCnMT819Tu8zrCCahWsBMr8tL7xqLJYe5Te,"[{'trait_type': 'background', 'value': 'Blue'}, {'trait_type': 'body', 'value': 'Broken'}, {'trait_type': 'head', 'value': 'Original'}, {'trait_type': 'handle', 'value': 'Original'}, {'trait_type': 'skin', 'value': 'Original'}, {'trait_type': 'eyes', 'value': 'Brain'}, {'trait_type': 'clothes', 'value': 'Tank Top'}, {'trait_type': 'mouth', 'value': 'Bad'}, {'trait_type': 'ear', 'value': 'Grinder'}, {'trait_type': 'hat', 'value': 'Shark'}]","{'files': [{'uri': 'https://www.arweave.net/QJs1ltp5TyZtaJvEKZ0iGii_pSnsml4ry86GDBg9Q4g?ext=png', 'type': 'image/png'}], 'category': 'image', 'creators': [{'address': 'KFcxk3DazidnpFQGw9B2UgsPzngHAZM66esoH3hBHdf', 'share': 100}]}",1,KeDGV1oXVWYZyJCVP2ikaK6yFK6j7evobSbNL8NnNyv,1,{},False,"{'auctionHouseKey': 'E8cU1WiRWjanGxmn96ewBgk9vPTcL6AEZ1t6F6fkgUWe', 'sellerReferral': 'autMW8SgBkVYeBgqYiTuJZnkvDZMVU2MHJh9Jh7CSQ2', 'expiry': -1}",{'howrare': {'rank': 4849}},,
5,A3QHjbe91T7FPXGzZSGbWWVbvtkZRSLo66hvW5aFHTwp,0.5,8GDmNnf4JRfXC3wn6xB2zXFKewkzFfboLzqjDmTjRGPK,Damqt684op9UbJDFuZUAgpUZ9t1WH27J4xhiagd8PkYe,stoner_cups,Stoner Cups,https://www.arweave.net/UgQir3UeJWktPRpUIyOEMf6hlYQJeMe8b-6VCnQtjxw?ext=png,Stoner Cups #4968,Stoner cups is a unique collection of NFTs getting baked on the Solana blockchain that is 100% community driven.,https://twitter.com/StonerCups,image,"[{'address': 'DvqFgnQDw1PzAzGZzuTNVqN3twXtSHqxxSh1k7Hpvwt1', 'verified': 1, 'share': 0}, {'address': 'KFcxk3DazidnpFQGw9B2UgsPzngHAZM66esoH3hBHdf', 'verified': 0, 'share': 100}]",1000,AXNL6zQthkRj8jt3w5ssw7RWjx1xTNikW9pJfCPnFemj,"[{'trait_type': 'background', 'value': 'B2'}, {'trait_type': 'body', 'value': 'Blue'}, {'trait_type': 'head', 'value': 'Original'}, {'trait_type': 'handle', 'value': 'Original'}, {'trait_type': 'skin', 'value': 'People'}, {'trait_type': 'eyes', 'value': 'Original'}, {'trait_type': 'clothes', 'value': 'Tshirt'}, {'trait_type': 'mouth', 'value': 'Drooling'}, {'trait_type': 'ear', 'value': 'None'}, {'trait_type': 'hat', 'value': 'Teeth'}]","{'files': [{'uri': 'https://www.arweave.net/UgQir3UeJWktPRpUIyOEMf6hlYQJeMe8b-6VCnQtjxw?ext=png', 'type': 'image/png'}], 'category': 'image', 'creators': [{'address': 'KFcxk3DazidnpFQGw9B2UgsPzngHAZM66esoH3hBHdf', 'share': 100}]}",1,KeDGV1oXVWYZyJCVP2ikaK6yFK6j7evobSbNL8NnNyv,1,{},False,"{'auctionHouseKey': 'E8cU1WiRWjanGxmn96ewBgk9vPTcL6AEZ1t6F6fkgUWe', 'sellerReferral': 'autMW8SgBkVYeBgqYiTuJZnkvDZMVU2MHJh9Jh7CSQ2', 'expiry': -1}",{'howrare': {'rank': 4703}},,
6,GCVcPBP7xx1ES38t9t6C234NurHt47nco3GpWusHZdPG,0.5,9rRAsD1DKW1kZKwxrDT6E2wDmKVyg5W5RijiUd7XEw9H,Damqt684op9UbJDFuZUAgpUZ9t1WH27J4xhiagd8PkYe,stoner_cups,Stoner Cups,https://www.arweave.net/z9NcxdWOyWtyfSyxpLteA3Y2J0ehXI4VPX6M3I1jC-Q?ext=png,Stoner Cups #4610,Stoner cups is a unique collection of NFTs getting baked on the Solana blockchain that is 100% community driven.,https://twitter.com/StonerCups,image,"[{'address': 'DvqFgnQDw1PzAzGZzuTNVqN3twXtSHqxxSh1k7Hpvwt1', 'verified': 1, 'share': 0}, {'address': 'KFcxk3DazidnpFQGw9B2UgsPzngHAZM66esoH3hBHdf', 'verified': 0, 'share': 100}]",1000,Am9YH7e3G3qi597jezpe326guz95EbyLBwkXGMzHBkUG,"[{'trait_type': 'background', 'value': 'Blue'}, {'trait_type': 'body', 'value': 'Broken'}, {'trait_type': 'head', 'value': 'People'}, {'trait_type': 'handle', 'value': 'Print'}, {'trait_type': 'skin', 'value': 'People'}, {'trait_type': 'eyes', 'value': 'Original'}, {'trait_type': 'clothes', 'value': 'Turtle Neck'}, {'trait_type': 'mouth', 'value': 'Drooling'}, {'trait_type': 'ear', 'value': 'Grinder'}, {'trait_type': 'hat', 'value': 'Teeth'}]","{'files': [{'uri': 'https://www.arweave.net/z9NcxdWOyWtyfSyxpLteA3Y2J0ehXI4VPX6M3I1jC-Q?ext=png', 'type': 'image/png'}], 'category': 'image', 'creators': [{'address': 'KFcxk3DazidnpFQGw9B2UgsPzngHAZM66esoH3hBHdf', 'share': 100}]}",1,KeDGV1oXVWYZyJCVP2ikaK6yFK6j7evobSbNL8NnNyv,1,{},False,"{'auctionHouseKey': 'E8cU1WiRWjanGxmn96ewBgk9vPTcL6AEZ1t6F6fkgUWe', 'sellerReferral': 'autMW8SgBkVYeBgqYiTuJZnkvDZMVU2MHJh9Jh7CSQ2', 'expiry': -1}",{'howrare': {'rank': 3447}},,
7,FZx1HvFgFHiK4jksoMERUssugA8FrWQjUazWotPkDMYX,0.5,J7cKLhERzrnvnCtEFhvD2Vqs1ASMqoPCwgjDqYujw48B,Damqt684op9UbJDFuZUAgpUZ9t1WH27J4xhiagd8PkYe,stoner_cups,Stoner Cups,https://www.arweave.net/0wffI2yhUgKiIlwrNTPFfybmxwudrmsYrEQORwD5LZY?ext=png,Stoner Cups #4514,Stoner cups is a unique collection of NFTs getting baked on the Solana blockchain that is 100% community driven.,https://twitter.com/StonerCups,image,"[{'address': 'DvqFgnQDw1PzAzGZzuTNVqN3twXtSHqxxSh1k7Hpvwt1', 'verified': 1, 'share': 0}, {'address': 'KFcxk3DazidnpFQGw9B2UgsPzngHAZM66esoH3hBHdf', 'verified': 0, 'share': 100}]",1000,HBTVi9VtWgebMLWnqxiGP6bJywLbQhcfippgE7bDHeKj,"[{'trait_type': 'background', 'value': 'B2'}, {'trait_type': 'body', 'value': 'People'}, {'trait_type': 'head', 'value': 'Original'}, {'trait_type': 'handle', 'value': 'Print'}, {'trait_type': 'skin', 'value': 'People'}, {'trait_type': 'eyes', 'value': 'Original'}, {'trait_type': 'clothes', 'value': 'Turtle Neck'}, {'trait_type': 'mouth', 'value': 'Bad'}, {'trait_type': 'ear', 'value': 'None'}, {'trait_type': 'hat', 'value': 'Teeth'}]","{'files': [{'uri': 'https://www.arweave.net/0wffI2yhUgKiIlwrNTPFfybmxwudrmsYrEQORwD5LZY?ext=png', 'type': 'image/png'}], 'category': 'image', 'creators': [{'address': 'KFcxk3DazidnpFQGw9B2UgsPzngHAZM66esoH3hBHdf', 'share': 100}]}",1,KeDGV1oXVWYZyJCVP2ikaK6yFK6j7evobSbNL8NnNyv,1,{},False,"{'auctionHouseKey': 'E8cU1WiRWjanGxmn96ewBgk9vPTcL6AEZ1t6F6fkgUWe', 'sellerReferral': 'autMW8SgBkVYeBgqYiTuJZnkvDZMVU2MHJh9Jh7CSQ2', 'expiry': -1}",{'howrare': {'rank': 3251}},,
8,ASHB1HpTWNfn4yiuAjcdStEdmTvTWvM8EUvx8EawqBrL,0.5,8VBKpQfda2LvEJpsze1tFdKcWWBmHKM6cxxRJCo9qrqb,Damqt684op9UbJDFuZUAgpUZ9t1WH27J4xhiagd8PkYe,stoner_cups,Stoner Cups,https://www.arweave.net/jCZvnrae76vM-b1P4oz5dl3nv1Hox8HNUtXGiMww-e0?ext=png,Stoner Cups #1263,Stoner cups is a unique collection of NFTs getting baked on the Solana blockchain that is 100% community driven.,https://twitter.com/StonerCups,image,"[{'address': 'DvqFgnQDw1PzAzGZzuTNVqN3twXtSHqxxSh1k7Hpvwt1', 'verified': 1, 'share': 0}, {'address': 'KFcxk3DazidnpFQGw9B2UgsPzngHAZM66esoH3hBHdf', 'verified': 0, 'share': 100}]",1000,5seaXnsN72eDZqd8c5M286otiAAG8CWKKLBWsxVGZ9m2,"[{'trait_type': 'background', 'value': 'B1'}, {'trait_type': 'body', 'value': 'Blue'}, {'trait_type': 'head', 'value': 'Original'}, {'trait_type': 'handle', 'value': 'Broken'}, {'trait_type': 'skin', 'value': 'Original'}, {'trait_type': 'eyes', 'value': 'Original'}, {'trait_type': 'clothes', 'value': 'Tank Top'}, {'trait_type': 'mouth', 'value': 'Bad'}, {'trait_type': 'ear', 'value': 'Grinder'}, {'trait_type': 'hat', 'value': 'Mushroom'}]","{'files': [{'uri': 'https://www.arweave.net/jCZvnrae76vM-b1P4oz5dl3nv1Hox8HNUtXGiMww-e0?ext=png', 'type': 'image/png'}], 'category': 'image', 'creators': [{'address': 'KFcxk3DazidnpFQGw9B2UgsPzngHAZM66esoH3hBHdf', 'share': 100}]}",1,KeDGV1oXVWYZyJCVP2ikaK6yFK6j7evobSbNL8NnNyv,1,{},False,"{'auctionHouseKey': 'E8cU1WiRWjanGxmn96ewBgk9vPTcL6AEZ1t6F6fkgUWe', 'sellerReferral': 'autMW8SgBkVYeBgqYiTuJZnkvDZMVU2MHJh9Jh7CSQ2', 'expiry': -1}",{'howrare': {'rank': 4806}},,
9,C63ZfX9Bbi2HCA5XZT3ZpqJAQwLk6hMuN4ur8X2u3CqU,0.5,CVgBTViaNwQjfbhDzByfPAGXofooP6FCaa1vmXHHGEWu,Damqt684op9UbJDFuZUAgpUZ9t1WH27J4xhiagd8PkYe,stoner_cups,Stoner Cups,https://www.arweave.net/4_SX3kAcj9VFedBTi6Z13e0RoeTWbx7qXX7G531okN8?ext=png,Stoner Cups #1465,Stoner cups is a unique collection of NFTs getting baked on the Solana blockchain that is 100% community driven.,https://twitter.com/StonerCups,image,"[{'address': 'DvqFgnQDw1PzAzGZzuTNVqN3twXtSHqxxSh1k7Hpvwt1', 'verified': 1, 'share': 0}, {'address': 'KFcxk3DazidnpFQGw9B2UgsPzngHAZM66esoH3hBHdf', 'verified': 0, 'share': 100}]",1000,9kmB1AQZ2qKbX376rDPemmjRoiMAnee1MnwKKtz8iLVn,"[{'trait_type': 'background', 'value': 'B1'}, {'trait_type': 'body', 'value': 'Print'}, {'trait_type': 'head', 'value': 'Original'}, {'trait_type': 'handle', 'value': 'Original'}, {'trait_type': 'skin', 'value': 'People'}, {'trait_type': 'eyes', 'value': 'Hollow'}, {'trait_type': 'clothes', 'value': 'Tank Top'}, {'trait_type': 'mouth', 'value': 'Drooling'}, {'trait_type': 'ear', 'value': 'Nails'}, {'trait_type': 'hat', 'value': 'Snail'}]","{'files': [{'uri': 'https://www.arweave.net/4_SX3kAcj9VFedBTi6Z13e0RoeTWbx7qXX7G531okN8?ext=png', 'type': 'image/png'}], 'category': 'image', 'creators': [{'address': 'KFcxk3DazidnpFQGw9B2UgsPzngHAZM66esoH3hBHdf', 'share': 100}]}",1,KeDGV1oXVWYZyJCVP2ikaK6yFK6j7evobSbNL8NnNyv,1,{},False,"{'auctionHouseKey': 'E8cU1WiRWjanGxmn96ewBgk9vPTcL6AEZ1t6F6fkgUWe', 'sellerReferral': 'autMW8SgBkVYeBgqYiTuJZnkvDZMVU2MHJh9Jh7CSQ2', 'expiry': -1}",{'howrare': {'rank': 4564}},,
10,4KKkFG5fyPnTxdZta3XcbptXYQqZdtLmCYwfpogpz34Q,0.5,9gJiKzpCDpjAWyD8WLNV5133C2HVm4cvqTX1tinCTjrK,Damqt684op9UbJDFuZUAgpUZ9t1WH27J4xhiagd8PkYe,stoner_cups,Stoner Cups,https://www.arweave.net/-vtBa0KCBwzvK0hjiU53AqCoU3OIUb9oYPAuqMpQb4I?ext=png,Stoner Cups #2819,Stoner cups is a unique collection of NFTs getting baked on the Solana blockchain that is 100% community driven.,https://twitter.com/StonerCups,image,"[{'address': 'DvqFgnQDw1PzAzGZzuTNVqN3twXtSHqxxSh1k7Hpvwt1', 'verified': 1, 'share': 0}, {'address': 'KFcxk3DazidnpFQGw9B2UgsPzngHAZM66esoH3hBHdf', 'verified': 0, 'share': 100}]",1000,H4Uy55tRxvouc1Wpxrk2WY1jMm2EzR2yGRFmAASWCvc4,"[{'trait_type': 'background', 'value': 'B1'}, {'trait_type': 'body', 'value': 'Original'}, {'trait_type': 'head', 'value': 'Print'}, {'trait_type': 'handle', 'value': 'People'}, {'trait_type': 'skin', 'value': 'Print'}, {'trait_type': 'eyes', 'value': 'Brain'}, {'trait_type': 'clothes', 'value': 'Hodl'}, {'trait_type': 'mouth', 'value': 'Drooling'}, {'trait_type': 'ear', 'value': 'None'}, {'trait_type': 'hat', 'value': 'Shark'}]","{'files': [{'uri': 'https://www.arweave.net/-vtBa0KCBwzvK0hjiU53AqCoU3OIUb9oYPAuqMpQb4I?ext=png', 'type': 'image/png'}], 'category': 'image', 'creators': [{'address': 'KFcxk3DazidnpFQGw9B2UgsPzngHAZM66esoH3hBHdf', 'share': 100}]}",1,KeDGV1oXVWYZyJCVP2ikaK6yFK6j7evobSbNL8NnNyv,1,{},False,"{'auctionHouseKey': 'E8cU1WiRWjanGxmn96ewBgk9vPTcL6AEZ1t6F6fkgUWe', 'sellerReferral': 'autMW8SgBkVYeBgqYiTuJZnkvDZMVU2MHJh9Jh7CSQ2', 'expiry': -1}",{'howrare': {'rank': 3214}},,
11,CJnKc44u6W2vEg9krsnZu7F2DagYac76pLZdNrdpTVLh,0.5,DAYqjF3KZXqqWp5SVA3MbnTbz2Q5WEpuMAQvKVY8jA8d,Damqt684op9UbJDFuZUAgpUZ9t1WH27J4xhiagd8PkYe,stoner_cups,Stoner Cups,https://www.arweave.net/_vhE6rVFZuLNQPTA8zihydiW0wHAHM3oqDAqScCoV6Q?ext=png,Stoner Cups #2593,Stoner cups is a unique collection of NFTs getting baked on the Solana blockchain that is 100% community driven.,https://twitter.com/StonerCups,image,"[{'address': 'DvqFgnQDw1PzAzGZzuTNVqN3twXtSHqxxSh1k7Hpvwt1', 'verified': 1, 'share': 0}, {'address': 'KFcxk3DazidnpFQGw9B2UgsPzngHAZM66esoH3hBHdf', 'verified': 0, 'share': 100}]",1000,FMvpuQaYZ4Z6mZXaFRmYY1V2ujFiTsSK7RC1vNhKSti6,"[{'trait_type': 'background', 'value': 'B2'}, {'trait_type': 'body', 'value': 'Original'}, {'trait_type': 'head', 'value': 'Original'}, {'trait_type': 'handle', 'value': 'Broken'}, {'trait_type': 'skin', 'value': 'None'}, {'trait_type': 'eyes', 'value': 'Original'}, {'trait_type': 'clothes', 'value': 'Hoodie'}, {'trait_type': 'mouth', 'value': 'Bad'}, {'trait_type': 'ear', 'value': 'Cup'}, {'trait_type': 'hat', 'value': 'Teeth'}]","{'files': [{'uri': 'https://www.arweave.net/_vhE6rVFZuLNQPTA8zihydiW0wHAHM3oqDAqScCoV6Q?ext=png', 'type': 'image/png'}], 'category': 'image', 'creators': [{'address': 'KFcxk3DazidnpFQGw9B2UgsPzngHAZM66esoH3hBHdf', 'share': 100}]}",1,KeDGV1oXVWYZyJCVP2ikaK6yFK6j7evobSbNL8NnNyv,1,{},False,"{'auctionHouseKey': 'E8cU1WiRWjanGxmn96ewBgk9vPTcL6AEZ1t6F6fkgUWe', 'sellerReferral': 'autMW8SgBkVYeBgqYiTuJZnkvDZMVU2MHJh9Jh7CSQ2', 'expiry': -1}",{'howrare': {'rank': 4820}},,
12,9r9suZrPaM7ZUrUZeDYBBYy2SAf38UV4QdHF11rKtaB9,0.5,AnSGkT419hUBgVxgGrZW6PLxBg5azbfDd8E7S6XhH49k,Damqt684op9UbJDFuZUAgpUZ9t1WH27J4xhiagd8PkYe,stoner_cups,Stoner Cups,https://www.arweave.net/-Cn3ZuvKgIXGXFccuw7erTzDW9ILebKT9rx9d6sSKb8?ext=png,Stoner Cups #2544,Stoner cups is a unique collection of NFTs getting baked on the Solana blockchain that is 100% community driven.,https://twitter.com/StonerCups,image,"[{'address': 'DvqFgnQDw1PzAzGZzuTNVqN3twXtSHqxxSh1k7Hpvwt1', 'verified': 1, 'share': 0}, {'address': 'KFcxk3DazidnpFQGw9B2UgsPzngHAZM66esoH3hBHdf', 'verified': 0, 'share': 100}]",1000,GKfekMd5s2PRYeGXQodiNduG1xDw4pDgo87NW3tRnD2a,"[{'trait_type': 'background', 'value': 'B2'}, {'trait_type': 'body', 'value': 'People'}, {'trait_type': 'head', 'value': 'People'}, {'trait_type': 'handle', 'value': 'Blue'}, {'trait_type': 'skin', 'value': 'Original'}, {'trait_type': 'eyes', 'value': 'Brain'}, {'trait_type': 'clothes', 'value': 'Tshirt'}, {'trait_type': 'mouth', 'value': 'Bad'}, {'trait_type': 'ear', 'value': 'Leaf'}, {'trait_type': 'hat', 'value': 'Shark'}]","{'files': [{'uri': 'https://www.arweave.net/-Cn3ZuvKgIXGXFccuw7erTzDW9ILebKT9rx9d6sSKb8?ext=png', 'type': 'image/png'}], 'category': 'image', 'creators': [{'address': 'KFcxk3DazidnpFQGw9B2UgsPzngHAZM66esoH3hBHdf', 'share': 100}]}",1,KeDGV1oXVWYZyJCVP2ikaK6yFK6j7evobSbNL8NnNyv,1,{},False,"{'auctionHouseKey': 'E8cU1WiRWjanGxmn96ewBgk9vPTcL6AEZ1t6F6fkgUWe', 'sellerReferral': 'autMW8SgBkVYeBgqYiTuJZnkvDZMVU2MHJh9Jh7CSQ2', 'expiry': -1}",{'howrare': {'rank': 4233}},,
